,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,accountant,Title posted on indeed.com -Experienced Accountant,"June 10, 2024",Not specified,,,,"June 10, 2024",Watson Chartered Professional Accountant Services Inc.,Kelowna (BC),"Salary: $60,000.00 to $80,000.00 annually",9317100340,https://ca.indeed.com/viewjob?jk=43ea6ef8faac6cc1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC","$ 60,000 to $ 80,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317100340,Not specified
1,accountant,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Kaushal & Company Chartered Professional Accountants Inc,New Westminster (BC),"Salary: $53,000.00 annually",2955108,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","New Westminster , BC","$ 53,000 YEAR annually / 37.5 hours per week",Permanent employment Full time,Starts as soon as possible,2,Job Bank #2955108,"Benefits:
					Health benefits"
2,accountant,,"June 10, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",Creekside Accounting Ltd.,Kelowna (BC),Salary: $24.00 to $29.00 hourly (to be negotiated),2954311,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Bonus', 'Life insurance', 'Team building opportunities']}","Kelowna , BC",$ 24.00 to $ 29.00 HOUR hourly (To be negotiated) / 30 to 50 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954311,"Benefits:
					Health benefits, Financial benefits, Other benefits"
3,accountant,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Brian's Poultry Services,Hanover (ON),Salary: $43.71 hourly,2942232,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Health care plan', 'Life insurance', 'Wellness program']}","594 11th Street Hanover , ON N4N 1T5",$ 43.71 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2942232,"Benefits:
					Health benefits, Financial benefits, Other benefits"
4,accountant,,"June 03, 2024",2024-06-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",A.R. Thomson Engineered Solutions Inc.,Red Deer County (AB),"Salary: $70,000.00 to $85,000.00 annually (to be negotiated)",2944947,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Bonus', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'Maternity and parental benefits', 'Free parking available', 'Learning/training paid by employer', 'Wellness program']}","215 Clearskye Way Red Deer County , AB T4E 0A1","$ 70,000 to $ 85,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2944947,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
5,accountant,,"June 04, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",Quarterdeck Brewing Company,Vancouver (BC),Salary: $38.00 hourly,2947089,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","602 W Broadway Vancouver , BC V5Z 1G2",$ 38.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947089,Not specified
6,accountant,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Supreme Security,Calgary (AB),Salary: $28.50 hourly,2950692,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Paid time off (volunteering or personal days)']}","Calgary , AB",$ 28.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950692,"Benefits:
					Other benefits"
7,accountant,,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Montréal (QC),"Salary: $75,000.00 to $85,000.00 annually",13979850,https://www.jobillico.com/en/job-offer/fed-finance/accountant/13979850?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 75,000 to $ 85,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13979850,Not specified
8,accountant,,"June 12, 2024",2024-07-12,Job Bank,,This job posting is advertised by a recruitment agency on behalf of the employer.,"June 12, 2024",Select People Solutions,Lethbridge (AB),Salary: $30.00 to $40.00 hourly (to be negotiated),2958050,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Bonus']}","Lethbridge , AB",$ 30.00 to $ 40.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958050,Permanent placement opportunity
9,accountant,,"May 30, 2024",2024-06-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 30, 2024",Equitask Mississauga,Mississauga (ON),Salary: $36.00 hourly,2940378,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 36.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2940378,Not specified
