,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,hotel night auditor,,"June 12, 2024",Not specified,,,,"June 12, 2024",The Royal Anne Hotel,Kelowna (BC),Salary: $20.00 hourly,9320352850,https://ca.indeed.com/viewjob?jk=0a7e560cb9f30bfc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 20.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9320352850,Not specified
1,senior intern auditor,Title posted on Jobillico -Senior Auditor,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Saint-Hyacinthe (QC),"Salary: $70,000.00 to $110,000.00 annually",13980174,https://www.jobillico.com/en/job-offer/fed-finance/senior-auditor/13980174?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Hyacinthe , QC","$ 70,000 to $ 110,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13980174,Not specified
2,senior intern auditor,Title posted on Jobillico -Senior Auditor,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Montréal (QC),Salary not available,13980609,https://www.jobillico.com/en/job-offer/fed-finance/senior-auditor/13980609?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13980609,Not specified
3,senior intern auditor,Title posted on Jobillico -Auditeur senior,"May 20, 2024",2024-06-18,,,,"May 20, 2024",National Bank,Montréal (QC),Salary not available,13630779,https://www.jobillico.com/en/job-offer/national-bank/senior-auditor/13630779?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13630779,Not specified
4,senior intern auditor,Title posted on Jobillico -Senior Auditor,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Saint-Hyacinthe (QC),Salary not available,13980171,https://www.jobillico.com/en/job-offer/fed-finance/senior-auditor/13980171?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Hyacinthe , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13980171,Not specified
5,hotel night auditor,,"June 07, 2024",Not specified,,,,"June 07, 2024",DoubleTree / Home2 Suites Kingston,Kingston (ON),Salary: $19.87 hourly,9313794244,https://ca.indeed.com/viewjob?jk=323eca0d031661e0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kingston , ON",$ 19.87 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9313794244,Not specified
6,management accountant,Title posted on Jobillico -Audit Manager,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Montréal (QC),"Salary: $90,000.00 to $140,000.00 annually",13980483,https://www.jobillico.com/en/job-offer/fed-finance/audit-manager/13980483?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 90,000 to $ 140,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13980483,Not specified
7,management accountant,Title posted on Jobillico -Audit Manager,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Montréal (QC),"Salary: $90,000.00 to $140,000.00 annually",13980471,https://www.jobillico.com/en/job-offer/fed-finance/audit-manager/13980471?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 90,000 to $ 140,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13980471,Not specified
8,internal auditor,Title posted on Jobillico -Responsable de dossiers,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Mallette,Rimouski (QC),Salary: $36.86 to $48.63 hourly,12880513,https://www.jobillico.com/en/job-offer/mallette/responsable-de-dossiers/12880513?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Rimouski , QC",$ 36.86 to $ 48.63 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #12880513,Not specified
9,tax auditor,,"May 24, 2024",2024-06-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 24, 2024",NASHAT MANAGEMENT SERVICES,Oakville (ON),Salary: $39.00 hourly,2930772,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': []}","2141 MANOR HILL DRIVE Oakville , ON L6M 5H9",$ 39.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2930772,Not specified
