,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,bartender,,"June 17, 2024",Not specified,,,,"June 17, 2024",HEIST Restaurant + Wine Club,Kingston (ON),Salary: $16.55 hourly,9326692092,https://ca.indeed.com/viewjob?jk=2e904a58aa20b5a9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kingston , ON",$ 16.55 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9326692092,Not specified
1,bartender,,"June 23, 2024",Not specified,,,,"June 23, 2024",Plateau Bistro,Montréal (QC),Salary: $15.75 to $31.85 hourly,9334524203,https://ca.indeed.com/viewjob?jk=1564197a875bef70&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",$ 15.75 to $ 31.85 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334524203,Not specified
2,bartender,,"June 20, 2024",Not specified,,,,"June 20, 2024",Oakside Bar & Lounge,Stouffville (ON),Salary: $18.00 hourly,9332238509,https://ca.indeed.com/viewjob?jk=7b25f89a560e356a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stouffville , ON",$ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9332238509,Not specified
3,bartender,,"June 21, 2024",Not specified,,,,"June 21, 2024",Hockley Valley Resort,Mono (ON),Salary: $16.55 hourly,9332995112,https://ca.indeed.com/viewjob?jk=bcae4786d0d89e7e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mono , ON",$ 16.55 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9332995112,Not specified
4,bartender,,"June 17, 2024",Not specified,,,,"June 17, 2024",Partners Billiards and Bowling,North Bay (ON),Salary: $16.55 to $18.31 hourly,9326709691,https://ca.indeed.com/viewjob?jk=628f7451893adce7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Bay , ON",$ 16.55 to $ 18.31 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9326709691,Not specified
5,bartender,,"June 10, 2024",Not specified,,,,"June 10, 2024",Northway Bar & Lounge,Belleville (ON),Salary: $16.55 to $17.00 hourly,9317047865,https://ca.indeed.com/viewjob?jk=85fc771f608d1e32&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Belleville , ON",$ 16.55 to $ 17.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317047865,Not specified
6,bartender,,"June 22, 2024",Not specified,,,,"June 22, 2024",Gio Rana's Really Really Nice Restaurant (The Nose),Toronto (ON),Salary: $16.55 hourly,9334323708,https://ca.indeed.com/viewjob?jk=d72106553783af67&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 16.55 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334323708,Not specified
7,bartender,,"June 12, 2024",Not specified,,,,"June 12, 2024",International Hotel,Leamington (ON),Salary: $16.55 hourly,9320327520,https://ca.indeed.com/viewjob?jk=273bcb61bf8fa72a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Leamington , ON",$ 16.55 HOUR hourly,Casual employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320327520,Not specified
8,bartender,,"June 22, 2024",Not specified,,,,"June 22, 2024",Grogs Pub & Grill,Thedford (ON),Salary: $17.00 to $20.00 hourly,9334145391,https://ca.indeed.com/viewjob?jk=7a0fd99bde1d75b6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thedford , ON",$ 17.00 to $ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9334145391,Not specified
9,bartender,,"June 17, 2024",Not specified,,,,"June 17, 2024",Dwyer Hospitality,Whitby (ON),Salary not available,9327150606,https://ca.indeed.com/viewjob?jk=9e4517711c37bfd3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON",Not available,Part time,Starts as soon as possible,1 vacancy,indeed.com #9327150606,Not specified
10,bartender,,"June 19, 2024",Not specified,,,,"June 19, 2024",Teddy Beer,Toronto (ON),Salary: $16.55 to $18.00 hourly,9329683386,https://ca.indeed.com/viewjob?jk=0b4b7e6b1a24adad&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 16.55 to $ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9329683386,Not specified
11,bartender,,"June 21, 2024",Not specified,,,,"June 21, 2024",Monk 10 Taproom & Fine Eatery,Moncton (NB),Salary: $16.00 hourly,9333100571,https://ca.indeed.com/viewjob?jk=2e4ee5fe7c3d4096&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moncton , NB",$ 16.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333100571,Not specified
12,bartender,,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Eldorado Resort,Kelowna (BC),Salary not available,CKPWUSbOZn,https://job-openings.monster.ca/bartender-kelowna-bc-ca-eldorado-resort/2506feb0-b401-4fc0-9ad4-67bde73809ea?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #CKPWUSbOZn,Not specified
13,bartender,,"June 15, 2024",Not specified,,,,"June 15, 2024",Sibel Turkish Grillhouse+Bar,North York (ON),Salary: $16.55 to $24.00 hourly,9324880174,https://ca.indeed.com/viewjob?jk=f0e0ed8b62037913&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 16.55 to $ 24.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9324880174,Not specified
14,bartender,,"June 21, 2024",2024-07-22,,,,"June 21, 2024",IIQAF,Cornwall (ON),Salary not available,176749,https://job-openings.monster.ca/bartender-ontario-on-ca-iiqaf/ab48925e-d170-436c-b890-ef4ab257e381?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #176749,Not specified
15,bartender,Title posted on indeed.com -Sever Bartender,"June 12, 2024",Not specified,,,,"June 12, 2024",Masala Lounge & Grill,Calgary (AB),Salary: $15.00 to $17.00 hourly,9320339766,https://ca.indeed.com/viewjob?jk=488f070de07eff66&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 15.00 to $ 17.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320339766,Not specified
16,bartender,Title posted on indeed.com -Part Time Bartender,"June 21, 2024",Not specified,,,,"June 21, 2024",Dartmouth Yacht Club,Dartmouth (NS),Salary: $16.00 hourly,9333546717,https://ca.indeed.com/viewjob?jk=b50918a2c66bd72f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",$ 16.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9333546717,Not specified
17,bartender,Title posted on Monster -Bartender (Tap 25),"June 12, 2024",2024-07-13,,,,"June 12, 2024",River Cree Resort & Casino,Enoch Cree Nation 135 (AB),Salary not available,0a82e63a5b474392a04047b445d581a3,https://job-openings.monster.ca/bartender-tap-25-enoch-ab-ca-river-cree-resort-casino/3205146a-0368-4c24-865e-806cbc7f0a52?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Enoch Cree Nation 135 , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #0a82e63a5b474392a04047b445d581a3,Not specified
18,bartender,,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Mississauga Convention Centre,Mississauga (ON),Salary not available,MKVGEX9M,https://job-openings.monster.ca/bartender-mississauga-on-ca-mississauga-convention-centre/3e5f48e7-aae6-4ad1-8b1b-28944ca02a46?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #MKVGEX9M,Not specified
19,bartender,,"June 18, 2024",Not specified,,,,"June 18, 2024",Yankee Lady Yacht Charters (SEASONAL),Toronto (ON),Salary: $18.00 hourly,9328117004,https://ca.indeed.com/viewjob?jk=5fbd2914a1598de4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 18.00 HOUR hourly,Not specified,Starts as soon as possible,1 vacancy,indeed.com #9328117004,Not specified
20,bartender,,"June 17, 2024",Not specified,,,,"June 17, 2024",Gilly's Stonetown Pubhouse,St. Marys (ON),Salary: $16.55 to $17.00 hourly,9326921133,https://ca.indeed.com/viewjob?jk=5637eb98a7dbc26c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Marys , ON",$ 16.55 to $ 17.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326921133,Not specified
21,bartender,,"June 10, 2024",Not specified,,,,"June 10, 2024",Uptown Sportsbar,Nelson (BC),Salary: $17.40 hourly,9317237523,https://ca.indeed.com/viewjob?jk=13918c53a2fb4602&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nelson , BC",$ 17.40 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317237523,Not specified
22,bartender,,"June 19, 2024",Not specified,,,,"June 19, 2024",MIC Canadian Eatery & Whisky Pub,Greater Sudbury (ON),Salary: $16.55 hourly,9329526845,https://ca.indeed.com/viewjob?jk=df568de3b1e461cb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON",$ 16.55 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329526845,Not specified
23,bartender,,"June 18, 2024",Not specified,,,,"June 18, 2024",Haritna Burlington,Burlington (ON),Salary: $16.55 hourly,9328240065,https://ca.indeed.com/viewjob?jk=8248ddfbcf329667&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON",$ 16.55 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9328240065,Not specified
24,bartender,,"June 05, 2024",Not specified,,,,"June 05, 2024",The Brew Table,Ottawa (ON),Salary: $16.55 hourly,9310792570,https://ca.indeed.com/viewjob?jk=c50dba12a21f5b6f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 16.55 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9310792570,Not specified
25,bartender,Title posted on Monster -Bartender - PT (Highwayman Pub South Surrey),"June 21, 2024",2024-07-22,,,,"June 21, 2024",Otter Co-op,South Surrey (BC),Salary not available,Cba3mdhnUj,https://job-openings.monster.ca/bartender-pt-highwayman-pub-south-surrey-south-surrey-bc-ca-otter-co-op/b7f1f904-d3db-483e-b53e-8d7d563d9aa5?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","South Surrey , BC",Not available,Term or contract Part time,Starts as soon as possible,1 vacancy,Monster #Cba3mdhnUj,Not specified
26,bartender,,"June 23, 2024",Not specified,,,,"June 23, 2024",Plateau Bistro,Montréal (QC),Salary: $15.75 to $31.85 hourly,9334524203,https://ca.indeed.com/viewjob?jk=1564197a875bef70&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",$ 15.75 to $ 31.85 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334524203,Not specified
27,bartender,Title posted on Monster -Server   Bartender - JOEY Rideau,"May 29, 2024",2024-06-29,,,,"May 29, 2024",JOEY Restaurant Group,Ottawa (ON),Salary not available,9C2B22ABB5,https://job-openings.monster.ca/server-bartender-joey-rideau-ottawa-on-ca-joey-restaurant-group/cba58990-b86f-45be-ab72-8e93853db552?mescoid=3500614001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #9C2B22ABB5,Not specified
28,bartender,Title posted on Monster -Server   Bartender - JOEY Lansdowne,"May 29, 2024",2024-06-29,,,,"May 29, 2024",JOEY Restaurant Group,Ottawa (ON),Salary not available,E3D35BCB71,https://job-openings.monster.ca/server-bartender-joey-lansdowne-ottawa-on-ca-joey-restaurant-group/fe37d051-6905-4116-860b-000d514c646f?mescoid=3500614001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #E3D35BCB71,Not specified
29,bartender,Title posted on Monster -Server   Bartender - JOEY Yorkdale,"May 29, 2024",2024-06-29,,,,"May 29, 2024",JOEY Restaurant Group,Toronto (ON),Salary not available,6009855182,https://job-openings.monster.ca/server-bartender-joey-yorkdale-toronto-on-ca-joey-restaurant-group/93aed117-e51a-4354-a9f9-5d9d4325a0b4?mescoid=3500614001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #6009855182,Not specified
30,bartender,Title posted on Monster -Server   Bartender - JOEY Markville,"May 29, 2024",2024-06-29,,,,"May 29, 2024",JOEY Restaurant Group,Markham (ON),Salary not available,5EB14A195C,https://job-openings.monster.ca/server-bartender-joey-markville-markham-on-ca-joey-restaurant-group/51013a1b-2883-4917-9a83-7d90c6caa6e5?mescoid=3500614001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #5EB14A195C,Not specified
31,bartender,"Title posted on Monster -Bartender - LOCAL Public Eatery, Penticton","May 29, 2024",2024-06-29,,,,"May 29, 2024",LOCAL Public Eatery,Penticton (BC),Salary not available,B993EE2F48,https://job-openings.monster.ca/bartender-local-public-eatery-penticton-penticton-bc-ca-local-public-eatery/83fafdff-b045-4748-bb04-0f545d460f1f?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Penticton , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #B993EE2F48,Not specified
32,bartender,Title posted on Monster -Looking for an Experienced and Outgoing Bartender,"June 06, 2024",2024-07-07,,,,"June 06, 2024",Moxies,Mississauga (ON),Salary not available,8b73b194-1717616643,https://job-openings.monster.ca/looking-for-an-experienced-outgoing-bartender-mississauga-on-ca-moxies/5f354f3d-7060-4d61-9dd4-a7c86ca23744?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #8b73b194-1717616643,Not specified
33,bartender,Title posted on Monster -Server   Bartender - JOEY Don Mills,"May 29, 2024",2024-06-29,,,,"May 29, 2024",JOEY Restaurant Group,Toronto (ON),Salary not available,8A88C0CB7C,https://job-openings.monster.ca/server-bartender-joey-don-mills-toronto-on-ca-joey-restaurant-group/e51915f6-89e4-4949-93b2-29df0dd3a504?mescoid=3500614001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #8A88C0CB7C,Not specified
34,bartender,,"June 20, 2024",Not specified,,,,"June 20, 2024",Oakside Bar & Lounge,Stouffville (ON),Salary: $18.00 hourly,9332238509,https://ca.indeed.com/viewjob?jk=7b25f89a560e356a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stouffville , ON",$ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9332238509,Not specified
35,bartender,,"June 10, 2024",Not specified,,,,"June 10, 2024",Northway Bar & Lounge,Belleville (ON),Salary: $16.55 to $17.00 hourly,9317047865,https://ca.indeed.com/viewjob?jk=85fc771f608d1e32&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Belleville , ON",$ 16.55 to $ 17.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317047865,Not specified
36,bartender,,"June 17, 2024",Not specified,,,,"June 17, 2024",Partners Billiards and Bowling,North Bay (ON),Salary: $16.55 to $18.31 hourly,9326709691,https://ca.indeed.com/viewjob?jk=628f7451893adce7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Bay , ON",$ 16.55 to $ 18.31 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9326709691,Not specified
37,bartender,,"June 21, 2024",Not specified,,,,"June 21, 2024",Hockley Valley Resort,Mono (ON),Salary: $16.55 hourly,9332995112,https://ca.indeed.com/viewjob?jk=bcae4786d0d89e7e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mono , ON",$ 16.55 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9332995112,Not specified
38,bartender,,"June 17, 2024",Not specified,,,,"June 17, 2024",Dwyer Hospitality,Whitby (ON),Salary not available,9327150606,https://ca.indeed.com/viewjob?jk=9e4517711c37bfd3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON",Not available,Part time,Starts as soon as possible,1 vacancy,indeed.com #9327150606,Not specified
39,bartender,,"June 22, 2024",Not specified,,,,"June 22, 2024",Gio Rana's Really Really Nice Restaurant (The Nose),Toronto (ON),Salary: $16.55 hourly,9334323708,https://ca.indeed.com/viewjob?jk=d72106553783af67&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 16.55 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334323708,Not specified
40,bartender,"Title posted on Monster -Bartender   Server- LOCAL Public Eatery, Liberty Village","May 30, 2024",2024-06-30,,,,"May 30, 2024",LOCAL Public Eatery,Toronto (ON),Salary not available,40FB83EE58,https://job-openings.monster.ca/bartender-server-local-public-eatery-liberty-village-toronto-on-ca-local-public-eatery/7339a653-6017-499c-9e27-a4cedd556b05?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #40FB83EE58,Not specified
41,bartender,,"June 12, 2024",Not specified,,,,"June 12, 2024",International Hotel,Leamington (ON),Salary: $16.55 hourly,9320327520,https://ca.indeed.com/viewjob?jk=273bcb61bf8fa72a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Leamington , ON",$ 16.55 HOUR hourly,Casual employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320327520,Not specified
42,bartender,,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Eldorado Resort,Kelowna (BC),Salary not available,CKPWUSbOZn,https://job-openings.monster.ca/bartender-kelowna-bc-ca-eldorado-resort/2506feb0-b401-4fc0-9ad4-67bde73809ea?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #CKPWUSbOZn,Not specified
43,bartender,,"June 21, 2024",2024-07-22,,,,"June 21, 2024",IIQAF,Cornwall (ON),Salary not available,176749,https://job-openings.monster.ca/bartender-ontario-on-ca-iiqaf/ab48925e-d170-436c-b890-ef4ab257e381?mescoid=3500610001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #176749,Not specified
44,bartender,,"June 22, 2024",Not specified,,,,"June 22, 2024",Grogs Pub & Grill,Thedford (ON),Salary: $17.00 to $20.00 hourly,9334145391,https://ca.indeed.com/viewjob?jk=7a0fd99bde1d75b6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thedford , ON",$ 17.00 to $ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9334145391,Not specified
