,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,bookkeeper,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",LYTO IMMIGRATION LIMITED,Mississauga (ON),Salary: $26.00 hourly,2951977,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Mississauga , ON",$ 26.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2951977,Not specified
1,bookkeeper,Title posted on indeed.com -Bookkeeper - Part Time,"June 03, 2024",Not specified,,,,"June 03, 2024",Cap-abilities Embroidery and Silk Screening,Prince George (BC),Salary: $26.00 to $35.00 hourly,9306750749,https://ca.indeed.com/viewjob?jk=84630d68a918e510&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince George , BC",$ 26.00 to $ 35.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9306750749,Not specified
2,bookkeeper,,"June 11, 2024",2024-06-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",R J Siding And Sundeck Ltd.,Surrey (BC),Salary: $29.00 hourly,2956818,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 29.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956818,Not specified
3,bookkeeper,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Daniel Cagulada Professional Corporation,Calgary (AB),Salary: $17.00 to $25.00 hourly (to be negotiated),2947973,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Maternity and parental benefits']}","Calgary , AB",$ 17.00 to $ 25.00 HOUR hourly (To be negotiated) / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947973,"Benefits:
					Health benefits, Financial benefits, Long term benefits"
4,bookkeeper,,"June 10, 2024",Not specified,,,,"June 10, 2024",Daniel Cagulada Professional Corporation,Calgary (AB),Salary: $29.50 hourly,9316979463,https://ca.indeed.com/viewjob?jk=1306afaab1e94dd4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 29.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9316979463,Not specified
5,bookkeeper,Title posted on indeed.com -Bookkeeper - Part Time,"June 11, 2024",Not specified,,,,"June 11, 2024",Recharge Sports Therapy Inc,Winnipeg (MB),Salary: $19.68 hourly,9318682805,https://ca.indeed.com/viewjob?jk=f67d4f67ef7bf84c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 19.68 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9318682805,Not specified
6,bookkeeper,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Keeza Enterprise Inc,Moncton (NB),Salary: $20.00 hourly,2956388,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Moncton , NB",$ 20.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956388,Not specified
7,bookkeeper,,"May 31, 2024",Not specified,,,,"May 31, 2024",SaleSpider Media,North York (ON),Salary: $26.00 to $30.00 hourly,9302351683,https://ca.indeed.com/viewjob?jk=4b0a5cd9a1e0b582&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 26.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9302351683,Not specified
8,bookkeeper,,"June 05, 2024",2024-06-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",HELPART HR INC.,Etobicoke (ON),Salary: $28.50 hourly,2947677,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Bonus', 'Commission', 'Free parking available', 'On-site amenities', 'Other benefits', 'Paid time off (volunteering or personal days)', 'Parking available']}","Etobicoke , ON",$ 28.50 HOUR hourly / 65 hours bi-weekly,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947677,In-house position at the agency
9,bookkeeper,,"June 12, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Chucks Roadhouse Bar & Grill,Waterloo (ON),Salary: $25.50 to $26.00 hourly (to be negotiated),2958676,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Waterloo , ON",$ 25.50 to $ 26.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958676,Not specified
10,bookkeeper,Title posted on indeed.com -Full Cycle Bookkeeper,"June 06, 2024",Not specified,,,,"June 06, 2024",It's Your Time Business Services Inc,Edmonton (AB),"Salary: $55,000.00 to $60,000.00 annually",9311935641,https://ca.indeed.com/viewjob?jk=acab23bde6b6061e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 55,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9311935641,Not specified
11,bookkeeper,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",1213269 BC Ltd.,Surrey (BC),Salary: $28.85 hourly,2957165,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 28.85 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957165,"Day, Evening, Morning"
12,bookkeeper,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",0956111 BC Ltd.,Surrey (BC),Salary: $28.85 hourly,2957136,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 28.85 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957136,"Day, Evening, Morning"
