,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,carpenter,,"June 18, 2024",2024-07-04,,,,"June 18, 2024",Carpenters Regional Council,Southey (SK),Salary: Journeyman Rate: $33.26/hr,1354381,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1354381,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Southey , SK",$ 33.26 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1354381,Not specified
1,carpenter,,"June 17, 2024",Not specified,,,,"June 17, 2024",South Muskoka Building Company Inc.,Bracebridge (ON),Salary: $28.00 to $40.00 hourly,9327099264,https://ca.indeed.com/viewjob?jk=6348669ac33eb765&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bracebridge , ON",$ 28.00 to $ 40.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9327099264,Not specified
2,carpenter,Title posted on indeed.com -Formwork Carpenter,"June 11, 2024",Not specified,,,,"June 11, 2024",New Rhodes Construction Inc.,Maple Ridge (BC),"Salary: $95,000.00 to $110,000.00 annually",9318832151,https://ca.indeed.com/viewjob?jk=749ca632f1a0345d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Maple Ridge , BC","$ 95,000 to $ 110,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9318832151,Not specified
3,apprentice carpenter,,"June 13, 2024",Not specified,,,,"June 13, 2024",GH Construction Ltd.,Edmonton (AB),Salary: $18.07 to $33.93 hourly,9322082421,https://ca.indeed.com/viewjob?jk=90702c4cad315e5a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",$ 18.07 to $ 33.93 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9322082421,Not specified
4,carpenter,,"June 18, 2024",Not specified,,,,"June 18, 2024",Rafat General Contractor Inc.,Toronto (ON),Salary not available,9327853409,https://ca.indeed.com/viewjob?jk=8cc813a156cc139d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9327853409,Not specified
5,carpenter,,"June 20, 2024",Not specified,,,,"June 20, 2024",Spoenlein Construction,Sydney (NS),Salary: $19.00 to $30.00 hourly,9332057263,https://ca.indeed.com/viewjob?jk=29c735446e2c5e6d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sydney , NS",$ 19.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9332057263,Not specified
6,carpenter,,"June 17, 2024",Not specified,,,,"June 17, 2024",Chase Valley Construction Group,Penticton (BC),Salary: $20.00 to $35.00 hourly,9326649170,https://ca.indeed.com/viewjob?jk=d4758929f571852b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Penticton , BC",$ 20.00 to $ 35.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326649170,Not specified
7,carpenter,,"June 11, 2024",Not specified,,,,"June 11, 2024",Precision Construction,Peterborough (ON),Salary: $28.00 to $33.00 hourly,9318737125,https://ca.indeed.com/viewjob?jk=429ed74749f7cc12&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Peterborough , ON",$ 28.00 to $ 33.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318737125,Not specified
8,carpenter,,"June 19, 2024",Not specified,,,,"June 19, 2024",WINMAR Avalon,St. John's (NL),Salary: $20.00 to $27.00 hourly,9329576363,https://ca.indeed.com/viewjob?jk=8a25f168843c2847&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL",$ 20.00 to $ 27.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329576363,Not specified
9,carpenter lead hand,Title posted on indeed.com -Carpenter   Lead Hand,"June 17, 2024",Not specified,,,,"June 17, 2024",Kerr Properties Ltd.,Langley (BC),Salary: $30.00 to $35.00 hourly,9326965556,https://ca.indeed.com/viewjob?jk=3d6d67ab3e03af5b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 30.00 to $ 35.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326965556,Not specified
