,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,construction labourer,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Eberle Construction Ltd,Prince George (BC),Salary: $20.00 to $25.00 hourly (to be negotiated),2968705,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Travel insurance']}","Prince George , BC",$ 20.00 to $ 25.00 HOUR hourly (To be negotiated) / 80 to 100 hours bi-weekly,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968705,"Benefits:
					Health benefits, Other benefits"
1,construction helper,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Jass Rai Construction Ltd,Prince George (BC),Salary: $23.00 hourly,2961190,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","7116 Eugene Rd Prince George , BC V2N 5P6",$ 23.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2961190,Not specified
2,construction labourer and helper,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",KPSM Contracting Ltd.,Prince George (BC),Salary: $18.00 to $20.00 hourly (to be negotiated),2966138,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Parking available']}","Prince George , BC On the road job",$ 18.00 to $ 20.00 HOUR hourly (To be negotiated) / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,3,Job Bank #2966138,"Benefits:
					Other benefits"
3,general construction labourer,,"May 30, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 30, 2024",Ponath Management services ltd,Prince George (BC),Salary: $23.00 to $24.00 hourly (to be negotiated),2940434,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Prince George , BC",$ 23.00 to $ 24.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,4,Job Bank #2940434,Day
4,construction estimator,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Jass Rai Construction Ltd,Prince George (BC),Salary: $38.50 hourly,2961188,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","7116 Eugene Rd Prince George , BC V2N 5P6",$ 38.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2961188,Not specified
5,carpenter lead hand,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Eberle Construction Ltd,Prince George (BC),Salary: $32.00 to $37.00 hourly (to be negotiated),2968650,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)']}","Prince George , BC",$ 32.00 to $ 37.00 HOUR hourly (To be negotiated) / 70 to 100 hours bi-weekly,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968650,"Benefits:
					Health benefits, Financial benefits"
6,carpenter,,"June 12, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Dean Wood Construction Ltd,Prince George (BC),Salary: $23.00 hourly,2958180,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Prince George , BC",$ 23.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958180,"Evening, Morning"
7,electrician,,"June 12, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",MWatt Electric Inc,Prince George (BC),Salary: $38.00 to $43.00 hourly (to be negotiated),2954599,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Transportation provided by employer', 'Variable or compressed work week']}","Prince George , BC",$ 38.00 to $ 43.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954599,"Benefits:
					Health benefits, Other benefits"
8,apprentice carpenter,Title posted on indeed.com -Carpenter Apprentice,"June 23, 2024",Not specified,,,,"June 23, 2024",W.A.J. Construction and Renovation INC.,Prince George (BC),Salary: $25.00 to $32.00 hourly,9334889095,https://ca.indeed.com/viewjob?jk=d6d36fa04d8df5f1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince George , BC",$ 25.00 to $ 32.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334889095,Not specified
9,cabinetmaker's helper,,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",Onyx Stones & Custom Cabinets Ltd.,Prince George (BC),Salary: $22.00 hourly,2945425,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Prince George , BC",$ 22.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2945425,"Day, Evening, Morning"
