,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,database administrator (DBA),,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",Logilink Solutions Inc.,Brampton (ON),Salary: $43.00 hourly,2926714,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 43.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2926714,Not specified
1,database administrator (DBA),Title posted on Monster -Database Administrator - MSSQL,"June 10, 2024",2024-07-11,,,,"June 10, 2024",Proviso Consulting,Toronto (ON),Salary not available,12088,https://job-openings.monster.ca/database-administrator-–-mssql-toronto-on-ca-proviso-consulting/7b62aa1d-2fa9-43aa-9122-889da9e8c0ab?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #12088,Not specified
2,DBA (database administrator),,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",HEROISTIC SOFTWARE CONSULTING GROUP LTD.,Surrey (BC),Salary: $37.00 hourly,2952281,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Surrey , BC",$ 37.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2952281,Not specified
3,database administrator (DBA),"Title posted on Monster -Database Administrator 3 - 3 - Toronto, ON","June 12, 2024",2024-07-13,,,,"June 12, 2024",EmergiTel Inc,Toronto (ON),Salary not available,16470802,https://job-openings.monster.ca/database-administrator-3-19003-toronto-on-toronto-on-ca-emergitel-inc/c28ec604-af5d-4e90-bd78-309fb55ae96a?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #16470802,Not specified
4,database administrator (DBA),,"May 21, 2024",2024-06-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 21, 2024",SALES CANNER,Medicine Hat (AB),Salary: $42.00 hourly,2926911,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Medicine Hat , AB",$ 42.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2926911,Not specified
5,database administrator (DBA),Title posted on Monster -AWS Aurora Postgres Database Administrator,"June 13, 2024",2024-07-14,,,,"June 13, 2024","J&M Group, Inc",Toronto (ON),Salary not available,24-01373-2282-1,https://job-openings.monster.ca/aws-aurora-postgres-database-administrator-toronto-on-ca-j-m-group-inc/46551c0b-23f2-4b64-8be5-e00e7ec3b0f0?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-01373-2282-1,Not specified
6,DBA (database administrator),,"May 23, 2024",2024-06-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 23, 2024",1372677 B.C. LTD.,Abbotsford (BC),Salary: $50.00 hourly,2930976,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Abbotsford , BC",$ 50.00 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2930976,Not specified
7,database administrator (DBA),Title posted on Monster -Sr. Oracle DBA,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Diverse Lynx,Toronto (ON),Salary not available,24-20997-571-2,https://job-openings.monster.ca/sr-oracle-dba-toronto-on-ca-diverse-lynx/fba6b662-a3a4-4e1a-b056-1e69f9a3d4d9?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-20997-571-2,Not specified
8,database administrator (DBA),Title posted on Monster -Oracle DBA,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Epsilon Solutions LTD,Montréal (QC),Salary not available,24-00868-2304-1,https://job-openings.monster.ca/oracle-dba-montreal-qc-ca-epsilon-solutions-ltd/f04e0422-fe39-4786-9354-91b52fa45a47?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00868-2304-1,Not specified
9,DBA (database administrator),,"March 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",CHOHAN GROUP LTD,Edmonton (AB),Salary: $43.50 hourly,2825208,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 43.50 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2825208,Not specified
10,database administrator (DBA),Title posted on Monster -Database Administrator - Intermediate,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Capleo Global,Toronto (ON),Salary not available,24-87982-1400-1,https://job-openings.monster.ca/database-administrator-intermediate-toronto-on-ca-capleo-global/55e13902-7ca3-415e-8a26-ed25a464b46c?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-87982-1400-1,Not specified
11,database administrator (DBA),Title posted on CivicJobs.ca -Database Administrator,"May 30, 2024",2024-06-29,,,,"May 30, 2024",City of Burnaby,Burnaby (BC),"Salary: $106,170.00 annually",94973,https://www.civicjobs.ca/jobs?id=94973,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC","$ 106,170 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94973,Not specified
12,database administrator (DBA),,"April 01, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 01, 2024",14320425 CANADA CORPORATION,Lethbridge (AB),Salary: $42.50 hourly,2860780,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Lethbridge , AB",$ 42.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2860780,Not specified
13,database administrator (DBA),,"April 25, 2024",2024-06-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 25, 2024",DILIGENT TECHNICAL  SERVICES LTD,Edmonton (AB),Salary: $42.00 hourly,2894410,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","7923 Coronet Road NW Edmonton , AB T6E 4N7",$ 42.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2894410,Not specified
14,database administrator (DBA),,"April 22, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 22, 2024",KDigitalLabs INC,Toronto (ON),Salary: $43.00 hourly,2889405,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Toronto , ON",$ 43.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2889405,Not specified
15,database administrator (DBA),,"March 05, 2024",2024-06-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",APS Tech Corp,Ajax (ON),Salary: $43.00 hourly,2822265,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Ajax , ON",$ 43.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2822265,Not specified
16,database administrator (DBA),Title posted on Monster -Oracle DBA,"June 13, 2024",2024-07-14,,,,"June 13, 2024","J&M Group, Inc",Toronto (ON),Salary not available,24-01483-2282-1,https://job-openings.monster.ca/oracle-dba-toronto-on-ca-j-m-group-inc/685b00a5-9258-44c4-952a-a2d57b8fca0f?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-01483-2282-1,Not specified
17,database administrator (DBA),,"February 18, 2024",2024-06-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 18, 2024",Delta Shutters Inc.,Mississauga (ON),Salary: $42.00 hourly,2802684,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 42.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-05-20,1 vacancy,Job Bank #2802684,Not specified
18,DBA (database administrator),,"March 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",AG Marketing & Development Group Inc,Mississauga (ON),Salary: $43.00 hourly,2823665,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Mississauga , ON",$ 43.00 HOUR hourly / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2823665,"Evening, Shift, Flexible Hours, Morning"
19,database administrator (DBA),Title posted on Monster -Database Administrator - Application   Senior,"June 13, 2024",2024-07-14,,,,"June 13, 2024","J&M Group, Inc",Mississauga (ON),Salary not available,24-00872-2282-1,https://job-openings.monster.ca/database-administrator-application-senior-mississauga-on-ca-j-m-group-inc/a21e818f-96c3-4bb4-9406-39d5381c48fc?mescoid=1500130001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00872-2282-1,Not specified
20,database administrator (DBA),,"February 27, 2024",2024-06-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 27, 2024",Raven Force Couriers Inc.,Delta (BC),Salary: $40.50 hourly,2815633,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1538 Cliveden Ave Delta , BC V3M 6J8",$ 40.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2815633,"Day, Morning"
21,database administrator (DBA),,"April 18, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",CanAxis Immigration Solutions Inc.,Brampton (ON),Salary: $43.00 hourly,2883800,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 43.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2883800,Not specified
22,"administrator, database",,"April 23, 2024",2024-06-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 23, 2024",ENOVE SYSTEMS & E-COMMERCIAL,Edmonton (AB),Salary: $42.00 hourly,2891382,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","6744 - 99 Street Edmonton , AB T6E 5B8",$ 42.00 HOUR hourly / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2891382,"Day, Shift, Morning"
23,database administrator (DBA),,"April 25, 2024",2024-06-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 25, 2024",Canadian Systems Inc.,Etobicoke (ON),Salary: $42.56 hourly,2893776,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Etobicoke , ON",$ 42.56 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2893776,"Day, Evening, Weekend, Shift, Overtime, On Call, Flexible Hours, Early Morning, Morning"
24,database administrator (DBA),,"February 23, 2024",2024-06-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 23, 2024",Explorer Group Canada Ltd.,Edmonton (AB),Salary: $43.27 hourly,2809484,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Edmonton , AB",$ 43.27 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2809484,"Day, Evening, Weekend, Morning"
25,DBA (database administrator),,"March 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",CHOHAN GROUP LTD,Edmonton (AB),Salary: $43.50 hourly,2825208,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 43.50 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2825208,Not specified
26,database administrator (DBA),,"May 21, 2024",2024-06-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 21, 2024",SALES CANNER,Medicine Hat (AB),Salary: $42.00 hourly,2926911,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Medicine Hat , AB",$ 42.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2926911,Not specified
27,DBA (database administrator),,"May 23, 2024",2024-06-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 23, 2024",1372677 B.C. LTD.,Abbotsford (BC),Salary: $50.00 hourly,2930976,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Abbotsford , BC",$ 50.00 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2930976,Not specified
28,database administrator (DBA),,"April 18, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",CanAxis Immigration Solutions Inc.,Brampton (ON),Salary: $43.00 hourly,2883800,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 43.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2883800,Not specified
29,database administrator (DBA),,"February 18, 2024",2024-06-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 18, 2024",Delta Shutters Inc.,Mississauga (ON),Salary: $42.00 hourly,2802684,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 42.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-05-20,1 vacancy,Job Bank #2802684,Not specified
30,database administrator (DBA),,"April 22, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 22, 2024",KDigitalLabs INC,Toronto (ON),Salary: $43.00 hourly,2889405,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Toronto , ON",$ 43.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2889405,Not specified
31,database administrator (DBA),,"March 05, 2024",2024-06-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",APS Tech Corp,Ajax (ON),Salary: $43.00 hourly,2822265,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Ajax , ON",$ 43.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2822265,Not specified
32,database administrator (DBA),,"April 25, 2024",2024-06-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 25, 2024",DILIGENT TECHNICAL  SERVICES LTD,Edmonton (AB),Salary: $42.00 hourly,2894410,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","7923 Coronet Road NW Edmonton , AB T6E 4N7",$ 42.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2894410,Not specified
