,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,digital marketing specialist,,"June 14, 2024",Not specified,,,,"June 14, 2024",Imprint Plus,Richmond (BC),Salary: $24.00 to $28.00 hourly,9324166877,https://ca.indeed.com/viewjob?jk=b6d5c89e472bcc5c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",$ 24.00 to $ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9324166877,Not specified
1,digital marketing specialist,,"June 05, 2024",Not specified,,,,"June 05, 2024",MDT Sporting Goods Ltd.,Chilliwack (BC),"Salary: $60,000.00 to $80,000.00 annually",9310636823,https://ca.indeed.com/viewjob?jk=0d6e217dba675c80&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC","$ 60,000 to $ 80,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9310636823,Not specified
2,digital marketing specialist,,"June 07, 2024",Not specified,,,,"June 07, 2024",Delta Water Products,Chilliwack (BC),"Salary: $50,000.00 to $60,000.00 annually",9313920326,https://ca.indeed.com/viewjob?jk=7402257d890f927f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC","$ 50,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9313920326,Not specified
3,digital marketing specialist,Title posted on indeed.com -SEO & Digital Marketing Specialist,"June 17, 2024",Not specified,,,,"June 17, 2024",Our Invisible Empire,Calgary (AB),Salary: $21.00 to $25.00 hourly,9326531161,https://ca.indeed.com/viewjob?jk=2dead95aa7a76c6a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 21.00 to $ 25.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9326531161,Not specified
4,digital marketing specialist,,"June 19, 2024",Not specified,,,,"June 19, 2024",Talent Mine Inc,North York (ON),"Salary: $55,000.00 to $60,000.00 annually",9329830763,https://ca.indeed.com/viewjob?jk=1ed0919e861f5d68&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON","$ 55,000 to $ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329830763,Not specified
5,digital marketing specialist,,"June 01, 2024",Not specified,,,,"June 01, 2024",Crime Stoppers of Niagara,St. Catharines (ON),Salary: $24.04 hourly,9305176318,https://ca.indeed.com/viewjob?jk=02a03c505e2cf301&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Catharines , ON",$ 24.04 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9305176318,Not specified
6,digital marketing specialist,,"June 09, 2024",Not specified,,,,"June 09, 2024",Brand Guruz,Toronto (ON),Salary: $17.00 to $22.00 hourly,9315536094,https://ca.indeed.com/viewjob?jk=f196ee938ac6a984&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 17.00 to $ 22.00 HOUR hourly,Casual employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9315536094,Not specified
7,digital marketing specialist,,"June 14, 2024",Not specified,,,,"June 14, 2024",Accuenergy (Canada) Inc.,Scarborough (ON),Salary not available,9324038267,https://ca.indeed.com/viewjob?jk=aaa33b5c66e3854d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9324038267,Not specified
8,digital marketing specialist,,"June 20, 2024",Not specified,,,,"June 20, 2024",Sekanskin,Mississauga (ON),Salary: $20.00 to $27.00 hourly,9331628982,https://ca.indeed.com/viewjob?jk=e808544b21cc4454&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 20.00 to $ 27.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9331628982,Not specified
9,digital marketing specialist,,"June 18, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Havas Canada Holdings Inc.,Vancouver (BC),"Salary: $87,500.00 annually",2965832,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Life insurance']}","Vancouver , BC","$ 87,500 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2965832,"Benefits:
					Health benefits, Financial benefits"
10,digital marketing specialist,,"June 03, 2024",Not specified,,,,"June 03, 2024",CPMT Medical,North York (ON),"Salary: $38,546.72 annually",9307352901,https://ca.indeed.com/viewjob?jk=3c618e2a4680ce2f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON","$ 38,546.72 YEAR annually",Part time,Starts as soon as possible,1 vacancy,indeed.com #9307352901,Not specified
11,digital marketing specialist,,"June 03, 2024",Not specified,,,,"June 03, 2024",CPMT Medical,North York (ON),Salary: $18.00 to $25.00 hourly,9307404663,https://ca.indeed.com/viewjob?jk=83424dae6387cc58&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 18.00 to $ 25.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9307404663,Not specified
