,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,electrician,,"June 17, 2024",Not specified,,,,"June 17, 2024",Limestone City Electrical,Kingston (ON),Salary: $25.00 to $44.14 hourly,9326571008,https://ca.indeed.com/viewjob?jk=dda5303a70494520&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kingston , ON",$ 25.00 to $ 44.14 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326571008,Not specified
1,electrician,,"June 17, 2024",Not specified,,,,"June 17, 2024",Walker ClimateCare,Cornwall (ON),Salary: $30.00 to $34.00 hourly,9326401658,https://ca.indeed.com/viewjob?jk=3e2979a7f3d1a931&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",$ 30.00 to $ 34.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326401658,Not specified
2,electrician,,"June 10, 2024",2024-07-11,,,,"June 10, 2024",J Dass,Vaughan (ON),Salary not available,EFM1EX6H,https://job-openings.monster.ca/electrician-vaughan-on-ca-j-dass/ae65ca1b-eeb2-4b2e-bc38-706ba55a61fb?mescoid=4700805001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vaughan , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #EFM1EX6H,Not specified
3,electrician,Title posted on Monster -Lead Power System Electrician (PSE),"June 20, 2024",2024-07-21,,,,"June 20, 2024",Spark Power,Calgary (AB),Salary not available,d23f3a6a1366f66839e8c12b5b16d8fa,https://job-openings.monster.ca/lead-power-system-electrician-pse-calgary-ab-ca-spark-power/a66420c0-c273-4b1f-874d-29beb11ac5d0?mescoid=4700805001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #d23f3a6a1366f66839e8c12b5b16d8fa,Not specified
4,electrician,Title posted on ZipRecruiter -Red Seal Electrician,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Media Resources,Richmond (BC),Salary not available,db3d6ad51,https://www.ziprecruiter.com/k/t/AAJlTUp20DI0T0BJItf9AtYt5r8lvZyob1Q8N6ZSYJ4gKAQIKNmHAjcCqNXejgNprjTfX3OM8QRgo2lqhz1fuBBmNhthQ_Sz9MnYhWP1j0aUKSppMa9zc60riZkbqh2aBkj4x4_o2daQRP-7dLvZ0u_4kQEsZflHP3rBgeAQAMDQ_rXHlSGMrD5YF5tX_755yqGBJ1P7_KbT6j-1FCPUPn9zT5NqlQVQvoZaRO0TcGBW08NffqBMP5gbuTm64fdhERQyDm2LK8uAmo3k27mwz5nEubXJuXyj6xAr5_RzP45W5FVD3A,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #db3d6ad51,Not specified
5,electrician,Title posted on ZipRecruiter -Service Electrician,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Ridgewood Electric,Mississauga (ON),Salary: $61.89 hourly,bcd1e62315,https://www.ziprecruiter.com/k/t/AAJ0jrfpIYiN1WlWiPftU0ePpk29SCTwTArgY6TxV3W5iMWlSpQ77d2D8gFKySoFYFvsmktu9BelYdRQBemmaYhHacc_0scS_IcF9Entoc6RGfP6ala-SsKeFQXU-11zshZT60GnFHdG9neT-U9vhvhMyuetJuXISLcalAIh3pxk75KlqOJsNZKsH3Fx0vDn3xca6jui4rvJjl8Ixji61YPczV7ZP244-gWqMzf5av5rn3jvt7RNTa4jv4g0P5RbUUCqYj2-wCevZtx3Uju3Ct7tyVaGNfkHU1ljes98ni1mMaBHiMhThA,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 61.89 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #bcd1e62315,Not specified
6,electrician,Title posted on Monster -High Voltage Electrician,"June 22, 2024",2024-07-23,,,,"June 22, 2024",Spark Power,Belleville (ON),Salary not available,179d0a27d2ffca5f3c09fa2ee71b650c,https://job-openings.monster.ca/high-voltage-electrician-belleville-on-ca-spark-power/0a14d991-37f9-4da0-83ae-31baf8cd0878?mescoid=4700805001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Belleville , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #179d0a27d2ffca5f3c09fa2ee71b650c,Not specified
7,electrician,Title posted on Monster -Electrician -- Journeyman,"June 21, 2024",2024-07-22,,,,"June 21, 2024",IHM Mechanical,Vancouver (BC),Salary not available,815420,https://job-openings.monster.ca/electrician-journeyman-vancouver-bc-ca-ihm-mechanical/d6661852-5a2d-44fe-bdf4-524fa50353d2?mescoid=4700805001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #815420,Not specified
8,electrician,Title posted on Monster -Electrician -- Journeyman,"June 21, 2024",2024-07-22,,,,"June 21, 2024",IHM Mechanical,Burnaby (BC),Salary not available,815410,https://job-openings.monster.ca/electrician-journeyman-burnaby-bc-ca-ihm-mechanical/d8849b18-3b41-4bfa-b5d2-ed135f115491?mescoid=4700805001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #815410,Not specified
9,electrician,Title posted on Monster -Journeyperson Electrician,"June 21, 2024",2024-07-22,,,,"June 21, 2024",Maple Reinders,Victoria (BC),Salary not available,46affb718e3449d2835bbde3e8aa4328,https://job-openings.monster.ca/journeyperson-electrician-victoria-bc-ca-maple-reinders/6fa32e39-43dc-4497-a598-f39fe5645789?mescoid=4700799001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #46affb718e3449d2835bbde3e8aa4328,Not specified
10,electrician,,"June 19, 2024",Not specified,,,,"June 19, 2024",Mandev Construction Inc.,Scarborough (ON),Salary not available,9329960782,https://ca.indeed.com/viewjob?jk=79b686e635bd84b1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9329960782,Not specified
11,electrician,Title posted on indeed.com -Licenced Electrician,"June 23, 2024",Not specified,,,,"June 23, 2024",Paul Claessens Electric Inc.,Ingersoll (ON),Salary not available,9334610114,https://ca.indeed.com/viewjob?jk=55fcbb0fcc317a67&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ingersoll , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9334610114,Not specified
12,electrician,Title posted on indeed.com -Licensed Electrician,"June 18, 2024",Not specified,,,,"June 18, 2024",Jory Electric Ltd.,Toronto (ON),Salary: $32.00 to $40.00 hourly,9327807540,https://ca.indeed.com/viewjob?jk=74f90d9fbdd7478a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 32.00 to $ 40.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9327807540,Not specified
