,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,home support worker,"June 14, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Elite Home Care Ltd.,St. John's (NL),Salary: $17.73 hourly,2960647,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","St. John's , NL",$ 17.73 HOUR hourly / 31.5 hours per week,Casual employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960647,Day
1,truck driver,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",L.S. Carriers,Edmonton (AB),Salary: $28.00 hourly,2960644,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","451 - 42 Avenue NW Edmonton , AB T6T 2G1",$ 28.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,4,Job Bank #2960644,"Day, Evening, Weekend, Overtime, On Call, Early Morning, Morning"
2,cook,"June 14, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Momos N Wok,Brampton (ON),Salary: $18.00 to $20.00 hourly (to be negotiated),2960645,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Free parking available', 'On-site amenities']}","Brampton , ON",$ 18.00 to $ 20.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960645,"Benefits:
					Other benefits"
3,food service supervisor,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",956609 Alberta Ltd. O/A Subway St. Albert,Edmonton (AB),Salary: $18.65 hourly,2960643,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","11843 St Albert Trail Edmonton , AB T5L 5B5",$ 18.65 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960643,"Day, Evening, Night, Weekend, On Call, Flexible Hours, Early Morning, Morning"
4,kitchen helper,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",IN & OUT CONVENIENCE STORE,Winnipeg (MB),Salary: $15.30 hourly,2960639,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","2080 NESS AVENUE Winnipeg , MB R3J 0Z3",$ 15.30 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960639,"Day, Evening, Morning"
5,sandwich artist,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",SUBWAY,Surrey (BC),Salary: $17.40 hourly,2957286,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","2285-160th St Grandview Corners South Surrey , BC V4A 9N6",$ 17.40 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2957286,Not specified
6,sandwich artist,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",SUBWAY,Coquitlam (BC),Salary: $17.40 hourly,2957287,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","2929 Barnet Highway The Coquitlam Centre Coquitlam , BC V3B 5R5",$ 17.40 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2957287,Not specified
7,sandwich artist,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",SUBWAY,Vancouver (BC),Salary: $17.40 hourly,2957289,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","1162 ALBERNI STREET Vancouver , BC V6E 1A5",$ 17.40 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2957289,Not specified
8,food counter attendant,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Kwantlen Pizza Ltd,Surrey (BC),Salary: $17.40 hourly,2960637,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Surrey , BC",$ 17.40 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960637,Shift
9,store clerk,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",IN & OUT CONVENIENCE STORE,Winnipeg (MB),Salary: $15.30 hourly,2960636,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","2080 NESS AVENUE Winnipeg , MB R3J 0Z3",$ 15.30 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960636,"Day, Evening, Morning"
10,technical sales representative,"June 14, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Phoenix Marketing Solutions Inc.,Mississauga (ON),Salary: $35.50 to $37.00 hourly (to be negotiated),2960635,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 35.50 to $ 37.00 HOUR hourly (To be negotiated) / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960635,Shift
