,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,environmental engineer,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",360 ENGINEERING & ENVIRONMENTAL CONSULTING LTD,Fairview (AB),"Salary: $50,000.00 to $60,000.00 annually (to be negotiated)",2954216,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'On-site recreation and activities', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Variable or compressed work week', 'Wellness program']}","Fairview , AB","$ 50,000 to $ 60,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954216,"Benefits:
					Health benefits, Financial benefits, Other benefits"
1,environmental engineer,Title posted on indeed.com -INTERMEDIATE ENVIRONMENTAL ENGINEER   GEOSCIENTIST,"June 05, 2024",Not specified,,,,"June 05, 2024",Envirochem Services Inc.,North Vancouver (BC),"Salary: $80,000.00 to $110,000.00 annually",9310615267,https://ca.indeed.com/viewjob?jk=b84f66c21d2c3100&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Vancouver , BC","$ 80,000 to $ 110,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310615267,Not specified
2,environmental engineer,Title posted on CareerBeacon -Intermediate Environmental Engineer,"June 10, 2024",2024-07-10,,,,"June 10, 2024",Englobe Corp.,Fredericton (NB),Salary not available,1921016,https://www.careerbeacon.com/en/job/1921016/englobe-corp/intermediate-environmental-engineer/fredericton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1921016,Not specified
3,environmental engineer,Title posted on CareerBeacon -Senior Environmental Engineer,"June 05, 2024",2024-07-05,,,,"June 05, 2024",Englobe Corp.,Fredericton (NB),Salary not available,1920110,https://www.careerbeacon.com/en/job/1920110/englobe-corp/senior-environmental-engineer/fredericton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1920110,Not specified
4,environmental engineer,Title posted on CareerBeacon -Intermediate Environmental Engineer Professional,"June 09, 2024",2024-07-09,,,,"June 09, 2024",Englobe Corp.,Moncton (NB),Salary not available,1935458,https://www.careerbeacon.com/en/job/1935458/englobe-corp/intermediate-environmental-engineer-professional/moncton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moncton , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1935458,Not specified
5,environmental engineer,Title posted on CareerBeacon -Intermediate Environmental Engineer Professional,"June 09, 2024",2024-07-09,,,,"June 09, 2024",Englobe Corp.,Dartmouth (NS),Salary not available,1934797,https://www.careerbeacon.com/en/job/1934797/englobe-corp/intermediate-environmental-engineer-professional/dartmouth?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1934797,Not specified
6,environmental engineer,Title posted on indeed.com -Engineer - Environmental,"June 05, 2024",Not specified,,,,"June 05, 2024",J.L. Richards & Associates Ltd,Greater Sudbury (ON),"Salary: $85,000.00 to $160,000.00 annually",9310367466,https://ca.indeed.com/viewjob?jk=128b22bd2d28a99a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON","$ 85,000 to $ 160,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310367466,Not specified
7,environmental engineer,Title posted on CareerBeacon -Senior Environmental Engineer   Professional,"June 02, 2024",2024-07-02,,,,"June 02, 2024",Englobe Corp.,Dartmouth (NS),Salary not available,1932980,https://www.careerbeacon.com/en/job/1932980/englobe-corp/senior-environmental-engineer-professional/dartmouth?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1932980,Not specified
8,environmental engineer,Title posted on CareerBeacon -Senior Environmental Process Engineer,"June 05, 2024",2024-07-05,,,,"June 05, 2024",Englobe Corp.,Calgary (AB),Salary not available,2043900,https://www.careerbeacon.com/en/job/2043900/englobe-corp/senior-environmental-process-engineer/calgary?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2043900,Not specified
9,environmental engineer,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Minestar GP Ltd,Millet (AB),Salary: $50.00 hourly,2949017,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Free parking available', 'Other benefits']}","Millet , AB",$ 50.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2949017,"Benefits:
					Other benefits"
