,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,front desk agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",OAKSOO ENTERPRISES INC,Whitecourt (AB),Salary: $15.00 hourly,9336365228,https://ca.indeed.com/viewjob?jk=c4e27016133108a2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitecourt , AB",$ 15.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9336365228,Not specified
1,front desk agent,,"June 15, 2024",Not specified,,,,"June 15, 2024",Lakeview Hecla Resort,Winnipeg (MB),Salary: $16.00 to $16.50 hourly,9324610346,https://ca.indeed.com/viewjob?jk=d55f4353ef4b6b7c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 16.00 to $ 16.50 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9324610346,Not specified
2,hotel front desk clerk,,"May 29, 2024",2024-06-29,,,,"May 29, 2024",WESTWINDS MOTOR HOTEL,Biggar (SK),Salary: $15.50 Hourly,1355173,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355173,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Biggar , SK",$ 15.50 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355173,Not specified
3,front desk clerk (except hotel),,"June 07, 2024",2024-07-07,,,,"June 07, 2024",LANGENBURG COUNTRY INN MOTEL,Langenburg (SK),Salary not available,1357927,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1357927,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langenburg , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1357927,Not specified
4,front desk agent,,"June 17, 2024",Not specified,,,,"June 17, 2024",Rodd Brudenell Resort,Montague (PE),Salary: $17.50 hourly,9326737555,https://ca.indeed.com/viewjob?jk=c723e66de86624df&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montague , PE",$ 17.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326737555,Not specified
5,front desk agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",Norsemen Inn,Camrose (AB),Salary: $15.00 hourly,9335790514,https://ca.indeed.com/viewjob?jk=526c460e8dbf9efa&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Camrose , AB",$ 15.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335790514,Not specified
6,front desk agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",Norsemen Inn,Camrose (AB),Salary: $15.00 hourly,9335792051,https://ca.indeed.com/viewjob?jk=787a6ef90dbaa101&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Camrose , AB",$ 15.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335792051,Not specified
7,front desk agent,,"June 13, 2024",Not specified,,,,"June 13, 2024",Wingate by Wyndham,Lethbridge (AB),Salary: $15.00 hourly,9321915691,https://ca.indeed.com/viewjob?jk=481ed2f0e5dcdced&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lethbridge , AB",$ 15.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9321915691,Not specified
8,front desk agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",Parklane Hotel,Medicine Hat (AB),Salary not available,9335936430,https://ca.indeed.com/viewjob?jk=b7dbd06f18a37e66&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Medicine Hat , AB",Not available,Part time,Starts as soon as possible,1 vacancy,indeed.com #9335936430,Not specified
9,hotel front desk clerk,,"June 12, 2024",Not specified,,,,"June 12, 2024",Adventure The Bruce Inn,Tobermory (ON),Salary: $18.00 hourly,9319959681,https://ca.indeed.com/viewjob?jk=27fc12907caa2339&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Tobermory , ON",$ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9319959681,Not specified
10,front desk agent,,"June 17, 2024",Not specified,,,,"June 17, 2024",The Kanata Invermere,Invermere (BC),Salary: $19.00 to $20.00 hourly,9326997947,https://ca.indeed.com/viewjob?jk=1fd71ff60bee1f7e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Invermere , BC",$ 19.00 to $ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326997947,Not specified
11,front desk agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",The Windsor Hotel,Stratford (ON),Salary: $17.50 to $18.50 hourly,9335728959,https://ca.indeed.com/viewjob?jk=a9ae9e3511dba420&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stratford , ON",$ 17.50 to $ 18.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9335728959,Not specified
12,front desk agent,,"May 29, 2024",Not specified,,,,"May 29, 2024",Howard Johnson Winnipeg West,Winnipeg (MB),Salary: $15.30 hourly,9299463312,https://ca.indeed.com/viewjob?jk=e2afd7bca59b966e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 15.30 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9299463312,Not specified
13,front desk agent,,"June 22, 2024",2024-06-30,,,,"June 22, 2024",Grant Hall Hotel,Moose Jaw (SK),Salary not available,1360393,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1360393,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moose Jaw , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1360393,Not specified
14,front desk agent,,"June 05, 2024",Not specified,,,,"June 05, 2024",Days Inn & Conference Center,Bridgewater (NS),Salary: $16.00 hourly,9310741219,https://ca.indeed.com/viewjob?jk=384b7c239af8d10f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bridgewater , NS",$ 16.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310741219,Not specified
15,front desk agent,,"June 11, 2024",Not specified,,,,"June 11, 2024",LIMEN,Maple Ridge (BC),Salary: $24.00 to $30.00 hourly,9318454181,https://ca.indeed.com/viewjob?jk=824d7f6108b82b34&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Maple Ridge , BC",$ 24.00 to $ 30.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318454181,Not specified
16,front desk agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",Blackbush,Tracadie (PE),Salary: $16.00 to $18.00 hourly,9335780839,https://ca.indeed.com/viewjob?jk=f66e2fc57e92b94c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Tracadie , PE",$ 16.00 to $ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9335780839,Not specified
17,front desk agent,Title posted on indeed.com -Part Time Front Desk Agent,"June 17, 2024",Not specified,,,,"June 17, 2024",INNhotels,Grande Cache (AB),Salary: $18.00 hourly,9326445903,https://ca.indeed.com/viewjob?jk=b92ab534d9891c82&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grande Cache , AB",$ 18.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9326445903,Not specified
18,front desk agent,,"June 21, 2024",Not specified,,,,"June 21, 2024",Ramada Fallsview,Niagara Falls (ON),Salary: $17.00 to $18.00 hourly,9333082493,https://ca.indeed.com/viewjob?jk=dcac6db94b8bd231&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Niagara Falls , ON",$ 17.00 to $ 18.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333082493,Not specified
19,front desk agent,,"June 18, 2024",Not specified,,,,"June 18, 2024",No Limits Fitness,Kamloops (BC),Salary: $17.40 hourly,9328164650,https://ca.indeed.com/viewjob?jk=ac4c62c73ab0f877&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kamloops , BC",$ 17.40 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9328164650,Not specified
20,front desk agent,Title posted on indeed.com -Part-Time Front Desk Agent,"June 20, 2024",Not specified,,,,"June 20, 2024",Home Inn & Suites Swift Current,Swift Current (SK),Salary not available,9331378156,https://ca.indeed.com/viewjob?jk=681525f47eaf98e4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9331378156,Not specified
21,front desk agent,,"June 15, 2024",Not specified,,,,"June 15, 2024",Ramada Plaza Niagara Falls,Niagara Falls (ON),Salary: $16.55 to $17.00 hourly,9324727072,https://ca.indeed.com/viewjob?jk=dcef6915fa4d174f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Niagara Falls , ON",$ 16.55 to $ 17.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9324727072,Not specified
22,front desk agent,,"June 12, 2024",Not specified,,,,"June 12, 2024",Grand Tappattoo Resort,Parry Sound (ON),Salary: $16.85 hourly,9320215520,https://ca.indeed.com/viewjob?jk=8d63f7f91a9d99eb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Parry Sound , ON",$ 16.85 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320215520,Not specified
23,front desk agent,,"June 20, 2024",Not specified,,,,"June 20, 2024",Ramada by Wyndham,Campbell River (BC),Salary: $17.40 to $18.50 hourly,9331498048,https://ca.indeed.com/viewjob?jk=debc05bd4b918780&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Campbell River , BC",$ 17.40 to $ 18.50 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9331498048,Not specified
24,front desk agent,,"June 20, 2024",Not specified,,,,"June 20, 2024",Georgian Court Hotel,Vancouver (BC),Salary: $22.00 to $23.00 hourly,9331448001,https://ca.indeed.com/viewjob?jk=79d1767d1c3e4add&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 22.00 to $ 23.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9331448001,Not specified
25,hotel front desk clerk,,"June 05, 2024",2024-06-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Sundown Motel,Watrous (SK),Salary: $15.50 hourly,2948315,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Watrous , SK",$ 15.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2948315,"Day, Evening, Weekend, Overtime, Morning"
26,hotel front desk clerk,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",KP Group Ventures Ltd.,Moosomin (SK),Salary: $14.50 to $17.50 hourly (to be negotiated),2948253,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Moosomin , SK",$ 14.50 to $ 17.50 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,3,Job Bank #2948253,Not specified
27,"front desk clerk, hotel",,"June 04, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",Super 8 Three Hills by Wyndham,Three Hills (AB),Salary: $16.00 hourly,2939857,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Bonus', 'Other benefits']}","Three Hills , AB",$ 16.00 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as 2024-09-03,2,Job Bank #2939857,"Benefits:
					Financial benefits, Other benefits"
