,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"engineer, geotechnical",Title posted on indeed.com -Geotechnical Engineer,"June 20, 2024",Not specified,,,,"June 20, 2024",Mirrai Marketing Group,Abbotsford (BC),"Salary: $70,000.00 annually",9332329453,https://ca.indeed.com/viewjob?jk=0c70e7a995cb20dc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC","$ 70,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9332329453,Not specified
1,"engineer, geotechnical",Title posted on indeed.com -Geotechnical Engineer,"June 18, 2024",Not specified,,,,"June 18, 2024",Thiess Mining USA Inc.,Greater Sudbury (ON),"Salary: $95,204.00 to $117,000.00 annually",9328140146,https://ca.indeed.com/viewjob?jk=24fdd34f01703445&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON","$ 95,204 to $ 117,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9328140146,Not specified
2,"engineer, geotechnical",Title posted on indeed.com -Geotechnical Engineer,"May 30, 2024",Not specified,,,,"May 30, 2024",Evertek Engineering,Abbotsford (BC),"Salary: $90,000.00 to $100,000.00 annually",9301014076,https://ca.indeed.com/viewjob?jk=f6c5be7a3dfe9812&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC","$ 90,000 to $ 100,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9301014076,Not specified
3,geotechnical engineer,Title posted on CareerBeacon -Senior Geotechnical Engineer,"June 02, 2024",2024-07-02,,,,"June 02, 2024",Englobe Corp.,Edmonton (AB),Salary not available,1990905,https://www.careerbeacon.com/en/job/1990905/englobe-corp/senior-geotechnical-engineer/edmonton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1990905,Not specified
4,"engineer, geotechnical",,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Menard Canada Inc.,Vancouver (BC),"Salary: $130,000.00 annually",2950203,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Mileage paid', 'Registered Retirement Savings Plan (RRSP)', 'Stocks/shares', 'Deferred Profit Sharing Plan (DPSP)', 'Learning/training paid by employer', 'Paid time off (volunteering or personal days)', 'Subsidised public transportation', 'Team building opportunities', 'Parking available', 'Travel insurance', 'Wellness program']}","1200 West 73rd Avenue suite Suite 520 Vancouver , BC V6P 6G5","$ 130,000 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950203,"Benefits:
					Health benefits, Financial benefits, Other benefits"
5,geotechnical engineer,,"April 23, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 23, 2024",Klohn Crippen Berger,Calgary (AB),"Salary: $80,000.00 to $110,000.00 annually (to be negotiated)",2890981,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Registered Retirement Savings Plan (RRSP)']}","Calgary , AB","$ 80,000 to $ 110,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2890981,"Benefits:
					Health benefits, Financial benefits"
6,geotechnical engineer,,"April 23, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 23, 2024",Klohn Crippen Berger,Saskatoon (SK),"Salary: $80,000.00 to $110,000.00 annually (to be negotiated)",2890976,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Registered Retirement Savings Plan (RRSP)']}","Saskatoon , SK","$ 80,000 to $ 110,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2890976,"Benefits:
					Health benefits, Financial benefits"
7,"engineer, geotechnical",Title posted on Jobillico -Technician - Geotechnical in Montreal,"June 03, 2024",2024-07-02,,,,"June 03, 2024",Nvira,Saint-Laurent (QC),Salary not available,11108295,https://www.jobillico.com/en/job-offer/nvira/technician-geotechnical-in-montreal/11108295?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #11108295,Not specified
8,geotechnical engineer,,"June 08, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 08, 2024",FCS Can,Surrey (BC),Salary: $35.00 to $55.00 hourly (to be negotiated),2952626,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'As per collective agreement', 'Free parking available', 'On-site amenities', 'Variable or compressed work week']}","Surrey , BC",$ 35.00 to $ 55.00 HOUR hourly (To be negotiated) / 30 to 45 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2952626,"Benefits:
					Health benefits, Financial benefits, Other benefits"
9,"engineer, geotechnical",,"June 18, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",BC Hydro,Vernon (BC),"Salary: $107,000.00 to $135,300.00 annually (to be negotiated)",2964494,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': []}","Vernon , BC Remote work available","$ 107,000 to $ 135,300 YEAR annually (To be negotiated) / 37.5 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2964494,Not specified
