,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,human resources co-ordinator,,"June 23, 2024",2024-07-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 23, 2024",Elite Commercial Appraisers Inc.,Edmonton (AB),Salary: $33.46 hourly,2971981,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","2858 Calgary Trail NW Edmonton , AB T6J 6V7",$ 33.46 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971981,Day
1,human resources coordinator,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",JUTT MANAGEMENT INC.,Edmonton (AB),Salary: $37.44 hourly,2956290,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","15303-73A ST Edmonton , AB T5Z 2X9",$ 37.44 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956290,Day
2,human resources coordinator,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",HLT Construction Ltd,Kelowna (BC),Salary: $39.00 to $41.00 hourly (to be negotiated),2963611,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Kelowna , BC",$ 39.00 to $ 41.00 HOUR hourly (To be negotiated) / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2963611,Not specified
3,human resources coordinator,,"June 07, 2024",2024-06-28,,,,"June 07, 2024",Saskatchewan Polytechnic,Regina (SK),Salary not available,1358003,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358003,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1358003,Not specified
4,human resources coordinator,,"June 07, 2024",2024-06-28,,,,"June 07, 2024",Saskatchewan Polytechnic,Prince Albert (SK),Salary not available,1358002,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358002,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince Albert , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1358002,Not specified
5,human resources coordinator,,"June 07, 2024",2024-06-28,,,,"June 07, 2024",Saskatchewan Polytechnic,Moose Jaw (SK),Salary not available,1358001,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moose Jaw , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1358001,Not specified
6,human resources coordinator,,"June 07, 2024",2024-06-28,,,,"June 07, 2024",Saskatchewan Polytechnic,Saskatoon (SK),Salary not available,1358004,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358004,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1358004,Not specified
7,human resources coordinator,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Marksmen Construction,Vernon (BC),Salary: $42.00 hourly,2968588,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Vernon , BC",$ 42.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968588,Not specified
8,human resources coordinator,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",GP Pacific Contracting,Parksville (BC),Salary: $43.00 hourly,2968662,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Parksville , BC",$ 43.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968662,Not specified
9,human resources coordinator,Title posted on CivicJobs.ca -Human Resources and Safety Coordinator,"June 19, 2024",2024-07-10,,,,"June 19, 2024",Regional District of Kootenay Boundary,Trail (BC),"Salary: $76,000.00 annually",95609,https://www.civicjobs.ca/jobs?id=95609,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Trail , BC","$ 76,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95609,Not specified
10,human resources coordinator,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",DHK Holdings Inc,Fort St. John (BC),Salary: $38.46 hourly,2947763,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","A-11724 Alaska RD Fort St. John , BC V1J 8C7",$ 38.46 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947763,Day
11,human resources coordinator,,"June 24, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",S.U.C.C.E.S.S.,Vancouver (BC),Salary: $31.93 hourly,2970625,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Registered Retirement Savings Plan (RRSP)', 'Learning/training paid by employer', 'Other benefits', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Travel insurance', 'Wellness program']}","28 West Pender Street Vancouver , BC V6B 1R6",$ 31.93 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2970625,"Benefits:
					Health benefits, Financial benefits, Other benefits"
12,human resources coordinator,,"June 20, 2024",Not specified,,,,"June 20, 2024",Perennia Food and Agriculture,Kentville (NS),Salary not available,9331619787,https://ca.indeed.com/viewjob?jk=5b41f2dcebe05df8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kentville , NS",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9331619787,Not specified
13,human resources coordinator,,"June 14, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Acel Power Inc,Vancouver (BC),"Salary: $40,000.00 to $60,000.00 annually (to be negotiated)",2962095,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Vancouver , BC","$ 40,000 to $ 60,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962095,Not specified
14,human resources coordinator,Title posted on Monster -*Bilingual Human Resources Coordinator,"June 22, 2024",2024-07-23,,,,"June 22, 2024",Recrute Action,Montréal (QC),Salary not available,60508000030103076,https://job-openings.monster.ca/bilingual-human-resources-coordinator-montréal-qc-ca-recrute-action/aa5774f1-7a3e-4a1a-ba4b-967413984718?mescoid=1300081001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #60508000030103076,Not specified
15,human resources coordinator,,"June 13, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Canadian Fast Track Logistics Inc.,Mississauga (ON),Salary: $36.10 hourly,2959355,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 36.10 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959355,"Day, Evening, Morning"
16,human resources coordinator,"Title posted on CivicJobs.ca -Human Resources Coordinator - Wellness, Health & Safety","June 24, 2024",2024-07-12,,,,"June 24, 2024",School District No. 83 (North Okanagan-Shuswap),Vancouver (BC),"Salary: $77,448.00 annually",95741,https://www.civicjobs.ca/jobs?id=95741,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 77,448 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95741,Not specified
17,human resources coordinator,,"May 30, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 30, 2024",The NT Patel & Company Ltd.,Medicine Hat (AB),Salary: $38.00 hourly,2940601,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","934 Redcliff Drive SW Medicine Hat , AB T1A 5E4",$ 38.00 HOUR hourly / 35 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2940601,"Day, Weekend, Shift, Flexible Hours, Morning"
18,human resources coordinator,,"June 10, 2024",Not specified,,,,"June 10, 2024",ALCDSB,Greater Napanee (ON),"Salary: $61,661.00 to $67,804.00 annually",9317077625,https://ca.indeed.com/viewjob?jk=a1fd17ab43c19935&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Napanee , ON","$ 61,661 to $ 67,804 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317077625,Not specified
19,human resources coordinator,,"June 11, 2024",Not specified,,,,"June 11, 2024",Aevitas Inc.,Edmonton (AB),"Salary: $60,000.00 to $65,000.00 annually",9318387604,https://ca.indeed.com/viewjob?jk=bc8f3bbfbe69611a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 60,000 to $ 65,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318387604,Not specified
