,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,high school teacher,Title posted on Jobillico -Learning Support Teacher at Gordon F. Kells High School,"June 05, 2024",2024-07-04,,,,"June 05, 2024",South East Cornerstone Public School Division #209,Carlyle (SK),Salary not available,13948074,https://www.jobillico.com/en/job-offer/south-east-cornerstone-public-school-division-209/learning-support-teacher-at-gordon-f.-kells-high-school/13948074?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Carlyle , SK",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13948074,Not specified
1,high school teacher,Title posted on Jobillico -Temporry Part-Time (0.25) Junior High Options Teacher,"June 08, 2024",2024-07-07,,,,"June 08, 2024",Livingstone Range School Division,Nanton (AB),Salary not available,13974762,https://www.jobillico.com/en/job-offer/livingstone-range-school-division/temporry-part-time-0.25-junior-high-options-teacher/13974762?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanton , AB",Not available,Part time,Starts as soon as possible,1 vacancy,Jobillico #13974762,Not specified
2,high school teacher,Title posted on Jobillico -Middle School Junior High Teachers,"May 31, 2024",2024-06-29,,,,"May 31, 2024",Lakeland Catholic Schools,Bonnyville (AB),Salary not available,13706883,https://www.jobillico.com/en/job-offer/lakeland-catholic-schools/middle-school-junior-high-teachers/13706883?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bonnyville , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13706883,Not specified
3,high school teacher,Title posted on Jobillico -Grade 9 Teacher (1.0 FTE Replacement) Swift Current Comprehensive High School #,"June 04, 2024",2024-07-03,,,,"June 04, 2024",Chinook School Division No. 211,Swift Current (SK),Salary not available,13934664,https://www.jobillico.com/en/job-offer/chinook-school-division-no-211/grade-9-teacher-1.0-fte-replacement-swift-current-comprehensive-high-school-3432/13934664?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13934664,Not specified
4,high school teacher,Title posted on Jobillico -Middle School Junior High Teacher (1.0 FTE),"May 31, 2024",2024-06-29,,,,"May 31, 2024",Lakeland Catholic Schools,Bonnyville (AB),Salary not available,13706880,https://www.jobillico.com/en/job-offer/lakeland-catholic-schools/middle-school-junior-high-teacher-1.0-fte-/13706880?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bonnyville , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13706880,Not specified
5,"high school teacher, science",Title posted on Jobillico -High School Math & Science,"June 04, 2024",2024-07-03,,,,"June 04, 2024",The High Prairie School Division,High Prairie (AB),Salary not available,13937700,https://www.jobillico.com/en/job-offer/the-high-prairie-school-division/high-school-math-amp-science/13937700?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","High Prairie , AB",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13937700,Not specified
6,high school teacher,Title posted on Jobillico -Temporary Part-Time (0.85) Junior Senior High Techer,"June 01, 2024",2024-06-30,,,,"June 01, 2024",Livingstone Range School Division,Lundbreck (AB),Salary not available,13924668,https://www.jobillico.com/en/job-offer/livingstone-range-school-division/temporary-part-time-0.85-junior-senior-high-techer/13924668?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lundbreck , AB",Not available,Part time,Starts as soon as possible,1 vacancy,Jobillico #13924668,Not specified
7,high school teacher,Title posted on Jobillico -Full-Time Probationary Jr Sr High Teacher,"June 06, 2024",2024-07-05,,,,"June 06, 2024",Living Waters Catholic Separate School Division,Slave Lake (AB),Salary not available,13751865,https://www.jobillico.com/en/job-offer/living-waters-catholic-separate-school-division/full-time-probationary-jr-sr-high-teacher/13751865?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Slave Lake , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13751865,Not specified
8,high school teacher,Title posted on Jobillico -Junior High High School Numeracy Instructional Coach,"May 31, 2024",2024-06-29,,,,"May 31, 2024",Alberta Accredited International Schools,Edmonton (AB),Salary not available,13702515,https://www.jobillico.com/en/job-offer/alberta-accredited-international-schools/junior-high-high-school-numeracy-instructional-coach/13702515?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13702515,Not specified
9,high school teacher,Title posted on Jobillico -Teacher - CIS Omar Bin Al-Khattab Campus - Interim Junior High Generalists,"June 01, 2024",2024-06-30,,,,"June 01, 2024",Palliser School Division,Calgary (AB),Salary not available,13725126,https://www.jobillico.com/en/job-offer/palliser-school-division/teacher-cis-omar-bin-al-khattab-campus-interim-junior-high-generalists/13725126?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13725126,Not specified
