,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,hotel front office manager,,"June 17, 2024",Not specified,,,,"June 17, 2024",Ramada Niagara Falls/Fallsview,Niagara Falls (ON),Salary: $20.00 to $22.00 hourly,9326901545,https://ca.indeed.com/viewjob?jk=21235b1e48963966&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Niagara Falls , ON",$ 20.00 to $ 22.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326901545,Not specified
1,hotel manager,,"May 16, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 16, 2024",Rodmay Heritage Hotel,Powell River (BC),Salary: $22.50 hourly,2921207,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","6251 YEW STREET Powell River , BC V8A 4J9",$ 22.50 HOUR hourly / 30 to 40 hours per week,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2921207,Flexible Hours
2,hotel manager,,"May 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 01, 2024",12607361 Canada Inc.,North Bay (ON),Salary: $38.46 hourly,2898315,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","255 McIntyre St W North Bay , ON P1B 2Y9",$ 38.46 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2898315,Day
3,hotel manager,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",THE VALHALLA CABIN COMPANY LIMITED,Silverton (BC),Salary: $31.00 to $32.00 hourly (to be negotiated),2925989,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Bonus', 'On-site housing options', 'Parking available']}","Silverton , BC",$ 31.00 to $ 32.00 HOUR hourly (To be negotiated) / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2925989,"Benefits:
					Financial benefits, Other benefits"
4,hotel assistant manager,,"June 20, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Above Tide Motel,Campbell River (BC),"Salary: $30,000.00 to $70,000.00 annually (to be negotiated)",2966064,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Campbell River , BC","$ 30,000 to $ 70,000 YEAR annually (To be negotiated) / 30 to 40 hours per week",Permanent employment Part time leading to full time,Starts as soon as possible,1 vacancy,Job Bank #2966064,Not specified
5,hotel assistant manager,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",D.D. (2019) Hospitality Corp.,Victoria (BC),"Salary: $80,000.00 to $100,000.00 annually (to be negotiated)",2954103,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Victoria , BC","$ 80,000 to $ 100,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954103,"Day, Night, Weekend, Shift"
6,"assistant manager, hotel",,"May 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 01, 2024",12607361 Canada Inc.,North Bay (ON),Salary: $38.46 hourly,2899302,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","255 McIntyre St W North Bay , ON P1B 2Y9",$ 38.46 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2899302,Day
7,"front desk manager, hotel",,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Comfort Inn,Halifax (NS),Salary: $18.00 hourly,2956448,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available', 'Parking available']}","Halifax , NS",$ 18.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956448,"Benefits:
					Other benefits"
8,"assistant manager, hotel",,"June 10, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",97 Motor inn,Prince George (BC),Salary: $30.77 hourly,2954131,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Prince George , BC",$ 30.77 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954131,Day
9,"assistant manager, hotel",,"May 08, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 08, 2024",ASHTAMI HOSPITALITY GROUP LTD,North Bay (ON),Salary: $38.50 hourly,2911500,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","North Bay , ON",$ 38.50 HOUR hourly / 30 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2911500,Not specified
10,hotel manager,,"April 18, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",Southfort Inn,Fort Saskatchewan (AB),Salary: $34.67 hourly,2884769,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","140 Town Crest Rd Fort Saskatchewan , AB T8L 0G7",$ 34.67 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2884769,"Day, Evening, Weekend"
11,hotel manager,,"April 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 01, 2024",Comfort Inn & Suites,Fort Saskatchewan (AB),Salary: $34.67 hourly,2859292,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","120 Town Crest Road Fort Saskatchewan , AB T8L 0G7",$ 34.67 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2859292,"Day, Evening, Weekend"
12,"assistant manager, hotel",,"March 07, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 07, 2024",3051939 Nova Scotia Ltd. o/a HI Port Hawkesbury,Port Hastings (NS),Salary: $36.06 hourly,2827690,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available']}","Port Hastings , NS",$ 36.06 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2827690,"Benefits:
					Other benefits"
