,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,housekeeper,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Maha Hasnain,Calgary (AB),Salary: $18.00 hourly,2962949,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Calgary , AB",$ 18.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962949,"Day, Evening, Weekend, Shift, Early Morning, Morning"
1,housekeeper,Title posted on Monster -Housekeeper Housekeeping Aide - Bella Bella,"June 21, 2024",2024-07-22,,,,"June 21, 2024",Vancouver Coastal Health,Bella Bella (BC),Salary not available,70e020d0e18e44eaadbfb7d84c3d8276,https://job-openings.monster.ca/housekeeper-housekeeping-aide-bella-bella-bella-bella-bc-ca-vancouver-coastal-health/cded2ffa-b953-4c38-9b97-e05a6b0e7069?mescoid=3700623001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bella Bella , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #70e020d0e18e44eaadbfb7d84c3d8276,Not specified
2,housekeeper,,"June 17, 2024",2024-07-01,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",MARIEL FERNANDEZ,Calgary (AB),Salary: $20.65 hourly,2962594,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Disability benefits', 'Transportation provided by employer']}","Calgary , AB",$ 20.65 HOUR hourly / 38.75 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962594,"Benefits:
					Health benefits, Other benefits"
3,housekeeper,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Nidal Halabi,Pickering (ON),Salary: $18.00 hourly,2963793,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Pickering , ON",$ 18.00 HOUR hourly / 30 to 50 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2963793,Not specified
4,,,Not specified,Not specified,,,,"June 19, 2024",Vancouver Coastal Health,Bella Coola (BC),Salary not available,13ef94db98d54faebb26894ab1c751af,https://job-openings.monster.ca/housekeeper-housekeeping-aide-bella-coola-bella-coola-bc-ca-vancouver-coastal-health/19e813b9-cfd5-43a5-95ab-0c1403bc9dd1?mescoid=3700623001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bella Coola , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #13ef94db98d54faebb26894ab1c751af,Not specified
5,housekeeper,,"June 22, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",DAVID WENSLEY,Jasper (AB),Salary: $18.03 hourly,2971884,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Jasper , AB",$ 18.03 HOUR hourly / 30 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971884,"Day, Evening, Flexible Hours, Morning"
6,housekeeper,,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Ramada Jackson's Point Resort & Spa,Jacksons Point (ON),Salary: $19.50 hourly,2969216,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Jacksons Point , ON",$ 19.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,5,Job Bank #2969216,Not specified
7,housekeeper,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Cecilia de Sousa Fernandes Meira,Woodbridge (ON),Salary: $18.00 hourly,2953810,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Major Intersection: Rutherford Rd and Weston Rd Woodbridge , ON L4L 9J4",$ 18.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2953810,Not specified
8,housekeeper,,"June 20, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Motel 6 Fort Nelson,Valemount (BC),Salary: $21.00 hourly,2967616,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Valemount , BC",$ 21.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2967616,"Day, Evening, Weekend, Morning"
9,housekeeper,,"June 18, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",MUNISH GOEL,Surrey (BC),Salary: $19.00 hourly,2965954,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Surrey , BC",$ 19.00 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2965954,"Day, Evening, Weekend, To be determined, Early Morning, Morning"
