,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"manager, human resources",Title posted on CivicJobs.ca -Human Resources Manager,"June 24, 2024",2024-07-02,,,,"June 24, 2024",School District No. 33 (Chilliwack),Chilliwack (BC),"Salary: $96,420.00 annually",95740,https://www.civicjobs.ca/jobs?id=95740,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC","$ 96,420 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95740,Not specified
1,"manager, human resources",Title posted on Monster -Human Resources Manager - Integrated Talent Management,"June 21, 2024",2024-07-22,,,,"June 21, 2024",The City of Maple Ridge,Maple Ridge (BC),Salary not available,hiringplatform.ca-177545-en,https://job-openings.monster.ca/human-resources-manager-integrated-talent-management-maple-ridge-bc-ca-the-city-of-maple-ridge/4d3a0ec0-904d-4ae2-a606-dca3cc3501c7?mescoid=1100028001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Maple Ridge , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #hiringplatform.ca-177545-en,Not specified
2,"manager, human resources",Title posted on Monster -Human Resources Business Partner (Hybrid Role),"June 19, 2024",2024-07-20,,,,"June 19, 2024",Burlington Public Library,Burlington (ON),Salary not available,8lE8gXr0bt,https://job-openings.monster.ca/human-resources-business-partner-hybrid-role-burlington-on-ca-burlington-public-library/4a2aceb9-fe96-4c21-babf-2b1def5f3ffa?mescoid=1300081001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #8lE8gXr0bt,Not specified
3,"manager, human resources",Title posted on Monster -Human Resources Manager,"June 18, 2024",2024-07-19,,,,"June 18, 2024",TC Transcontinental,Whitby (ON),Salary not available,760343,https://job-openings.monster.ca/human-resources-manager-whitby-on-ca-tc-transcontinental/abb251c9-0506-4fc9-b8db-a7293bb9159f?mescoid=1100028001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #760343,Not specified
4,human resources manager,,"June 22, 2024",2024-08-21,,,,"June 22, 2024",School District #33 (Chilliwack),Chilliwack (BC),Salary not available,2780924,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=6c78bb6f-8584-45ef-9eb2-e9f86e8e23ed&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2780924,Not specified
5,"manager, human resources",Title posted on indeed.com -Manager - Human Resources (Updated Posting),"June 18, 2024",Not specified,,,,"June 18, 2024",Canadian Mental Health Association - Cowichan Valley Branch,Duncan (BC),Salary: $35.00 to $40.00 hourly,9328327483,https://ca.indeed.com/viewjob?jk=0d99cff7f1369f5d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Duncan , BC",$ 35.00 to $ 40.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328327483,Not specified
6,human resources manager,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Nour Private Wealth Inc.,Oakville (ON),"Salary: $60,000.00 annually",2960053,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Bonus', 'Group insurance benefits', 'Registered Retirement Savings Plan (RRSP)', 'Free parking available', 'Other benefits']}","2845 bristol circle Oakville , ON L6H 6X5","$ 60,000 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960053,"Benefits:
					Health benefits, Financial benefits, Other benefits"
7,human resources manager,Title posted on indeed.com -SOS HUMAN RESOURCES MANAGER,"June 13, 2024",Not specified,,,,"June 13, 2024",District 69 Society of Organized Services (SOS),Parksville (BC),Salary: $35.00 hourly,9322015988,https://ca.indeed.com/viewjob?jk=00fb5773ad291641&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Parksville , BC",$ 35.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9322015988,Not specified
8,human resources manager,,"June 14, 2024",Not specified,,,,"June 14, 2024",CEE Centre for Young Black Professionals,Scarborough (ON),"Salary: $70,000.00 to $80,000.00 annually",9323771777,https://ca.indeed.com/viewjob?jk=552a0b1c0507653b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON","$ 70,000 to $ 80,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9323771777,Not specified
9,human resources manager,,"June 20, 2024",Not specified,,,,"June 20, 2024",K'omoks First Nation,Courtenay (BC),"Salary: $80,000.00 to $92,000.00 annually",9331445110,https://ca.indeed.com/viewjob?jk=59906ee4875fa195&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Courtenay , BC","$ 80,000 to $ 92,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9331445110,Not specified
10,human resources manager,,"June 11, 2024",Not specified,,,,"June 11, 2024",City Furniture & Appliances,Grande Prairie (AB),Salary: $25.50 to $32.50 hourly,9318835041,https://ca.indeed.com/viewjob?jk=f417d0d30e518f4f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grande Prairie , AB",$ 25.50 to $ 32.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318835041,Not specified
11,"manager, human resources",Title posted on indeed.com -Manager of Human Resources,"June 11, 2024",Not specified,,,,"June 11, 2024",Kateri Memorial Hospital Centre,Kahnawake (QC),"Salary: $78,482.00 to $102,026.00 annually",9318691175,https://ca.indeed.com/viewjob?jk=8a48fcc1516a50cd&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kahnawake , QC","$ 78,482 to $ 102,026 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318691175,Not specified
12,human resources manager,,"June 19, 2024",Not specified,,,,"June 19, 2024",Vuntut Gwitchin First Nation,Old Crow (YT),Salary: $35.50 to $53.25 hourly,9330244341,https://ca.indeed.com/viewjob?jk=fe57e5bf929ccbcf&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Old Crow , YT",$ 35.50 to $ 53.25 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9330244341,Not specified
13,human resources manager,,"June 14, 2024",Not specified,,,,"June 14, 2024",Create Career College,Burnaby (BC),Salary: $20.00 to $25.00 hourly,9323722817,https://ca.indeed.com/viewjob?jk=b31005d8da62edbc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC",$ 20.00 to $ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9323722817,Not specified
14,"manager, human resources",,"June 18, 2024",2024-07-30,,,,"June 18, 2024",Agency Chiefs Child & Family Services,Spiritwood (SK),Salary not available,1356763,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1356763,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Spiritwood , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1356763,Not specified
15,human resources manager,,"May 29, 2024",Not specified,,,,"May 29, 2024","Home Hardware Building Supplies (Rafuse, Maple Leaf, Berwick, Rockwell & Highland)",Wolfville (NS),"Salary: $45,000.00 to $65,000.00 annually",9298892467,https://ca.indeed.com/viewjob?jk=18f688d3e8e1c2f7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Wolfville , NS","$ 45,000 to $ 65,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9298892467,Not specified
16,human resources manager,"Title posted on ApplyToEducation -Human Resources Coordinator, Ability and Wellness ? Full Time Position","June 11, 2024",2024-08-10,,,,"June 11, 2024",Algonquin and Lakeshore Catholic District School Board,Napanee (ON),Salary not available,2777136,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=43536a96-c83f-4acc-ae28-51d73d11228d&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Napanee , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2777136,Not specified
17,human resources manager,,"June 21, 2024",Not specified,,,,"June 21, 2024",The Armour Group Limited,Halifax (NS),Salary not available,9333152179,https://ca.indeed.com/viewjob?jk=4051a01b6f7c7b56&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333152179,Not specified
18,human resources manager,"Title posted on Jobillico -Human Resources Manager, Health & Wellness","June 13, 2024",2024-07-12,,,,"June 13, 2024",School District #68 (Nanaimo-Ladysmith),Nanaimo (BC),Salary not available,14005296,https://www.jobillico.com/en/job-offer/school-district-68-nanaimo-ladysmith/human-resources-manager-health-amp-wellness/14005296?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanaimo , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #14005296,Not specified
19,"manager, human resources",Title posted on indeed.com -Manager of Human Resources,"June 14, 2024",Not specified,,,,"June 14, 2024",YMCA of Owen Sound Grey Bruce,Owen Sound (ON),Salary: $39.47 to $44.86 hourly,9323879911,https://ca.indeed.com/viewjob?jk=f98264246042cb6d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Owen Sound , ON",$ 39.47 to $ 44.86 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9323879911,Not specified
20,human resources manager,,"June 13, 2024",Not specified,,,,"June 13, 2024",XCMG Canada Ltd.,Stony Plain (AB),"Salary: $85,000.00 to $95,000.00 annually",9322156362,https://ca.indeed.com/viewjob?jk=8eed35da048039e8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stony Plain , AB","$ 85,000 to $ 95,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9322156362,Not specified
21,human resources manager,"Title posted on ApplyToEducation -Human Resources Manager, Health & Wellness","June 13, 2024",2024-08-12,,,,"June 13, 2024",School District #68 (Nanaimo-Ladysmith),Nanaimo (BC),Salary not available,2778009,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=9f0498f0-dd57-40d8-b657-857653f936d3&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanaimo , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2778009,Not specified
22,human resources manager,,"June 11, 2024",Not specified,,,,"June 11, 2024",Dan-D-Pak,Richmond (BC),"Salary: $75,000.00 to $90,000.00 annually",9319220834,https://ca.indeed.com/viewjob?jk=e64be08d1543d61d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC","$ 75,000 to $ 90,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9319220834,Not specified
