,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,industrial engineer,"Title posted on Jobillico -Industrial Engineer, New Product Development","June 12, 2024",2024-07-11,,,,"June 12, 2024",BRP,Valcourt (QC),Salary not available,13793556,https://www.jobillico.com/en/job-offer/brp-/industrial-engineer-new-product-development/13793556?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Valcourt , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13793556,Not specified
1,consulting industrial engineer,Title posted on CareerBeacon -Engineer or Senior Engineer &ndash; Metallurgy,"May 30, 2024",2024-06-29,,,,"May 30, 2024",Vale Canada,Greater Sudbury (ON),Salary not available,2064113,https://www.careerbeacon.com/en/job/2064113/vale-canada/engineer-or-senior-engineer-metallurgy/greater-sudbury?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #2064113,Not specified
2,industrial engineer,Title posted on Jobboom -Junior Manufacturing Engineer Technician,"May 27, 2024",2024-06-25,,,,"May 27, 2024",Fonderies Shellcast Inc,Montréal-Nord (QC),Salary not available,3253612,https://www.jobboom.com/en/job-offer/junior-manufacturing-engineer-technician_shellcast-foundries-inc_p3253612,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal-Nord , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobboom #3253612,Not specified
3,industrial engineer,Title posted on Jobillico -Process engineer,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Howmet Aerospace - Usine Laval,Laval (QC),Salary not available,12550177,https://www.jobillico.com/en/job-offer/howmet-aerospace-usine-laval/process-engineer/12550177?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Laval , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #12550177,Not specified
4,industrial engineer,,"March 31, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 31, 2024",1375295 Ontario Corp.,North York (ON),Salary: $41.00 hourly,2858997,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","North York , ON",$ 41.00 HOUR hourly / 35 to 48 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2858997,Not specified
5,industrial engineer,,"April 29, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 29, 2024",Canada Cordage,Deseronto (ON),"Salary: $90,000.00 annually",2894466,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan']}","Deseronto , ON","$ 90,000 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2894466,"Benefits:
					Health benefits"
6,industrial engineer,Title posted on Québec emploi -ingénieur industriel ingénieure industrielle,"June 21, 2024",2024-08-03,,,,"June 21, 2024",ENTREPRISES SAPPI CANADA INC.,Matane (QC),Salary: $45.00 hourly,427799,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=427799,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Matane , QC",$ 45.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2025-01-02,1 vacancy,Québec emploi #427799,Not specified
7,industrial engineer,Title posted on Jobillico -Ingénieur d'usine,"June 13, 2024",2024-07-12,,,,"June 13, 2024",Plastube inc.,Granby (QC),"Salary: $70,000.00 to $85,000.00 annually",13803222,https://www.jobillico.com/en/job-offer/plastube-inc/ingenieur-d-usine/13803222?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Granby , QC","$ 70,000 to $ 85,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13803222,Not specified
8,industrial engineer,Title posted on Jobillico -Ingénieur en amélioration continue,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Phénix Groupe Conseil,Laval (QC),"Salary: $75,000.00 to $110,000.00 annually",13989717,https://www.jobillico.com/en/job-offer/phenix-groupe-conseilnGsfWh/ingenieur-en-amelioration-continue/13989717?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Laval , QC","$ 75,000 to $ 110,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13989717,In-house position at the agency
9,industrial engineer,Title posted on Jobillico -Ingénieur mécanique,"June 08, 2024",2024-07-07,,,,"June 08, 2024",Element RH,Matane (QC),"Salary: $65,000.00 to $95,000.00 annually",13772997,https://www.jobillico.com/en/job-offer/element-rh.rQtvUy/ingenieur-e-mecanique-/13772997?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Matane , QC","$ 65,000 to $ 95,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13772997,In-house position at the agency
10,industrial engineer,Title posted on Jobillico -Ingénieur industriel (Canada et États-Unis),"June 16, 2024",2024-07-15,,,,"June 16, 2024",Merkur inc.,Brossard (QC),Salary not available,13117090,https://www.jobillico.com/en/job-offer/Merkur-inc.oUptOr/ingenieur-industriel-canada-et-etats-unis-/13117090?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brossard , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13117090,Not specified
11,industrial engineer,Title posted on Jobillico -Ingénieur en automatisation-robotique et vision artificielle,"June 14, 2024",2024-07-13,,,,"June 14, 2024",AMT moulage inc.,Rimouski (QC),Salary not available,4737189,https://www.jobillico.com/en/job-offer/amt-moulage-inc/ingenieur-en-automatisation-robotique-et-vision-artificielle/4737189?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Rimouski , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #4737189,Not specified
12,industrial engineer,Title posted on Jobillico -Ingénieur en automatisation-robotique et vision artificielle,"June 14, 2024",2024-07-13,,,,"June 14, 2024",AMT moulage inc.,Saint-Cyprien (QC),Salary not available,4737144,https://www.jobillico.com/en/job-offer/amt-moulage-inc/ingenieur-en-automatisation-robotique-et-vision-artificielle/4737144?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Cyprien , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #4737144,Not specified
13,industrial engineer,Title posted on Jobillico -Ingénieur en automatisation-robotique et vision artificielle,"June 14, 2024",2024-07-13,,,,"June 14, 2024",AMT moulage inc.,Saint-Cyprien (QC),Salary not available,5239406,https://www.jobillico.com/en/job-offer/amt-moulage-inc/ingenieur-en-automatisation-robotique-et-vision-artificielle/5239406?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Cyprien , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #5239406,Not specified
14,industrial engineer,Title posted on Jobillico -Ingénieur industriel,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Simard Suspensions inc.,Baie-Saint-Paul (QC),Salary not available,12885874,https://www.jobillico.com/en/job-offer/simard-suspensions-inc/ingenieur-e-industriel-le-/12885874?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Baie-Saint-Paul , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #12885874,Not specified
