,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,machinist,,"June 17, 2024",Not specified,,,,"June 17, 2024",MAC CHAIN COMPANY LTD.,Surrey (BC),Salary: $35.00 to $40.00 hourly,9326846136,https://ca.indeed.com/viewjob?jk=7561775c6a474cb2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 35.00 to $ 40.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326846136,Not specified
1,machinist,Title posted on indeed.com -Conventional Machinist,"June 17, 2024",Not specified,,,,"June 17, 2024",MacGregors Industrial Group,New Glasgow (NS),Salary not available,9326731702,https://ca.indeed.com/viewjob?jk=d76cc74d7d7fac90&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","New Glasgow , NS",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326731702,Not specified
2,machinist,Title posted on indeed.com -Machinist 429A,"June 17, 2024",Not specified,,,,"June 17, 2024",Omineca Fabricating,Prince George (BC),Salary: $45.00 to $46.25 hourly,9326544427,https://ca.indeed.com/viewjob?jk=e77a9f5e1b11ae74&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince George , BC",$ 45.00 to $ 46.25 HOUR hourly,Casual employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326544427,Not specified
3,machinist,Title posted on Monster -Conventional Machinist,"June 01, 2024",2024-07-02,,,,"June 01, 2024",BellatRx,Sainte-Anne-de-Bellevue (QC),Salary not available,d907029419d2699760062259a9244fc4,https://job-openings.monster.ca/conventional-machinist-sainte-anne-de-bellevue-qc-ca-bellatrx/039fc8aa-bed4-4f1a-a111-557f0158ca89?mescoid=5100939001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Anne-de-Bellevue , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #d907029419d2699760062259a9244fc4,Not specified
4,machinist,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",MacroMotion Fluid Power,Burlington (ON),Salary: $28.00 to $36.00 hourly (to be negotiated),2953949,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Learning/training paid by employer']}","4450 Corporate Dr. Burlington , ON L7L 5R3",$ 28.00 to $ 36.00 HOUR hourly (To be negotiated) / 40 to 50 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2953949,"Benefits:
					Health benefits, Other benefits"
5,machinist,,"June 12, 2024",2024-07-13,,,,"June 12, 2024",Spirit Employment and Training Edmonton,Edmonton (AB),Salary not available,cWs3sczAd1,https://job-openings.monster.ca/machinist-edmonton-ab-ca-spirit-employment-training-edmonton/9faf4c9a-6853-43e5-a066-43110589e466?mescoid=5100939001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #cWs3sczAd1,Not specified
6,machinist,,"May 10, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 10, 2024",D.C. Bearing & Hydraulic Services Ltd.,Dawson Creek (BC),Salary: $30.00 to $40.00 hourly (to be negotiated),2914719,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Life insurance']}","Dawson Creek , BC",$ 30.00 to $ 40.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2914719,"Benefits:
					Health benefits, Financial benefits"
7,machinist,Title posted on Monster -C&A Group- Machinists,"June 10, 2024",2024-07-11,,,,"June 10, 2024",UpSourced HR,Lethbridge (AB),Salary not available,521153000010489080,https://job-openings.monster.ca/c-a-group-machinists-lethbridge-ab-ca-upsourced-hr/5384cfc6-5be4-4222-95dd-bb444f168458?mescoid=5100939001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lethbridge , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #521153000010489080,Not specified
8,manual machinist,,"June 21, 2024",Not specified,,,,"June 21, 2024",Peel Hr,Vaughan (ON),Salary: $20.00 to $30.00 hourly,9333061331,https://ca.indeed.com/viewjob?jk=c2d7002054e8a78f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vaughan , ON",$ 20.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333061331,Not specified
9,manual machinist,,"June 19, 2024",Not specified,,,,"June 19, 2024",Humfrey Industrial Repair (1983) Ltd.,Calgary (AB),Salary: $25.00 to $40.00 hourly,9329733292,https://ca.indeed.com/viewjob?jk=a5ed5ef217e73537&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 25.00 to $ 40.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329733292,Not specified
10,machinist,,"May 09, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 09, 2024",Lizotte Machine Vision,Rivière-Verte (NB),Salary: $28.00 to $35.00 hourly (to be negotiated),2912041,,"{'Language Requirement': 'English or French', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","Rivière-Verte , NB",$ 28.00 to $ 35.00 HOUR hourly (To be negotiated) / 45 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2912041,"Benefits:
					Health benefits"
11,machinist,,"June 06, 2024",Not specified,,,,"June 06, 2024",Oro Design & Manufacturing Ltd.,Oro-Medonte (ON),Salary: $25.00 to $28.00 hourly,9312230810,https://ca.indeed.com/viewjob?jk=8d5ad70f6751cb35&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oro-Medonte , ON",$ 25.00 to $ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312230810,Not specified
12,machinist,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",JPB FabricationServices (2019) Inc.,Smiths Falls (ON),Salary: $26.00 to $35.00 hourly (to be negotiated),2953963,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'Learning/training paid by employer']}","Smiths Falls , ON",$ 26.00 to $ 35.00 HOUR hourly (To be negotiated) / 42.5 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2953963,"Benefits:
					Health benefits, Financial benefits, Other benefits"
13,machinist,,"June 10, 2024",2024-06-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",E TUCKER AND SONS LIMITED,Paradise (NL),Salary: $25.00 to $30.00 hourly (to be negotiated),2937681,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","Paradise , NL",$ 25.00 to $ 30.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2937681,"Benefits:
					Health benefits"
14,journeyman/woman machinist,Title posted on indeed.com -Journeyman woman Machinist,"June 22, 2024",Not specified,,,,"June 22, 2024",Corma Industries,Calgary (AB),Salary: $33.00 to $42.00 hourly,9334315470,https://ca.indeed.com/viewjob?jk=3fc00a506eb0dcb7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 33.00 to $ 42.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334315470,Not specified
15,manual machinist,,"June 12, 2024",Not specified,,,,"June 12, 2024",Alliance Group & Staffing,Pickering (ON),Salary: $22.00 to $26.00 hourly,9319963490,https://ca.indeed.com/viewjob?jk=5813dd8127fb68d9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pickering , ON",$ 22.00 to $ 26.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9319963490,Not specified
16,machinist,,"June 18, 2024",Not specified,,,,"June 18, 2024",Accu-Twist Ltd,Rosenort (MB),Salary: $21.00 to $26.00 hourly,9327967771,https://ca.indeed.com/viewjob?jk=55b822bdd65f2e82&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Rosenort , MB",$ 21.00 to $ 26.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327967771,Not specified
17,machinist,,"May 30, 2024",2024-06-28,,,,"May 30, 2024",Wajax Limited,Grande Prairie (AB),Salary not available,12693292,https://www.jobillico.com/en/job-offer/wajax-limited/machinist/12693292?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grande Prairie , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #12693292,Not specified
18,machinist,Title posted on Jobillico -Conventional Machinist,"May 29, 2024",2024-06-27,,,,"May 29, 2024",Wulftec International Inc.,Ayer's Cliff (QC),Salary not available,1324661,https://www.jobillico.com/en/job-offer/wulftec-international-inc/conventional-machinist/1324661?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ayer's Cliff , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #1324661,Not specified
