,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,medical laboratory technician,Title posted on indeed.com -Medical Laboratory Technician Admin,"June 06, 2024",Not specified,,,,"June 06, 2024",GSH Medical,Toronto (ON),Salary: $17.00 hourly,9312477303,https://ca.indeed.com/viewjob?jk=5f4056df4358f3f5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 17.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312477303,Not specified
1,medical laboratory technician,,"June 03, 2024",Not specified,,,,"June 03, 2024",Universal Health Group,North York (ON),Salary: $20.00 to $25.00 hourly,9307650264,https://ca.indeed.com/viewjob?jk=e39cdc3a1dd59ca0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 20.00 to $ 25.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9307650264,Not specified
2,laboratory technician - medical,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Twig Fertility Inc.,Toronto (ON),Salary: $29.00 to $36.95 hourly (to be negotiated),2932865,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Long-term care insurance', 'Other benefits', 'Wellness program']}","Toronto , ON",$ 29.00 to $ 36.95 HOUR hourly (To be negotiated) / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2932865,"Benefits:
					Health benefits, Long term benefits, Other benefits"
3,medical laboratory technician,,"March 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 01, 2024",ABOUNAJA CORP.,Calgary (AB),Salary: $29.50 hourly,2818140,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Calgary , AB",$ 29.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2818140,Not specified
4,medical laboratory technician,,"March 19, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 19, 2024",RAYN CULTIVATION LTD.,Nisku (AB),Salary: $28.34 hourly,2843569,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Nisku , AB",$ 28.34 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,4,Job Bank #2843569,Not specified
5,laboratory technician - medical,Title posted on CareerBeacon -Medical Laboratory Assistant Phlebotomist (),"June 07, 2024",2024-07-07,,,,"June 07, 2024",Vitalité Health Network,Edmundston (NB),Salary: $24.26 hourly,182496,https://www.careerbeacon.com/en/job/2072235/vitalite-health-network/medical-laboratory-assistant-phlebotomist-3041/edmundston?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmundston , NB",$ 24.26 HOUR hourly,Not available,Starts as soon as possible,Not specified,CareerBeacon #182496,Not specified
6,laboratory technician - medical,,"April 24, 2024",2024-06-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 24, 2024",Nexim healthcare consultants Inc,Barrie (ON),Salary: $29.00 hourly,2835795,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Bonus', 'Free parking available']}","Barrie , ON",$ 29.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2835795,"Benefits:
					Health benefits, Financial benefits, Other benefits"
7,medical laboratory technician,,"June 07, 2024",Not specified,,,,"June 07, 2024",North Shore Health Network,Blind River (ON),Salary: $30.29 to $34.90 hourly,9313579990,https://ca.indeed.com/viewjob?jk=260d91d56b0d8a04&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Blind River , ON",$ 30.29 to $ 34.90 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9313579990,Not specified
8,laboratory technician - medical,Title posted on CareerBeacon -Hyperbaric Technologist,"June 04, 2024",2024-07-04,,,,"June 04, 2024",NL Health Services,St. John's (NL),Salary: $32.29 hourly,2068908,https://www.careerbeacon.com/en/job/2068908/nl-health-services/hyperbaric-technologist/st-john-s?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL",$ 32.29 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2068908,Not specified
9,laboratory technician - medical,,"June 05, 2024",2024-06-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Okanagan College,Kelowna (BC),Salary: $32.94 to $37.64 hourly (to be negotiated),2946886,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Kelowna , BC",$ 32.94 to $ 37.64 HOUR hourly (To be negotiated) / 1 to 35 hours per week,Term or contract (ending: 2025-02-21) Part time leading to full time,"Starts as soon as 2024-06-24					
						to
						2025-02-21",1 vacancy,Job Bank #2946886,Not specified
