,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,office administrator,,"June 07, 2024",2024-07-08,,,"June 07, 2024",LOFT Community Services,Toronto (ON),Salary not available,rpRkatPrpd,https://job-openings.monster.ca/office-administrator-toronto-on-ca-loft-community-services/fe749e0e-fc71-40d2-bd53-d09012981e9f?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #rpRkatPrpd,Not specified
1,office administrator,,"May 28, 2024",Not specified,,,"May 28, 2024",Cypress Funeral & Cremation Services,Location,Salary: $21.00 to $24.00 hourly,9298175409,https://ca.indeed.com/viewjob?jk=69e6ffe778e6db19&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Lake Country,$ 21.00 to $ 24.00 HOUR hourly,Casual employment,Starts as soon as possible,1 vacancy,indeed.com #9298175409,Not specified
2,office administrator,,"June 07, 2024",Not specified,,,"June 07, 2024",Yukon Ombudsman/IPC/PIDC,Whitehorse (YT),"Salary: $66,518.00 to $79,255.00 annually",9314294459,https://ca.indeed.com/viewjob?jk=5f7ea3e649601b93&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitehorse , YT","$ 66,518 to $ 79,255 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9314294459,Not specified
3,office administrator,,"May 28, 2024",Not specified,,,"May 28, 2024",Safeline Group of Companies,Concord (ON),"Salary: $45,000.00 annually",9297535795,https://ca.indeed.com/viewjob?jk=879fd41f445633c7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Concord , ON","$ 45,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9297535795,Not specified
4,office administrator,,"June 10, 2024",Not specified,,,"June 10, 2024",Lucier Glove and Safety,Windsor (ON),Salary: $19.00 to $20.00 hourly,9316644192,https://ca.indeed.com/viewjob?jk=ce2765b386967501&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Windsor , ON",$ 19.00 to $ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316644192,Not specified
5,office administrator,,"May 29, 2024",Not specified,,,"May 29, 2024",Big Chief Industrial,Invermere (BC),Salary: $16.75 to $24.00 hourly,9299196523,https://ca.indeed.com/viewjob?jk=0c4784dd7591358b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Invermere , BC",$ 16.75 to $ 24.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9299196523,Not specified
6,office administrator,,"June 05, 2024",2024-07-06,,,"June 05, 2024",Brandt,Saskatoon (SK),Salary not available,9257,https://job-openings.monster.ca/office-administrator-saskatoon-sk-ca-brandt/780c0d98-81ae-440d-8ff4-7d8c4f81e827?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #9257,Not specified
7,office administrator,,"June 12, 2024",Not specified,,,"June 12, 2024",BRYDGES PROPERTY MANAGEMENT,Winnipeg (MB),Salary: $19.84 to $28.51 hourly,9320109655,https://ca.indeed.com/viewjob?jk=b08bf897e0a0c491&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 19.84 to $ 28.51 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320109655,Not specified
8,office administrator,,"May 24, 2024",Not specified,,,"May 24, 2024","HOMELIFE FRONTIER REALTY INC., BROKERAGE",Richmond Hill (ON),Salary: $16.55 hourly,9293413339,https://ca.indeed.com/viewjob?jk=a2b43efab995ab72&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond Hill , ON",$ 16.55 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9293413339,Not specified
9,office administrator,,"June 04, 2024",Not specified,,,"June 04, 2024",Vacuum Specialists,Calgary (AB),Salary: $16.00 to $20.00 hourly,9309458872,https://ca.indeed.com/viewjob?jk=8e4eb1cbcef768ee&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 16.00 to $ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9309458872,Not specified
