,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,office manager,"June 04, 2024",Not specified,"June 04, 2024",N & G Trucking Ltd,Surrey (BC),Salary:$29.00 hourly,9308838224,https://ca.indeed.com/viewjob?jk=7c14e1cf8dad38d9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 29.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308838224,Not specified
1,office manager,"June 05, 2024",2024-07-04,"June 05, 2024",Safeline Plumbing and Mechanical Ltd,Toronto (ON),"Salary:$61,511.80 annually",4cc7277b,https://www.ziprecruiter.com/k/t/AAJVxdW57Eb_Db61GC8F6twrqAQFQARATHV9pKXWuvvvRfcxhmfzQzDAbgTd6BINtISuIjHY6vO-ReC_xFDfOMBvEp-u10sMMXIFxK-RJcRToUxyX2sGY4iw-ZUBrWBopHyY9DO736vYDXGmm1-70Fc91E1Rzp-_zyPryg7MwMpf0em2uwAf-snjqEmZ5dbm3PsSdZ21dHDp0ZTKhxE5fYmfwGny5HZcpexnL7aFDe4usKLm-jTInEqyWST8YoEepwY408HUIazHrZ2wBj9_Lha0u4JpwmjVxMGkmfvBAiaWlYnvz2c5rmj_aqeh2RXjC8ir,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 61,511.81 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #4cc7277b,Not specified
2,office manager,"June 05, 2024",Not specified,"June 05, 2024",3rd Gear Auto Sales and Services LTD.,Regina (SK),"Salary:$4,000.00 to $5,000.00 monthly",9310400815,https://ca.indeed.com/viewjob?jk=0f5f86f11f6a2361&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK","$ 4,000 to $ 5,000 MONTH monthly",Casual employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310400815,Not specified
3,office manager,"June 04, 2024",Not specified,"June 04, 2024",SXDC LP,Dog Creek (BC),Salary:$25.00 hourly,9309091551,https://ca.indeed.com/viewjob?jk=34b3e747f768db45&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dog Creek , BC",$ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9309091551,Not specified
4,office manager,"May 30, 2024",Not specified,"May 30, 2024",The Promise Land Consultancy Corp.,Vancouver (BC),"Salary:$48,000.00 annually",9300475716,https://ca.indeed.com/viewjob?jk=4002edb86dfcfdca&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 48,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9300475716,Not specified
5,office manager,"June 11, 2024",Not specified,"June 11, 2024",Psychology and Counselling Practice,North Vancouver (BC),Salary:$25.00 hourly,9318737229,https://ca.indeed.com/viewjob?jk=63dfd05d146a3d2c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Vancouver , BC",$ 25.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9318737229,Not specified
6,office manager,"June 10, 2024",Not specified,"June 10, 2024",Physiotherapy Clinic,Mississauga (ON),Salary:$21.00 to $24.00 hourly,9316955174,https://ca.indeed.com/viewjob?jk=ce0821d9dfdf1a51&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 21.00 to $ 24.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9316955174,Not specified
7,office manager,"June 10, 2024",Not specified,"June 10, 2024",Gear-O-Rama Supply LTD.,Dawson Creek (BC),Salary:$30.00 to $40.00 hourly,9317264254,https://ca.indeed.com/viewjob?jk=8dcdcf244dee3e46&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dawson Creek , BC",$ 30.00 to $ 40.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9317264254,Not specified
8,office manager,"June 11, 2024",Not specified,"June 11, 2024",Associated Appraisal Co.,Saskatoon (SK),Salary:$22.00 to $24.00 hourly,9318352755,https://ca.indeed.com/viewjob?jk=87330cf3ee2bab36&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",$ 22.00 to $ 24.00 HOUR hourly,Term or contract Full time,Starts as soon as possible,1 vacancy,indeed.com #9318352755,Not specified
9,office manager,"June 11, 2024",Not specified,"June 11, 2024",Harlan Fairbanks,Winnipeg (MB),"Salary:$55,000.00 to $60,000.00 annually",9318636574,https://ca.indeed.com/viewjob?jk=2cfd09fbd689c0a3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB","$ 55,000 to $ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318636574,Not specified
