,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,pharmacist,"Title posted on Monster -Pharmacist Retail Espanola, Ontario $75","June 04, 2024",2024-07-04,,,,"June 04, 2024",woodside health and wellness,Espanola (ON),Salary not available,687507000003284004,https://job-openings.monster.ca/pharmacist-retail-espanola-ontario-75-espanola-on-ca-woodside-health-wellness/22c4e378-9262-45a4-b4b4-4e6ede2dbc78?mescoid=2900462001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Espanola , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #687507000003284004,Not specified
1,pharmacist,,"June 13, 2024",Not specified,,,,"June 13, 2024",Family Care Pharmacy,Surrey (BC),"Salary: $120,000.00 to $140,000.00 annually",9322738689,https://ca.indeed.com/viewjob?jk=878bcd26a9b24e47&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC","$ 120,000 to $ 140,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9322738689,Not specified
2,pharmacist,,"June 11, 2024",Not specified,,,,"June 11, 2024",Pharmasave Kelowna,Kelowna (BC),Salary: $55.00 to $58.00 hourly,9318915839,https://ca.indeed.com/viewjob?jk=80f741c62bf6181c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 55.00 to $ 58.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318915839,Not specified
3,pharmacist,Title posted on ZipRecruiter -Pharmacist Technician,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Marks Health and Wellness | CanShipMeds - Vancouver,Vancouver (BC),Salary: $34.17 hourly,f35608ac5,https://www.ziprecruiter.com/k/t/AAInPikGUgvw-7LodtmgpcRt5dBVmKy2xZNrVGE8pr8k_rvxCBeAiF9Pl6ICL5jeiPotwECx1u6w1z3YtO-gdYMNqHE0VBDEYzLpu5D6vD0Pqm1wDak8agQFLi-iReiIzHASvjn_Q4OseiLCNIc0WskbesJomiRL7P5krzeoZ_kn2a3vGkR7OLJVV4lJj2gfORYX2gJjZ19w0Sqf36nwHAXcmD2MLculIrqqUMp6lH5Thz3T8IZBdWOqMyK61F-Krrm0jUqSSCMP0e4dq6KdXu8nCjvcmQHrhqB9lECzrBbhrtp0DpJOpd3F9zSAEPUjn3a2GepvewuN_wZUXxKr0YJk-o9VOA,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 34.17 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #f35608ac5,Not specified
4,pharmacist,Title posted on ZipRecruiter -Licensed Pharmacist,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Marks Health and Wellness | CanShipMeds - Vancouver,Vancouver (BC),"Salary: $116,188.97 annually",cbe773105,https://www.ziprecruiter.com/k/t/AAIRQBBnEz6r82LHECQZpkW7tgSvSwzcW_vNV5NP_VBlTbv3xWO7CZvyWmDgI4RRe_4oJNLlBUbHr48Z5GAubjmxkItUQI-DHK-_MSJWX-w0XdhPqPjslXLJPMb2qiGI_nmqq_fc6d0HRiLZ-2lEPSF3o8a4TpTBA36TLO3od6yoqjvNSwb9WPhtduq4V5_VpPIsMGePup77eqmQDMgzqgO6ovhXD51ASKSYsb8Sf9H2w6gU03o3tuUdKen8NXuytZzBLr9pv1RmhCWnWPepa2UPs_ZSpGYnlkPHGpza8edDGqdzMcciJb6_rzDfDw4bRSEYacDQXrZcooe_6cPjZGPJ82w,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 116,188.97 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #cbe773105,Not specified
5,pharmacist,,"June 05, 2024",2024-07-06,,,,"June 05, 2024",IIQAF,Cornwall (ON),Salary not available,174157,https://job-openings.monster.ca/pharmacist-ontario-on-ca-iiqaf/879c34ed-0ada-46fd-ae9e-ec53f1b452a8?mescoid=2900462001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #174157,Not specified
6,pharmacist,,"June 03, 2024",2024-07-04,,,,"June 03, 2024",TRM Healthcare,Espanola (ON),Salary not available,516149147049394328,https://job-openings.monster.ca/pharmacist-espanola-on-ca-trm-healthcare/6d2e477e-aba2-4afc-94db-392c08ec71ba?mescoid=2900462001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Espanola , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #516149147049394328,Not specified
7,pharmacist,,"June 12, 2024",2024-07-13,,,,"June 12, 2024",LMC Healthcare,London (ON),Salary not available,WJJatGtKvD,https://job-openings.monster.ca/pharmacist-london-on-ca-lmc-healthcare/ac7c2679-5c77-466a-aa8e-69972df2301a?mescoid=2900462001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #WJJatGtKvD,Not specified
8,pharmacist,Title posted on indeed.com -Licensed Pharmacist,"June 10, 2024",Not specified,,,,"June 10, 2024",Guildwood IDA Drug Mart,Scarborough (ON),Salary: $45.00 to $50.00 hourly,9317633753,https://ca.indeed.com/viewjob?jk=63035b800a704b3b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON",$ 45.00 to $ 50.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9317633753,Not specified
9,pharmacist,"Title posted on Monster -Virtual Services Pharmacist, Pharmacy Service","June 03, 2024",2024-07-04,,,,"June 03, 2024",Rexall,Mississauga (ON),Salary not available,5372,https://job-openings.monster.ca/virtual-services-pharmacist-pharmacy-service-mississauga-on-ca-rexall/5784b26a-dc8b-44e0-a6c8-195e09d539c6?mescoid=2900462001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #5372,Not specified
10,pharmacist,Title posted on indeed.com -Pharmacist (part time),"May 21, 2024",Not specified,,,,"May 21, 2024",Orangeville Pharmacy,Orangeville (ON),Salary: $50.00 hourly,9288646201,https://ca.indeed.com/viewjob?jk=3f5f8706ed6e2572&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Orangeville , ON",$ 50.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9288646201,Not specified
11,pharmacist,,"May 29, 2024",Not specified,,,,"May 29, 2024",Balser's Pharmacy,Digby (NS),Salary: $50.00 hourly,9299900175,https://ca.indeed.com/viewjob?jk=50a5fdb4c21dcc34&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Digby , NS",$ 50.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9299900175,Not specified
12,pharmacist,,"May 31, 2024",Not specified,,,,"May 31, 2024",Grantham Pharmacy,St. Catharines (ON),Salary: $57.00 to $60.00 hourly,9303683412,https://ca.indeed.com/viewjob?jk=df990d4eb8de14ad&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Catharines , ON",$ 57.00 to $ 60.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9303683412,Not specified
13,pharmacist,,"May 24, 2024",Not specified,,,,"May 24, 2024",Strathmore Remedys Rx Pharmacy,Calgary (AB),Salary: $55.00 to $60.00 hourly,9293963046,https://ca.indeed.com/viewjob?jk=4406c998235179f1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 55.00 to $ 60.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9293963046,Not specified
14,pharmacist,,"May 26, 2024",2024-06-25,,,,"May 26, 2024",Vitalité Health Network,Bathurst (NB),Salary: $53.61 hourly,98378,https://www.careerbeacon.com/en/job/1647759/vitalite-health-network/pharmacist/bathurst?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bathurst , NB",$ 53.61 HOUR hourly,Not available,Starts as soon as possible,Not specified,CareerBeacon #98378,Not specified
15,pharmacist,,"May 22, 2024",2024-06-20,,,,"May 22, 2024",Family Care Pharmacy,White Rock (BC),"Salary: $150,488.91 annually",5008ed4312,https://www.ziprecruiter.com/k/t/AAIdGE6DcY8P4D28Pnr09mOKfVRr5_lLPPP6UKvoQKBzmsuufqghHMr9XzeRVz3SC-OKhzgcG_8RzF49SwVi55JYNJd-FG4-kZF1CptmfGbTphh3MjmVbJVYfznUeEV67AI4RdfT4eWsXqzh1MTyQP10_3_SrAT7K7DGSvOOM6mf-KglNW0xT_Ozm09woEXlupaR92mASKhNVlRytJzIX0rW-CBaS_hTJo0UuBzFP09UvOpvcMF1Qv_MbxJXSfAs7w4zZyDcs2TDto0tdFJAqI0W2YNSB98Lt-PGf8GlDJM,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","White Rock , BC","$ 150,488.9 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #5008ed4312,Not specified
16,pharmacist,,"June 07, 2024",Not specified,,,,"June 07, 2024",Mint Health + Drugs,Grande Prairie (AB),Salary not available,9313871651,https://ca.indeed.com/viewjob?jk=f851c5a4a6211119&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grande Prairie , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9313871651,Not specified
17,pharmacist,Title posted on CareerBeacon -Fredericton Pharmacist 1 (PH01) PCN 872,"June 10, 2024",2024-07-10,,,,"June 10, 2024",Horizon Health Network,Fredericton (NB),Salary: $42.12 hourly,182452,https://www.careerbeacon.com/en/job/2074397/horizon-health-network/fredericton-pharmacist-1-ph01-pcn-1151872/fredericton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",$ 42.12 HOUR hourly,Not available,Starts as soon as possible,Not specified,CareerBeacon #182452,Not specified
18,pharmacist,,"June 06, 2024",Not specified,,,,"June 06, 2024",Lorraine's Pharmsave,Barry's Bay (ON),Salary: $60.00 hourly,9312109937,https://ca.indeed.com/viewjob?jk=606c0409f0cd2177&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barry's Bay , ON",$ 60.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312109937,Not specified
19,pharmacist,,"May 23, 2024",Not specified,,,,"May 23, 2024",Agile Healthcare,Huntsville (ON),Salary: $55.00 to $62.00 hourly,9292077948,https://ca.indeed.com/viewjob?jk=b541bbc7e17ca364&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Huntsville , ON",$ 55.00 to $ 62.00 HOUR hourly,Not specified,Starts as soon as possible,1 vacancy,indeed.com #9292077948,Not specified
20,pharmacist,,"June 10, 2024",Not specified,,,,"June 10, 2024",Pharmasave YVR,Richmond (BC),Salary: $48.00 to $52.00 hourly,9316834163,https://ca.indeed.com/viewjob?jk=961353f2b6456ba9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",$ 48.00 to $ 52.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9316834163,Not specified
21,pharmacist,,"June 06, 2024",2024-07-05,,,,"June 06, 2024",Metro,St. Catharines (ON),Salary not available,13956846,https://www.jobillico.com/en/job-offer/metro/pharmacist/13956846?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Catharines , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13956846,Not specified
22,pharmacist,,"June 06, 2024",2024-07-05,,,,"June 06, 2024",Metro,Cobourg (ON),Salary not available,13962975,https://www.jobillico.com/en/job-offer/metro/pharmacist/13962975?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cobourg , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13962975,Not specified
