,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,recruitment specialist,Title posted on Monster -Recruitment Specialist (Temporary Position),"June 21, 2024",2024-07-22,,,,"June 21, 2024",FLINT Corp.,Calgary (AB),Salary not available,acdf8ad3d4d64612883a7d259345d9c7,https://job-openings.monster.ca/recruitment-specialist-temporary-position-calgary-ab-ca-flint-corp/b5f97392-584e-4308-8a46-584233e6907e?mescoid=1300081001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #acdf8ad3d4d64612883a7d259345d9c7,Not specified
1,recruitment specialist,,"June 05, 2024",2024-07-05,,,,"June 05, 2024",Kanset Services Inc.,Toronto (ON),Salary not available,274370050,https://job-openings.monster.ca/recruitment-specialist-toronto-on-ca-kanset-services-inc/274370050?mescoid=1300081001001&mstr_dist=true,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #274370050,Not specified
2,recruitment specialist,,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Shannex,Sydney (NS),Salary not available,2027692,https://www.careerbeacon.com/en/job/2027692/shannex/recruitment-specialist/sydney?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sydney , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2027692,Not specified
3,recruitment specialist,Title posted on Monster -HR Contractor - Recruitment Specialist,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Abacus Service Corporation,La Prairie (QC),Salary not available,24-04401-345-1,https://job-openings.monster.ca/hr-contractor-recruitment-specialist-la-prairie-qc-ca-abacus-service-corporation/03ee2590-7759-4560-bd73-5a7e2c9eb4ae?mescoid=1300081001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","La Prairie , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-04401-345-1,Not specified
4,recruitment specialist,,"June 05, 2024",Not specified,,,,"June 05, 2024",Kiwi Newton Group,Guelph (ON),Salary not available,9310469898,https://ca.indeed.com/viewjob?jk=acb195ff35186e55&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Guelph , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310469898,Not specified
5,recruitment specialist,Title posted on Monster -Sourcing and Recruitment Specialist,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Xerox,Vancouver (BC),Salary not available,DE17ZXBP,https://job-openings.monster.ca/sourcing-recruitment-specialist-vancouver-bc-ca-xerox/3d524a52-15ab-4e49-a85b-910b2463a915?mescoid=1300081001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #DE17ZXBP,Not specified
6,recruitment specialist,,"May 28, 2024",2024-07-10,,,,"May 28, 2024",Shannex,Truro (NS),Salary not available,2062189,https://www.careerbeacon.com/en/job/2062189/shannex/recruitment-specialist/truro?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Truro , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2062189,Not specified
7,recruitment specialist,Title posted on Jobillico -Talent Acquisition Specialist,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Coveo Solutions inc.,Montréal (QC),Salary not available,14020791,https://www.jobillico.com/en/job-offer/coveo-solutions-inc/talent-acquisition-specialist/14020791?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #14020791,Not specified
8,recruitment specialist,,"May 29, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",SSA Recruitment Ltd,Vancouver (BC),Salary: $30.00 to $36.00 hourly (to be negotiated),2938389,,"{'Language Requirement': 'English or French', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Vancouver , BC",$ 30.00 to $ 36.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2938389,Not specified
9,recruitment specialist,,"June 01, 2024",2024-07-01,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 01, 2024",BCLOUD TECHNOLOGY INC.,Brampton (ON),Salary: $34.00 hourly,2943184,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Brampton , ON",$ 34.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2943184,"Overtime, On Call, Flexible Hours"
10,recruitment specialist,,"June 04, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",Eminence Consulting Services,Brampton (ON),Salary: $34.00 hourly,2946662,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Brampton , ON",$ 34.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2946662,Not specified
11,recruitment specialist,,"March 15, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 15, 2024",Pearl Technologies LTD.,Toronto (ON),Salary: $34.00 hourly,2839097,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Toronto , ON",$ 34.00 HOUR hourly / 37 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2839097,Day
12,recruitment specialist,,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",1000075581 Ontario Corp.,Etobicoke (ON),Salary: $25.00 hourly,2944017,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Etobicoke , ON",$ 25.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2944017,In-house position at the agency
13,recruitment specialist,,"May 21, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 21, 2024",Hudson HR,Mississauga (ON),Salary: $34.50 hourly,2921767,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","7071 Airport Rd suite Unit-2A Mississauga , ON L4T 4J3",$ 34.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2921767,In-house position at the agency
14,recruitment specialist,,"April 11, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 11, 2024",SVEN Solutions,Etobicoke (ON),Salary: $33.75 hourly,2876330,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Etobicoke , ON",$ 33.75 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2876330,"Day, Weekend, Shift, Flexible Hours"
15,recruitment specialist,,"April 05, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 05, 2024",Y International Recruiting & Immigration Services Inc.,Sudbury (ON),Salary: $31.25 hourly,2866810,,"{'Language Requirement': 'English or French', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Free parking available']}","885 Regent St. Sudbury , ON P3E 5M4",$ 31.25 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2866810,In-house position at the agency
16,recruitment specialist,,"April 04, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 04, 2024",AP Immigration & Employment Services LTD.,Surrey (BC),Salary: $30.00 hourly,2864534,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Commission']}","Surrey , BC",$ 30.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2864534,In-house position at the agency
17,recruitment specialist,,"April 10, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 10, 2024",TMC2 Manufacturing,North Vancouver (BC),Salary: $29.00 to $32.00 hourly (to be negotiated),2873759,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Bonus', 'Long-term care insurance', 'Free parking available', 'Paid time off (volunteering or personal days)', 'Subsidised public transportation', 'Team building opportunities']}","North Vancouver , BC",$ 29.00 to $ 32.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2873759,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
18,recruitment specialist,,"March 22, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 22, 2024",Swami Enterprises,Brampton (ON),Salary: $27.00 hourly,2848260,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Brampton , ON",$ 27.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2848260,Not specified
19,recruitment specialist,,"April 08, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 08, 2024",AGF Employment Inc,North York (ON),Salary: $28.90 hourly,2869340,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","North York , ON",$ 28.90 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2869340,In-house position at the agency
