,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,RN (registered nurse),Title posted on indeed.com -Registered Nurse (RN),"May 20, 2024",Not specified,,,,"May 20, 2024",A-SUPREME NURSING & HOME CARE SERVICES,Cobourg (ON),Salary: $60.00 to $65.00 hourly,9287015420,https://ca.indeed.com/viewjob?jk=4e9bd8ad82f22d4f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cobourg , ON",$ 60.00 to $ 65.00 HOUR hourly,Casual employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9287015420,Not specified
1,registered nurse (R.N.),Title posted on ZipRecruiter -Registered Nurse Emergency Department,"June 11, 2024",2024-07-10,,,,"June 11, 2024",3Angels Healthcare Corporation,Uplands Park (NS),Salary not available,ad82c429,https://www.ziprecruiter.com/k/t/AAIvGfaNyvbGbkoDljBmarB4qJXOUXcS0Xx3gIUJmc_7m7Mbl6G4DYKGuTsXltbHbRW5NC9M9GXsS4PPv40h4iOrde0LJm--ItgUR9GP0fCJZx0sBkgpJ_V0xvPDjmdSq_xAwHB_rbz9QOA724ATHvCA9QNiNGL2sT8iMxxcAkqhRygfX0DalrEFG1nx9VX6Odm4Rzi2hjb7bp-y6nb0oflmiaVt7nJBF_u7SSmtqp4zKh3BN2iUPtgPMWPnDlgclfzqmWme1aPKcdQMFB616N_K5Ce_zOmxhaVfc3tktUvFZAUWweEAWUDAR6CN53Lxs-7Xr0-Gd_qI9gjUsykvnH1MP6Q,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Uplands Park , NS",Not available,Not specified,Starts as soon as possible,1 vacancy,ZipRecruiter #ad82c429,Not specified
2,registered nurse (R.N.),Title posted on Monster -Registered Nurse,"June 10, 2024",2024-07-11,,,,"June 10, 2024",Extendicare,Winnipeg (MB),Salary not available,274563421,https://job-openings.monster.ca/registered-nurse-winnipeg-mb-ca-extendicare/274563421?mescoid=2900498001001&mstr_dist=true,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #274563421,Not specified
3,registered nurse (R.N.),Title posted on Monster -Registered Nurse,"June 12, 2024",2024-07-12,,,,"June 12, 2024",Paramed,Sault Ste. Marie (ON),Salary not available,R13162,https://job-openings.monster.ca/registered-nurse-sault-ste.-marie-on-ca-paramed/07a9113f-ebd0-4fdb-9a90-3f98cf55734a?mescoid=2900498001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sault Ste. Marie , ON",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,Monster #R13162,Not specified
4,registered nurse (R.N.),Title posted on Monster -Travel Registered Nurses Needed!!,"June 10, 2024",2024-07-11,,,,"June 10, 2024",TEEMA,Various locations,Salary not available,WZPM1R9A,https://job-openings.monster.ca/travel-registered-nurses-needed!!-n-a-ns-ca-teema/eb079057-f165-4eb6-b9e7-dff3dd8d1fc8?mescoid=2900498001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Various locations Antigonish , , NS North Noel Road , , NS",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #WZPM1R9A,Not specified
5,registered nurse (R.N.),Title posted on Monster -Travel Registered Nurses Needed!!,"June 07, 2024",2024-07-08,,,,"June 07, 2024",TEEMA,Various locations,Salary not available,7DDYWEYN,https://job-openings.monster.ca/travel-registered-nurses-needed!!-n-a-on-ca-teema/34ed845c-cf0b-4517-9e07-dce50c722299?mescoid=2900498001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Various locations Applewood Acres , , ON Industrial Sector N , , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #7DDYWEYN,Not specified
6,RN (registered nurse),Title posted on indeed.com -Registered Nurse (RN) PEDI ONC,"June 06, 2024",Not specified,,,,"June 06, 2024",Canadian Travel Nurses,Sherbrooke (QC),Salary: $34.00 to $50.00 hourly,9312200552,https://ca.indeed.com/viewjob?jk=ed79b7e1df93b09c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherbrooke , QC",$ 34.00 to $ 50.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312200552,Not specified
7,RN (registered nurse),Title posted on indeed.com -Registered Nurse (RN),"May 15, 2024",Not specified,,,,"May 15, 2024",Langley Lodge,Langley (BC),Salary: $41.00 to $55.00 hourly,9280538617,https://ca.indeed.com/viewjob?jk=404b8e3cb2d7e294&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 41.00 to $ 55.00 HOUR hourly,Casual employment,Starts as soon as possible,1 vacancy,indeed.com #9280538617,Not specified
8,RN (registered nurse),Title posted on indeed.com -REGISTERED NURSE PICU,"June 07, 2024",Not specified,,,,"June 07, 2024",Canadian Travel Nurses,Regina (SK),Salary: $34.00 to $50.00 hourly,9314037629,https://ca.indeed.com/viewjob?jk=5057c5898b4a93e7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",$ 34.00 to $ 50.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9314037629,Not specified
9,registered nurse (R.N.),Title posted on Monster -Registered Nurse (ED),"May 29, 2024",2024-06-29,,,,"May 29, 2024",Greenstaff Medical Ltd.,Winnipeg (MB),Salary not available,273960537,https://job-openings.monster.ca/registered-nurse-ed-winnipeg-mb-ca-greenstaff-medical-ltd/273960537?mescoid=2900498001001&mstr_dist=true,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #273960537,Not specified
