,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"manager, restaurant",Title posted on indeed.com -Restaurant Manager,"June 14, 2024",Not specified,,,,"June 14, 2024",Dopamina Restaurant Inc.,Toronto (ON),"Salary: $75,000.00 annually",9323475742,https://ca.indeed.com/viewjob?jk=816e8f7eee763f35&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 75,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9323475742,Not specified
1,"manager, restaurant",Title posted on indeed.com -Restaurant Manager,"June 18, 2024",Not specified,,,,"June 18, 2024",King Eddy Live Music Limited,Calgary (AB),"Salary: $48,000.00 to $55,000.00 annually",9328214545,https://ca.indeed.com/viewjob?jk=aaba0e645966ce1d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 48,000 to $ 55,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328214545,Not specified
2,"manager, restaurant",Title posted on indeed.com -Restaurant Manager,"June 21, 2024",Not specified,,,,"June 21, 2024",BEEST-Roast Beef Marinated Ramen,Vancouver (BC),Salary: $25.00 to $28.00 hourly,9333511279,https://ca.indeed.com/viewjob?jk=3c2ca29abb54dd51&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 25.00 to $ 28.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333511279,Not specified
3,"manager, restaurant",Title posted on indeed.com -Restaurant Manager,"June 11, 2024",Not specified,,,,"June 11, 2024",Tipsy Moose Pub,Edmonton (AB),"Salary: $42,000.00 to $63,000.00 annually",9319074211,https://ca.indeed.com/viewjob?jk=7fe2aba985e731be&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 42,000 to $ 63,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9319074211,Not specified
4,"manager, restaurant",Title posted on indeed.com -Restaurant Manager,"June 21, 2024",Not specified,,,,"June 21, 2024",Helvaci Ali Inc.,Mississauga (ON),"Salary: $35,000.00 to $42,000.00 annually",9333116593,https://ca.indeed.com/viewjob?jk=3ee9a287c06f9d7c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 35,000 to $ 42,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333116593,Not specified
5,"manager, restaurant",Title posted on indeed.com -A&W Restaurant Manager,"June 17, 2024",Not specified,,,,"June 17, 2024",A&W,Elmira (ON),"Salary: $45,000.00 annually",9326926955,https://ca.indeed.com/viewjob?jk=0a7af6bc0ecff247&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Elmira , ON","$ 45,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326926955,Not specified
6,"manager, restaurant",Title posted on indeed.com -A&W Restaurant Manager,"June 17, 2024",Not specified,,,,"June 17, 2024",A&W,Kitchener (ON),"Salary: $45,000.00 annually",9326928817,https://ca.indeed.com/viewjob?jk=b10b25dca7d2cbb9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON","$ 45,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326928817,Not specified
7,"manager, restaurant",Title posted on indeed.com -A&W Restaurant Manager,"June 17, 2024",Not specified,,,,"June 17, 2024",A&W,Kitchener (ON),"Salary: $55,000.00 annually",9326595946,https://ca.indeed.com/viewjob?jk=adfbfe4ec7923471&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON","$ 55,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326595946,Not specified
8,restaurant manager,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Shree jee indian restaurant,Grande Prairie (AB),Salary: $25.00 hourly,2969118,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","10004 -100 ave suite a Grande Prairie , AB T8V 0V3",$ 25.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2969118,In-house position at the agency
9,restaurant manager,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",Rozzini's Restaurant,Calgary (AB),Salary: $28.00 hourly,2955297,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Calgary , AB",$ 28.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955297,Not specified
