,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,school secretary,Title posted on Jobillico -S-23-371 | School Secretary (Replacement),"June 12, 2024",2024-07-11,,,,"June 12, 2024",Eastern Townships School Board,Sutton (QC),Salary: $22.81 to $27.10 hourly,13997670,https://www.jobillico.com/en/job-offer/eastern-townships-school-board-byspmq/s-23-371-school-secretary-replacement-/13997670?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sutton , QC",$ 22.81 to $ 27.10 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,Jobillico #13997670,Not specified
1,office administrator,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",DW Custom Homes Inc.,Brampton (ON),Salary: $29.10 hourly,2957723,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 29.10 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957723,Not specified
2,office administrator,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Peel Insurance & Financial Services Inc.,Mississauga (ON),Salary: $28.50 hourly,2957654,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Mississauga , ON",$ 28.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957654,Not specified
3,office administrator,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",The Garden Guys Inc.,Edmonton (AB),Salary: $30.00 hourly,2957194,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 30.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957194,"Shift, Morning"
4,office administrator,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Superway Manpower Solutions Inc.,Dartmouth (NS),Salary: $26.50 hourly,2956092,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Dartmouth , NS",$ 26.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956092,In-house position at the agency
5,office administrator,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Superway constructions Inc,Dartmouth (NS),Salary: $26.50 hourly,2955946,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Dartmouth , NS",$ 26.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955946,Not specified
6,office administrator,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",KSS Drywall and Construction Ltd.,Surrey (BC),Salary: $28.85 hourly,2957097,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Surrey , BC",$ 28.85 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2957097,"Day, Evening, Flexible Hours, Morning"
7,administration officer,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",SPINE NETWORKING SOLUTIONS LTD.,Edmonton (AB),Salary: $30.00 hourly,2954449,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Edmonton , AB",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954449,Not specified
8,office administrator,,"June 11, 2024",2024-06-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",DREAM CATCHER DRYWALL LTD.,Surrey (BC),Salary: $29.00 hourly,2956706,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","201 - 9250 120th Street Surrey , BC V3V 4B7",$ 29.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956706,Day
9,office administrator,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Every Route Transport Inc.,Abbotsford (BC),Salary: $29.00 hourly,2957191,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Abbotsford , BC",$ 29.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957191,"Day, Morning"
10,office administrator,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",SKG IMMIGRATION SERVICES INC,Brampton (ON),Salary: $28.50 hourly,2950353,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 28.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950353,Not specified
11,office administrator,,"June 06, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",Road Riders Express Inc,Halifax (NS),Salary: $29.00 hourly,2949109,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Halifax , NS",$ 29.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2949109,"Evening, Night, Shift, On Call, Flexible Hours, To be determined, Early Morning, Morning"
12,administrative officer,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",Elante Transport Ltd,Abbotsford (BC),Salary: $28.85 hourly,2952336,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Abbotsford , BC",$ 28.85 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2952336,Not specified
13,office administrator,,"June 04, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",Leduc Stars Academy,Leduc (AB),Salary: $30.00 hourly,2947209,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Leduc , AB",$ 30.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947209,Not specified
14,office administrator,,"June 05, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",7052171 Manitoba Ltd.,Winnipeg (MB),Salary: $25.00 hourly,2948571,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Winnipeg , MB",$ 25.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2948571,Not specified
15,office administrator,,"June 05, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",6513255 CANADA INC.,Brampton (ON),Salary: $28.50 hourly,2948567,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 28.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2948567,Not specified
16,administrative officer,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",The Better Immigration Consulting,Coquitlam (BC),Salary: $28.85 hourly,2956547,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","341 North Road Coquitlam , BC V3K 3V8",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956547,Not specified
17,administrative officer,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",WHEN WE EAT,Pitt Meadows (BC),Salary: $28.85 to $32.40 hourly (to be negotiated),2956578,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","19055 AIRPORT WAY Pitt Meadows , BC V3Y 0G4",$ 28.85 to $ 32.40 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956578,Not specified
18,administration officer,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",GURM HOLDING LTD.,Edmonton (AB),Salary: $30.00 hourly,2956121,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Edmonton , AB",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956121,Not specified
19,administrative officer,,"May 31, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 31, 2024",Canadas Best Value Inn,Hope (BC),Salary: $30.00 hourly,2941785,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Hope , BC",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2941785,Not specified
20,office administrator,,"June 06, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",AceInfluence Inc.,Brampton (ON),Salary: $28.50 hourly,2950630,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Brampton , ON",$ 28.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950630,Not specified
21,office administrator,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Static Wrapz,Barrie (ON),Salary: $28.50 hourly,2959646,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","132 Commerce Park Dr Barrie , ON L4N 8W8",$ 28.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959646,Not specified
22,office administrator,,"June 06, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",Speed Truck & Trailer Repair Ltd.,Surrey (BC),Salary: $28.85 hourly,2950727,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 28.85 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950727,Not specified
