,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,structural engineer,,"June 12, 2024",Not specified,,,,"June 12, 2024",IQ Engineering Ltd.,Abbotsford (BC),"Salary: $80,000.00 to $120,000.00 annually",9320031610,https://ca.indeed.com/viewjob?jk=0d9954f285ae2b14&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC","$ 80,000 to $ 120,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320031610,Not specified
1,structural engineer,,"June 21, 2024",Not specified,,,,"June 21, 2024",Open People Network,Whitby (ON),"Salary: $75,000.00 to $85,000.00 annually",9332895378,https://ca.indeed.com/viewjob?jk=5bbecb50303e98d2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON","$ 75,000 to $ 85,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9332895378,Not specified
2,structural engineer,,"June 15, 2024",2024-07-16,,,,"June 15, 2024",IIQAF,Cornwall (ON),Salary not available,175705,https://job-openings.monster.ca/structural-engineer-ontario-on-ca-iiqaf/7b5039ec-69a6-49a9-9424-415f6c50c98c?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #175705,Not specified
3,structural engineer,"Title posted on Monster -Structural Engineer-in-Training, Buildings","June 18, 2024",2024-07-19,,,,"June 18, 2024",WSP USA,Calgary (AB),Salary not available,D244165F27AB4DFEA41CE1A73D41FEB6,https://job-openings.monster.ca/structural-engineer-in-training-buildings-calgary-ab-ca-wsp-usa/e9f7df2c-70a2-4683-91d4-9f7bb51194e3?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #D244165F27AB4DFEA41CE1A73D41FEB6,Not specified
4,structural engineer,Title posted on Monster -Intermediate Structural Engineer,"June 10, 2024",2024-07-11,,,,"June 10, 2024",Entuitive,Calgary (AB),Salary not available,E55AF12CA8,https://job-openings.monster.ca/intermediate-structural-engineer-calgary-ab-ca-entuitive/dcfb9420-6632-4af6-8b8c-3b895c0c26ca?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #E55AF12CA8,Not specified
5,structural engineer,,"June 17, 2024",Not specified,,,,"June 17, 2024",co-elevate,London (ON),Salary not available,9327099732,https://ca.indeed.com/viewjob?jk=c67eaaf2cbdde95a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327099732,Not specified
6,structural engineer,Title posted on Monster -Intermediate Structural Engineer,"June 11, 2024",2024-07-12,,,,"June 11, 2024",Linxus Group,Kitchener (ON),Salary not available,1548666,https://job-openings.monster.ca/intermediate-structural-engineer-kitchener-on-ca-linxus-group/c89d9541-b529-4d9c-b474-ffb2a828cf39?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1548666,Not specified
7,structural engineer,Title posted on indeed.com -Intermediate Structural Engineer,"June 13, 2024",Not specified,,,,"June 13, 2024",Rempel Engineering & Management Ltd.,Prince Albert (SK),Salary not available,9321852705,https://ca.indeed.com/viewjob?jk=aef7dccf5f6022fd&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince Albert , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9321852705,Not specified
8,structural engineer,Title posted on Monster -Senior Structural Engineer - Project manager,"June 02, 2024",2024-07-03,,,,"June 02, 2024",Norda Stelo,Toronto (ON),Salary not available,4549194,https://job-openings.monster.ca/senior-structural-engineer-project-manager-toronto-on-ca-norda-stelo/4b55b181-bf86-4917-8382-4ecc86b71ba7?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #4549194,Not specified
9,structural engineer,Title posted on CareerBeacon -Senior Structural Engineer (3),"June 09, 2024",2024-07-09,,,,"June 09, 2024",GEMTEC Consulting Engineers and Scientists Limited,Moncton (NB),Salary not available,2021250,https://www.careerbeacon.com/en/job/2021250/gemtec-consulting-engineers-and-scientists-limited/senior-structural-engineer-22013/moncton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moncton , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2021250,Not specified
