,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,systems analyst,,"June 12, 2024",2024-06-26,,,,"June 12, 2024",Richmond Olympic Oval,Richmond (BC),"Salary: $72,546.00 annually",95382,https://www.civicjobs.ca/jobs?id=95382,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC","$ 72,546 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95382,Not specified
1,systems analyst,Title posted on Monster -Part-time Data Quality Analyst (Fraud Investigation),"June 05, 2024",2024-07-06,,,,"June 05, 2024",owl.co,Montréal (QC),Salary not available,3C83F38C71,https://job-openings.monster.ca/part-time-data-quality-analyst-fraud-investigation-montreal-qc-ca-owl-co/9add7422-e84d-49f5-8ada-b47c33082fcc?mescoid=1500143001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Term or contract Part time,Starts as soon as possible,1 vacancy,Monster #3C83F38C71,Not specified
2,systems analyst,Title posted on CivicJobs.ca -Telephony Systems Analyst 3,"May 21, 2024",2024-06-21,,,,"May 21, 2024",Surrey Police Service,Surrey (BC),Salary: $55.86 hourly,94640,https://www.civicjobs.ca/jobs?id=94640,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 55.86 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94640,Not specified
3,systems analyst,Title posted on CivicJobs.ca -Systems Analyst 2,"May 24, 2024",2024-06-24,,,,"May 24, 2024",Surrey Police Service,Surrey (BC),Salary: $47.52 hourly,94776,https://www.civicjobs.ca/jobs?id=94776,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 47.52 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94776,Not specified
4,computer systems analyst,Title posted on CareerBeacon -Systems Analyst,"June 14, 2024",2024-07-14,,,,"June 14, 2024",NTT DATA,Halifax (NS),Salary not available,2017708,https://www.careerbeacon.com/en/job/2017708/ntt-data/systems-analyst/halifax?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2017708,Not specified
5,"analyst, systems",Title posted on indeed.com -ERP Systems Analyst,"June 13, 2024",Not specified,,,,"June 13, 2024",The Peelle Company Ltd.,Brampton (ON),"Salary: $65,000.00 to $75,000.00 annually",9321737905,https://ca.indeed.com/viewjob?jk=04e11502b0dcf027&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON","$ 65,000 to $ 75,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9321737905,Not specified
6,systems analyst,Title posted on Monster -Quality Analyst,"June 13, 2024",2024-07-14,,,,"June 13, 2024","ClifyX, INC",Toronto (ON),Salary not available,24-00872-1350-1,https://job-openings.monster.ca/quality-analyst-toronto-on-ca-clifyx-inc/a220e97b-5f5a-4227-9f90-5b63137f5b9d?mescoid=1700192001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00872-1350-1,Not specified
7,computer systems analyst,Title posted on CareerBeacon -Systems Analyst,"May 19, 2024",2024-06-18,,,,"May 19, 2024",NTT DATA,Toronto (ON),Salary not available,2002535,https://www.careerbeacon.com/en/job/2002535/ntt-data/systems-analyst/toronto?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2002535,Not specified
8,systems analyst,,"June 08, 2024",2024-07-08,,,,"June 08, 2024",Cooke Aquaculture Inc.,Saint John (NB),Salary not available,1946683,https://www.careerbeacon.com/en/job/1946683/cooke-aquaculture-inc/systems-analyst/saint-john?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint John , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1946683,Not specified
9,systems analyst,Title posted on CareerBeacon -Senior Systems Analyst (Salesforce),"May 28, 2024",2024-06-26,,,,"May 28, 2024",Sobeys Inc.,Calgary (AB),Salary not available,2034889,https://www.careerbeacon.com/en/job/2034889/sobeys-inc/senior-systems-analyst-salesforce/calgary?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2034889,Not specified
10,applications analyst - computer systems,Title posted on Monster -Patient Scheduling Application Analyst,"June 13, 2024",2024-07-14,,,,"June 13, 2024",LanceSoft Inc,Kimberley (BC),Salary not available,24-29079-431-2,https://job-openings.monster.ca/patient-scheduling-application-analyst-british-columbia-bc-ca-lancesoft-inc/64c091fa-357b-4de2-9db0-3ea5e7a55fb8?mescoid=1500123001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kimberley , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-29079-431-2,Not specified
11,systems analyst,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Milestone Tire Canada,Scarborough (ON),Salary: $41.50 to $43.00 hourly (to be negotiated),2955824,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","170 Milner Avenue1 Scarborough , ON M1S 3R3",$ 41.50 to $ 43.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955824,Not specified
12,"analyst, computer",Title posted on Jobillico -BI Analyst,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Fed IT,Montréal (QC),"Salary: $75,000.00 to $95,000.00 annually",13965348,https://www.jobillico.com/en/job-offer/fed-it-dszhrq/bi-analyst/13965348?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 75,000 to $ 95,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13965348,In-house position at the agency
13,systems analyst,,"June 06, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",Arora Technologies Ltd.,Vancouver (BC),Salary: $45.00 hourly,2950341,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Vancouver , BC",$ 45.00 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950341,Not specified
14,systems analyst,Title posted on ZipRecruiter -Data Quality Analyst,"May 21, 2024",2024-06-21,,,,"May 21, 2024",Connect6 Group Inc.,Toronto (ON),Salary: $31.38 hourly,bf3ed90f,https://www.ziprecruiter.com/k/t/AAKu0j2V6hYI106DEAU338VMClOCqdpB9ZHO2v8KLQy5UYMubrsM77t7-KmElwLa7cII21egGoScx0wz_Rwu08Aanak83AWjN66aC252KpiKqHdx3RhwMT209wgWFTkRY2lMTojG5vBQpDQjwWNb7r8HoGZ1SG96nCVosrAZ1Sl5ogygp0lSQEmM11-zeHfAswMdKLDI1j38GFOY3oFBfEVj8vmoVMXx4YgnvLhbK81LYBCoyBTtx2lFGRrTVF7VzBItjHiWzpeQpv4TGVa-wp7vz0XLAM7qSSPVL3B5hjYRrIYfF6cT,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 31.38 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #bf3ed90f,Not specified
15,systems analyst,,"May 30, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 30, 2024",XCELERATE,Mississauga (ON),Salary: $42.00 hourly,2940561,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Health care plan']}","2425 Matheson Blvd E Mississauga , ON L4W 5K4",$ 42.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2940561,"Benefits:
					Health benefits"
16,systems analyst,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Toromont Cat,Concord (ON),"Salary: $86,008.00 to $90,000.00 annually (to be negotiated)",2958310,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Bonus', 'Group insurance benefits', 'Life insurance', 'Pension plan', 'Registered Retirement Savings Plan (RRSP)', 'Long-term care insurance', 'Free parking available', 'Learning/training paid by employer', 'On-site amenities', 'Other benefits', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Parking available', 'Travel insurance', 'Wellness program']}","3131 Highway 7 Concord , ON L4K 1B7","$ 86,008 to $ 90,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958310,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
17,systems analyst,,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",AUAV Tech,Calgary (AB),Salary: $48.08 hourly,2935272,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan']}","Calgary , AB",$ 48.08 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2935272,"Benefits:
					Health benefits"
18,systems analyst,,"March 18, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 18, 2024",ABSOLUTE INFO SYSTEMS LTD,Calgary (AB),Salary: $48.10 hourly,2840904,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","72 Nolanhurst Cres NW Calgary , AB T3R 0Z3",$ 48.10 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2840904,"Day, Morning"
19,systems analyst,Title posted on CivicJobs.ca -Senior Systems Analyst,"June 13, 2024",2024-07-04,,,,"June 13, 2024",Victoria Police Department,Victoria (BC),Salary: $58.40 hourly,95430,https://www.civicjobs.ca/jobs?id=95430,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 58.40 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95430,Not specified
20,"analyst, information systems - computer systems",,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Arvato Systems North America Inc.,Toronto (ON),"Salary: $86,500.00 annually",2928651,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Pension plan', 'Other benefits']}","130 King Street West Toronto , ON M5X 2A2","$ 86,500 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2928651,"Benefits:
					Health benefits, Financial benefits, Other benefits"
