,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,tour guide,,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",Banff Guide Service,Banff (AB),Salary: $20.00 hourly,2943608,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Dental plan', 'Health care plan', 'Commission', 'Gratuities', 'Group insurance benefits']}","222 Lynx Street Banff , AB T1L 1C1",$ 20.00 HOUR hourly / 30 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2943608,"Benefits:
					Health benefits, Financial benefits"
1,tour guide,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Irina International Tours,Thornhill (ON),Salary: $18.00 hourly,2973479,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Thornhill , ON",$ 18.00 HOUR hourly / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2973479,Not specified
2,tour guide,,"June 18, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Parish of St. Thomas',St. John's (NL),Salary: $15.60 hourly,2963125,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Free parking available']}","8 Military Road St. John's , NL A1C 2C4",$ 15.60 HOUR hourly / 35 hours per week,Term or contract (ending: 2024-08-26) Full time,"Starts as soon as 2024-07-02					
						to
						2024-08-26",1 vacancy,Job Bank #2963125,"Benefits:
					Other benefits"
3,tour guide,,"June 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",The Aurora Borealis Experience,Yellowknife (NT),Salary: $16.05 hourly,2947295,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Yellowknife , NT",$ 16.05 HOUR hourly / 35 to 45 hours per week,Seasonal employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947295,"Day, Evening, Night, Weekend, Shift, On Call, Flexible Hours, Early Morning, Morning"
4,tour guide,,"May 30, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 30, 2024",Northern Tales Travel Services,Whitehorse (YT),Salary: $21.00 hourly,2939864,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Life insurance']}","Whitehorse , YT",$ 21.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-07-15,6,Job Bank #2939864,"Benefits:
					Health benefits, Financial benefits"
5,tour guide,,"May 27, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 27, 2024",TRUEXPERIENCES TOURS INC.,Toronto (ON),Salary: $22.00 to $27.00 hourly (to be negotiated),2933209,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Gratuities', 'Parking available']}","Toronto , ON",$ 22.00 to $ 27.00 HOUR hourly (To be negotiated) / 20 to 44 hours per week,Seasonal employment Part time leading to full time,Starts as soon as 2024-06-03,2,Job Bank #2933209,"Benefits:
					Financial benefits, Other benefits"
6,walking tour guide,,"June 11, 2024",Not specified,,,,"June 11, 2024",Toonie Tours,Victoria (BC),Salary: $18.00 to $40.00 hourly,9318911209,https://ca.indeed.com/viewjob?jk=a943b37f23c44641&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 18.00 to $ 40.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318911209,Not specified
7,speleology  tour guide,Title posted on indeed.com -Tour Guide,"June 11, 2024",Not specified,,,,"June 11, 2024",Global Cruises LLC,Charlottetown (PE),Salary: $40.00 to $50.00 hourly,9318357708,https://ca.indeed.com/viewjob?jk=033692f4b2f3d297&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Charlottetown , PE",$ 40.00 to $ 50.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9318357708,Not specified
8,tour guide,,"June 08, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 08, 2024",Kanoe People Ltd.,Whitehorse (YT),Salary: $20.50 hourly,2952762,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1147 Front Street Whitehorse , YT Y1A 0G5",$ 20.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-06-08,5,Job Bank #2952762,Flexible Hours
9,bus tour guide,,"June 04, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",Husky Bus / The Klondike Experience,Dawson (YT),Salary: $24.17 hourly,2947190,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","954 Second Avenue Dawson , YT Y0B 1G0",$ 24.17 HOUR hourly / 30 to 45 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947190,Flexible Hours
