,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,video producer,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",AMG Technologies LTD,Burnaby (BC),Salary: $35.00 to $60.00 hourly (to be negotiated),2968811,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Burnaby , BC",$ 35.00 to $ 60.00 HOUR hourly (To be negotiated) / 10 to 30 hours per week,Term or contract Part time leading to full time,Starts as soon as possible,1 vacancy,Job Bank #2968811,To be determined
1,videotape editor,,"May 04, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 04, 2024",Brown Boys Records Corp,Brampton (ON),Salary: $30.50 to $31.50 hourly (to be negotiated),2905801,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Brampton , ON Remote work available",$ 30.50 to $ 31.50 HOUR hourly (To be negotiated) / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2905801,"Day, Evening, Night, Weekend"
2,videotape editor,Title posted on Monster -Video Editor (Natural Health Company),"June 18, 2024",2024-07-19,,,,"June 18, 2024",AlgaeCal,Vancouver (BC),Salary not available,750E701A22,https://job-openings.monster.ca/video-editor-natural-health-company-vancouver-bc-ca-algaecal/cd93753a-f7a4-4496-be1f-1fc2feb395eb?mescoid=2700452001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #750E701A22,Not specified
3,video and sound recorder,,"March 18, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 18, 2024",Majestic Films Ltd.,Brampton (ON),Salary: $31.00 to $32.50 hourly (to be negotiated),2841266,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'As per collective agreement', 'Night shift premium', 'Free parking available', 'Team building opportunities', 'Parking available']}","42 Fieldview Drive Brampton , ON L6P 2X9",$ 31.00 to $ 32.50 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2841266,"Benefits:
					Health benefits, Financial benefits, Other benefits"
4,video technician,,"April 02, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 02, 2024",VOICEBOOTCAMP INC.,Scarborough (ON),Salary: $29.00 hourly,2858940,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Free parking available', 'Parking available']}","705 Progress Ave Scarborough , ON M1H 2X1 Remote work available",$ 29.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-08-01,2,Job Bank #2858940,"Benefits:
					Other benefits"
5,senior editor,Title posted on indeed.com -Senior Editor.,"June 12, 2024",Not specified,,,,"June 12, 2024",Acre Post Production,North Vancouver (BC),Salary: $35.00 hourly,9320705086,https://ca.indeed.com/viewjob?jk=2cd31e76bf919b6f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Vancouver , BC",$ 35.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320705086,Not specified
6,video recording technician,,"May 28, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 28, 2024",Cinematic Pictures,Calgary (AB),Salary: $29.75 hourly,2936348,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","4615 112 Ave SE Calgary , AB T2C 5J3",$ 29.75 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2936348,Day
7,news editor,Title posted on indeed.com -Editor (News & Newsletter),"June 17, 2024",Not specified,,,,"June 17, 2024",The Logic,Toronto (ON),Salary not available,9326450326,https://ca.indeed.com/viewjob?jk=5ae26f97babc8637&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326450326,Not specified
8,video technician,,"May 03, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 03, 2024",STYLE VIDEO PRO,Calgary (AB),Salary: $28.00 hourly,2904667,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Calgary , AB",$ 28.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2904667,"Day, Evening, Weekend, Morning"
9,senior editor,,"June 17, 2024",Not specified,,,,"June 17, 2024",The Logic,Toronto (ON),Salary not available,9326446721,https://ca.indeed.com/viewjob?jk=0c1d48332034fa4b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326446721,Not specified
