,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,welder,,"June 21, 2024",Not specified,,,,"June 21, 2024",Sheffield Welding and Machining,Edmonton (AB),Salary not available,9333382742,https://ca.indeed.com/viewjob?jk=81418a64b40d372f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333382742,Not specified
1,welder,,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Waste Connections,Coquitlam (BC),Salary not available,BF05905B662341F8AB7CBD35ABA431AB,https://job-openings.monster.ca/welder-coquitlam-bc-ca-waste-connections/e035ba29-088d-4ee7-a76d-6063117c9d4e?mescoid=5100949001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Coquitlam , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #BF05905B662341F8AB7CBD35ABA431AB,Not specified
2,welder,Title posted on Monster -Welder Journeyman,"June 19, 2024",2024-07-20,,,,"June 19, 2024","Tradesmen International, Inc.",Burnaby (BC),Salary not available,8d8dd38cf27943c1add211c4f925fdc2,https://job-openings.monster.ca/welder-journeyman-burnaby-bc-ca-tradesmen-international-inc/6743981b-e5ad-4b9b-ab26-3f9588925fbc?mescoid=5100949001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #8d8dd38cf27943c1add211c4f925fdc2,Not specified
3,welder,Title posted on Monster -Welder Journeyman,"June 17, 2024",2024-07-18,,,,"June 17, 2024","Tradesmen International, Inc.",Burnaby (BC),Salary not available,350233,https://job-openings.monster.ca/welder-journeyman-burnaby-bc-ca-tradesmen-international-inc/c2d16ee7-bc7c-4dee-b398-54c99ebeb757?mescoid=5100949001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #350233,Not specified
4,welder,Title posted on Monster -B-Pressure Welder By Hand,"June 17, 2024",2024-07-18,,,,"June 17, 2024",FLINT Corp.,Sherwood Park (AB),Salary not available,b0007820ede2438fb1f9be7749e85aac,https://job-openings.monster.ca/b-pressure-welder-by-hand-sherwood-park-ab-ca-flint-corp/c6f3967b-4973-42f0-b75a-ebc8f71d15bc?mescoid=5100949001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherwood Park , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #b0007820ede2438fb1f9be7749e85aac,Not specified
5,welder,,"June 19, 2024",Not specified,,,,"June 19, 2024",Weston Manufacturing Ltd,Fort Macleod (AB),Salary: $30.00 to $38.00 hourly,9329776469,https://ca.indeed.com/viewjob?jk=d55932ba614fefc4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort Macleod , AB",$ 30.00 to $ 38.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329776469,Not specified
6,welder,Title posted on Monster -Apprentice Structural Welder (Night Shift),"June 21, 2024",2024-07-22,,,,"June 21, 2024",Startec,Calgary (AB),Salary not available,VGfBMrxLmx,https://job-openings.monster.ca/apprentice-structural-welder-night-shift-calgary-ab-ca-startec/31b8519b-3366-4e00-85df-6467ac191eb3?mescoid=5100949001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #VGfBMrxLmx,Not specified
7,welder,,"June 21, 2024",Not specified,,,,"June 21, 2024",Double J Oilfield Construction Ltd,Estevan (SK),Salary not available,9333061857,https://ca.indeed.com/viewjob?jk=9f09d7fd201d9471&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Estevan , SK",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333061857,Not specified
8,welder,Title posted on indeed.com -CWB Welder,"June 13, 2024",Not specified,,,,"June 13, 2024",SCOVAN INC.,Ponoka (AB),Salary: $25.00 to $39.00 hourly,9321789426,https://ca.indeed.com/viewjob?jk=ea5bb6b357c8c7c4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ponoka , AB",$ 25.00 to $ 39.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9321789426,Not specified
9,maintenance welder,,"June 10, 2024",Not specified,,,,"June 10, 2024",Jassman fabrication Ltd.,Edmonton (AB),Salary: $60.00 hourly,9317727512,https://ca.indeed.com/viewjob?jk=1277f0ce919a03a5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",$ 60.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9317727512,Not specified
