ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Administrative Assistant,Junior Administrative Assistant,GHD,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=0b552a32c6d68371&bb=1JCkQoss9WxWMADlyJv_IoGPduo8srcUzTaVFDoXWPP6c0JYRxyx6JmyJRtbpq9a8lJg6H7AY_gWxbopclYE5ZdYjxMELd2JT6YTZRG180OjBzFUVep5NrVElh0FcEz6&xkcb=SoAx67M3-x4wFqwYxx0LbzkdCdPP&fccid=25b9aa55f7b71e5c&vjs=3
24/07/2024,Administrative Assistant,Administrative Assistant,Vancouver Airport Authority,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=6677a2842a7dcbf9&bb=1JCkQoss9WxWMADlyJv_Iv28qEz-EgbcjiHQWlQhec4aMhMZTJisj8D2wWSUcO994EX0SDHITk-CLWcB5XmEW5vTu79i61ZT2D8duE48_Gz-3UwfhPwWlTHNbk0SHxgR&xkcb=SoCF67M3-x4wFqwYxx0KbzkdCdPP&fccid=b5de3c5c688e58c1&vjs=3
24/07/2024,Administrative Assistant,Administrative Assistant | HCAP Administration & Educators,Interior Health Authority,"Hybrid work in Kelowna, BC",,,https://ca.indeed.com/rc/clk?jk=9818b7c37593bfc0&bb=1JCkQoss9WxWMADlyJv_IiXork8LdTM3CqzKyEqQAXcZxFj6vd0xH0J_PvUgxnepfLQJ2avK_lVxBkQ4X9ZcEvUULz-0oU3u3dAMjgrcgu5ekYBMfqKOC3FkmMgPYSHq&xkcb=SoAY67M3-x4wFqwYxx0JbzkdCdPP&fccid=819aaf068231c6d3&vjs=3
24/07/2024,Administrative Assistant,Administrative Support,Government of Saskatchewan,"Saskatoon, SK",,,https://ca.indeed.com/rc/clk?jk=c83091d33e685192&bb=1JCkQoss9WxWMADlyJv_IpT8WJ7nqyo0uYJIxjl5um3YYmqJlQ9WQ50yNLw57l1iYDDTRwqu4P3npttmxsgomXRq64QBEIW7CiIpZfysMVqw-rdJqtHJ1A%3D%3D&xkcb=SoCs67M3-x4wFqwYxx0IbzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Administrative Assistant,Administrative Assistant,Government of Saskatchewan,"Prince Albert, SK",,,https://ca.indeed.com/rc/clk?jk=642047b0fe4cdb7a&bb=1JCkQoss9WxWMADlyJv_IsaNiF02pT7pQvHpZYwWVVDhpmpatRuVf3tAEgfSdINUNCcc1iiGthldfSyXiPxJrWfi2Z7mwILK76XCCeUlM9TNWwGyXXIePw%3D%3D&xkcb=SoAi67M3-x4wFqwYxx0PbzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Administrative Assistant,Office Assistant,SnapCab,"Kingston, ON",,,https://ca.indeed.com/rc/clk?jk=29dab403178e0b79&bb=1JCkQoss9WxWMADlyJv_ItXIc2bWD9Q-GT7yhdZ2QmVaLugpgxA-2lCmBEpZ5hz-s0QlGCScGNB5OSe0DYLOHj8Xalvba-t2YB7O_NnS38qWR6VIDsGuZBOTg9fZfOAYXsSQl5OHOPo%3D&xkcb=SoCW67M3-x4wFqwYxx0ObzkdCdPP&fccid=e87da63e1b2ab6f6&cmp=SnapCab&ti=Office+Assistant&vjs=3
24/07/2024,Administrative Assistant,administrative assistant,Hope Taxi,"Hope, BC",,,https://ca.indeed.com/rc/clk?jk=8a67c6fd37ccaeb7&bb=1JCkQoss9WxWMADlyJv_Is7hMOETEBFkGPcXxZ7GUkQmvZH5SqgIHnC1GCaKtupFF7oJ0RY_SgnCLMWsyhSfbiGYe2W_34L-egazsSNxakBiGwhicnLIbA%3D%3D&xkcb=SoAL67M3-x4wFqwYxx0NbzkdCdPP&fccid=3eb601518633af8b&vjs=3
24/07/2024,Administrative Assistant,administrative assistant,Stigg Security Inc.,"Fort McMurray, AB",,,https://ca.indeed.com/rc/clk?jk=c80a17da6737cc7f&bb=1JCkQoss9WxWMADlyJv_Insm9cy7Ej7EnoV1h9gDYnggJY_R75WDioQJPw6TACA1p4AHPKlMyhx7PHsxv4FD24KbmXDLa4fw2yHhk1tOlP8t73iuh6nlwA%3D%3D&xkcb=SoC_67M3-x4wFqwYxx0MbzkdCdPP&fccid=3e9712c6e8c5959b&vjs=3
24/07/2024,Administrative Assistant,School Administrative Assistant (WNES),Nova Scotia School Boards (NSSB),"West Northfield, NS",,,https://ca.indeed.com/rc/clk?jk=f40c1aa380dbea12&bb=1JCkQoss9WxWMADlyJv_IirLSpXPY05vg6gQYb_-RLb_xLEyhlrZZdUtZTEZUzDC2UQCp29IawejFnlqTbSBXWcJ_5HpGTYHE0z405sPMa33OT-LeUWgRTkYQWfWIh4j&xkcb=SoBW67M3-x4wFqwYxx0DbzkdCdPP&fccid=35b370bf4eee4df7&vjs=3
24/07/2024,Administrative Assistant,administrative assistant,T & K HAIR SALON INC.,"Halifax, NS",,,https://ca.indeed.com/rc/clk?jk=5f83e707e2586f40&bb=1JCkQoss9WxWMADlyJv_IuSU2PJWp8YEiA8UXVj9qCjAWkIi5Zld0vz-oDZVQVofrc4iRSVncHTeiRInvT38xAXHt-Aj763qeZRvGpRd23u3Sn_IUKA2fg%3D%3D&xkcb=SoDi67M3-x4wFqwYxx0CbzkdCdPP&fccid=5f08c1d48438c21e&vjs=3
