ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Administrative Coordinator,Administrative Coordinator,Hakai Energy Solutions Inc.,"Cumberland, BC",Posted 6 days ago,$26–$30 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGfjBR1IkBhE_uoLD6ory72maIu6pmbR4RH1EJmII4VL7U5GthCwkUZ3maX0dcSnqiyCOCGI08yDfCq7k-uvdlGQInDwTq0hzwN9mlxqHSNO4cfcwOY-uIwiF7x-Fj4FeDUmWyNqXDRz39oQtTV6dptM-GxqgSAA4jik6aVoIx-IHjU8qbczF8rzTBCspG6Zj7brv2JvGMu4ebpB17ErAYEhJJoPMuDa9RO0H_Lj5naRJaUTNOaRvqeL5vAVGI-a_3R5NXRiMGNmbVEomZb4wpRb81__qcKk3U1wU0_Uq2wJOsfa9GTMGuXygREKLF90Z1NGVNPbYwE3ED-dWsnQ1jojj4TXYBU3iHA7fFVC5M6QWqIgS7qGRqa9DOZvFDdu0qvSCsKHMmas85kv2zTl_TFQGabIrzEysY1PJxxlY4uLpMqDqhqaFRogIuvjFKuKB0ad7QuKI4ieb4Wr-4Ll7-5aL9rkpxtHUv8ufWcoaaj7wVg4veJstA8zbGMSELTlRSnbQ_y2-mhXK4HRU-trtq13_W3g7TwJWDjiLVTSAw3THohze3cMVP44NwrvH_5vQCKPDiSDEk_6EHBySVUOYU9v92OSLV7xxWqB2lfdZe2EdgyNkhL_NzGc1y-Eqb2Enx26YxqotPxeT7Hp4UBLEu96sPxXNJo-RmpsQBdEhODTyLXf4A48j_ThYDtaNSQNDUlg4AYOfHVjvg-ZN4cSip&xkcb=SoBR6_M3-x5onEgdVz0LbzkdCdPP&camk=nUmJqO2E8rgKZKSEmFeWmA==&p=0&fvj=1&vjs=3
24/07/2024,Administrative Coordinator,Patient Care Coordinator,MLM Beltone,"Sidney, BC",Posted 18 days ago,$20–$23 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C02CPG33wsciJQydp7QaUX48WRji2HXtqGLxL9AnQB850iVnoYHIA7XUwsz4j7GPnYHi4Xn7YT7M5htzgIQOHQTu0CVGBlOb-AQftRNdh3bH3ZqYcVk6M50rq5lnixg61VxU35dQSfrlvXY4Q23b99Y9n-6ta85rIJo8FnB9wqW10afDW5BRErEogVfOGLcD0CCj7F5ppxYBa9p38GNMsrjlDrGKtZ_jkS6-sBh0wMohH2KYT4xMR15aiWslz3B9FQkL_5RRzjuqtK_3oZ9Lxnr3iPZAKFaGPMFJgZsEd71Mh5prvczecYsKZyXtHnps3BW81EQ-V9detpelGnjIFaOqmuI5uFmKIy0ksoPVedslqXsCaA_uLd5p6R5-7yHY1rJBLiZwAtm2OYzolAy3xcUQBo-OyCd5Sajn-cLzaESx--SRCQ_-GGpTUJl3jj4RWTRlewSFSAQyFUwrUQTAd0KRvYXooEC31hhu2hNCerwE8u_KDJrJQwx7eB6kyYpDwCrgXwo972NlwZno_g_cbKgNTFbqqx_MbjzXdBqzYCTVXcSPDz5U6sG-PSpK--45waohiQkKuYrPpShWDVhswonYBlOEZ4ZHck4--0eGybytjEvUD228Nmq5C11Z30atN4EfemTttLnAHBsSKXlRtUPhcBMs-QwNY=&xkcb=SoDl6_M3-x5onEgdVz0KbzkdCdPP&camk=nUmJqO2E8rhbYUpcRbvmhA==&p=1&fvj=1&vjs=3
24/07/2024,Administrative Coordinator,Administrative Coordinator,ATCO Gas and Pipelines,"Grande Prairie, AB",Posted 7 days ago,From $27.69 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BEUjRDoMk5bnuOtQY1-rbCg6n2TslwTKU9ylySM5eWuTDLZ6ObWaFasRQUdc1cre4nNXawsILBfnc4KpjXntBg6PH202v3DuiYUDu-ph4ikTZldr5mYoewxZ1pGZ6-uqIoqN50E52BtVlYYZkCTz7TWMSaX3rxeRjB6KSWEXmgsAANSlTJt7Qz6LkROlkP_9Sd_pYSE8bNfeaoVf6pSZDOvg4V3QvjTFV40Vp8UsGKU-G3TsDiyYDBdRBAFnyirAb8SSOEx_vZeKSRnRwT_qOIhlqzpyyA4jFt7IqNGEpq_OUiLXVrkKOD4cqKNCaL56ojTYR7g6EkNe17aKtOndqM786_F9ODfmhJ1Pl5HH6AZXmbohibgEGa9Q7UUx1kfcRJ9M5GMpo3Uz0hJJQlB1L3IBE6v07Xk_-gsp8Y88I1PvDhEXZm4AQy-E6lVL6xeYGBi0_a4BAjMrMV22P5MUHs4c5qRp5jqHdmeOcaEStDyABKy2qDI4hdGKeVtz8xRC6NXbnvXuLlH25rOgCS0HShRJa_Uk5-ZzoD0zEZhMeWlOt1ANiA-htD8-a6zjS15appWuyr-pb8ySi0XVSHiWVceT1q8k_04xLn9c2DZTL73PuG_ps8Y50k_4IMAhB5bpOfM6SI1rmRnV6WZZqto6bef6yE-k6Y_CPQuR0hGLwr5whrWuYTQ6-oIucxsQGsoG6SNj1upTG0q0FrYPGzW2DS7_y-fYJi7PtBf4rSDWdv1cG6dglWHeFeEGP7i_mxCVoCmsAHM-qq8T2Zloh364pYEXAHF42JwUtFLas0thdOQ6WvVmyFk6hV&xkcb=SoB46_M3-x5onEgdVz0JbzkdCdPP&camk=4HOcmqOLYrAKI0EkvCLASg==&p=2&fvj=0&vjs=3
24/07/2024,Administrative Coordinator,Surgical Coordinator,Alberta Eye MD,"Edmonton, AB",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CbqiqLs8LWEuNPXQ5SpGeeiEN64CiVB-JUGBaDhNXI-el6_9XhXVx92WS-R0Zo0o3wdrRMlCbfKJqcjZpANvjIVEJ7Mwv2S4U3nT_XPoIKmILN2BkmnAwf-ro7aX6oTBjLjVbqRdF6rOI_PQ7wdJJ_QqnqqphDNymlNWUtYLrq7ncB6LosiTEYyahvFHdRfHlIfEuNX2NU0lvMRaJhKRjRYGcgYa15vMlFJvQPajUscy-wFA8_sSA-BgylxA45v2o3ylPut8QxZrQPMDY6Vm4ySMMVfFwe658NSD5bgQtQjE02lVnGfukPMo5OC11Wr-XbhijqfD9wet3KXoJ1dGb1z1v4jyikbKpfJgPg9wqNCzFpNlgwTTyrYNur1rTqvU5-eD4F3NwiiKOFHwq8WQ9o9L3dXl5oFRdO2Kq3UHm9Tnpz_aYQi9_j2UvnXumWuqJ74JtCYItUKLlzcUE3XH7ygUoRHuNYt2uyDGwg0uE6yaouXY9HS1XAxXjWbySo5ZqP12zyfgTELjekIayByqAji-txizpKDCFX0o91abd8qgXJ6Pb0mEH4BNsIAYZmuzNxPVpuuOfcNDrjlIchM4mMMrI8hxvPLyPtBJbv-qyefMVKk4aUCtlZr9L3KhNNMPJqm3hNd1GDHSaDd-rSCxqA&xkcb=SoDM6_M3-x5onEgdVz0IbzkdCdPP&camk=nUmJqO2E8rirl0VTG_12tw==&p=3&fvj=1&vjs=3
24/07/2024,Administrative Coordinator,Public Education Coordinator,Alzheimer Society of Muskoka,"Bracebridge, ON",Posted 1 day ago,"$45,000–$55,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Df171d4USdePMWVA2vqX2abBigAK00VPQ5wuRTRGdoyn4Ie5e-UeO1buLw_3mgX9FM0TywAlEZf0Anh60rFjaO1m1DQOCNFSzKsLZA1f8URqvx-aSgM4pG4IJoPyoUKuDhjYHgcEQrkNjg1fb4XrEW0vmLtmq-vloQMrfx2ENvH0aUMxiJU1VYBeRrt5jY0Ax_kCPm95KshAZOT1FcaRlIpkh_UT6Yj5HeRK53cc6SApiS17JRfuiVNR4g7KMciC30Pj_XVqB3XWF5-WM1HYnFB9WxHX4J_KQxQk25VZNC6QzhreoOWw2uDpbJAXKdXQt5uKy4CKwHAiHPxv8ZN2eZTrToYwdmIR0IZU7P4bXnvac5LXgXITFg0TE2W2mp2tKDRrY-IUGZifTIjAbGdmuxMqT2kFkNABn6m2fq8JV8aDAT9h9AFQB5juHbm-72RQnTfuDSPkMZfUvsZ6NulQCnXMGYhNu_yHGzQWb4OdsrqAQyvHHL3i06MgfbJTOIYNU8Qt2DtCtB1WDOHR61BCQ3OgVqETaCOHgU1omWtvMlh5obnOZM_n69egHjnzn6RzD-tW4we6TY9xaPjLYRyn5SNeVhmW-W2EidJ1U_laTXuBoJMkc2r3atFXOY-IN-Gv7BBLXBI2SnyIXjE86J7E20xBrrceIDMYs=&xkcb=SoBC6_M3-x5onEgdVz0PbzkdCdPP&camk=nUmJqO2E8riWGULKJdSdNA==&p=4&fvj=1&vjs=3
24/07/2024,Administrative Coordinator,Construction Coordinator/Contract Administrator (Intermediate/Senior Level),+VG Architects - The Ventin Group Ltd,"Hybrid work in Brantford, ON",Posted 30+ days ago,"$70,000–$95,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C29lP2bBFTuPZmDgJkYsDj5S_FWGi7PoYEzMc1WQyNFWGrakA7baHtTWrQEtdtDyY2djTqIGPSc3Zm4JIRKgRhVTxZckk4VmUwjkXvOpOFGKsJsM2gkwlbf34xMIiD4eLDJtnVnf_sK5uTm3LBSDg_4qZcTmaCYtRRA-MmpRpAtg2c5HLhh0xeTkKzgBE_mT1UTrdv_W4eT9I-vHWN3_Cf_iBuQ0m8h5bFz536yAxRIIXyc1wOhS45ssD94rO-yKywnJmSuNxfh-dKSb0KabbN8u04mbFU_3QO1qCEyoosCRBiBLNh0VzSsdsY3beI3sqlxTkx4cnXRPXOb1LsPxOny_HqZJZ6BUBeMexFmQ5othHC3GFvZxdcQm23FnXSRV2KLsebfO0g6Xfgn1gacEUXUivZLUFx_K5DNlbLz4Bo21-WiR-CHTRpaozECNQsaO9t2T_e5-KJonpE_pFFNIhw_7Ix6JLCUm6iFIHIK_HiAfvhEdkIXPV75yrj599BZ4MW3LWJLMw_SCoNihSNw39JC5KkEeT5fUFN0srQzZaOPylYIzZFAKmIbSdWUhYkKTQZqZzxNjIW_NTbfg6GoF1N6fLwuPSYW5CC1BUvp5s5fdORMvRTDzhtIKSlIO56qTMMO8P46O4X-trSQUqHOserR7WfMV-9JSTEUoWKMg5cSm0c3VPQYd9KrOlfB0HQ7sBqX3lLhY2YIxkej6a-hFLK&xkcb=SoD26_M3-x5onEgdVz0ObzkdCdPP&camk=nUmJqO2E8rjwVTK67bvpGQ==&p=5&fvj=1&vjs=3
24/07/2024,Administrative Coordinator,Project Coordinator/Administrator,Talon industries,"Windsor, ON",Posted 4 days ago,"$70,000–$80,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKV8MWmGQxSuqt5cA9VYDCvSl7DD3ls_PjhdQawKPEiPGQdJOj8tqvwNqYyeX0jqzn7A1uisV_mP0KuRfPtT3y20t7FMuIo5VRhMW1-Jq_XNeodrtlsuoCRbPN9_JH1GGeMTJn1nPqBRBnFU4wI_psnNcY8ql3z1TR705zDzQ6qR_I7Nc2lrYwEpswjzsFqNpFQ0Ee21SrC8CyjfRN1ZB4HKPCMUB31fVhkjW0SyGHTzYKSelNYRN0gAE24gtPpo2xkXGUvnwuwuH3yMxBbTAVykuRh2r8vHYbj9MFnc2N9xfVRmkg-sAZ1PsdzFEN-JCTT0leTSd6oXhMq4B8hXrW21nmMw1LZY_M7JsvEv9Q6-_qNx6OwD0AHHfRvnLMvcqoxXGdEm-JOZnSX5hbWQvJvVsAXw7zNBQEB2YKmLAzzFqPGGUKJNT2zNxwB93akMYp-NVtpXWOJVhySOsg03ncWrwfbSMHo2ZmvUC-yT-_4NsWc1B_i9H9j4BH9YobfIfXO8_8oHHa3IA1yaIibw7Sgh35mZTTJ7sTpwHG3cKP1eYC4xFiv-lpmh32TsXneqmscfth0jx64M4plApZl9iENdxuVm_ECWP-ZhdwuHKYS66IVwEogxL8uDmVQRiUD16zsFgRJFYfwW6K-JwkuQtXUFm0c0wSqoI=&xkcb=SoBr6_M3-x5onEgdVz0NbzkdCdPP&camk=nUmJqO2E8rh4hZNyky1rPg==&p=6&fvj=1&vjs=3
24/07/2024,Administrative Coordinator,Administrative Coordinator,Langara College,"Vancouver, BC",Just posted,$36.22–$50.70 an hour,https://ca.indeed.com/rc/clk?jk=debd83c3f8b6dfec&bb=VTiiVlJGqLEWNLxyNHwI01UfEFvCmHK8QnCZAIh_liyRBAB1xk9-z80EFY7XPpcFuTdAX5tSv2GsWixZH9yJu3L5mhk-AjxsxZ8AwSjGn9AN28OcozMlHzuwJSH8gl4-&xkcb=SoAr67M3-x5onEgdVz0MbzkdCdPP&fccid=45b82f277883e4ea&vjs=3
24/07/2024,Administrative Coordinator,CS Administrative Coordinator,University of British Columbia,"Vancouver, BC",Just posted,"$4,594–$4,827 a month",https://ca.indeed.com/rc/clk?jk=4dd7e7049e406c3c&bb=VTiiVlJGqLEWNLxyNHwI07uVKPe3_COoakwmbFutP2sV9vyYltI6MP_gk1NJ1_H7Gc6XikqmSLRCdH-ez40Y872JuEWLGSilsKODwgL77V4PyFRxirO7NFJ92RCazUhr&xkcb=SoDC67M3-x5onEgdVz0DbzkdCdPP&fccid=462e6068c17c7702&vjs=3
24/07/2024,Administrative Coordinator,Coordinator,Windsor Regional Hospital,"Windsor, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dl8VdEYl38CQWd1d8gRb9h30eo56oOShV60gU9pB4ZhhxLfHrkPfIgYCXZq3gJaxZ9ZsZQXBQjvEJUyiXa2AjtUdYdrgqAA_cf32n6tC9v6__I4eeP2VfrQCtm3yWz898irEDiEeghrGtnoitOUSAXF8HrKcBx8EwRoElrY0xIqRopRZzltH821cIMxlKdn-KwW05CrgJQIjboVKo_7mW-oHZNEQrxH-kBUx8Sg9n9t0hs5Kn6d5xzPdSmgFInmipYHQsqGhhPef2-alGtNEk4aYDXtUG6ualAiMBoKYRZLpAIdB4lC9Uj6DvDJaW0TlCp4aLd2RBqUoCOSJBLJBGxicbK1lXv3D2uZHzBUCQsvcqzERj7Lr6toQwiC9nAe72g9RIyv8OKsHS_kBmU_J3RI_R0jQUNK23l3lj9ay1pr1DOgnscf46KXVk7qlyk3_oRn0MIIBiaCcoP9_o5H_MCYoKwANrP2KIGxbz69hn_up8mUEMfro-tkuKrymu7_eEepF2HBf95B1gmKIxiErag6VDr75IAa840aCgrLFMIG9BmV0eMqFRXDbKgEm4fO8bpadJnGdZzYpmDwlzYnIirRCofeKjfMzBzB_EgDVxxSLWcxd9BxZF0M6Wbmw4IIYbyVvXf9u24n7CsjqPctiJJmUd9vJDZcUg=&xkcb=SoCC6_M3-x5onEgdVz0CbzkdCdPP&camk=NFVmwABINBLqdtQW8czFpg==&p=9&fvj=0&vjs=3
