ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Advertising Coordinator,"Administrative Assistant , School of Education",Laurentian University,"Greater Sudbury, ON",,,https://ca.indeed.com/rc/clk?jk=4622ca0232578db0&bb=XsCltQbE3IzeLMHOyt_lF7WBQOI7SvFKX-bauZQLg2FuWYvxxuES9o5RAeylNIIu1fif93Kn8fBR_1htp2gBFT-65hkCOYID1u6BVWV-T5-rtm3QUql1B4uHZ2RxaVOQ&xkcb=SoD267M3-yBVK3SQNB0LbzkdCdPP&fccid=1401c05ccd102be7&vjs=3
24/07/2024,Advertising Coordinator,Community Initiatives Coordinator,University of Manitoba,"Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=ccb0f24ff841411a&bb=XsCltQbE3IzeLMHOyt_lF-WYzm75Y7SaSvK3AyTfKfAecQQl3J0F9otLSOcxhOMfZSpAJ-vqKIv852SPQJKvnlTD8FlXxqtA1URG9uyxznKwa49g_W-IPpSE0rPgMdhF&xkcb=SoBC67M3-yBVK3SQNB0KbzkdCdPP&fccid=18c48336b1a88d69&cmp=University-of-Manitoba&ti=Community+Manager&vjs=3
24/07/2024,Advertising Coordinator,LEGISLATIVE SERVICES COORDINATOR,City of Coquitlam,"Hybrid work in Coquitlam, BC",,,https://ca.indeed.com/rc/clk?jk=bb1cdc2c466bbd7a&bb=XsCltQbE3IzeLMHOyt_lFzhX7jnB-Y9Kpdf_A3nVbN6d0-FE59CjF_WaQY2ByfWz8_CGcAuCPVbauDrMMA6hfJ0rLjihFaSOhLDocL1oKzBQdcrEgwzr5CFb3x43aSJD&xkcb=SoDf67M3-yBVK3SQNB0JbzkdCdPP&fccid=0a730bee34aa098f&vjs=3
24/07/2024,Advertising Coordinator,Communications Coordinator,FortisBC,"Surrey, BC",,,https://ca.indeed.com/rc/clk?jk=1321486a19380156&bb=XsCltQbE3IzeLMHOyt_lF8oPzM0dYfWtI6c87PiepMg2YvBwCu8AmHn3hA0MbGQorBDTlAP0zKj6drO1S3H-DRjgPgFRKvR4sBm8usFVQCDAGum4i3xoE9hwnsdw_R_3&xkcb=SoBr67M3-yBVK3SQNB0IbzkdCdPP&fccid=b78b6949868c8ed1&vjs=3
24/07/2024,Advertising Coordinator,COORDINATOR,Memorial University of Newfoundland,Newfoundland and Labrador,,,https://ca.indeed.com/rc/clk?jk=4ea9575e28824e78&bb=XsCltQbE3IzeLMHOyt_lF2TeYsbI02uTwcNJ6yhtJ4bnAqzy0kh4PpnQA0tThuK4RTHmRdddlWv7EJqSISVL4lfGN0U0BEIbywY1LrQ2wHYwKs-GfC7m4CMMlI0rQ5Co&xkcb=SoDl67M3-yBVK3SQNB0PbzkdCdPP&fccid=8fe92256094a495f&vjs=3
24/07/2024,Advertising Coordinator,Administrative Coordinator,University of British Columbia,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=4660289c1ac900a9&bb=XsCltQbE3IzeLMHOyt_lF6EJaDebh5wOKXw_WdbhpkTC4yBDXhp-T-WOJfJ4B9XtKIClNu5UrdumKVas2XLIrOiaEoj-Jh4VxVrMR6RcISiQhz34B4drPxnhEhuArfmr&xkcb=SoBR67M3-yBVK3SQNB0ObzkdCdPP&fccid=462e6068c17c7702&vjs=3
24/07/2024,Advertising Coordinator,office coordinator,GRASSROOTS ADVERTISING INC.,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=95d918ac193aa115&bb=XsCltQbE3IzeLMHOyt_lF27ZsGve8grJYDJibxzrvP6vL1gIUOs9Za4AUk0c4jGuNPdWWptwf-_aBQhOQzjMvPPVsgMAJze9s8HLLISaLF8jEsPBnvWB1g%3D%3D&xkcb=SoDM67M3-yBVK3SQNB0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
24/07/2024,Advertising Coordinator,"Program Coordinator, Diploma and Community Education",School District #41 (Burnaby),"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=3138cfb8b8fb31b0&bb=XsCltQbE3IzeLMHOyt_lFx_EViV7KR-rf6lq2z0yXa4lcPEvjIruTtjXcQdpyM6O6VXAmCEeKfKhSKR19wLHaooiPw1RaT-PfhYJQMPdu4SNsSRNW5Lu4eFNOi5uwTv1&xkcb=SoB467M3-yBVK3SQNB0MbzkdCdPP&fccid=cfb707d25cdce24c&vjs=3
24/07/2024,Advertising Coordinator,Travel Coordinator Dome Production,Bell Média,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=2dae0cc3c19e78ff&bb=XsCltQbE3IzeLMHOyt_lF6V47P9YXJT1Rv4Q98RRhuEmzEyyT9crps0KpnWtd2KgDjmGLtRbHyGVeMBCOuKrEhtzWomdbI2nbqhPEywf7Fc93NLmPzEMR_11YkP2VfJG&xkcb=SoCR67M3-yBVK3SQNB0DbzkdCdPP&fccid=a300dffae68e3d6b&vjs=3
24/07/2024,Advertising Coordinator,Recruitment Coordinator,Canadian Nuclear Laboratories,,,,https://ca.indeed.com/rc/clk?jk=cf7db952ef859d31&bb=XsCltQbE3IzeLMHOyt_lFwI_wSwSyvkyYkLNNSAJ-hNqRceYyP2GI4THHW89gHcVc2Bc7E5BQE3s9SDh2m6_WQFhUKe3eU8kErjSrs1lILR2NzBonMjpuw%3D%3D&xkcb=SoAl67M3-yBVK3SQNB0CbzkdCdPP&fccid=a0da53533519eae5&vjs=3
24/07/2024,Advertising Coordinator,"Special Projects and Events Coordinator, Law",Thompson Rivers University,"Kamloops, BC",,,https://ca.indeed.com/rc/clk?jk=9572d44dd7b629ce&bb=XsCltQbE3IzeLMHOyt_lFwUMH72DGB4AMCdCOvwaAMa3zBIeo6J4Urcz-29ddOau9A1RgY6lOZ9wkMDQ_YQWp3RkjgCchqZV4Q2OZseAx3eV-QqzokA5KHZFxKtW1JVU&xkcb=SoC467M3-yBVK3SQNB0BbzkdCdPP&fccid=2d633bb4caa0ee09&vjs=3
24/07/2024,Advertising Coordinator,marketing coordinator,EA LOGISTICS INC,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=ad0ec86c1359b194&bb=XsCltQbE3IzeLMHOyt_lF4i03ISYp_KMpUh9cWToIqzQju4cXo-Q8EpPen_65zhCamABDzva36Ddw3idJXuGOQ4wFv3EAf1Ht9bxd1wTcUzkBc5n0qczgQ%3D%3D&xkcb=SoAM67M3-yBVK3SQNB0AbzkdCdPP&fccid=30a90da7ba95e197&vjs=3
24/07/2024,Advertising Coordinator,"Coordinator, Rodeo Club/Arena",Lakeland College,"Vermilion, AB",,,https://ca.indeed.com/rc/clk?jk=7a25eb67072cd365&bb=XsCltQbE3IzeLMHOyt_lF7vis9Tr_VAzeteQodgju7gykCm1X_H5kzZP-drhYqLtKMErcFq9aNFqu66XpJGPq3DTNTQRpL4cMvKsuzv6kgTtancCD5BFDoGsyKctGCMQ&xkcb=SoCC67M3-yBVK3SQNB0HbzkdCdPP&fccid=e9eae7e0642b84e9&vjs=3
24/07/2024,Advertising Coordinator,Administrative Coordinator (International Recruitment),College of New Caledonia,"Prince George, BC",,,https://ca.indeed.com/rc/clk?jk=718b05f6091ec663&bb=XsCltQbE3IzeLMHOyt_lF8w2f87Dk6hNA3YI-NPoFQUvY6nXVk21ZgGgcj1Wp1qt6fFjrsuKJdl96dc4HC4r3xze1QWzjZxtPVpux6tEF6yW3YNrYluUFSLntLQb4stj&xkcb=SoA267M3-yBVK3SQNB0GbzkdCdPP&fccid=f2be0b5da9b231ce&vjs=3
24/07/2024,Advertising Coordinator,"Coordinator, Recruitment",University of the Fraser Valley,"Abbotsford, BC",,,https://ca.indeed.com/rc/clk?jk=58e50fb60283a05a&bb=XsCltQbE3IzeLMHOyt_lF3lZrW5Nh8E3lTnTZIKY7n7bv3VUQrsBTfhfutmip6M6Qz0glHalpVyvly0aW47XRxQTHTbui441J5YJecmIia5u18KLdETHAWcerwt-3kgt&xkcb=SoCr67M3-yBVK3SQNB0FbzkdCdPP&fccid=d5252ee4506704a5&vjs=3
24/07/2024,Advertising Coordinator,marketing coordinator,EA LOGISTICS INC,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=ad0ec86c1359b194&bb=QBdXEXlUAWEOSidesZrYwvQ6s5YVu0zzTpqjQq-DJDOYjKVJI2ZKwCtOW4xoDUYwvd3DOwEtNuLddNIOEyWQaTs_3CdlNmobpdKCf_16nURpDKLj85pkAw%3D%3D&xkcb=SoB867M3-yBulpADej0LbzkdCdPP&fccid=30a90da7ba95e197&vjs=3
24/07/2024,Advertising Coordinator,office coordinator,GRASSROOTS ADVERTISING INC.,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=95d918ac193aa115&bb=QBdXEXlUAWEOSidesZrYwpMETLknSzfWINSdWgrLwkQSB-FDapkzU3RSczCkfz-h4af-7EdML-mIPDN3shbQCKRM_wzPeKPxxVAvg8McAVlRTC3-SQBk1Q%3D%3D&xkcb=SoDI67M3-yBulpADej0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
24/07/2024,Advertising Coordinator,Design Coordinator,CRATE & BARREL,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=5328f50f98dfe2f7&bb=QBdXEXlUAWEOSidesZrYwkVHkgVwd96UKiFWvVtG0EudKe0JXLQriY0RsKSzOf6JyU-4l0GHVgd_8C6k2SloPxYjkZa99VEwbFaSe6mzDjJD2ifTTLqYLQ%3D%3D&xkcb=SoBV67M3-yBulpADej0JbzkdCdPP&fccid=aaca624b15fe0bd0&vjs=3
24/07/2024,Advertising Coordinator,Student Life Coordinator,Douglas College,"Hybrid work in New Westminster, BC",,,https://ca.indeed.com/rc/clk?jk=ab303d420ef75f24&bb=QBdXEXlUAWEOSidesZrYwu1VOCHv9DXJUSgUI3hfcCd9BuyaD2HTHmmlyoTWar7SGYTSP3Yui9MPtcB2J2blvXRXyI9WSXnlqnENVqa8dL-miKvk_-adiHDQP2y9DvAu&xkcb=SoDh67M3-yBulpADej0IbzkdCdPP&fccid=56011b3826a3aceb&vjs=3
