ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Aerospace Engineer,Aerospace Design Engineer/Aerospace Designer,Coulson Group,"Port Alberni, BC",,,https://ca.indeed.com/rc/clk?jk=a8fc20e9dd6467f4&bb=A8XT_w30aMXkir7SxdWZDOi7rRo3S5lIWTuf66cMiqSu9lIwQJGtd_uPBJhQcu81mfsJvxrKCNwFgOfTJ3mGKGsrFqWiEoBbmVgYOlBGiLCK3jXRwXWJ0SNeum-Rt7oc6Q-YOQLCrAU%3D&xkcb=SoAU67M3-yNlAqRSSZ0LbzkdCdPP&fccid=e5af61ce1e46b052&vjs=3
24/07/2024,Aerospace Engineer,aerospace engineer - design and development,Canada Training Solutions Inc.,"Stayner, ON",,,https://ca.indeed.com/rc/clk?jk=779f50083e2170b7&bb=A8XT_w30aMXkir7SxdWZDFRscnnBMnc3YQftQ9I8XIkKaCeQUySzSQkVAcjQFDZ__D_kMrrCzJ8wNEOhInXsXMthJVVFmxGq7VTNLTiGDal2Z-G12fkI3w%3D%3D&xkcb=SoCg67M3-yNlAqRSSZ0KbzkdCdPP&fccid=0daf37a906363873&vjs=3
24/07/2024,Aerospace Engineer,Electronic engineer,Creaform,"Lévis, QC",,,https://ca.indeed.com/rc/clk?jk=1d5cca20f45cd714&bb=A8XT_w30aMXkir7SxdWZDL1oxLEDHlWokfzl4n9zwluS1l_C5sS7Ns41sINVqFc54lth3nCBFsRuKxGIsp_YGNd5erafcjOMK1UQq6drj3w0PBkmlVuYdVfmiqDcU2Tl&xkcb=SoA967M3-yNlAqRSSZ0JbzkdCdPP&fccid=9346f69313f75944&vjs=3
24/07/2024,Aerospace Engineer,Engineer,StandardAero,"Slemon Park, PE",,,https://ca.indeed.com/rc/clk?jk=108bd083c07ca8f1&bb=A8XT_w30aMXkir7SxdWZDNLiSYkPot-31ePbkzFatv_2RbdpY9lsETtxcY2Rwm2MvZJnj-elFtgiTchrin-Hy41Xjj8qZJZ9pSRgLhbIvFyrne3swWblcc1kIjhkXpui&xkcb=SoCJ67M3-yNlAqRSSZ0IbzkdCdPP&fccid=2befd12d73afee2d&vjs=3
24/07/2024,Aerospace Engineer,Creaform - Electronic Engineer,Ametek,"Lévis, QC",,,https://ca.indeed.com/rc/clk?jk=7079bd14130cca99&bb=A8XT_w30aMXkir7SxdWZDEzEMa47pkZZoTMf9P9hzN6olWnXHUZKr7aK_P4uhIp4gV-878E_iyuXH8fQUBU-T6X7xlqoHaW2_SbV5c2LYJYkMwAJhrURWGGTDygCKrGi&xkcb=SoAH67M3-yNlAqRSSZ0PbzkdCdPP&fccid=212b69108ea3ebdd&vjs=3
24/07/2024,Aerospace Engineer,Aeronautical / Aerospace Engineer,Clearwater Defense Systems,"Langley, BC",,,https://ca.indeed.com/rc/clk?jk=4aed026cb6be3e7c&bb=A8XT_w30aMXkir7SxdWZDBvgQjdQqTyZvjEGRQ1Riz9r2MH01I03xCQFl9AeDo8AQ3D4OTOtaDywenD9UTZlTrhmoXZQ27OO7e6zkz_lJlfp24G6HcdSgRihsEq_5yz5&xkcb=SoCz67M3-yNlAqRSSZ0ObzkdCdPP&fccid=4121cf01948be0c3&vjs=3
24/07/2024,Aerospace Engineer,Ingénieur d'essai en aérospatial / Aerospace Test Engineer,Pratt & Whitney,"Longueuil, QC",,,https://ca.indeed.com/rc/clk?jk=b98f73058ad85311&bb=A8XT_w30aMXkir7SxdWZDFRscnnBMnc3J1FrrJO-tzhS0CNr08Y2Uxv4pIQre8tXxs3k0q9XyHIdn9OiBhpd0ObprCJW2zLte1B7PWWg3FX-puQ3QW7QQg%3D%3D&xkcb=SoAu67M3-yNlAqRSSZ0NbzkdCdPP&fccid=54fab6b8f8edafb5&vjs=3
24/07/2024,Aerospace Engineer,Junior Manufacturing Engineer M/F,Safran,"London, ON",,,https://ca.indeed.com/rc/clk?jk=645c270ac3282db5&bb=A8XT_w30aMXkir7SxdWZDANdQ3TFmwVFymr_fHKKgJ9iNHqWdHvm7z9qxiS8g_WVENJzay5oWPRQaIbkUKmWbUHZk5lvNfJBS46ZmyDESjii2APGDFq2skET-yXVq-ek&xkcb=SoCa67M3-yNlAqRSSZ0MbzkdCdPP&fccid=b3885ca934ed0066&vjs=3
24/07/2024,Aerospace Engineer,R&D Engineer I,Boston Scientific Corporation,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=5302f27643e8cd11&bb=A8XT_w30aMXkir7SxdWZDIEU-cdAPC351w_WR1Rcplu92F24NKyJ35uAT_aDQ7Sdv4XpHp9FnlRL5uiXtVLSz5cnA5LRYpG_XmHY7-Wy_sFeRXDgT7_iRw%3D%3D&xkcb=SoBz67M3-yNlAqRSSZ0DbzkdCdPP&fccid=d13187a50c252e33&vjs=3
24/07/2024,Aerospace Engineer,KBE Engineer - PSP,Altair Engineering,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=108c57b7d90fcae5&bb=A8XT_w30aMXkir7SxdWZDL5rX9Ui1B9zZnmSI_yYXGdEMeie-BKSbVRxbbb1ZdQHke1SNMNSBoGttdTV42arLTtSKmQGFwbxdnOsvPLgxoYWoROkyRubEyIYxUggEIGe&xkcb=SoDH67M3-yNlAqRSSZ0CbzkdCdPP&fccid=7fb9b47241565f01&vjs=3
