ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Agricultural Technician,Agricultural Technician - Ruminant Animal Centre,Dalhousie University,"Truro, NS",,,https://ca.indeed.com/rc/clk?jk=bf0d3b1edb28c136&bb=s2bOUI1fRbvCUZ3u4nbKbZ2o-Mwm3dHpbN_2u3P7DLp3WKyPdbu-OP-pFuCPhYQFi2TZh6Pxyt4QmicQUXX9VsYoqkjFvyXtgwdaE-8lQp7yvMmCHN0UeswhrLVJ1jtE&xkcb=SoDg67M3-x4277RSUZ0LbzkdCdPP&fccid=9986a6606e2479c3&vjs=3
24/07/2024,Agricultural Technician,Agricultural Technician,Lakeland College,"Vermilion, AB",,,https://ca.indeed.com/rc/clk?jk=bf0e089d8ef70b25&bb=s2bOUI1fRbvCUZ3u4nbKbXtApLbUoYtD3OHmzO3TkN-wqfawDMR7gNzmZQgS9_XJaauq-5fjxV3SvUm6pje2qCsoK5VtOOCTLmPVwbaBTiL7RF0jk1GXrL5uxC5lAPr8&xkcb=SoBU67M3-x4277RSUZ0KbzkdCdPP&fccid=e9eae7e0642b84e9&vjs=3
24/07/2024,Agricultural Technician,agricultural consultant,GREEN VALLEY FARMS LTD.,"Wildcat, AB",,,https://ca.indeed.com/rc/clk?jk=6a85ecc656b36bdb&bb=s2bOUI1fRbvCUZ3u4nbKbXC3XfbGDrS_CZZQrPetjqN8Xr4HrJAZAmjbWjDmRioxcgTUmUPvwESzmCQE9SUdG9a3wIJQDIPI7nFfN3RPdF1S-x_aogPRHw%3D%3D&xkcb=SoDJ67M3-x4277RSUZ0JbzkdCdPP&fccid=fb4be88e805d1687&vjs=3
24/07/2024,Agricultural Technician,Quality Technician,Archer Daniels Midland Company,"Woodstock, ON",,,https://ca.indeed.com/rc/clk?jk=1d19c47a5dd4dffd&bb=s2bOUI1fRbvCUZ3u4nbKbdNHrUseFfF-z8DccBQuNK-m9kXN4yjIDx98i6v-BzqxK-pKUAjNZO0XggegFgidPnM9MsYMqBM3A2akSzTPIYg964XAmABTX1IB2zKEK4jD&xkcb=SoB967M3-x4277RSUZ0IbzkdCdPP&fccid=a46683ec51ead49e&vjs=3
24/07/2024,Agricultural Technician,"Research Technician, Plant Sciences",University of Saskatchewan,"Saskatoon, SK",,,https://ca.indeed.com/rc/clk?jk=53088ee152ad5016&bb=s2bOUI1fRbvCUZ3u4nbKbWtqcQtd5Cfh8CtcHu0muq63OsUge1HcJRBVBv7U7W1AIEhxH65tFxdiszBH2S-H-jV429yJM_9fb8HuekHmvcSGaIhFtSnQ_jGQZak2qjjm&xkcb=SoDz67M3-x4277RSUZ0PbzkdCdPP&fccid=318d62c673342e64&vjs=3
24/07/2024,Agricultural Technician,agricultural equipment technician,Rocky Mountain Equipment LP,"La Crête, AB",,,https://ca.indeed.com/rc/clk?jk=127f5f3e5054f7d8&bb=s2bOUI1fRbvCUZ3u4nbKbXtApLbUoYtDR5Tou0OhLeWKzC0AI3egDHn4GrmfcmSBibHjOz3s-XeLAAMBwKKcgNejHLJwP81Ypm78gtN6IDi9wEl5LQmcCw%3D%3D&xkcb=SoBH67M3-x4277RSUZ0ObzkdCdPP&fccid=6973f7df902ff0f9&vjs=3
24/07/2024,Agricultural Technician,Agriculture Equipment Technician,Huron Tractor,"Exeter, ON",,,https://ca.indeed.com/rc/clk?jk=e5f3f52ff3c78ecc&bb=s2bOUI1fRbvCUZ3u4nbKbYWC3S-jF_TN9srrtzJrPbWaP30AvsFd2tT3J1nGn-XJi7vh363-OX8FioSxYvJicnTvSvIYHYCD29R-XCm1dhv9BImeCrVZveX9LcRuW2v7&xkcb=SoDa67M3-x4277RSUZ0NbzkdCdPP&fccid=71db734bf324673a&vjs=3
24/07/2024,Agricultural Technician,Agricultural Equipment Service Technician,Redhead Equipment,"Kinistino, SK",,,https://ca.indeed.com/rc/clk?jk=3aacfcca50aafa0a&bb=s2bOUI1fRbvCUZ3u4nbKbXKLkgZqtUDQvsRXcgmd7NARs2ERfgGpT3EBa9Yss8jsK2YJEF19ATAt4MN3CVxFHkVX6DS8c6796r-wBT6hS0VBN87rVROhm9CvHGGtOhV5&xkcb=SoBu67M3-x4277RSUZ0MbzkdCdPP&fccid=0ccc9bc1ff5b3ebe&vjs=3
24/07/2024,Agricultural Technician,"Associate, Agricultural Services",TD Bank,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=5fb859c816bd80e1&bb=s2bOUI1fRbvCUZ3u4nbKbYqX6wDID4iuFljBPg1Hmwz-Si6jxAcO6Hr3A56uVd1Qco4hL0m6ghxjrNMPZWf-8wYY4-hYQsK-mdlM2d3DBeoMk1Vm6_nEXw%3D%3D&xkcb=SoCH67M3-x4277RSUZ0DbzkdCdPP&fccid=d7114f1cac8d0711&vjs=3
24/07/2024,Agricultural Technician,Agronomy Research Technician,University of Manitoba,"Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=4dbe695b6ceb3043&bb=s2bOUI1fRbvCUZ3u4nbKbXRXqVyy7CmFZl4DLD2XBH7z5pL1oOehSdECLPClrwPpgiyfENw4HAc822sF4ix1xuQC0scyVy499i7Bpvp_gnOUWqTgfOtNiAH6ZYG1_ivQ&xkcb=SoAz67M3-x4277RSUZ0CbzkdCdPP&fccid=18c48336b1a88d69&cmp=University-of-Manitoba&ti=Research+Technician&vjs=3
