ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Animator,"3D Modeler / Animator Intern, Video Games (Aug-Dec'24)",Antic Games Inc.,,Active 2 days ago,$18.50–$20.00 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cy9CuBgFQvUDAyPHoCQk3GPIedAr2FlPTo1Nyq2_8dGH_Ix3chXRNEXR1tGTQIKK47MRPyKCMg_7lAryv-mYiIDAnmqPu9AMf81esgFk59lYwsblD_2OMMtcerQ3jc63rnM44ViLPUd-RggqJLeoDOUKoBXUef8HTU3eTl1oLZc-bFny3dbakB_YRwA0NrXGZAzQpqZCy31gHUUBXFPxPBX1V5pCxQ_EgUqt-PRBPPVrf23o5TwzudfTvOflqpFkFHgQa7OzITtxLsaFJqsdVtgWyVbZjRD9bMhcPgeOAMX9o0Ev63Qd7HHCrWpCqbLsrQee_MHIWzByutXlnDega8qKNmU2amNIJggjnF8fm7XuZxID5_iAzAy-MEiZo9i-KVRDJnlw7dMHmUpEbLLZDa2OnobFm0-eTj7RN7hV556HQyb9CNECnXS6gii0_zUcZ_s6xmhnWjwDIUarSQCko_-XouV40hUYfgEbhybjjz4Ahe1jcZ33Fb5PIIl7WjoSRzVuCgCK3PHq_hnK8Od7TRwbKrfvmDUkext9zpByoaj_yg8dVmaPcVB2eFoPhZBQMztH9w3ch5i8AFnxDEnTfh0_s1I4j6ujqW9UfdEzk8S2-nf9W-OeybywGDAhzt7UOTT3nN6ZUodaxjbVhk7Y3NQvSotVvlQZM=&xkcb=SoCo6_M3-ye3nLS2IZ0LbzkdCdPP&camk=nUmJqO2E8rjQ_q18gXWZPg==&p=0&fvj=1&vjs=3
24/07/2024,Animator,Intermediate Animator,ICON Creative Studio,"Vancouver, BC",Active 8 days ago,"$50,000–$75,000 a year",https://ca.indeed.com/rc/clk?jk=c3f5ff3921708925&bb=tz3YWhDfhvJ75Yi-HAywqgMt_2nWxpdaf3EUQV6nbH3bnUor3EDEE2RaHW5lS3Dd5Y8a1-fx-yTzx5Hb7eH-jYT5ABU_vLH4q-o88GBXsiBVJx42gjAvE7rl73ZxzTCY&xkcb=SoDo67M3-ye3nLS2IZ0KbzkdCdPP&fccid=ba12243c9efe1e01&cmp=ICON-Creative-Studio-Inc.&ti=Animator&vjs=3
24/07/2024,Animator,3D Animator Gameplay,QUANTIC DREAM,"Hybrid work in Montréal, QC",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=65ed5daf63100965&bb=tz3YWhDfhvJ75Yi-HAywqtg9inRdRUolxg4WcgBD3w7qKf2FG7LIfkAZo32AGQuxkVje0hcse8Fsp6pEUp8S6acyOMYBeVZOWV0FMqKKt5d2bag0seP9Ptm37ckUvIJI&xkcb=SoB167M3-ye3nLS2IZ0JbzkdCdPP&fccid=439d0b1947f6f980&vjs=3
24/07/2024,Animator,Character Animator [Animation Department],The Third Floor,"Vancouver, BC",Posted 13 days ago,$35–$95 an hour,https://ca.indeed.com/rc/clk?jk=8161872c3535bc27&bb=tz3YWhDfhvJ75Yi-HAywqjy3YyGKbO0Q7D-TW8QWSLJFMTUp5m_pbeHCAMVdJ3GbjuVDVZ2xNzPCzuOnCdFvWhSDY4wCDRCJFR9i62pULQhq9g-U-zPAvb-kaL5vrbbY&xkcb=SoBP67M3-ye3nLS2IZ0PbzkdCdPP&fccid=4e785442e7468710&vjs=3
24/07/2024,Animator,3D Artist & Animator,PheedLoop Inc.,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=1adc91f9f5fe1889&bb=tz3YWhDfhvJ75Yi-HAywqomSR1jBZZRa3YQKY5xEvMCjJllWquNa2MjmIHUW0SJzJ7HsbEzZ7GvLcY2fB7ElE32qafZGQdM1HIW-jME_UBO2JyRXae_sUAQZpwKKvBVE&xkcb=SoD767M3-ye3nLS2IZ0ObzkdCdPP&fccid=cfbdfb30805accd7&vjs=3
24/07/2024,Animator,2D Animator for Adult Comedy Series - Undervale [Vancouver],Tit Mouse Inc,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=0ea63767557334ab&bb=tz3YWhDfhvJ75Yi-HAywqoQLa8WSxExpXORcZxQzM4vepRy3eI4Iq8ARM6uvUmKr1tHoanRwzKPstqKCBdI63jcrRlD5f7-CHvp4_lbYR85A8FhjN8GTdU4i3S7rzw0E&xkcb=SoBm67M3-ye3nLS2IZ0NbzkdCdPP&fccid=25c4f2e6f3030b3c&vjs=3
24/07/2024,Animator,Resort Activities Animator - Part-Time,FAIRMONT,"Banff, AB",Active 5 days ago,,https://ca.indeed.com/rc/clk?jk=fccbfb4f6795c718&bb=tz3YWhDfhvJ75Yi-HAywqlFWZpvwB-UWWa2Z7pjU1Nr6OKi59IGXfPMwZZma-1JJFrp4mBDcgYqd3Z9kiqJ1rITGQrKgbcc0xDC1U3joG0gLPn0ngTb7EnU2wXd6asOb&xkcb=SoDS67M3-ye3nLS2IZ0MbzkdCdPP&fccid=89e76d744c108ac2&vjs=3
24/07/2024,Animator,Community Animator Translation - Tamarack Institute,Tamarack Institute,,Posted 11 days ago,"$60,000–$70,000 a year",https://ca.indeed.com/rc/clk?jk=089ce334a5eec3f2&bb=tz3YWhDfhvJ75Yi-HAywqt5FhBeJwsDI3qOhsmYxcMIc1NJXh2NA4gpU3p0KSLN3jx_1geWLwI7we-Ib2lAGEs6SDUJeM7HHo9yS3P2z1Lbl9QPWd_398DKX4kIamANz&xkcb=SoA767M3-ye3nLS2IZ0DbzkdCdPP&fccid=1016e9eb6d7a9f49&cmp=Tamarack-Institute&ti=Translator&vjs=3
24/07/2024,Animator,pastoral animator,Good Shepherd Refuge Social Ministries,"Toronto, ON",Posted 30+ days ago,"$58,000–$63,000 a year",https://ca.indeed.com/rc/clk?jk=f4002f89d7e4273d&bb=tz3YWhDfhvJ75Yi-HAywqqtkumA7moYigx7CsKRx82Q-ForYikjXwslMOpkv04HF7Mxq6sm-JS-GRdIxVnOxhFo_sYQuxlH9B4U3dmkTVhRPt0uMCDbvZA%3D%3D&xkcb=SoCP67M3-ye3nLS2IZ0CbzkdCdPP&fccid=20479df66c916986&vjs=3
24/07/2024,Animator,3D animator,ICON Creative Studio Inc.,"Vancouver, BC",Posted 27 days ago,"$70,000–$85,000 a year",https://ca.indeed.com/rc/clk?jk=d880c474a94467b6&bb=tz3YWhDfhvJ75Yi-HAywqrPee-licKBBe5oVF0zJpCUB4IzOel8MFeI1mCSXA1g_eRYYENaSP_KW3yJHpAxqhNqxkaOvVMVQC08JP4Asxvt0KHe4vyj9Hg%3D%3D&xkcb=SoAS67M3-ye3nLS2IZ0BbzkdCdPP&fccid=e69f27d1a3f27067&vjs=3
24/07/2024,Animator,animator - animated films,Sony Pictures Imageworks Canada Inc.,"Vancouver, BC",Posted 28 days ago,$45.34–$58.51 an hour,https://ca.indeed.com/rc/clk?jk=772aa81e278e2345&bb=tz3YWhDfhvJ75Yi-HAywquZl5R58ZZvEmsHgJheTkXz0kr8fMAPfWbY4gbtyetRIWoNOzcAT7ZfaL4QUUECRukHm7y1lDWHC0H1rmwnrm2kf9zV58gaCEw%3D%3D&xkcb=SoCm67M3-ye3nLS2IZ0AbzkdCdPP&fccid=87296c430fc584e1&vjs=3
24/07/2024,Animator,Senior Gameplay Animator,People Can Fly,"Remote in Montréal, QC",Active 6 days ago,,https://ca.indeed.com/rc/clk?jk=962ee4a4f532fa28&bb=tz3YWhDfhvJ75Yi-HAywqu6Op5AiOzysld7sQJYDLnP8oKmSdQktriEFp3mN8voxe9dkswjJWLxkrZ_7hCuid7LoG1p6dPK7h_L7CeZi0RPUrQLqYx-8hRc5trkDMrdO&xkcb=SoCc67M3-ye3nLS2IZ0GbzkdCdPP&fccid=97eff75ef565f7b5&vjs=3
24/07/2024,Animator,Animator,Reel FX,"Montréal, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=c66f7c8fb1c79f6b&bb=tz3YWhDfhvJ75Yi-HAywqpPCgJQo0XhoZm-PlnpZAHS_wLrMfpC2lmmm70cePBMWUvdZ5mFtLrSD1gO40dhxk40cfmz83jN0HaZdAHcKUm12Cm3ka-JhFuwUYXFfc1uU&xkcb=SoC167M3-ye3nLS2IZ0EbzkdCdPP&fccid=5ca93863f1c6a4a8&vjs=3
24/07/2024,Animator,BC - Animator,Zoic Studios,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=42cf17e123fc57d6&bb=tz3YWhDfhvJ75Yi-HAywqgMt_2nWxpdagELGSa34FQyMGSkgKyVYKtDdOd5cA68D2w3sisU0s6NJ6IcmMIXTuxGJ4VpgWMr5l2sCVU2V7v_U4roMxPigVQ%3D%3D&xkcb=SoCS67M3-ye3nLS2IZ0bbzkdCdPP&fccid=2b7752a692459d9d&vjs=3
24/07/2024,Animator,Animator,DNEG,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=8b1cbb5d97c73d89&bb=tz3YWhDfhvJ75Yi-HAywqoJz9cVvvIc__W12HY6jCbonK7MiRJpRDbKw7IiNHRmfocDnlQk7W35pPZKTzyy0ixN2WL10CvgZG6T6jah3dLdCLGEOOcYMbbhIUbrgFEVo&xkcb=SoAm67M3-ye3nLS2IZ0abzkdCdPP&fccid=d0cd21a0ba3fbacd&vjs=3
24/07/2024,Animator,BC - Animator,Zoic Studios,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=42cf17e123fc57d6&bb=pfZZkxaiiKXNy3qyKE_E3_9Bmh0ubSlDuv5oyzOAJRJ4Um1Es7aSFMv9V-puZvgBJwUuOvgGqiN33D2cnW4F9oc5IB6y7aFEIA-aHP7S5wGM9Nu7oK384w%3D%3D&xkcb=SoDu67M3-yexBZxgj50LbzkdCdPP&fccid=2b7752a692459d9d&vjs=3
24/07/2024,Animator,Senior Previs Animator,Disney,"Vancouver, BC",Posted 15 days ago,"$108,400–$138,800 a year",https://ca.indeed.com/rc/clk?jk=69b91fa9f33e7cb9&bb=pfZZkxaiiKXNy3qyKE_E35kheOyQoKmi3yKt7IMuyhOfCNUOTFnIbGaKYNuSJdbTdMnu5-4HtCGePeUrnpeIoDuzKYQddbhu0_oDVbNU7FGYogzMtrSYJ46tjt4OA1SX&xkcb=SoBa67M3-yexBZxgj50KbzkdCdPP&fccid=4ed80f3a97849f22&vjs=3
