ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Aquaculture Technician,Aquaculture Technician,Grieg Seafood Bc Ltd,"Campbell River, BC",Posted 30+ days ago,$24–$28 an hour,https://ca.indeed.com/rc/clk?jk=d8084cfdc0a500f9&bb=YKBsdJF684fP3Wq-L7rstziJnSaAKaYT0_z71xQPulldrTVNaUIDOGI0M9wXd0AdGXr3u4900pdsRZPzbvDe2bSoZHc53Ae3FOcaG0fDiAnY9HJe6J8r6ZeWsGwTAj2U&xkcb=SoD967M3-x48NqRSXB0LbzkdCdPP&fccid=70f9bc742bd8d8bf&vjs=3
24/07/2024,Aquaculture Technician,Fish Culture Technician,Ministry of Natural Resources,"Dorion, ON",Posted 14 days ago,$27.49–$30.60 an hour,https://ca.indeed.com/rc/clk?jk=c69995944aed41c2&bb=YKBsdJF684fP3Wq-L7rst4PxcY8ETLMTg0SwjYVDG3cqoyrUJEpMIWkgvjrPv1a_0Y9vF43Ru5zCyOyLvdlWGSs-WP_FT5TCV5N8rtgxubnxQibdxSkdrw%3D%3D&xkcb=SoBJ67M3-x48NqRSXB0KbzkdCdPP&fccid=67541f2e6ad0aee9&vjs=3
24/07/2024,Aquaculture Technician,Aquaculture Technician,Cape d'Or Sustainable Seafoods Inc.,"Advocate Harbour, NS",Posted 15 days ago,$16–$18 an hour,https://ca.indeed.com/rc/clk?jk=3ec3d5d858db9889&bb=YKBsdJF684fP3Wq-L7rst7LMhY5MDaQTnMB1mX4E_7tg5IG4hLK1FIPMUkigBzFmsNIGa3LKyPsma1fJN1f9EES9aOENroMc0QJpBgV8APo0qgEpfR1JgpQe_0iXqc1n&xkcb=SoDU67M3-x48NqRSXB0JbzkdCdPP&fccid=bbe7e0f1cbac643c&cmp=Cape-d%2527Or-Sustainable-Seafoods-Inc.&ti=Aquaculture+Technician&vjs=3
24/07/2024,Aquaculture Technician,Aquaculture Fisheries Technician,Northern Divine Aquafarms Ltd.,"Sechelt, BC",Posted 30+ days ago,From $19.50 an hour,https://ca.indeed.com/rc/clk?jk=4606dd310eaac6d8&bb=YKBsdJF684fP3Wq-L7rst6qAaqmYX2b9NgVaOVqrOZmlvUGm8Q08tFeqxFIhgermKjoGXOVrIdgIvlD8-FsukNF8CjfxOXxjRKcekNfZENQaa9kshtUPTm9tiHPWTmr2&xkcb=SoBg67M3-x48NqRSXB0IbzkdCdPP&fccid=7e203f18d2b8ebdf&cmp=Northern-Divine-Aquafarms-Ltd.&ti=Aquaculture+Fisheries+Technician&vjs=3
24/07/2024,Aquaculture Technician,Shellfish Aquaculture laborer,Odyssey shellfish,"Bowser, BC",Hiring ongoing,From $22 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwK7embcFOpN9ZotQ7ZTP2SxEa5BujeaqZ0jbLTjVy4oLLeuf_DEIfQECVso11kNavd3NRRaMkYpjh8j9EfPadAb8GlcsVEo6zRIQcVxZ0T0hihyDSd5YaR1Y6sL11Kb3eR5WJ87nokH9I_fyipqa4plpWhv1o1E-OW5hbuAbRH5mQSE5JlkfPkgtsj7d7RhbCcj9JdETbVRci_txqwGiqc3lpEzXUOi22Q85OUm4wJkTITdeVP5WdWTTWZeGaX7Rpo_9OLoSts2XUgRcsbLzXGiNH0L_f0YoXq-5QyqOD6CqfI-Gp2ewugYQAkpICDUfDlHiUZc_jvgGMOj4_expWK-ufbRkosgcDwVhOrYXRhY6Nj5ilL2LaqzZl1B8XtvLiuxcxRwq48G66R8jbU0rTx57ZZ9N9ZbpRflwoDgr9bnHwrdgkGGkgY61rRowgbmngv-q3eJQw0dOq4ufmio6fzVCoTM6RTZyF9hGZhBKb0Pu_w8UN05Ah89E1MyphWcrPNyPIQiyV0Tk4msU28AaKuOZjbhc9Z9o3tpn4Fkj6cTFDn0zrxC4wiIKTNcO_MIEISwYryaidLc9snSMHVx8hMBpmu-e8OTxXytjNkdiWru-2iknR8lXLE-D1vqOO-6owkLMSNQRrLg2rFq8ja0bcI9YXrzZCmnW4QbKe6Rpn4yPicpvqioKE&xkcb=SoAa6_M3-x48NqRSXB0PbzkdCdPP&camk=f416UQcMBpC0WOU-cNpMoA==&p=4&fvj=1&vjs=3
24/07/2024,Aquaculture Technician,aquaculture worker,Cascadia Seaweed Corp.,"Sidney, BC",Posted 4 days ago,$25–$30 an hour,https://ca.indeed.com/rc/clk?jk=df2da9fd0b0c84b6&bb=YKBsdJF684fP3Wq-L7rstyHmro5MBouyNK4xW2ftTtwgZaJwo3yQ2Xagw1bEfVoyHYT-sHEVRMxgQniug3YCAvWUBVFNhI1EN1903VvNJ8blk968eQOSTw%3D%3D&xkcb=SoBa67M3-x48NqRSXB0ObzkdCdPP&fccid=a915e80e4ad965c4&vjs=3
24/07/2024,Aquaculture Technician,Aquatic Research Technician,Ministry of Natural Resources,"Peterborough, ON",Posted 5 days ago,"$1,031.20–$1,148.80 a week",https://ca.indeed.com/rc/clk?jk=7fe8c274673829aa&bb=YKBsdJF684fP3Wq-L7rst8ndYBBzp5QtgKOj6Ybjikfa_ZS-KYKHgf7H2W2wKwNctFbU0OYZFL68U2QicLJHOSOEOV36ISYdyK-aIfKMN7iZJv_qyZXIsQ%3D%3D&xkcb=SoDH67M3-x48NqRSXB0NbzkdCdPP&fccid=67541f2e6ad0aee9&vjs=3
24/07/2024,Aquaculture Technician,aquaculture worker,Atlantic Aqua Farms Ltd,"Georgetown, PE",Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=f1677e62d82d06e2&bb=YKBsdJF684fP3Wq-L7rst83UUflVdqX98inLbgAOTlZTt8K9Tx8JbhWcR3JNQ8ZtbMGbhwprvm0unYd0V0d1-83suhsXH9lpJobEM1ebXutq7HTRzzoUGg%3D%3D&xkcb=SoBz67M3-x48NqRSXB0MbzkdCdPP&fccid=bf22f31b30a3dff7&vjs=3
24/07/2024,Aquaculture Technician,Freshwater Technician,Grieg Seafood,"Gold River, BC",Posted 30+ days ago,$24–$28 an hour,https://ca.indeed.com/rc/clk?jk=686923a6d6750309&bb=YKBsdJF684fP3Wq-L7rst8ndYBBzp5QtEZk2HqjIbI65iHeQePPdQdgDxvf36H2zWC_mSlHcXxaZMuWBQ8fInLaGXdJcqSyaNA-otVtoLB0ny9jbr0UtOdlnE2ZS4cx8&xkcb=SoCa67M3-x48NqRSXB0DbzkdCdPP&fccid=b4da9a0ff39fd818&vjs=3
24/07/2024,Aquaculture Technician,Seasonal Broodstock Technician,Grieg Seafood,"Gold River, BC",Posted 30+ days ago,$24 an hour,https://ca.indeed.com/rc/clk?jk=2fec8fd7f75e19c3&bb=YKBsdJF684fP3Wq-L7rstyOazuzXghhKnfESCN8dWILB5HU7uw-1CRWvmsPOj2DbqsHqRkMsTzWM3mAdQ8iklW9WdEE7lYqCVgwobi6Hn1AfzRtm1ZEpCzRwQ6siRIzs&xkcb=SoAu67M3-x48NqRSXB0CbzkdCdPP&fccid=b4da9a0ff39fd818&vjs=3
