ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Automotive Technician,Journeyman Automotive Service Technician,Wainalta Motors (1988) Ltd.,"Wainwright, AB",Active 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbCoK8q0OTboUpzhUYgysPT-tFnZ5xaxoS3tNSQfD7miKg9CBeVw7M1dJzgUnJp1G1ca-BRujPEHcw8FtEHRuY1k_vmfWZdSECyTL6Re63IkQccK1lpyclFejUw-JIPA8XEDlvroyOYcFvpgyO58sHXxCwztbLrxyIj93oNOBNyJ8eqYS9FNyD0V1CkybonldhWNKbhUeXOK1QPMcrNexyPFLtGOaRgbjaA5bvAPjGEZBM11BJyNL_BcjrArQGKiGT2rctlqoZhL0Y02IEdDxMMkVrYPFncRrJ1NB27oJ16ZIqB6Wcf1MuhV5tffxf05WBiexCG-jOIWGYB_poLpq3L9kxyAj_7uw3Sj1IV5aFKXu8hXPK-sAKfbEUIYt_UUiGhOL_AIXdbInyqbcdkvBLsoc_-mIuSJvKlpZEQDcZT2KMSKxYYuQvYOsm1ImtmT5peWt4esTsQGYHnC3Ew36gLJYUicYb6QQwxampTlU8jpEzqraiNX6-cmBQsw03FUHFJO1tSkrBQ6gDm8JcSlMZ-oYEmiB_DW3CQq67OeX1g7fD5dyyS5g6ivL67h4c-Yw0-rj7lGLgbM7LA2CXJKkmBkpN7gQbzjPvInn472T_5DRIABH8hxerp8RC84WHjXMLIHADYiIOX-qihYckKxw8LG1EUI8ytLGjz8Nb3KR2Ay7ahAgVA6hg&xkcb=SoCz6_M3-yFakkgDAb0ObzkdCdPP&camk=4HOcmqOLYrBDiyghwF4shA==&p=0&fvj=1&vjs=3
24/07/2024,Automotive Technician,Licensed Mechanic,Hwy 11 Chrysler Dodge Jeep Ram,"Orillia, ON",Active 12 days ago,$35–$40 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWV13NIXFRyB2sjahB4YDc15Bol5E65j-lPEpWSGY2FORdumnEBFEvqnTJ_S0fGYpeuxD-HArFlnefwY_4yv1KxZRzp6yCMTFPGhnOWFDmkcYQyQ3QBkByOG056C2bOWwoSw9zNti13UhJtizeY7dBqJfXcNEiX_YpiWljtZbyAsA-58P4rGWsth5neXhqYBIV15kFGa2isXeyAA_LaZ80GFnQ64JHIYba2WtF_USqcOUkrFWUHJx0DKy9erOxXHgzh2cWskIqBSIHfeIMYQ1ArE_XeJE1yDGLiYIhjPXsxtriihoz58wiqneMcernBhfqmn3ADbFfkLRVUVt5eFQ2nmrBQeBKUUfI3bqtxU4HJSrTZ9JVNrZd_TvUlQ_ftiu2BhLNVpXjeguZvx2i9SOvEXFNwqvKkurWCeBflCvWU2pPWFRpiDUGjR4TDL5C7ivS4bHuJFGXC7MfGTNYT9jCrB9SgkCCximYMl4Z3lHaDPbx-TPGhLpmg16o0f6g4afNwxahur4asm04ky8BKWk_mryID2jrOZs5M8VJ8SRaCOkh8GuVes0Z7NLyKZYDZ2A8NBe8fwT4InTgymN1UNkp5EUVA_YHSYaSJ9AuM2E1RmYD9hnmBCGvnylOFukmAiOBdMdpAHcrcwMN8eN_pyXG&xkcb=SoAu6_M3-yFakkgDAb0NbzkdCdPP&camk=nUmJqO2E8rhWDNJJwW6XgQ==&p=1&fvj=1&vjs=3
24/07/2024,Automotive Technician,Automotive Technician,Township Chevrolet Buick GMC Ltd,"Summerside, PE",Active 2 days ago,"$50,000–$100,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmtalf1wSfkRcwlYsvpittbNvFgs252kq4d2WO8Pkhgo2644Qwk9C3XwPlLn3pkIb_6Rr7NfLHMfIwjiV0lPj0S4Dffjb9hfwVTbxQRAYykfZY84wSZE9KclIwhqlNonoMw-pVzxsfz2va7K0MkjLhPmncnuirWCZ1HQSo6mAtYC3lw2sNSETU_SPreIpyYbZtjIE-aQMoCXQqDdXObu8IoXm2GnsuBMqc5qiItzQkOTuZ3gTm6sB0DKDh90YKtufAJ0dIV9u8ZhZyEM_gMYVxXaOj3ClHeD8xRjJkbVYolB6Ij_auZ3EQ7XfXBsbOFwUfI8uyN_zLA2Jz03BfqNFui1IqQ_6PbcAxt3faoptOEGgrQ94Lriz8jS4FZj8k4YJxjwLCRDensjEa3IIkgFsKQZFdm2WXhvxiDd4l0afT7jm-qXvL7t4gMyJZXSoMya0nD-nA904MwbwSE8t16Ztdy30E_cBcdOSmzoXj95OkQ9At1Z4nkQgK_UA6Qv4FahM5l8q3H8IIS52rsFTyHFGfJc795KWJkYFgxG6BQ_z7lN1n98vlr-u5nEf1GXKIZVAO-WnI_UYHr30mZlg_jYJxjAWwlu-N183C8bf12odXw-5gOL7sUKyoZY0Tn9C7kPU=&xkcb=SoCa6_M3-yFakkgDAb0MbzkdCdPP&camk=nUmJqO2E8riZh3wUvn9jsw==&p=2&fvj=1&vjs=3
24/07/2024,Automotive Technician,310S Licensed Technician,Dave Stoddard/Mark Powell Auto Service,"Nepean, ON",Active 2 days ago,$28–$35 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DqRI2YafuugQc-VH2H3KkYMI8-6Gw64oyCVvffPpKRP2qvzUAZP_KuklhiaAINZhrIUUCgIEp0bpTD5d8K49L6PoQuSwXA4STyCWta-uGBC5EocsOT9UoYMDPO0Myj3no5QSO4DOV1O198JYiBnfk_Y6ER6R0bpbXOwpcq8cskfyE0jTF9Waxh7zLhW6JlakpT3Gv1K-Q83kN25Dm6Q7epcxSpF8hsdwfyjMpFZUprJ3pM3PbeBGXsGWEfUjNLerQ8XSrgvlhdmhuT-ir_GiqvGL6hSxxK-sqXyV6VcbEUZ01zv0zXNojTF-W6IxIJzqENwt2h_Rh-BQ8FXs79A1PR5Ovdiz_PEEzxIsTbPspO6X44MfMsDJMT8vvA_p8yjHNV0r2ZpRWbOYDbRvQS8yo62UzxorqeuuUsselTDQHQF2C_8DMFT-SOctSLJ1_EMAkojxiD9gZ6A5jzNJdRyk4UOYuFqEqWofpr13xGGWNOIXHkuQP47hogpjepJ716YpAySzEpLoSCASZwdbAwkoZPaMZn1kH2Jd3U4yu-RwBmigRVAzrPduc-lkdXnK-2i3HneQc8F9HhXVVMjmRQy99j22Vdud-KPkbJmFvPh70yCsW4UNOmQ8YVEQ5XHXZq2UgcCOOBsuNLL7JwM9IfoQeaJihD7QGF3Zo=&xkcb=SoBz6_M3-yFakkgDAb0DbzkdCdPP&camk=nUmJqO2E8rgtaDTiivHXjQ==&p=3&fvj=1&vjs=3
24/07/2024,Automotive Technician,Automotive Technician,Coast Chrysler Dodge Jeep Ram North Vancouver,"North Vancouver, BC",Active 4 days ago,"$60,000–$150,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AxQHzKGkNwwg0MHqXst7O0mUU1XbO77F_85ylCPXvu6uGxLXE6cX1y3ags8eHLtQHS8EP87Xcv07-OZP-gTcPfDT8Wz5YPlBgnk0wZJldwe3QGlx4ket0B2tOlp8DGbdPY14iJF7riE4KiyNs4ie0h1sapDCI_G4B6aaSjzGzqWIE_oEMPXPYKSxNHGyzQyqz2rEm4rUsVGF_jSxDCluugUYmitBzTlb8TamsGzKtTn1p4dRu9_Npi4OFMDByJRePtR7SAhVYYb8oH-Iy6iTRpwxZNMDH0l3HoWc6e6VVZS2XFLUOT0Q-T1dcPi4DQyKDQD3dKhLml7vPtW820L8Rs2EyZlqG5bY_Ik_qL2YScx4MlWr89UGPi2IICGlZyXk6vbeF6gf7O7zlutbvKIvQu8fpUXIhb4AnCeS5KGmqr6zOci3cTbb72aLn7x58dON8HYPohsbjRJ4BK64NNcY5Jy_Y2ASgV6VO_-VBAsmpiBotV9Qk1eGRled7PQ923bhj1iKOJCk4eoQTmtTc3AAzX6VD4sF7Wr7Eyiw00lEgQDz3d6dh_vRFfNT8A9ZQZQn1iH7A3WVvaFEMkZeMAWd4eSFLRUewwQkSVKRcGJ4IhE47Sbj1nN6zirkLhElclChs30e4bHfTthybXxzJlXd09&xkcb=SoDH6_M3-yFakkgDAb0CbzkdCdPP&camk=4HOcmqOLYrCmEv_HIxIj8g==&p=4&fvj=1&vjs=3
24/07/2024,Automotive Technician,Automotive Technician,York Regional Police,"Hybrid work in Aurora, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=ff369d88759c8423&bb=HM8aFJHbznZV_9PpGljPV9V0o-ziIDA1Fp1ZjJ5GKhdawE8oYWSSg9_8OydNUeJtQk-9CFwwtbxbwFJUHgArJW03T11_XXPPGEgjYoUMw0i72BSuoXkOby-EG1PN77Rq&xkcb=SoCu67M3-yFakkgDAb0BbzkdCdPP&fccid=f199fff0611eb1b9&vjs=3
24/07/2024,Automotive Technician,Automotive service technician (310S),Licensed Master Mechanic 310S or equivalent,"East York, ON",Active 5 days ago,$30–$50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHrXodHb9rEbkDieTbP3DnNEaxhcdvj1aS7e5PEqoenpk4aAGmrza9nfCzBPrHFklwAKEunVXCx-OZDWJZ7iPJ0qGXWdjY2AmM7RP0wAqNm7HoiA6BjovzHkhdMvG1l0dr346DyMDSNJim-z0o06hHxbWEWv5yi7mWB6P7GemC_j2TG38InsKgo86aPXcidPkyNCcNyA0HBjsw6nDmTkWhfufqvuy6QA_zcwSi6iSGXEVrCB2dtoOGDwHHUeUJM62OYiCOhFQNQkADL_CKcTrIZCUIhrqlXhtTHXy7-lV-55wz-deJt2uC2BVvjuwzwEvFDtuK-dbER_DtHLfSxHHvhapVnhx7e6Fzb7USD40QD2ermYWLeCYtwTDVXKMklEwEsCdNY9vx-xFvaECYTZ_hpLQiGE7ADtEK68a-TNJwNRvkcPzEVQmCOcEi4FwGvoOa86-3SGHv3eVvQ0hM49CvWs-VmyTikjeZxDQcdcx5juAl_-7E2s7ukPSRp7rB_a28sa6l-h7CFOXUVOJGbNA6-AOuIhIpvEin3FRla4rRf3BpWgykqCEE0JQKOBRcujQ3ArdUdrghvwRDkF6roURX4wvenKjcDTf9Mbimpb3tVZw2C9QTnQxtANHkQhqJ2y4WTAdlbgbKxTPkkI6RxA4u4EFU8jKqwLQ=&xkcb=SoDu6_M3-yFakkgDAb0AbzkdCdPP&camk=nUmJqO2E8rhZpo2LiS0G3Q==&p=6&fvj=1&vjs=3
24/07/2024,Automotive Technician,Automotive Collision Repair Technician,Maskall's Collision & Glass,"Abbotsford, BC",Posted 30+ days ago,From $27.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_foM3pWhTh55P_eG2Fzvz72g4GH1bsk164FLlfj2OGBbdOIpC2sOa-94HY7FxxEJmMlI8qHy7teisZADjmWyUfQSdOOezoz0ilZhi1DmhetqfqeWjgQMeJlN10WsVvpYyF-8WeU205uYb2JGb05uM1aFyCTUzaLOjrkl7kyKTSZByiK3sr-A60azG7LpXZajeEnAdB7dqryG6O7PkS1VboqADiZSPaOzUrWFFp3b84KXKrX35hbg-ykSVCcYiXmOrTrIjaFfnJyUPG5ZDwUmoGL1QWvVx5oTzfMRBcAcZw_0b1schFMCIs-HvjSl9t3AhHHrq6pyUzEvANEiHTG5DDH1979v24Q3y6i1sggWWqVdTPoPmbAUq94n2d6EcHJxeCWHlWiFMEbdxigzxODl0mQLGY3Yf5TrbnF1ZLgUA72sIVgVpbQYgT8kRYnSon_Py6i6OHvnofk3OEo4YWkDAHZf4Ql8QLCGTq9_98FFNYJ60po4hPihtcYmJpFI_ejNrZg15hnUbtCDqu-NciR8HDCwXuuK-bHU7yJ1TyHNOLw_-82s8a-qI0Brzzu3NAMA7kHLHTlVC8bmIQXOsDWY-LrGTFk4nr4aI9nylajhbphNeTfHfc5r6csGmx0E3PhG95HvWz5Jp_og0umy9-7H9gLqqmGmmOFawdKH_iroJZA==&xkcb=SoBg6_M3-yFakkgDAb0HbzkdCdPP&camk=nUmJqO2E8rhI61hbOSbEZw==&p=7&fvj=1&vjs=3
24/07/2024,Automotive Technician,Automotive Service Technician,Windermere Chrysler Dodge Jeep Ram,"Edmonton, AB",Active 5 days ago,$40–$48 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpDe92XSHXa42DLDZ-imAIfCrxji_cWuFX8g4yBZDHuRFKTwMJJHp7pTCJyZbvXOeHVVDOXAhOlNjmrQA8SvtuC7rfJWUEMFICcX95hFlxG_xSChpjoktkSwfxLEj2Lj4RoRP6OdExZplc29LSvLlNRn2XUbUXE3FGgTkw7TwKgkupQyo9cN7b5_o-8ReBVUD8Ca6y9IGfdo7vm0GpyIwQTC8t5AbZTVplSybRakbSdnQjF9LLnCcsn4tpoRaTJcVhJNlHebrUqGiHYNqF1lxTpfCY4SlSOBEK13iyYU4Mz849ZWb6opThHMzV3uB-LbHGcDOGuU0BStWR9rxoUkVd8VX7qRU7h9yni5tde7m0hxtcyMRaVReNh9EOo3PIELi9Kj0mgj6CFwugRA7fiD4IZDI6nhMJShagD6unt7dyyfreHIUgye0h-xd_MEs_sRLYefSU74F2obdfaDjgJdzDMUJ633OB6lx7fYe2G_M5W2sXOVGMUfoAnfnXootB2gFiRp5fFJSNIgOuQkL687XkFjiqWr_l60PhDbdxI9Yli4eECKZnVLWWb_ITvRMwzRH3faHCcZclr7fDCVrnHT4CBSXghBUtewvngzzxQ1gb7eKzt7UZvywMRYXapb9HfjO2xE0s2tlk5G8Z5aesZgo7LyV8pkUpS-U=&xkcb=SoDU6_M3-yFakkgDAb0GbzkdCdPP&camk=nUmJqO2E8rhSFqHOwcJRbg==&p=8&fvj=1&vjs=3
24/07/2024,Automotive Technician,Maintenance Technician - Welder,Vale,"Labrador City, NL",Posted 11 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQyIsrLPX77HmZ3BvK7D3JLq1QHxP3e8mz12KCI0527NwF2ZJKYonEACinocP6zY5DufkJqzvC42g8i3DACml72cEnE4Dc8WgWcy_WfJr_1bov-VQgiONC3ndNV02vKevOY5eKy2eCUFQsmN9IRa4hsT0WAq6tXxWS3fz3D9h5ep4tFps7BTN22aIYRd11kMd0c6lcv-G9lJH4YU5UAt5NMNjx1iZbhyL41TdX9U2x6crzmMCSMbT3tjfwjDGJf3Yt1pnhZ9xToIuOrIcF4n2BkuBMYS_ciCqsowlxwlSdhWuOom82gQd1KnUDq8ZwxgVcXxMsYKTnJ4dZ0zZ8ejVXrX1fE0B4Xl6MkmTjIRrUonwZ8bq0EF9LwlRxoNA7XZ7X_af3Y4WE1lRBiK-VV9aCUoIFS9xIcQMlc_KyUCETIDPe5FJLM6o9RsAWI6RB9koqE32qqgvKEtjqGQAZjxTdVGF2xaDabn8SnL2g6HlNM0yaSPqiMYczQhkjnNr-nyq3jgnBj5ZzK6PXnNk1wZ30CqQwLCOfGBgXOuZqredeb3WKq18NnbfJ58PTF33ga7H5OwtF_9nka1WQvIEnTWGvPctPBVzbQEtEDMpyGGbKQantY5w1IPCdBkeFI4EIIsk_G5wADc2Fr-uG5rT8aljU&xkcb=SoBJ6_M3-yFakkgDAb0FbzkdCdPP&camk=G42KULXkIwMOzvKrHZCPRw==&p=9&fvj=0&vjs=3
