ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Bartender,Bartender,Avenue Bistro,"Comox, BC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNRTADGmPInzI83dpLsUr5Iiv0DUoRPLRuAGF1TzxnQSTy5P-X3222y-mSWO6oj9_AlBguTrminuH__t-2guHBmhXki5cNM__Gu9C80UO94Ikcatt8GZH_FrV14sVRSaND1AB2Thj_yeEOzXE-sB5IWUojopd0AcCQWvrpYs4S27XxjexLr1_vp7XTZwVUtpf42q3DD2Yu89wJfy2j34hf_bgBNnPuIWIM_HkCIC_Cc_RrfE5rHW2g4DYfEvgbgjU-LQucxPLHhaf80u2KLd3MXrZnuIppeRldae1PVeXwzimtysglSn113J0xxPC6eiZdXeVmop0v0HBitAu2tlQWgFAUcm3W274sJZ37ONoGujgAlUyJzN7gt0ZJvNVNWPzbVaVSDPnrbdeWcKaXGuEM7PPfcjzW5udj0OWGVL_4bCiazMdv2jkWWY4kLiFKkJs9W2TsBvpJt-p_gtD0HN7J6_CB78CTjMfCFPvZrP72jeeXPCuPHv6bGMZKFFM5RU4FTwqHhZpNEVAvsABecink-kgptxZl0QM0GGWEgfEXbrdqsZSs2t_QqcjkbadKB1SMwKNuUQdYnsGWXTSTixoP7I34FjvfFQlZK2Y4V320Pe20rs6Vpy0i&xkcb=SoBX6_M3-yFTMlQnDB0bbzkdCdPP&camk=4HOcmqOLYrD9yad8WQRq8w==&p=0&fvj=1&vjs=3
24/07/2024,Bartender,Cocktail Bartender,Wild Blue Restaurant & Bar,"Whistler, BC",Active 3 days ago,$17.25 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWd_kfyxpfzFSwuUMlM-ng6rOXiUPXg64AQDD56SSvs1t5DNMPSFoSkFa1n7unOW_SgDJaM7eaBQcJN0SlA6mGiZLExP56WPFrcX9Fe4AzUzQZgmAoAAdDmS2tBqutXMhN6UbXj9N7kimRNDf0ho7dJt2MX85DGR9KimYO5R410JnGXGB1wnAMLHP9BONM4rj8zw2xBpBQyGuRcNhkpfcKgpMWIhURT8IdrRzmfcov_KwaoE2t3qYXYIJTu-nHZYwHHAtyq9yWVPQ7JzHfbaIqzXK3yo24oh0AVVr_5OJNqxSJsgDAafz_xNoZt9PerzUHvXfpHnxkgiTxIsDzYtlMZ0I07tD-Ey7qjqelWvZsrcKtlp65PajEiQMhGivH-eaJGU_IcGpatxG9PQBvvH63jH4Kup7LG6eJ3rOjxYQeQeUXc0aU9TqHau1dYEp_C_6GYIlI3WDFhX45dP5T7UB-gxKDZnFBywkuqBZdzY-MK61vY4eya5E0rc2RsGwIAjbMVSPo719Pckex2cvmVluNH1m_7VEjNV_haICZcFaOpAfZkVmnRCyLWknuF3Upd3jBtprUN8-_VEHMCkfDlgSXfCHn6hLq6Xpd53Nf5LMH_fhg_UlqK5kp9q8eq5wmxY4=&xkcb=SoB-6_M3-yFTMlQnDB0ZbzkdCdPP&camk=H-lBaXMUocJcxc212IL0Rw==&p=1&fvj=1&vjs=3
24/07/2024,Bartender,Head Bartender,Backeddy Resort and Marina,"Egmont, BC",Active 2 days ago,$17–$20 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ABfhn8eUrczNnrJi5Fh5q6yBZRnJIcsRWkIXZJ9M9stitLcmdDL2zmR_LKP690e9_Xd9YZEUHUZBn4qOJ7kM4fLsSXO0m4jj_uJiWdFC1Kf6wE-ND7UD8RkXlg7K4QxCGFVB1OvztTw_mMH5iAj88jJyZ1wRosXakx8hYU5Uri6AO1LK1daSWfBShxEbimhQhe9nJwerI5d4ykyzcXnSEQxbU-sIRdgRodjZxkV19yvY6PD1hBs6pG2rKMoKh3nEP_ekFlI5DZNvOc5qUNmwH8GwlLWj_UAZJrv-DduL8gRVHFlQYzBmOYspu6Z-xhgS_wNAJF1-sZ54ZF6kK3_9VNLTc9gKLuIzHHleKC2DIUlSYoL4q6BziSh0MNANAE94DRoMimGN7VSQZxEb5hgUdkLTtvRtQdBaSYBymri6fH5J8AFnsDMDkYYt-6lr4OUGC08NADYaWRbevpKXzlUKU9MfuOTnQLVMt93zm_IVTiOovvxXeHE2hZJNiOdVCg41DRqzCbu9l23rKfBcCkA0F2OlLMaCbgx1K_Gusa1ahbd3oir9gX9usmxPIeJI_yVJIpa65mk_UEi5pONnibGKGu1UOXlqU0ecGTW9-Oa_1k5oPwXqADNh4u&xkcb=SoDK6_M3-yFTMlQnDB0YbzkdCdPP&camk=nUmJqO2E8rjgfGobUVSUCQ==&p=2&fvj=1&vjs=3
24/07/2024,Bartender,Server/Bartender,1858 Caesar Bar Huntsville,"Huntsville, ON",Active 3 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8K41MEgh4NlJFDh6WwRdxe-1R24QrB3hYtpQGbsrqC7s-HVo_h6F7aPJ4IlcYf4zdJXSTjyfCDbhS7doWbFhfz-gYyQ5zZBJkVM0L4HBqMTolWugnVaT8VZM5gue5D2p-HLhmTtGT0oYGG5VNdEJqk4B9T48a-bsOVp9w_PFsA0XQyuJoxfLOViCZRtyENTKGiHT4aqRmvdxciFFOCG0sD06UhQY4FhtxsuJxcwAZVs0c8sOqjIbFC2Sf7qaM8uthVSvuKRus1O56210vE2hGaWzRtLy94pDi4hy8Z5EgeXO-X_WuLuoZEwj455i6RS_HLiKNQHeInklJv-HhrFOXbuC4qAgWWlr0h2Vd8QLg7W0u_gPF-Vb7YLoYAC7k8QXnyD_qYeJ6TcQkaSWlElpzsZp-Ym2l8GPMZCJctfAJ4OyZ34WerKGHKktlwe1WR2MO9X70YsAS-u7cm2N3qE8ZV3E6njY5imX3dLb1ozOXgytt7Whh1ROPwWsD9AJc7uFqipldO98QQJWrumGFfMYN6m503IMoHp_8MfnikE9cEaUp6ACoDDqeKm3SscCyl5bf-_7j-HRdfhGSYeNKVdznqm-7H7Y0G_tuw3MCYObnx7ZXBWv6M7F_36A_o9ERh5Q=&xkcb=SoBE6_M3-yFTMlQnDB0fbzkdCdPP&camk=nUmJqO2E8ri-YsK8OJ-2Rg==&p=3&fvj=1&vjs=3
24/07/2024,Bartender,Experienced Server/Bartender,Little Anthony's,"Toronto, ON",Hiring ongoing,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A3AQC6jyRSvv97mHEvQt_k67xTo8ZnVERJwAMn-icd_BiKmEPsTZ7A2Wf1dTpsUuNppqvDKFk98IDAorUTCiLe2-JKn8hNnM01lYfXditoULDB8TX52qddaBXUDk0DCcsJPPXQwnNhXp25WW-hKZfFv9x_j08cOPVFRywh_8JV0av6LrzhEQFWio6gvy4lK8wc_DVupYsL1elT_sldX-CLsIn5zivqNHLfyMhHpObou3UpTZzuqiIvMwOS-Q1HO1-82mDO2vu4RQQe8RBKp5IH8_cf5FiUkiWDyh9g2Fhu3M8Oa4F8p3LWzNE30kT1pfiSexnLkMQDgwD9gswrNEpjLnxZvcIYGshPNgikHt3y7QSh6QZVXBiLRFFFrgSv9f3FWvT4nl2oFRWG4zzcFOO4jWWBQeKnQHiFcE7YZ3d78q-xdNVAnv--iDoYwFwZPEE_4cYrsu1BipT3ZGDp42TaA7xOTJiQ50uthkXp1p7fRU8PMGnDqL_Mc4lslmfMWVCM09QLr8pHeZGkENTHEq4iak_A9riAjzTsgVDdWqqb8SAJeJkP-XAvUnOR2FImVgN7tFrPgAxbE32H3ijCTvoMoPQcQu9ikPJyr6zOZSY9edd1cQUGT6OYwSGEP7PjJ_hSAZpKRTQyCA==&xkcb=SoDw6_M3-yFTMlQnDB0ebzkdCdPP&camk=NFVmwABINBJpKjVvJrJHVQ==&p=4&fvj=1&vjs=3
24/07/2024,Bartender,Food and Beverage Server,Amano Italian Kitchen,"Toronto, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BASH3-tcNzcbnHma9OJeushe4Kzcm8c35_Vz8nQJ-SdASFa8TmYql622Ztp7NG-5JePbGOtgrk3Q6Kww4lxwBKtFNpICQtXa-x5Ua-7doz_a5jr3it4G8N30OhDZLAz4VJurWmilnZpJfQ_IJ89wQVpPSVb_yZWU_bIyPP2SQdEktbEFa1dlay6gjW_BQnS1BbC2_kpvjUGBtb8TfJjs9Qu4XjKQdGYbTYxOHOGkZJzevWnCsCbbTFz44h7zqu9Ijxpucs-rxy5Jr4fEuKZSa_yUytR-FsW5LwNgJuu_2nqwLu-BLWoWzeTNsa0Na3BtbVpIVKMoL83is9BuWcfi5_ZKP92kjEGB9WXkw1lDoMwMc-44FynTO8mJEOnI79J5iZlBd8lVTi9nlkSZ35U53Ev7lPwecG3lnCFo4vXxIWFCQ0vhm036q05CbYx_JN8so-TMKbLCY-fCwweaj7xBfGhVVlW2GsJBfAAlZ-L86QhVWctYbz1d6DeQ_6DgajqvS1Z4f8o72pNybhVfdDs9xetkL1edC275wF7h-CzhkcUaeAiv-lnDUX8t97tvMcJ5PHTHLFE88yHBDfPg42SjdnjApaMUX3X0VDyTPV2thhh6SmMdHv187ySCmjeTYra-dva7sfmmtnOwojQKqYrQ4Q&xkcb=SoBt6_M3-yFTMlQnDB0dbzkdCdPP&camk=nUmJqO2E8rhdg4ryLiy78Q==&p=5&fvj=1&vjs=3
24/07/2024,Bartender,Food & Beverage Server/Bartender,The National Golf Club of Canada,"Woodbridge, ON",Active 5 days ago,$17–$20 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AgRCALu75nHPpl3gHbSuUimWYs1z2ed8GxOvDRqs9MX5Lud2N1NkNXlWugI-vlDXBPKgsf2gNAnhMG57rp3Z-NQU4r22TDrC_fASTFtNIhVSc9RQzJo7zT3RymrEkHYST5SivSQCdKzP9R8njnbH8x4rJoSzBLPfvfeg84Uls4WpkzPr9C-spd8xruOzOKXpCTqfPWIFptvhuqQ7dMpUKI_UxfxEXCYnBK8MXJ9t228lTI3RuJinT6gD8xubFPkXsVWLMYkiPEvtUt1_Jn21-f_q_t9XOe9tAdbScpwcyYT14mDJwBty56kWXfHEpqbY3R8af3-CZObeawL2RgmPNW4n-_5Unt_MiC95Eb4nhslHL5PX1VF-Xx-B4ipDZtkhErNOBfUW20q5AYxm0TpANmjgEpvJaASh0Tum0aqUiPfUSswZBFjsA_F_busWFF-4JEe9VqtTgKKJlDyqa1-b0s0hMXbPqjYxOtasTB8Bp_Q2vToo_mCrILa4i7nMKaW2N4nxETK46LQGTKxlPcaEednT4i5AwV119RZaR8gztiwfUJ2Cgj809keyiA-zn4vluM0cZi4R4QE0pqZAwVeiZHvmVP0ODBK8qLo3VcPYMcFqljUaKQIjJFxcLC-rd4SYL5cpVca8TLjTXNK5OqYJw1Q8TxSfUEke8=&xkcb=SoDZ6_M3-yFTMlQnDB0cbzkdCdPP&camk=H-lBaXMUocJ1i4IOc1-jAA==&p=6&fvj=1&vjs=3
24/07/2024,Bartender,Serveur(euse)/Barman,Bistro La Cache,"Saint-Gabriel, QC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKAXhmVmCI-i6Y0R0IIgwTGxzWl5az7NOAopZAMJ2-c88PBgV1duzaCkRhdHXYQXGNy8tmHqw_CwwjjDRXyxBnf1AclgprNGwfb9uPCI2CPAKJomcatGEJAD22Rt1r7CwM4_lb7De9nMtiyFtL1LvHzivagXF0U6ZRE3Xz0LjP_z1EpntdWUm0LFpr0UyAuawYncaCKehjDElSkNIiy8DH27bNG9MwFkYIWQV_psdqPkLIPIZ0ONIhk_g8rDciabZ6HbpjqcYzNiDNAnrq13_ihaWa2qHOBU2v7ZzQxvpeeqaTKLiWc_TDyqx27mnPByQNbSYReX09Oo2jUYucMgxLrUP1C8LLOwn--MBLOrpUPjrOODbi_Bb5VkqPaU0zB7Y7xmFLAcg2UEfKhUGL4QpTwFpdmdUZReKOBbyn1DyPtngY5kjgMnwRgcvoxFm7JtbE8cAEfA45NlD2ur03tCwrUai0cvoT4ubts1gvyYaHUfU0sjbAILF7EBcW1UwrftT3siIadGA8QjssVFjbI8ep2arLtYrEO8LnnPYpIR5Ao-S0EaYPZ4roD4u1j7Nj-2O1bOTfPjFklLDRHa3mzzmz-WsODVbFGKHGHeQsfOND_Pkk7y086eHE&xkcb=SoAw6_M3-yFTMlQnDB0TbzkdCdPP&camk=nUmJqO2E8riApncKz5f9XA==&p=7&fvj=1&vjs=3
24/07/2024,Bartender,bartender,Aramark,"Edmonton, AB",Just posted,,https://ca.indeed.com/rc/clk?jk=a402749a2e481dc1&bb=hXILJnJmmSW0fShxOFprDtGIn6YhNOwOdBap9ReXiHKdBCUNE8TAPhX_Pd8XNT_5HsFb1rFGgaY07HZnuvmDSC79W24nRBS2Cq0HC8qZkY-6xvYOWpvs9Q%3D%3D&xkcb=SoBw67M3-yFTMlQnDB0SbzkdCdPP&fccid=ef670f88bdb8a879&vjs=3
24/07/2024,Bartender,Bartender,Casa Mezcal Inc.,"Toronto, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=fd9438ad0a09d059&bb=hXILJnJmmSW0fShxOFprDvbuuFSXfq-jbpRHqz2FfSPZGQ82dwwazLKB3bcYYcBjBDt2Nn7kl_GeruM6VX3ri0zJ7-nz5QZEtPU2l0NUT-k9LujI6qEwczxohHUmJ8sg&xkcb=SoDt67M3-yFTMlQnDB0RbzkdCdPP&fccid=11504a6df2439eec&cmp=Casa-Mezcal-on-Church-Street&ti=Bartender&vjs=3
