ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Benefits Coordinator,Psychologist,Quinte Assessment and Treatment Group Inc.,"Belleville, ON",Active 12 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CG7zinRNBc1gs64yzYtdRwg2uipeCsKTI3gLdQYFLl76FF2AT4UJM3VPSLplS56ezsS90kffgMhCqel-SE5Y6dXwot5In6159kei5a1WjliAAqiaNjNqyqjkvvTFHOL-_n8aXXNo5KnvkAMwzI1tgfLNm5uWi9P6nQT6ugV0ow2NsrL7qToq7VCo1x94PqPOh_rDoP_Gk_UoKlcL_5Md5Bn69KKqx75DqwJHfUNsLlh-EJY62ijMJSVudL2U6kgLte8oV-0sd7caPK2bPB4jQFx0m70Xp3-6P_2voXY-99tZXii7mhn6r8bUenSh2gawggz0wDOlYFuCTq8f-5eLqbcFMgQ_rrK2GmqJRsOMhChfYv6dB1pHCJzfsjr94BKLNtGCCd3Wjp6bTBn-g6cRVw7XLu-_L10665ZYmrra15G3UkW6G11GXSFEGqSGCL_OX6isiSCKc7xdVh08Er5VifuI60ChZZiFhm7fWAGvhoI8Hv9Be6drrRu3AIqGKBDai8rP24FJLUXThSu14cgBcVeQsaA1ofvxXMyK0qNC3NPgHWDXtgVF11OCIo-rsXM8yjZw-7y8M55cWYkCjRObxR5d44PYvoLThi12FZ-dkPvfsOa8NdW5WaYBcs-PMab3hr0_0iFcf68A==&xkcb=SoCd6_M3-yZLY5Siqx0LbzkdCdPP&camk=4HOcmqOLYrBuv_g5JgPahw==&p=0&fvj=1&vjs=3
24/07/2024,Benefits Coordinator,Residential Program Coordinator 1 (PC1),Vernon & District Association For Community Living,"Vernon, BC",Just posted,$29.17–$33.49 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A3m_Btf_KUKs9h_atGE4ma8SSGdn7AjkA2KRgk4ipZXkewoCPx3lyOUZwIFiq0n9Le1B2c1Irt388ZfSmXavZpJm-LvwrDuVlsCwVJ_CteBwx0TtLe32Y6eYV8QV6MMN4QH-57VXR1aJLgoBiMGO5x4eHGi87-XRlHaC-vzCcN5pBrZ4mxpOrlyQdeMKdVuvkJ6BLIvVPTOgbmzGFKf0gK5Uc86nFvnoQITAwdo0D8EReMZgoP_oaJjeXsnBy1Vn4j_0rdnRW1-FpSj1Y4N8FWtn560N1En1IDfNr9DZyPBCtVxLootZQLrekYTJeomLyV6VcmTzYKC0Uadbw-H5R5IB4PkYO_QyYN2o7j6cd7aakPajv2vP_HWr93x6aytFzGQalHJJ7YiBDqXWP1Ro4O1JKzJR0SsHQ_7kbe5hqQDpX_GPICqdal-7ctdwuSphuza6OIrbcSOoIN7yahmcv68MSOyhhc0eb_KcTu-6j_X8rciAKlQULJim5E8iD0JQwkyWxa6A1iJ4Ijm8UjdYKfzbtzbalpgS9l7H-tLX3oy1NcUSu1uz4dXKxNTJVg8AlP2-W6WoNmHczBVWV1FGo4jWMLWeadsxPOn9KDpNM66uiAc5YaG33P9uCMBhnT3ndWtIAYjDFoL0aNyHucwqT6wZUu-qMeQV0=&xkcb=SoAp6_M3-yZLY5Siqx0KbzkdCdPP&camk=nUmJqO2E8rgGQ6UdA-AHXw==&p=1&fvj=1&vjs=3
24/07/2024,Benefits Coordinator,Education Coordinator,McLeod Lake Indian Band,"McLeod Lake, BC",Active 13 days ago,"$50,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpWTrLDS2r1RDbzkqKUxuJpFiiIgv9GXVmyMo4fGMsClVavN19L9l7_4poSx61-TRi_lTO8NKHzMVgwnuwf3Lgjk3GUdeMap_ZZMTnjIMwoQpPwDoLjTeNpixX_GcyuNbM-eW5ad5hPHGW9lZtB9ZvdaMSq-JGuc4qIWfEzSOkvM6OLWVM8c3l6qbY0wmHgBhok_CwkL1HVqbFIJf-7tJI9Zo-XaoSVilMMbMfg8OuIzMVWUmNFmaNPqJqb1HRTV4MNOKF3lKp7dTNZyTyMqCS9vg16USHYL3eNggdai9i3ZF2QBEL-OxdEFVz2CjqBp3FY7SDCpwtn-HV0lxt-FOOtirhbfXE-f5dOQPn7SmelaEKwV9NR9_mZZq2JwCC81NvPBPJdJUk-s2JnvtMvthSSckN6wtDDnkCf2NiYKM3peIBrlGXow7cVK5Mo0j0KTPH3qaYsduPOjZrLqDrFTGbWlIibU8sPfon23-FVBiJhJSs9CGH-F82IvZL_KF02Q5iyF2R95uJsvgQ8POl9wXxDiByG4LNch4w9B6fqRGzEpwTbrK6_sEm6OE0BAcgxACfVBTm9ZJWRyHQzrRUJaZ5ZjZRZATI5mJwkHM15raeAuwbBwuVUbmG3wWgEIYWjb5nXiK4I1eeMlC9wLcaZ1FY&xkcb=SoC06_M3-yZLY5Siqx0JbzkdCdPP&camk=nUmJqO2E8rgR1QB8AZ-vmw==&p=2&fvj=1&vjs=3
24/07/2024,Benefits Coordinator,Mining Coordinator,Taku River Tlingit First Nation,"Atlin, BC",Active 6 days ago,$36–$40 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bql_zihCKFrSjX-6krcTAe7yp0UvciNjxiETt9RKCCOo5MCCJnHw7ZpZOHTnERiVLKDjlAiJLAljwb4WV7OArQro-zCmVSLzmfwcnJsdulGUKe5F297LAbHmQ3kHEjVr84HnRspGySU0VqcjWr9kRzEEpjfhX_fHAWG-nBE9Oi4vK8B1BTNn0bQfG3JhQVvEEpxgOAqlH-hMztL4DQgKdkcBXX_4EIBGvh7qCRiGYl4IMJhT3thCiwbsBa49wizxJtbOFDKYy_plHkC2cBk3xrTFoiFq1PR9DoyG-eJYDnA-haHr6RlhlrM-qUovU3uHt753pChbXTtOsSrkDyXb7r0Av1rVS3cYKTEbE0C8ksJ3TGRA4NW0K-NyKT2mDtGTwYpsVXTIFLiNgMZTi9KsnMwvt5X_9SZr1A4tPwqoFDX7ujIE5vFNaih8-bInpONi3G4rA66S0hQQLDeXu9Qfpu2kYPj8SSBUcbhmn_Eb5c8TM2LUZJnm7J3yQ-EZft3CHDJ-5v_IUqUbOPo-zee59rTfQSYzvBu-8qa3IOjUy-flJdW1a8Kal8WlDDNFptXL447KBWwwGXFBhXWnMe__vICzS41Du5PxDcN2JGgQHvXIcYb3IlBdDfaK2zt93uDVMv70ogYUfiLSkES5JdnCR-uczODKtDeWU=&xkcb=SoAA6_M3-yZLY5Siqx0IbzkdCdPP&camk=nUmJqO2E8rhxUckBEVtXSw==&p=3&fvj=1&vjs=3
24/07/2024,Benefits Coordinator,Recreation Coordinator,Riverbend Seniors Community,"Prince George, BC",Active 5 days ago,$17.40–$23.00 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cvz2RoHqtOIO18FDbB9eLrUkYQLz7B0FGIBjRimp_MK7UFXsmoBaURkqmMD8w3i4pDz7SR1mkK7yp2uBAbhPAuVpx4XEzDCKJbl-hpJKwlBz-x9rxDYIZZDTboo7DpjX3nrbdR4jp9G7vsFuxcmynnI2H3KovotKY7q8fFgvsEDw8ttZtzirAJwTKOz8h_0jv1og6GiyJFgRx-zvVUDMxpggn0YcsUyT87aKc4rO42bzQ61pahrDEjHBrg7-103y7sQDpmTc_ptQ-SKwDe4604Z2U3zEeWTMNU6kZqa93JvSiNJ_cfFrEDsb1SS3pCmnNHGV8KlmiH0mNssWmdy3P1SqeLSJqwCayspR2Uypi-OXQUTqQjKsVdx0e37L_qQmwF16En8Uo_ztztqi2HCEdpbvFG6x4yx9tUYiv8QyyfA645iqB67Lrt6tDeWfaVmMBVfUkGHqND9ENHvOuue2g8pXXcvpmMkNyStu1eK47m9nYAyXp8oPLjpW7ttttWSW2LfVMFZmXyTOwLO6AvbImAn91I20r0m1TVL9-LZ3wHp81_P3MVWUfcQyMieSv9e857alD8HHha2Q3ZbVQTDRRqetNQsDXbrCgltPG3EU5LjUbA5ctK04GpYtSae-FydJAUJLb9UpcmKLW1j2XSq5XK&xkcb=SoCO6_M3-yZLY5Siqx0PbzkdCdPP&camk=nUmJqO2E8riKjiTz26KZOA==&p=4&fvj=1&vjs=3
24/07/2024,Benefits Coordinator,Export Ocean Coordinator,Manitoulin Group of Companies,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6wrKmZ-sfCtnnPxjBbcZ5CKUdbiWlU6y7HuPHTo9noGLN2bO9abJEU6Lyaqx0AVIP-6MCBXa5bG6oGqkcR5LVbYLiQv1gkUBIoQGJdvut3vLFfvzyW96cn5GXCFWkZITeSdI2IyWausEbXYp3fxsqCKJiNOk5GkPJrmJSBBPZm5nAk2KMxEdEbONMlQv0Rd246-DgW3r2cEO6oTZ2MdMJhNGDn6ilUgqszxBpFnSy9pGj7_53CeQSKeYzYLLIV9EKoB4QjL4ZqKW3IMmyzPVLLPit6Hu1RwGmnjE-jG5nrgC2FIoaFhIhEz0VKYhWfBQNywDfd1PnwKQtCIosPyxJmDbHsjTYFD_ZnTG113nSHdlmy5Pjs16Cj_-NPQaeXTJC3tBFT3Cz573AIvg-lPa6xgVWOtgojFHH-DWnQEs-zPV9uJc0-iNojo2gkyE7x8IJZy5zeEnnpDNDAtMRYQXqzFF8DbcUe8WiCz8q9PT6eWA43nHDTSIbrMnPwHTngzNhmY2T68FIvNxPYMDucEj6BOUbBpoL2WjJNpMZZX9OxgBrsR9_fG7ObOlHIEYFrZuRLhs1IQvePgEoaxS5b60nKImoY1FuQ9zWrucDYC8dnYzl2oJZcG4-uWXyWP2hVb2N--Qr9vzKd24gohZCSNriH-GaktAtVQjztOmmaGUNV99PmmRuEU3mWvBHn7K9lZuVKgFgZG1Xuwa5fQkHP4rxoq0a1fJVx6Jds99JM4iI_y9ZmaLiQHP4&xkcb=SoA66_M3-yZLY5Siqx0ObzkdCdPP&camk=cvIYj4HMhep4aE1n1a8SCw==&p=5&fvj=0&vjs=3
24/07/2024,Benefits Coordinator,INTAKE COORDINATOR,ONT.COLLEGE OF TEACHERS,"Toronto, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=62c01447d3102241&bb=NlVIgT621GHZ0P4mml4RQCLT-JU6glqz2Eb2vzTRH5ZTsrUnkFyp6ajOn5WSPQMkprDn45vX_ASxSv1wLhjlqNN-D_PPyi2JMAnLlUtPTBKfxEsVAWwAR-LwGUPF5ZqiYW804hwSoIY%3D&xkcb=SoBT67M3-yZLY5Siqx0NbzkdCdPP&fccid=a0ac80f274af001b&vjs=3
24/07/2024,Benefits Coordinator,Benefits Coordinator,Bayshore HealthCare,"Hybrid work in Mississauga, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=f88c45da9e4e8f59&bb=NlVIgT621GHZ0P4mml4RQN6jzH7R8oGVfzWRFBRruGkGcpvRRK13Azg7p9T343kcccz7jxlt5v7MEtuggtt868Q8ZPT-DBZljhGcu9CQGoTADxQbAzWop3CdyjExOi1M&xkcb=SoDn67M3-yZLY5Siqx0MbzkdCdPP&fccid=35be63b10340b18e&vjs=3
24/07/2024,Benefits Coordinator,Dentist,LightHouse Dental,"Kingston, ON",Posted 3 days ago,"$300,000–$500,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwGbeMoF74K3d3gJcxmufbIa3sxyZBV62gFTiJjP9fFGLuDeNZt8k24wsnDZuPxygVIXqHDjgZsbp94cUKnaFKUuxpvtCjfArhn8KQfcw1_AT9lYl7oe2T3UPLaEQHGEf_r1xY7_1TCC9rm40nbM9a4sVGVHuADX3bSdM5TanwwX58AqOT3Rgvr0UYvMpSsV1axMMVKqRu-JMyTt_oYlbqe3Xo_RY8TDcnALIO1o4m4biE6biBmswqX9ZUEMP8yCwmsipHyNm45VWRTtoD5y02DBcIb9XU-XTWfEeayMPfmuGIHsLF_6j20EJrGFKlY7rSGXeBLpdl2fKKcZ1qCIJrsVoOGNbDSwMDScoRVc1WrkeFUGSXdz8YlzPOk7AmhsGF7bLDfmwFwgcW3S17-Eu2XAFPoG_gIuwPD4XwH3jB_Zj8CAexNERIXmh6KjWZykfCIfZbC0H8hSUUNtNB2cDL6WWhvacwC2D9Vj2gtxn6lWOqnNleK5L8n5gwjmByTxb86bjaue6rJ0BI45GChsOwnQ3qe4kkOJpHsq0afRtQLpMCQOlFBjEtsqTQv0gR8j65WecJjdnWtKhGf_ReWVbfNh75fEjSWyGIsibb0ByMrH5AqDs613NfT8wQ8s7vR6Xv7D2hQt7Cqc5sWeSFB_u7&xkcb=SoD66_M3-yZLY5Siqx0DbzkdCdPP&camk=nUmJqO2E8rgWGzLF-x2gjg==&p=8&fvj=1&vjs=3
24/07/2024,Benefits Coordinator,Benefits Coordinator,University of Waterloo,"Waterloo, ON",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=abeb5fbdf6f0de0d&bb=NlVIgT621GHZ0P4mml4RQP2_--7DCYqmgprxrfx4MN6nwxaIh3tfpG7r3AFvEA6abVYi4Scm-slnIOM7bV2eTf80CQLknIIRWUP4axS9ydzVTb5blt7g7AHzUdyi2tBl&xkcb=SoC667M3-yZLY5Siqx0CbzkdCdPP&fccid=5bcffa6277080afe&vjs=3
