ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Brand Manager,"Manager, Brand Operations",Sephora,"Hybrid work in Toronto, ON",Posted 20 days ago,,https://ca.indeed.com/rc/clk?jk=72a5aef19842dc66&bb=FEzoAfSACCl-2aRlltoVDrqdJAcpJ3dqJuan-sUUHne2Twj3KNVmJj06CgWk3mIeFaGi_L3yHp7KnPzqL2o4HpVFNdZE86tISdOVrazV-LOJoJ-WOyrlsVV36qAylqh4&xkcb=SoAZ67M3-yP7WOy2IZ0LbzkdCdPP&fccid=afda98bfc8224b19&vjs=3
24/07/2024,Brand Manager,Senior Brand Manager,Procter & Gamble,"North York, ON",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=5b037e72a606160b&bb=FEzoAfSACCl-2aRlltoVDp0_dPIXlvRV4PrSEzz-I_QpjDoVKqqP-204L3fVJOTEdG6NlmwCHxZmN8qV0KozKJZEJ0MYf674cMZehUYDjLjR-OGOPG36Tg%3D%3D&xkcb=SoCt67M3-yP7WOy2IZ0KbzkdCdPP&fccid=2da0dedf6df97194&vjs=3
24/07/2024,Brand Manager,"Manager, Category & Brand Operations - Hair",Sephora,"Hybrid work in Toronto, ON",Posted 21 days ago,,https://ca.indeed.com/rc/clk?jk=c1f60fea39a2047f&bb=FEzoAfSACCl-2aRlltoVDvLUy_gkyko12AAymDuRdTYyQA0VVCnV1Tj1-un7pgO06wrGdNmCh5odbs5hlD5BMz_koPz2Xd5PFnPGjY0Snmn3P-luxfGB3lUpO6AhShid&xkcb=SoAw67M3-yP7WOy2IZ0JbzkdCdPP&fccid=afda98bfc8224b19&vjs=3
24/07/2024,Brand Manager,"Manager, Brand Marketing",Cozey,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=09a0d66d7836ed83&bb=FEzoAfSACCl-2aRlltoVDseOc2nUtPtguKZaEouPsso9AMsJUhpvj3Kg4CvL-OGlctruIuvsMgrJ83eeuoTC6VaY8be0QLMcCUiF0BQxCbe5bNKO7cpniyfxUuisdO67&xkcb=SoCE67M3-yP7WOy2IZ0IbzkdCdPP&fccid=7064134c86ca1df9&vjs=3
24/07/2024,Brand Manager,"Associate Brand Manager, Brand Communications",Kraft Heinz Company,"Toronto, ON",Posted 15 days ago,,https://ca.indeed.com/rc/clk?jk=1f40e13f35b425f4&bb=FEzoAfSACCl-2aRlltoVDuGniArKw1MUcJkdK8dVgxt1gK0jwoBpQ6j3bQcvU0K5Kr-NAoxIi1RL4YWpP_tyFMfuyh50lM5Wlij7eM5vtQ9o1ytloSBJV6oXC8F5UbMs&xkcb=SoAK67M3-yP7WOy2IZ0PbzkdCdPP&fccid=ef4be98af276034b&vjs=3
24/07/2024,Brand Manager,Brand Manager,Earth's Own,"Burnaby, BC",Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=bfdd949ccb751a78&bb=FEzoAfSACCl-2aRlltoVDljGPFSuRNPPRyMKExuN4Z9LGPAH6y8N-cMOwrDvtBhdMYOzH9ddQGxYYJICq9Gj6ZeecjD0FJUHbuZ6zW5Byu2RGcs70UG1IpzUO8Z_unUaKb_OnXChmBU%3D&xkcb=SoC-67M3-yP7WOy2IZ0ObzkdCdPP&fccid=84778798375c71e4&cmp=Agrifoods-International-Cooperative&ti=Brand+Manager&vjs=3
24/07/2024,Brand Manager,Marketing Manager - New Categories,Confidential,"Vancouver, BC",Active 2 days ago,"$75,000–$95,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DN-gpv7Cjj2l_QYsVYPUH2bsOANzNav-Zf9TJ-58g9P3CZW7KkjxopSkWJkBLlSA-rC0P3Mcwv7giDlxb9bgE-C9XUAP8jmA8_916Hf0RR6flVhiYuWACL7IUcIIcP0atoEQ2YENwaLJ29QiIn3XDGgD4HvNE_TEaNoee5rdIAx96HWPbotwgZGMgJd33v1I0P2wUjP6oYbWU5_L7IyMVNthTKYHfa_TNHlpvi75JRT_cr-fP58kdgSTGWo6_v3ck11mdf65XXDnGEnOI_nCTDeAJ_k_RRJrShkHn-r0RUA6W1JRMUc_cnnmyFpFjW5KErmpUp_TK9iXSPS3AEqDgR1ZJjoOYpy9rhD1-qD82HfA4PkJrh2Lr-0qrWhFCZS_OD0GI6IF5mZrXTqfwLwHmrHYu2k0pg4pQEqkJlC7x1fRVU7Pl0FRePQsP08B4VClCry5z3il0990RSwY7yK7xB3GPXExInVWAWmlJxFpJDfd_5XDleP_87JW9cVEuDZlIxj5GQvpFFklKmpdRE2jsZSWUeYKThhK8wTrwh8oCdWV2NF_0upV0-vhPm87k3umMEd9d0TWMzvuQkqet8CAJeTgHWEmBAmsg79S6o-G_bAdrMeFupV8B27b4vZaXQ04-a9pubALifpVX2e-a9_ZZ_kYtuOZf9f1LA3oE8I-NLqA==&xkcb=SoDX6_M3-yP7WOy2IZ0NbzkdCdPP&camk=nUmJqO2E8rhhhA6f6IwwDg==&p=6&fvj=1&vjs=3
24/07/2024,Brand Manager,"Manager, Brand Marketing",Sephora,"Hybrid work in Toronto, ON",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=79e789e27816d8db&bb=FEzoAfSACCl-2aRlltoVDjUhTe0GpucAenWFsn8ofoJsaLjJCrDzTN0VpSq-VpiOu6W1eMJXNbUp0iqieokIN4_L2ojGE-UMGGg4X5YzcKPShZeDwU6zg-nv7MEmn2-A&xkcb=SoCX67M3-yP7WOy2IZ0MbzkdCdPP&fccid=afda98bfc8224b19&vjs=3
24/07/2024,Brand Manager,National Account Manager - Canada,Danby Appliances,"Hybrid work in Guelph, ON",Active 2 days ago,"$80,000–$100,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D2xRFwNUTktxNAJhyiZM-I3hYpJDan5QzKkAWkIYN9NYJi-kk8oI7Z4_OUJKqzi5B3YDQFwbX4mvu1-JkbRCcpHnlth5HXz2dSofL4_ZJ2P_gOKHijOmt3SAxhnAz06pD4By8yg_9oi6yGLb2bYaHc1p1Ing1K7b-eoHBZDXk0f9Vv_LuGDTevAoU_Q-hMO5u9E7dfRWyNLcXkBsK6HcAVF8aDzLNYmPlCTiV4IiM-6B5SUR4gCz2cTN2k8RaT04B_QZi_hKsh_WwIyh2m8cFUobuvu9vu7cEYIRwBrouoS0CSE6OdAualXbcGa1dWcBqL0FQweR7J81dzoIce9nM-3ISi47YTBLNkyKzLFxKeAqL_cVJ7gHpFzcadx974Ba5IPE8pE0xBKlInn5UAeUv4gwY-nWda654KxKFPbnfGQs4_v2EIjMqj_KNgiOPvP1eaeiytuiBbGZb5VFHBSd1hAEHWqpkYR8CsxhFRqgesBftCS1nHjSsKhA9r4mtvdalCvbzsbQoc2FX6TjABBk0BkDPg7uL0ut2NrUps5GUbUZnfYNoYT9Yidxr3A7ynjFOGIRNbLy0LuP_A5qWRznXSXbpx7854PmO4R0arRBjjH5mOZF1SXpJhE9Veau7jyCaTw2tT8cTxIg==&xkcb=SoCK6_M3-yP7WOy2IZ0DbzkdCdPP&camk=nUmJqO2E8rh_pqQxOjICJA==&p=8&fvj=1&vjs=3
24/07/2024,Brand Manager,Brand Manager - Defender/Discovery,JLR,"Mississauga, ON",Just posted,"$91,000–$118,000 a year",https://ca.indeed.com/rc/clk?jk=86ce27593b4d8900&bb=FEzoAfSACCl-2aRlltoVDlh-e4-A73xCZFhSoYSQEELE6RiCAKF3VLgaquJyhq9HU9yIug3_atIITMoqeSERqrSWnmJ7Hf2KmKh39hYem_07pWKIaDnvUCotdefoXL29&xkcb=SoDK67M3-yP7WOy2IZ0CbzkdCdPP&fccid=2cdda4b7d766b1a4&vjs=3
