ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Building Superintendent,"Superintendent, Metallurgist",Vale,"Thompson, MB",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQyIsrLPX77HmZ3BvK7D3JLq1QHxP3e8mz12KCI0527NwF2ZJKYonEACinocP6zY5cOZSmZ4H4LCwlSUWSsFSl55l-CpIawiWMxIzAIDsDLAccIieT42LNJ9QZu1FlwGbZjr1f0qjGEJNRR1ruMVYFIz-fwBT_eKFkb4Yr-1YzZiGNYlHu4z_Dx5uh6UFKhtQFfWg6MbhSbE6pvqBWp1amJS5Tj_OpVEgEQv_EGT7VIHKV2xBlyaJbxlEOrtTHQgsb1Y6Rl1ZUuN8kV1w_y2rFHgiahKx5CIh_f0P7gIQBudIObT6u0BZW-f0M03xAZbP_yu1-BAAdNJWI_uLyOkWlktexp6CvYOGZIVu9D38nUaXR4wAzK2wRMa8RnV_H31gICP9RKaYhJXlzOowV5uTcz1h8ABtg6svJI3BeQIcWjIgix_hXpEb7BLH71uyYJY2TjGPBqF92rwGIjlAf5_KJue0SRS51ovlqxvXbn6zJNZrjzDJsDFpR75IM348Xqsg70kOXWkvJu4UuJmUBrG5ihCrVcyrxi-GcfSbSwpGNbw1oVtFkfRl8xveYnGgnkWAPDCpDHI85MW8YwAP8_PgQlZWfe-Ndt6SuStxkFM0rPs3Vqs6HpPQ5v7Uf4sHlwTR-fpQHf9IB4saMkl7D2pm1NkB5m_VuqMs=&xkcb=SoDW6_M3-yVaDmyiqx0LbzkdCdPP&camk=G42KULXkIwMOzvKrHZCPRw==&p=0&fvj=0&vjs=3
24/07/2024,Building Superintendent,Construction Site Superintendent,Saywell Contracting Ltd.,"Nanaimo, BC",Just posted,"$100,000–$140,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8SZw4ie06CKOJv7F_dG5g05hO0VIAVLtagGOrRU9RI5oiosG8UI08elVemaiNJT-2n1xyPFTquyxgwxtdqe2i7D2sylePYAzCljt7ITibGqgnjtrMx8M0-x16fZZ0zPu3naQS5hCg40wlDVMk6vQolv0YmU6yMK5veQ_nS3miPS9vsoxSrm8wsbrjGmW58pAvP8k2zkfp3QzInvVCROwzigS9zqxPI3UHmr79cCt4is_JDwOYO-10AF977FV20s99f0efIiZQsksNYAYlGNp8ee4OFlrmKpeCj-PoFtFYaZACgItJKbnTORmI8GcwijbZOV8kCwk6s_N8AIkRwH6WwZDYmIBdHhFbHA_XX9Iwk9uUZEOQWF0TwTk4Y_lnCmmHdkCYhmvdgIwvM67oB382TrVULWDVfqztG0bwHZAixffbUmIJi5GIP5_XJKKo1ls-SW7lHiLcyl_TczxYvhzwc9lBJUbvvka476HICXQr8sV3PvCR6mGY5A7hNc2xwJncjbinyF8EIJfk9Td1dIA3wGk3mAEAf70duzhgqtab_AnsRwKQbYHbtBtl5hYqSnxdkoodIdQDahTeHq5eBKuRl-9yKVhf-dTtvgLvVjVCt0K2IV-vviGLJTODZuI45VCYyZwWwQooDyZj5J1hJa6wu-OSpm7AOLk=&xkcb=SoBi6_M3-yVaDmyiqx0KbzkdCdPP&camk=nUmJqO2E8rjoVBv6SZn3wQ==&p=1&fvj=1&vjs=3
24/07/2024,Building Superintendent,Building Superintendent,Lions's Gate Building Maintenance Ltd.,"Vancouver, BC",Active 2 days ago,$16.75–$24.00 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dml-SkkyMyk_9s4R1wxDmNMDOcWxTMhT_4xDePqFMFYuDInCBvfVsOYkTGgTvu08uCC_RIxeeK-mgyyh-5qRMPYParNz_iC5ji4YwO8VYZSuTbGCzEX6qyrvrVXsXXor6hJ6tr75MRssEOYJSOLFgosdjsvUzmvIqJjkFACpISehLT8R99VuWEM1k1vVGhg6Bfa3PAmgpJTkEkR7jPbyZbkVRmIWQyKzqtJIgUXWZAQ9Lso1G9UY5oJDluNO3AnxHmBrFwWk1PieuG46XM1aHgt7V3Jw7V2XMxefdkDLfR5IHPVnmPlFteh66ElrSocISkoTcxMMgjEUJMyoj-szVNg6ihvtdxeQj7-A05EeU8grf11Cf0VuCYTqjUyeWvAvCq2Zq2Mto2Vll2enkg45AqWhhhsZm6CG9uZ_rx4Yp_9sASLBaWwe_9Tlt8lWlbIz2CAvJw9rnHmvVONujwHIpTAh_ZsQdvqbr9RhO2RQn1CNIsJ7DT7NYk1DS6f_MpJHnfxK0fNucPoihldsgAzl5CH-zTuJSVNp9gC1hwi0UCYqTliiNDeunMuooJUkqWc6bhJUHICf0IuG0zGMR0PaoVTx_9I_7OOEevHcb1h2vM2qRDLPGBq8zMx4m-i8BIDxk3yAzffqrV94sWKrkDHpLQ&xkcb=SoD_6_M3-yVaDmyiqx0JbzkdCdPP&camk=4HOcmqOLYrAz8qWdG0bW0g==&p=2&fvj=1&vjs=3
24/07/2024,Building Superintendent,Building Manager Superintendent Downtown Burlington.,Hillbrooke Properties,"Burlington, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ArZSnjt7KiqQKluJWkLHK-5bQy2KE8n5p6IqcnD56qIyzUVveAcBC-kxPD1i_c0xNDYpBuvKj6IrS3b-1dgsu9L1An-JQkd1ahWzCrR_DzExPni4bM4kwgXshA95rVdVyo2d6tORprchhPwFlPC2qvSZ-es_fGVZzpVj6udFXw6tUPrdjGAe64aNJQR-Nq1d6LkYx6NN49xy8kuCiDaH1qEnTGLw8elFj-tpZ1BIPMaEOKI8ld0472NlIT7mXAXDQpvCJndIrXo4PDNlKl2LXzHjNPZzR294NseKKy8k_TfrHAX_RlW29syrChr8sS1H2uaToDojq1EZSfnSKtfrrmL_aUV0xFEMkuV381orpifeCvlFooQqIreYXIl90xj5RC8pOMJkJPORJbx0yWrTnqOkLrsnOrgRvPv7FuYm51yB1XWK_lkMgl_LM5q_gUGxIrGpw6HDAeQERDx1-MeLgNS8sL-d7QbM0TRzxWX8IKihZNs8Hx06R3Se2g4PWg5iMXs2SxaLqu68N_47rd485TVCDcEHwqJzRqXbNCHj1deiPSosT2_0Ykud1h-7hA-oOODjUQgpZ2ZBHmlC-D8nY_NTWmG8H7muo9inTSau6pAUwucdefF7f_bjmZbe0Ow5agmC56ow1oiR4ckOmdck0RZ8aRUm4NqkfcTsv-oGMtjdnkZ8ZfY668&xkcb=SoBL6_M3-yVaDmyiqx0IbzkdCdPP&camk=f416UQcMBpAFytl06P3vWw==&p=3&fvj=1&vjs=3
24/07/2024,Building Superintendent,Building Assistant superintendent,Pic Property Management,"Scarborough, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bzlv_kvLV7cXqeLC45eToJ2k1gNIlvNNzvpOIPw9AzZeeAj9QehTQmb-R0ernGe88OC9HooPZobAZxzgRtQm7WA2CSrJG5Nd7vo55C3xw_CKdKvKsObigopBpxy_2d038WndUhxx0_OJLXT9B1Fd3N8Il1KChmb8QF0iBjXqI54_Bfh3LTn6FrGNdcx3fUcvUr-3waAg30MISFMaytoPAfggM_EhwX2ejrK5EyAXinOw_7MwuDRdceBKNPazdVDY0LuGdlCHY0OiOTgQC7cZq2ZOSnuW274cdBDvAOuA23MSJ3DFQF3WNntQ0ujo8Qf7JQHtQhm8HFFsNpn-JBInyMa4yKu-JS-ICOf9aLtdPrIvIyYuNvsLyAV90lbjE905K9HznfEFdawJKoM0hTzovKpxGmx7p_VfYc1hAwwhe4vSLMf4wXNKfSjMMLiPtW0QK8nz97G7furddD5m7M2HTQbAEOtz_6ZuGOB9WNwKGokdt_QhcZ27DR8eaC3j1IoYhRWMrp0mydWERw_kRGauLC13gQPKk2LTLi0SdanzDrFe43sZuwpTWryG6rw5RUE5jgbgT0WzS0Bp27vhplqkmJHLlBgoMcKZmC0zkLgkuHWGlD4SPL_7ha5eDmHpKLy_2bs2zrpP4gf5D_lV92ShPz-qchwuLrwJ8=&xkcb=SoDF6_M3-yVaDmyiqx0PbzkdCdPP&camk=nUmJqO2E8rgqv_jz4vHnJA==&p=4&fvj=1&vjs=3
24/07/2024,Building Superintendent,Assistant Site Superintendent,San Rufo Homes Ltd.,"Edmonton, AB",Active 5 days ago,"$55,000–$60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cts5vQjmGPS8D1hOzfao9UFwRitYp12-iFP0QaQW7eJVShzyQ0bvzOcBkdKU93gPjnuHAlGyKH2BMgX7ljGeE5QgpVYzEbBMSzinvYlmI6AhWBsbycV9TdT5mNJuJSQlC3sv4LFVo4A-EIkGfqpWYsEIZAIWFjI2huASmiu62SOagTNQpOFwP3PtQUWw6-xoGAB8Gn0d_WK6zyurSh1N5bmh-iuhtqiEyI7mCACYNg-d6eKnw8kvZkixDDXO5IRdzkkotuBUmGGBImHYIsDxn4pvMz36jbozjYAAXPmnqX8SgoR_G3Iqm6Gv0KPom0nn4Mo-DNR2pJpGHPRn7Rs-Vv6Yi1DqVYwPszUWzms-fzvHec589DxAyWOcEqz0W-5DW5YKuBSOzE8K4xPrjbTXGxBKRkCYMcm51fM2NEWeK99GF9GDHc5cs4cChxiDMIepjMVMikn5OpoPTL6-afSePSa2PdZnQIzuQv--iNofgV2SxBu-Qhi9lFfZ9wJXmu7M2gSWT__8VJxNo-zD2uFuKlK4pF1rBZTHgLc9bN9bVHP7D6ozT0J3oqD5htz-dwaCa2H6iuDLM1Cu1OjPNfKj5jYj8wjEsOw4FW_QaxJDGCEgB6RvxkWqgkw7MmLlEDluyaspQsG8STkn_xW4aclee7h2fA5_2jByQ=&xkcb=SoBx6_M3-yVaDmyiqx0ObzkdCdPP&camk=4HOcmqOLYrDfj61lZDQWpA==&p=5&fvj=1&vjs=3
24/07/2024,Building Superintendent,Building Superintendent,Rent Smart Property Shop,"Stittsville, ON",Active 2 days ago,"$60,000–$70,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A8xT0Uc5fSe40ruI4nywXBPIpWa1E2NaY_ISdFv18X_MfNUBLVgNy-_7tYch-Ag-oRVIlYVVq7AbNcFvTZSBZG-9s-tps68rnca3wHfmcAS-__apnFh_yxoHjT6KLpL7XiFL0sNviXnwZCTUwv5_62BlqHfXGEhG8CGDZLvODOaHTEo17swpd2GSKIxUWINFU4FpElnPlwC-XmDoiS4E3QaG6o3kt4u_B7URebdHR_qNmSCW6yk1q0-5-E6GShZfPBgJbz5-4aReaAiOiiIsILxpnho-eiC_UfBc9kIBqKXJtQDyTEefIwBKUhT73X2LgXe7W08vr9KoBYiAtzD7ZngqWfZluCPGvaE-e-EDo9smNzUpy72tWwEW5AZFj5USN7mKldrDIoO2DitZbzlDKBxhcbwh1_dy1G5GGXB53csQRJHQ2TbN_ZqP0UjNZQqfYlmVw8eV45ToPgVE69zRLC8QWKkTH9mfX4_iG1prTV3zFsaPaUGLCHU0zHL4WhYASOeZizov7rB1hfD5SKn7arlRDLywNPZUJTB96QNGEa9oUCddID5jAGQxRwJwPPNXhTgbE6r0gcjqZxjb_DRae4_cjpT4jEjVIjucSylDhqfatXALralXzWS6SFQ8Ae2SkYqnuGHRE4xyo55GIvCdAA&xkcb=SoDs6_M3-yVaDmyiqx0NbzkdCdPP&camk=nUmJqO2E8rgb1PxMrZd_aQ==&p=6&fvj=1&vjs=3
24/07/2024,Building Superintendent,Apartment Superintendent,Piroli Group Developments,"Amherstburg, ON",Active 6 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dh5bR59W9o2lGvN2EGBppBgYOca3sfCWbLJTWgOU13DLh1LjiAznRT9PXGAK0HB2wGSdS913hfJ_-0gTSnTieArPK8C5b4mvFPG8_2juT9Z7AMTUAmMDgmkHcBotwlkRI27gEKmyvp3rChy-Mc4zgZaPvouz2nppgqU5e6lfBMckDQYIh9ECZam0jGyNv95rEsnVj1yy6FVmwbfQPQPMVuMOW2QRhiQgFOXgC8g9GiElUTYzSHV2zWJYH2Fi0COAnNeuM0bAKq2SeXO6kaSw_cys6utgql0aRHGEXEek_Y62ue_Z71fD0zO1pQAkXQQtWcKLI7x0xImbCM3MIuo-g8gKvyO-j_7NwNAnEXx0aPyE2ARa80mChfS_fw-V7hxL_EwyPVw8HgAT-Vb03UftCcrRg2R5Gs6pR6QFNYhWv5onVR9vfLeQH-JKKD3R4e8NichvoeTdi92oIYYAQjAuoeAaor7rxe5c21bslhh5aNgCyzlqgT2aSRoC16uGEzpmX5pTUf84zfTrambEuHdP810_2OXSrdDpfGrkeChzXDg3qtPYZ3FDP0qJjKH9IpEwD1LskraucSnmQ7aJS23VCe2Fxdsa3MdUlP98TYUFbdz593tzPJOicBbrD1Fa-UOi_UANPvdoJuYKL-UTOkukHx&xkcb=SoBY6_M3-yVaDmyiqx0MbzkdCdPP&camk=nUmJqO2E8rj02ogRHElekg==&p=7&fvj=1&vjs=3
24/07/2024,Building Superintendent,Urgent: Live-out Condominium Superintendent (Luxury Building),Condominium,"Toronto, ON",Active 18 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CS1rT87aubeYt--rEZlJt4zaqG8ZMX1XYW7gZt-83xMlaIj7CqXVOvt3dGBMnvvtNxzGxAigwHgWQ1HlESWsOUrF6WbTskxrEONv8xTMb8qwtenemEfvP3nt9OkCFChZdkeGlj9qyyKFkUwwAqCC-fNw-2E5LUzgt0kAH8XyVPVYqEy2YA5VyiolW-GE6uAvkE4HUaZri25HjZDpSeuUhPA9Voa7W70LIHMU3norF0AP541g2FqZA0LBaL6ZDQRP8dWksJ4dR1msOSdmUOpvSuOSynOdreGGEnWGWMGQ7OoylYUWYXr3KSLxmYs55bdD4JXQGHR5rb-ZLp9UmLI4O4lOB2Kj2eDzL_vd3BlhwaS0eDlw7t8tvVSQCSONX6O7Tu8w_7o6MrY6iUkkjBgbmH1OxtSorYa33aNRNLdndtjB-pkmiW90Su_5XtOTF8iestKlpBnTopSSDXLRj87CAh2JgX7ITtTGA3r-aIg8VqUI0CivMa9PawKqyiWxm_gYgUI7BqDgxKGpgNlhSTZ4aYlb2_t3YQE3lTWXA5UU486B90e5wOaI63pjZIQUKBEZ1VPu2OMWxZR5DQaitpU_wfNySmmbgN4pvAtN9qyit4Q9V6aRVKR_ksEfh-RaGXJA8I4K44VbrRkGHGbrEC6bRtMva8cxvR2sQnlzno4plXtebIL6wSdi_oxnHCf85inj0=&xkcb=SoCx6_M3-yVaDmyiqx0DbzkdCdPP&camk=CPChkbYSGj_e7mFQG-1BDQ==&p=8&fvj=1&vjs=3
24/07/2024,Building Superintendent,Building Superintendent,Ontario Limited,"St. Catharines, ON",Just posted,"$48,000–$60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BgpAlVl9Yk4Q5X5s5LR7q0qM32Ovcwtlc7lOdPnmsCwadVnfzESIBQeJ0zkLzSprhaRJKIfwFz2IMc17-CKNtUITavRfdNGbfu7x_-KFb9hdPc28eQxyILd92CF6VIu5tHFQv3RGXAxjOuNHU2LoXwUDnkLFU3gRX5i4FouhJjG_JA8Wm3GNFGtS0JO49lm9vVfaV2DimmUXkzcOCHwrYVNH4-fA1pB89P1C8uvQNv5hg-rYbx5K84Bbgke_Ve0rSDJBWAmh8-ysthzwT8ADahiSx_eobVgrBzTQ1eF1M3YVdl0rP1KdkpRlxHjFAXpHj_MHTc12kGdnui-lCublbofG1C8Lj_L25K55sJQxa3bAp5T4i_xrFLIkGBL5OSydu0n-b4yaIptoDYjLSTD3dR41cPAj10lY0_NLVOV7_-cIMQY-o2CgDpYici4IwMRz7RyknhsLEVW6zy5ic1gG0XhxERl9pPa1PvCQKOMcXpczftL9bLr4nuan3cPMbXNTM8HD3pqB2fr7gpsPfi3IiG-oftjluRbgscsaV09tp2eWKaEgzraC2WBLWHi9HjPHr7-T4X4c9lgkvhDDEF5KRjhuKExv4ChLziTvzZevzs8BBVXNBt8mS2MdaiLacFBbJ1QLYfAXr499soDh9t5WeP&xkcb=SoAF6_M3-yVaDmyiqx0CbzkdCdPP&camk=f416UQcMBpBGyH4i-U_u1g==&p=9&fvj=1&vjs=3
