ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Call Center Agent,Work from Home- Call Center Agent in Quebec,American Express Global Business Travel,"Remote in Quebec City, QC",,,https://ca.indeed.com/rc/clk?jk=7def288429f4ade5&bb=UR1fHcEq8xMnInkQIj4PpurBParlIM3Va3qNHFgQ2_dbxkDtgZwHAcBYrJhag5n506ZHhXh189U1aAojGpx8CNhBFwfn04CP864Aw3kp-bSU5q7Zq_1C-PWfTqeQfFn4&xkcb=SoB867M3-yRmbWQ8GR0LbzkdCdPP&fccid=65a610215742c669&vjs=3
24/07/2024,Call Center Agent,Collections Officer- Work from home,ContactPoint360,"Remote in North York, ON",,,https://ca.indeed.com/rc/clk?jk=98926a4be14ed0d4&bb=UR1fHcEq8xMnInkQIj4PpuigA2_izI5e1oPAhv1ELNhmC2F6Kdpijts4hvtpGLFuU9UeikoJy-wKccz7IB4bV0DKdI9jrsZoSJsWtGiF9fZrs6cWyqW4ob1CAce3lYub&xkcb=SoDI67M3-yRmbWQ8GR0KbzkdCdPP&fccid=02ea45365a173976&vjs=3
24/07/2024,Call Center Agent,Customer Care Center Agent,Chelsea Hotel,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=24d0e3e41eb194d8&bb=UR1fHcEq8xMnInkQIj4Pphgaatxi19z5vgSiVXWq6mg4aS7GpNDjkqszwzqVIaivw-L6pM8PaUBg1CHljm4RCnkE_tmETGn0ZUAssgUQLzJ4xAxUYpIh69s5aqi-mAYi&xkcb=SoBV67M3-yRmbWQ8GR0JbzkdCdPP&fccid=44cd9d8597f4ca95&vjs=3
24/07/2024,Call Center Agent,Collections Officer- Work from home,ContactPoint 360,"Remote in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=58d50da138b50224&bb=UR1fHcEq8xMnInkQIj4PpuURT8DeLyuoiu17opyZ5mSFeGSCLSPsdJG2El-HmKSlJG7d5iWlkkaX7waqjpChG0Ut32Ev_ojRSST3OZnmX1hVD-ONszwFAkvGbL7bN5h1&xkcb=SoDh67M3-yRmbWQ8GR0IbzkdCdPP&fccid=02ea45365a173976&vjs=3
24/07/2024,Call Center Agent,Bookings Coordinator,Canada Diagnostic Centres,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=4d35689cdc8d7465&bb=UR1fHcEq8xMnInkQIj4Pphxy3omweOwlT9czydBTVokIRqnaHHmtyS1eKLK-Ddpm4eqMDaXf2Zx5ZOkppKjso01OLTDyr43TsdmLGUZR3w-josBkWe17AeAHpvlSpDYT&xkcb=SoBv67M3-yRmbWQ8GR0PbzkdCdPP&fccid=25729287e59664ab&vjs=3
24/07/2024,Call Center Agent,Call center agent / technical support,IT Cloud Solutions,"Trois-Rivières, QC",,,https://ca.indeed.com/rc/clk?jk=2a93bed9269f6fe7&bb=UR1fHcEq8xMnInkQIj4Ppu_mq3Cw4P0nemOILWJlSpvQ0SwF_PPbA5OOVE22vQEHGj6aB2p3r3vOxuCH3li1DqJI9g23jsErTAc199AV891tUDn9Lb4pd1hCNRkZDAvO&xkcb=SoDb67M3-yRmbWQ8GR0ObzkdCdPP&fccid=aa4897115a67c7f2&vjs=3
24/07/2024,Call Center Agent,Customer Solutions Agent,Public Storage,Remote,,,https://ca.indeed.com/rc/clk?jk=f6f00fada55d207c&bb=UR1fHcEq8xMnInkQIj4PppbeFZfB1rJVCQrBp93RXHFyRf7h3gRv7P25VtLinm-dZDJ52v5BslOSegnzpZYWkx9ZXYipd6dqVIx5M5vxEpaU-JE6btW09w%3D%3D&xkcb=SoBG67M3-yRmbWQ8GR0NbzkdCdPP&fccid=212b3e869c8a74cb&vjs=3
24/07/2024,Call Center Agent,Customer Service Agent in disputes,National Bank of Canada,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=0d248f9817b55ede&bb=UR1fHcEq8xMnInkQIj4PpveNgLtSQYNZVT-X1ytibeGm-wfH1Rwo75i1XIVnFY8XyHRFOcDAmn6WlgofnbDNvG4yE4W3Dre7yp3gN6nKQRJInqLKt_fNLA%3D%3D&xkcb=SoDy67M3-yRmbWQ8GR0MbzkdCdPP&fccid=bb42ba28e525eb20&vjs=3
24/07/2024,Call Center Agent,Reservations/PBX Agent,InterContinental,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=8255b7a82cf8a683&bb=UR1fHcEq8xMnInkQIj4PpnEEdDxjShXgviO6kMEnlPxt-63U1JfuL6CJeBC79uy4GjGTPlQib_NnzbU0flcVtbE8qDY2q-uylt_mdT7ImFy1IEtoPIbqtQ%3D%3D&xkcb=SoAb67M3-yRmbWQ8GR0DbzkdCdPP&fccid=f4d2651abe93eab7&vjs=3
24/07/2024,Call Center Agent,"Contact Centre Representative (Cards, Costco, Remote) - Bilingual",CIBC,"Remote in Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=2f2a8fa54e94fbfb&bb=UR1fHcEq8xMnInkQIj4PpkEYzBmyvcNNNn5M2RAa5heqVYmheb3SzEWgARK_zrkKDY1G2Na2mvGSOBeR5428aHCGCJI3NxuUM3SHslAmcTHKAYSjczcz4w%3D%3D&xkcb=SoCv67M3-yRmbWQ8GR0CbzkdCdPP&fccid=f99648405c7e9e3a&vjs=3
