ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Cashier,Cashier - Part Time,Metro Inc.,"Nepean, ON",,,https://ca.indeed.com/rc/clk?jk=2d3875c76d7360de&bb=UMqRMipQHPo8ZToTdeQt14Y7yJTjdzJ2bC6qLTu4Q2UgHpH_kegB9BlUG2GoidP4xGFO0jGUDyuzK_SAolPlevWLdJ-PVpQmZpr6sGXJ9QYCpWEFBme4NL4o8dInfJNS&xkcb=SoDc67M3-yXs_ewnDB0LbzkdCdPP&fccid=0e72716ba678c6fb&vjs=3
24/07/2024,Cashier,Cashier,Triple-O's,"Richmond, BC",,,https://ca.indeed.com/rc/clk?jk=cc7fab8285b248c5&bb=UMqRMipQHPo8ZToTdeQt16OYCQYLK_OVa7F6S456q8mNJoJ-OFDghKLmLTV_0muck6rLKoP2jXOvw_8meOlSwGjIDucjZDE0pgeiit35E906AECE1WdYijV2V1oaGDPJ&xkcb=SoBo67M3-yXs_ewnDB0KbzkdCdPP&fccid=1fec8f99b5020c98&vjs=3
24/07/2024,Cashier,cashier,Hi Ho Gas & Grocery,"Airdrie, AB",,,https://ca.indeed.com/rc/clk?jk=e6b915f9e7e4a371&bb=UMqRMipQHPo8ZToTdeQt1-9elmlKebmgcgkeqHCLiRPpn6IHhOwi5G0DEdM2hMFEP-q-tQrffBqpmlAiVrsLwXjfCr0lmfxbBQ447n8MEp6lPahQQWMadQ%3D%3D&xkcb=SoD167M3-yXs_ewnDB0JbzkdCdPP&fccid=1ad6929b6cf2f77e&vjs=3
24/07/2024,Cashier,Cashier,Princess Auto,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=371155a314995115&bb=UMqRMipQHPo8ZToTdeQt1yCBEL986K8ubbzfrCG7-HIW4paqATNe4CYemOfL53_uqRI4dSxEG2CVV4OTMebm7b3U7AkaxCIddJDBFVR0XjzJg3-GEU5I7Ytjo92R9UEG&xkcb=SoBB67M3-yXs_ewnDB0IbzkdCdPP&fccid=f282c84e45f353dd&vjs=3
24/07/2024,Cashier,Cashier,Walmart Canada,"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=b4c374291d79fff3&bb=UMqRMipQHPo8ZToTdeQt14Y7yJTjdzJ2_fXc5Q3a2CZtWpHfEeZ17CIOW95QrM00GBlewN3oyJbrGMLNx9j9e6krgRSgRGvqxyUyZGpAXm8C1DduTvIF7w%3D%3D&xkcb=SoDP67M3-yXs_ewnDB0PbzkdCdPP&fccid=822bc5d9a49270ea&vjs=3
24/07/2024,Cashier,cashier,Treehouse Toys,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=db0d2f604f7f9d7b&bb=UMqRMipQHPo8ZToTdeQt1yUFLUYlxaqe38Dx59beOqiiaZtxYb9WieeGSj0Wh-1ep7Y7btyNr54xlPfbs3bVAb9eg3bVdcY2mJ0UEBnPBdZO3BwS76wXgA%3D%3D&xkcb=SoB767M3-yXs_ewnDB0ObzkdCdPP&fccid=c1ed36e0f24aa9a4&vjs=3
24/07/2024,Cashier,cashier,TACO TIME,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=2b04734205ac695b&bb=UMqRMipQHPo8ZToTdeQt14g7bouE_Ss8FbGl68ojZEKLuAYiTphSnFD9ytnTwTVCvRlq2_imKudSQKcZoAnEV11T5KZrMnasPREODpbzoJ6pJYHkNaGwvA%3D%3D&xkcb=SoDm67M3-yXs_ewnDB0NbzkdCdPP&fccid=c0dd69f29f0c9492&vjs=3
24/07/2024,Cashier,cashier,New Metador Inc,"Nisku, AB",,,https://ca.indeed.com/rc/clk?jk=ec6f0e437327b5f3&bb=UMqRMipQHPo8ZToTdeQt1-zMt2KX0gdMFa2Lix6PdFOacyh8lgOcpf0_d7lZ5g7JVZPABz4MqpD6cz22TL2RxyO5D_mjywH9DHQ8XEUNc8_I_A64nbWATg%3D%3D&xkcb=SoBS67M3-yXs_ewnDB0MbzkdCdPP&fccid=ca22952c9307aee0&vjs=3
24/07/2024,Cashier,Cashier,IGA,"Sainte-Brigitte-de-Laval, QC",,,https://ca.indeed.com/rc/clk?jk=2f37f8add19c4669&bb=UMqRMipQHPo8ZToTdeQt13M-oKVDhcs7BqYYR06Ton0l2Mo3qKgnWF9w5lCpDHr7B2-H2z0Ky_08vcemk5EKYdr28vbCyj6XeGQyQOHt3n5U3LdLv44-6i6tQ06wr8eb&xkcb=SoC767M3-yXs_ewnDB0DbzkdCdPP&fccid=3c02ec1529e7dab3&vjs=3
24/07/2024,Cashier,Cashier,The Cheesecake Factory,"North York, ON",,,https://ca.indeed.com/rc/clk?jk=94f46f980c4b1d0c&bb=UMqRMipQHPo8ZToTdeQt18QoIYsidVbQYFILE5dzYwCx4mpXoOyYA0Yv29INWQvQ3tyaGDjl3_kn0L8sTkhzKjrPP_rkFKy3Pn5dGBaiNj6bL0caSndo4w%3D%3D&xkcb=SoAP67M3-yXs_ewnDB0CbzkdCdPP&fccid=bbbd83274f4eef08&vjs=3
