ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Chef,Chef mécanicien,Le Groupe Transbus,"Châteauguay, QC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALXYX8r_L2DOUfZNqxIBgaQ25aZOClccvYZzIQyYttRKHQIXf_tXLNoIrzRIYoMWU69Lrrb_yh91leWdsTpjZeSWvhb_X2x667L-TW2ixfIyEnjDkweRgnntWE-zHxrDI0IQuPj_qxAfZuKv3hURmJUyLwDlou2iUm8QEBvrSHHisAWSyZoNe5EWQzvbDXklID0GHmPt7ygGAmUUbJSwmab0ekU5lFtR4iIBlfkT37VpBuRZqyJIlTbDmPzK4WbAHcEfxIbKtiAbo5rom533p6v_mNFo9EMd8IHEvk6DhkrCazx-zRbHUP3y60V81th_YKsNxftv0hUaY-esCb3-vlSfx0pSftbOwEa_6CL5goI_1Qq-lqW6ynY2HmjvTApnjV0uULedRf3deRz7rhrx7Vf6ZXo1_FPV6p0h1ysp_47nos7THsKti5nCc_cgmD8bapqQuD7ktv8gaSvNRqNZag9DX4EJJLHJDaAbi_LW5wd2xuyHwAICqxfV1-OQYakjoA3W-FJ3EFndq9e2N4pKOh4N45r1Ys73YY9OI8Wfg7Uua-Qm3GyQ0T5kHnavs-5CeO8yOBWI_T5BTU50WYd8d8-53D3xwHNRoOOFaR7_mGumVsuX97nWgg0a91wDOwJy1-ysna7c_4gw==&xkcb=SoDo6_M3-yFXIURSWh0LbzkdCdPP&camk=4HOcmqOLYrC2cG26xpd7kw==&p=0&fvj=1&vjs=3
24/07/2024,Chef,Swing Chef,Confidential,"Georgian Bluffs, ON",Active 2 days ago,From $250 a day,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWL-jY8x-18ncbX2V6F-D6-ZqEaZ9LDbSBxiyHokG4ypU3v3LcRKIwJHj7K0Zqr3R_Z6RPyG8Aw851kZUcXg-3Jn1t-dcVe0y07Z8r_jybGCvzWu287tfX0GmBG2qBsnEdkA0Q4L3_BBGwqDaZG-Lvhq6prSZCyP5UicaxoPWq1p-k6aAHs8-5eVU0fDHuT9tjroUT-FyXdz9F-4kQKIuiC_FmY63fh3aWAYvxFRqH2YLajq_oLAuBSDjKN61p0aNrsCi2531CUhYPmlfpvQesbDl-_o78acEiXRUFtMw32Vk3yS-eLRRttmgIZEERnD-U5YhpXUV4SJqBgb0PvKp18MGTO8XMN4tBUzdesdsVhjWHphoI-pVBi5CKai-bMu3uuqCyXeAc-WZ2Bf9c42alh3Bh5blAYNhZnc1kaGufFl7r6e_19ci8Aa3xM5hJsANJMwEWcMUXVxGmf7fFn3wD2FQ6TuJrLvNQCK-8Txo4JD6OaU_x4ih5trgemD1hnl-sZDxMxnrcPRtrEY4aDOzbVVD3gniUOHSJqSVdt2Zd-TBt3OHWRxZFRPkIt4hEIRDJOLMB5eoFFmcC7yFdt9pZHBEGnT29wS3uOUg3i-SCASFxfQdk17VT&xkcb=SoBc6_M3-yFXIURSWh0KbzkdCdPP&camk=nUmJqO2E8riVxEKBwrFNYg==&p=1&fvj=1&vjs=3
24/07/2024,Chef,Chef exécutif(ve),Confidentiel,"Laval, QC",Just posted,"From $60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1aGtJBCQOaxrChkGhg2PTsz1aewxY-qa1X0dkBDVkwXXQQdoUJxyi9FBJ02EF_lKFpYPMVZEaZkewJQaB2GVgOPTo-RwI5VCsZW4uyoLdugm7d2ufWXq_fRZgJoj8C65T-jY3WC6HMsKzHBmDvyNB_6c6RXgkQpBgMSLcR1M1vw6Sg2ErDKGOqTldmmhQyEN0wLVgHfvNUMKiEGY6iyWaIK4gIuhnMOhSKhDViJ6WG6GLlO76Qd14NsRvncwHQJN1KPMRsEXGY6TSOQBuysswRkT3cmuUYoHa8zTlb7WFlKVf_5UmHKr_xRIixA06G0zyr33MvS-pq0ZYoG8EMtjkkUkrgE3ztHTDqCLUZNPk-0a_gn86zFJmDQy1hT6RN1AtmV2_ync6VkzNUwxUH1iGkTiL77EVz_z2u0JtQtAVuOAMZFa_MhjRI04HS0wOys2A26sPatLQU82NCoJLRGsAa3cPe1-oQNeEShXgZj1nwLcszFYl3uv2m8UYqL7eqqgmnGvzc2Bc2Ny3eoNV-IMK-_OPQFTAkoneW4Cntwmydw-9nVgSSMK1gxM-Hnd5kMEW1hilEp4D9po7O5Wc5S2GWsChO5faOHwTDclEei7Alqh9IkYddsHgPwbKkmlkTy4cf_UNMkqd3Q==&xkcb=SoDB6_M3-yFXIURSWh0JbzkdCdPP&camk=nUmJqO2E8rjqhojV3la67Q==&p=2&fvj=1&vjs=3
24/07/2024,Chef,Chef/Cook,Silver Hilton Steelhead Lodge,"Smithers, BC",Active 3 days ago,$300–$350 a day,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADylIhEMK-t99Od5YV-Ju8uzraYKboRCzDN2w9Q05rwnCwSpXVihdncyyZxSQsqAD8umsYb-bifkCXycF3hSSdyucD6PM0WOrTiwzyK_O8rOf_Y4NKLTAbDWPwdT1xiVFe5CIMMzIjJljAcjCDVQPQFxmM2vYfP0EVP9RF0UakBFR758mCoFs9ypl3aOeu3cCHNXBhUbdxd0JAbnRCt-UDrVplJ8F2T2W2tJkQSlojxQ6A--4oTKmzoWAlxh4vEMeQPEm9OS-0PuahMOC8LNSgYWXSK48zyM_HwghXGncT3Yq6babSumUryvsYZKeNn0AeIk_ZPpkH6ODgbVnEEGrYnz5ogHT4itcLWZE86SePmaqDpwQt3Lbv0y3PeeEOuQSLq3gYkSD63hCbPMzRE4en3CgqOtDchZ2PzSn6s3frpxa4sHk3CLGBu__EzXhWbBgPQupsDinTClNSYLuG51WPn_Ot9EELIfjpBG0CTyrwKqrPcxfdRHtY0bNycryqP1JC08fdRrgXl-V5tW7ZegOWU_ZKpfKvLVTsgVRDBr4N_PdaLCfJa9xIaXXGkc8o-QdMj1BW1oDQZtal1KRjJ5VItCA_-2Q7AxI=&xkcb=SoB16_M3-yFXIURSWh0IbzkdCdPP&camk=nUmJqO2E8rjOrZ9qjGl_PQ==&p=3&fvj=1&vjs=3
24/07/2024,Chef,Chef cuisinier H/F,Coopérative de services Rive-Sud,"Lévis, QC",Active 6 days ago,$22.11 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DY8eSHpblws1y_r8v_v9hFbLnNonqES-BWAu18ncLI1YSG5e4bZhX1MS5QfE0slNJrwmiOiwKoe4038gp2paQhEW1C89FXoT3kB-sBl7rpEvs9q_RaJZo5rDDY18DjOxsDVufhK1_tovt8m5fMic9N2JWQN3di5SIg_0LmPOUj9nNeeQyizFNft4OhGQvFXZQ9co2IFzvJBbl4pBpoOZoksZziWzF-VyrJwcvqFhwtFXE1ktoqJJE-VDKzvzoUilfIFz4U0KplqzdyL-f5vJg2TFGgESo1bXR9LbkopBWSWQRkaN58V7c0fJ0dfBG6FCL3lxfjT-mvXKY8y_B1D4G9687R15uLzazOJUijWlcfOOSsbZM0Uc0V9ErdjVwj018AULIKW-F5smPffmJievDHl8HQ9_Cdh5u8kL8TJmp26VBoPGtddXLSGP_o73_e4AiBTa9L3lhaulmcZiWculygo22huOc1L9hJkOgspWDEuZwNcSSDkkQ0SbpruhtrpWPMN5TgUSdIFGgpKVakjWcv6ts-DLnBtDMXNIv8kY9MMnrma6M1wwkikxBkMkAtdmfjeJ_XukGnXJXICFbNbZdSu2iF40mr2Nfq7K5zJcXVDeuvcIGZ6ySwETKettC3Cu8=&xkcb=SoD76_M3-yFXIURSWh0PbzkdCdPP&camk=4HOcmqOLYrDXjKtUJuOXMg==&p=4&fvj=1&vjs=3
24/07/2024,Chef,Sous Chef,The Patch Brewery,"Maple Ridge, BC",Posted 1 day ago,$20–$24 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWvugt405s6KvyHNpPvKY1IbpukLERqwRTGT-3ntOk9HHeLd6bZgHDfB93hSV-AGaEMtJS0J5PhDPOzMyzuFcsQaBnsuwk3FWQUfZkt1QRv97ZOF3zaf6b3Dc_cCd-81GNHeyvXsVqLjbg4l2AlA0Ntp42sWPMqhHPB7gHf8xfnTWL_rFPl9gNUyr5BDODk-yAeWx43PDI_XaNAL7JBQwJM57VXMlqGa7d3nKjLqWoWYYOAZRmivvpWKRy0VCv7iDBNedP-THCW9PzIcl6d9jdZkBjTASdUEBT0XBQstTWfBZY0N3Z9Lo-sFolGD2chtlfgKjVop7_MFmRAQixpR6oMx0YEqyrPSogJ52_S9rDDihcqJL5UBPCUHlQW-fka41legzkcP46RU9peskbfSUGm6pJkqVmGWAweUTNSLbnazRy-pJSgBlEtordGBIKI7lYkkvl56OJccxEQpABB3FPhOe4YvxoVuW5MdHS7bvxVaw8t1E9nyoN0I8bVTK1exrHKydUE7s_8q__ChZ84_5zauFM9MWR8E6wjRJ3Sl72tOMbEhbw8zqdEBxktqMYMxXpeqYdBD2wIhZN0jqtBCPJVCR7vuN5cikcRUh6gJCN3g==&xkcb=SoBP6_M3-yFXIURSWh0ObzkdCdPP&camk=nUmJqO2E8rhz4uNNsz73wA==&p=5&fvj=1&vjs=3
24/07/2024,Chef,Chef de partie,Restaurant le Napoléon,"Montebello, QC",Active 2 days ago,$17.32–$26.98 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJzOvaOvZ-OlR2N-Zd5p73g0FVZVi9pnvmBx9RU_53Nt0mYHLIt-OwTvXU95gFRlURJPdI5OT_q9XO3EuaC-sNGKLqERTZTmTr0gfGJggiYO4LBCWlPn0Ze95lq1nqk070Z19Z1LRRMqJmcLwhqfo34ak7xXUHnFFuqwbYjJVjwupr9lDUyle79T0C9-db57bHMRvSabXeXpeq-2B4x1LazKPhU7_fQGyj0wl1GunOwtS3XoXWqk_80SwhphTMk9-nwUi-klvuEQJeNQJrHFA0XeLyupM7OQkuPFCJhMmj6TTsVmhlF42LFbcS9i32XlWWzlW3QDXc8NspqEt8_kIbl8CBEDXmvFjqvYBle86XicvdPqBRAMukczrYsUNsb8H0w5NBWeRk2XL-hK-tEZdeSXBzYovSGvQyV5G7tyUHaPB9pWyVg0mRrZl6TVkx1L73A1bxNC_W8QH0tqD-RgZmjvfgWNnUCavfthHk8iWtYPiaOagAZdGmHYJ0MqEUtdB7FZGW_BmVw2IXbrKSUTfEHfDfrmWVJHMAvyWvvwEBFezcPoEx2Lx_wOBWc48agpymtOMsFO_6yFiTOK2KdNl2scCuTybIb7y9EWcYoZyRemzjo_X8e9t1UsKwf91jO0o=&xkcb=SoDS6_M3-yFXIURSWh0NbzkdCdPP&camk=nUmJqO2E8rjB1tXGQfyc_w==&p=6&fvj=1&vjs=3
24/07/2024,Chef,Sous Chef,The Restaurant at Redstone,"Lincoln, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_1oGxMWdNOQECpkax_xmVvU-FoycrRWw9jhImF5oGzFtNXL5ZPmADmOlF7cVmmt8LtBMh2vj5K2ZOQt9yw5meDu5JL9uGTd9ppQlOW-RkuQKWHpdN2E0MiYY2anTxGLc2FEtnDvG_-nYHmH71QRjh9b_HGPehQl7oHHMNaoTxx25ljNNrwccZaN7c36I7zVh3kVFRQTJD057wRgJ4uhRWF6EdBl-Akz3bXN1wN4ke9Xm8fROedk_d8SHvM09M_GmNUyUtyK6cU-iVJltP-SPvs3q-A76S8XeML8vLTbeHCpzQAn1c1nEp6QM0zKSqFdni1STlzqg0mfkeNxWf99s7UmpiW2X5G0Toa2a9CaDE7qA2wzSw6nEl6wcOXQAUk6UabNPOyCqiALkdWL0EiGx3xRmITvvZppaMB9ZcSPZ6E8vWh7xixzkBFgnEmQYe880f5_wS6bJdPjmXjNJ4nITTPrBqlUjMFDSnP1o3rvEImygR2pJkEbUcc4jskd_YeyXtLJ2l1tntHKDiJKxcZ9O8nVCm7YVIZStC46PLi-tHNmSisSx9ysr4TedgVipYb9rgNlLj7uirlxTPr18wTIUPq2Yi__xAO3LYJ9Uewgu7pYWd1NE79oMg_FGxCDav6Kk=&xkcb=SoBm6_M3-yFXIURSWh0MbzkdCdPP&camk=4HOcmqOLYrAYCXjEFRRueQ==&p=7&fvj=1&vjs=3
24/07/2024,Chef,Recherche cuisinier\Chef cuisinier,Restaurant Au Coin de la Baie,"Chambly, QC",Active 28 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BI6zcfgBUiKjJ0SpgDNLSNkt5i4OpcGtfgc_fZS9BAc0C2qWgzLkcITFnO0cW1EHNq2OW9bx1oa2Ju5M1OZySMsEKEpYcwJL7HE8N-uQm0pAMPlcalCyrIL4LyMp5AwDbXGQ0fYfFA39WJPTz3W5t6Qiw7enPbWORNvzG99Dsc_NsHoIR0WTYPFvN0KNSrpJI3Va9s8ZEdIXzNs3VdrRxvSTqfXnEpPkv5kC8Fttu6hXC6-1Pst-Uq6FcVjtKno9Sfbp1PZ_uEKCh8-IsqHxQl9dBUVXxMMvhjaGTbm7A-KT1CJuP0yHhLY2KMmrASenxjCzA_-pSC0RwmL1APjuSHbdfRhL7obSZcX4CVHqFOLOJ5SKyMGDnqMPT07pm1aDHrBJaYAw-xvrl5bZrmRFb88C3gccOUyoqo_jZg0-keL3D4HbaJhYDwxvWCTa_SDhNFjPRq7OSJc53xILdzzMzT5_iMUnVsVo3ikgNAGRFb8NY4L_Y4PtlrmyBax5m60jjGhqcC-f1gWFeaUWh9RtK3BfrTv_blN4BXEG_hWpk8aZd22jEnhCs9P-meeh0j-L67Aerz_5odF2jx-vTgddiemyWNUehYfsOS74OGc6-0SvxuRki9vp9yYk58qy3bF3UiAEsDlsO7yA==&xkcb=SoCP6_M3-yFXIURSWh0DbzkdCdPP&camk=4HOcmqOLYrDEk5t0pHtdRQ==&p=8&fvj=1&vjs=3
24/07/2024,Chef,Chef.fe de cuisine terrasse,Corner Collection,"Montréal, QC",Active 2 days ago,"From $60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CcDcFuL8lniittbUn3jR7AvDWH72GimIciVZbhJmGXIHcc80cPcpKpm8-yVIgcotUeELBo9ZMeJntdSSWTlB0aLV4Ru115IpnytCm7MDujcq7tlLRW2CZnN8Po5bFNulI1f9a63X7SIkj2q1aLZPKY6iMyYqPjAgnUm0aLztZ-GsP3yZyF2mQQ8sgumbLJxJPblwiQFqjtpTw0ciDVPzTsJIxwk9iCTu-mNICOVaYXcCWHp1GE9d9N0TYG69pnDiorVf-QX3rwFxoGRpLGpZItN22FNH_09iigR338VuaE0HPUZ7hGmr9Uv1_3vk_2S4CjrGxbRcKANsNaCROMo_uGfxY9m-1YmJwJGjh6lOBElrf_RF6wXVd42Y4wF9F-AeIWSVqr9jq90Rpy7IJZqUWSuMhfnQuxnzgIC4sOEgrKz2kxHx9HLzS9kbHNUnHQQ6O1k8qK5dB-roF33l0U9x36pPe6lssiNDkxuqAhzGb1uk-oMBZ1DqeGerrJ4-2bEQslJCmjoeTMUgIhC5uE4IRVcrdoykGhrJarQvpSt-2SolLEzz2N5YAEWy37RBmDGT1WZByXqP36nclXHCxNx8db-FrwFZAUrA2h6Y6PK00pHll82TKfc6YVpKt0Qz4fuVckE2YXAhYmmIAJ-Jj_NE4NNhA4rCsPzgA=&xkcb=SoA76_M3-yFXIURSWh0CbzkdCdPP&camk=H-lBaXMUocIA6U8Mel-ZAA==&p=9&fvj=1&vjs=3
