ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Chemical Engineer,Process (Chemical) Engineer,Deepchill Solutions Inc.,"Woodbridge, ON",Active 2 days ago,"$75,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKqMBsxxATW0I2-jS3eC_mRteLIkyLMw9ZLwuieKDHkM_R3LOpqGB73zqOs2CwlyAg6fNT8jH0WK3XnEcb0jzkAwYgAxX-ou80n3ypdulfqkVVCjEwfcTDqYMHP3kHj2r5Ey8sbW7XPeEwRuj5otTcBS-CeC8ZFPY38qQjukBmsmVw0ivZbW98W3sU6bhwlxsjvaHFZfFq7gT56o3GxjE4xzA1ol6e2Ab2S9daNkTn9CwS1FyO0fUmGpLn_uBBg9GcIT0GYnj5TKKrQei0RwZDOl3fePh6MZcB1zLNdpXT184aDuZpldvdGvsMFNsv8Qsgdfa-UuQ2A3ojpUdNmiTb6-1bvOjhVcb_-PxZhsff53x6Ba-iDW3o7CAevIjdL0itYf1QxyPxAAcWWFixzZaLf1SsyCM1Hg8NFT2aSEeGT0ydD3oaGDC4KUc8WJJBaHRapD8x2aWQT1d6J9pPIVBBXpQVdDGiXpO-q9ohmx4f4IVqiMAacyZtQUXFF8hdMO1q1mSz7N6eV9qMwOmkECupe3RmNsspQAgEciQPAx8u0WgQlIpNJnHO8ja8qCB02dyzIKyNaFGI3P5r032dlVHnxWdB6VYZx3vdddGQJco0vaZedx3Tq3Rx2nZE6a0-4LpZCyhb9N3rwA==&xkcb=SoA16_M3-yMSyOTS9h0LbzkdCdPP&camk=nUmJqO2E8ri5GmBpAttdQw==&p=0&fvj=1&vjs=3
24/07/2024,Chemical Engineer,Chemical Engineer,CatSearch Inc,"Vancouver, BC",Just posted,"$90,000–$120,000 a year",https://ca.indeed.com/rc/clk?jk=a172c13c364bad7d&bb=lQQHWQdY4_IzvWkYNWybMTrJd-_q3w1ZgShel9qaV6rDxp4DON2cQV3nEpapt2Kga82hFsb9nm6nZkBrkNJZIwI-qX9tec-veVNu6dQouer0Tsz8BE6AQ1QUdX3PY_GE&xkcb=SoB167M3-yMSyOTS9h0KbzkdCdPP&fccid=d4a0192066e5e809&cmp=CATSearch-Inc&ti=Chemical+Engineer&vjs=3
24/07/2024,Chemical Engineer,Process Engineer (Chemical or Metallurgical),Electra Battery Materials Corporation,"Temiskaming Shores, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=a7da153ee536d29a&bb=lQQHWQdY4_IzvWkYNWybMQzeYbjjtRj8U2Kz4a2BdYrlOBAIWWApre0R9iAOs2lS6xpJzxeS_MA8Xq9idfokMTp3Ek4UAHPOcaJs-h8_jTvEyr14hWxTkZJ1v1pfcJaF&xkcb=SoDo67M3-yMSyOTS9h0JbzkdCdPP&fccid=56e5e3f3f1dfb34c&cmp=Electra-Battery-Materials-Corp.&ti=Process+Engineer&vjs=3
24/07/2024,Chemical Engineer,Process Engineer-in-Training,Canadian Natural,"Calgary, AB",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=31d285b7132f4a4f&bb=lQQHWQdY4_IzvWkYNWybMc5LViGalwwbJjw4F9rTm2wVXxo3SBvWul7dXtPdPdGwGtxGZ19F-XxohrZzP1y-AGdygGFRbJKV_4nstXtjMMalwCgdM8wNtDaSqPmQIUqB&xkcb=SoBc67M3-yMSyOTS9h0IbzkdCdPP&fccid=c0bb7be52e9b90bc&vjs=3
24/07/2024,Chemical Engineer,Process Engineer,Magna International Inc.,"Tecumseh, ON",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=b946f26ad4f6a440&bb=lQQHWQdY4_IzvWkYNWybMW2045TYpRpcFShDe78fqU6bg4ov-qZ8f8R2g3ZmsrfyKv_ACnHYOgfFjdEGlZJq9DPUIUFXDkl3dw6aVZzRytfHHuUHJ97r_ozzCewI_9xg&xkcb=SoDS67M3-yMSyOTS9h0PbzkdCdPP&fccid=254ad00cf333484f&vjs=3
24/07/2024,Chemical Engineer,Process R&D Engineer,Cancarb Limited,"Medicine Hat, AB",Just posted,,https://ca.indeed.com/rc/clk?jk=ca4a1d41a8cb8bdd&bb=lQQHWQdY4_IzvWkYNWybMY1bipxtm8WZyVKmbvTGGV4p6gzg40wkM6DBYXWhPiCFVoQ30lRsBUJY28idmc4OrZK0Ks5qHxVerik_wHDeYccwxGSx-3dmgNr1BQRGxWCO&xkcb=SoBm67M3-yMSyOTS9h0ObzkdCdPP&fccid=6a36e06859e89504&cmp=Cancarb-Limited&ti=R%26D+Engineer&vjs=3
24/07/2024,Chemical Engineer,Process Engineer,LANXESS,"West Hill, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=50de180c81f21324&bb=lQQHWQdY4_IzvWkYNWybMSJffggW0EFA1_jR9Dnhp3hPkqrufCfoLyr8jsubPQ73YAb202PE051Xd4N6yKGilgKyN9pf-GL4CQ-MZsnd97xxTYnm7OzhHf5AlYmZGl5a&xkcb=SoD767M3-yMSyOTS9h0NbzkdCdPP&fccid=969298818c0907be&vjs=3
24/07/2024,Chemical Engineer,Senior Process Engineer,Inter Pipeline Ltd.,"Strathcona County, AB",Posted 7 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APf_01qVN-7eZKL9yhs8jIJfFtkPT8RAyYfFbubo00vHjT9-jJ15FImJJ0bbktmyOXE_UN0RJDhl1_-SwR9uBfRh115lA7Hh51_DRu__d8SOW2c7P5SkhMBBVhUIwEI9iRIXqr94vJ6paAw9lbOulXayky2jg_8fLF1HIzwpCDZZkpn1IsNlA5XyyqZlU2GI0JQ-IWVTSdHniPJ81Js45NBS57rlC9IAVeyXnSKs8tR50Mz0VldbGahDkQMRWI0_Cvf_uu3w92Pxz24vRwJXOyp-Hp-vJr04N_j4h5Lk-VDYXfrhwzVjMTag4dRejEtNAJL_KQDAAg0P2o1vIlqWEM6MDJOiOSMs-RhHAB_GnG9whW2B-muA6kH_qtTjx-rqRS75OnfCSyPV4x8QCCwCkqAluRgZdy-c5XNEeFxiFCVtGY9Y8m10FzKa138olsyHzgGJNkJcZsz5zjYwvCyXrjXCOYNA272AeWjkEje90wWUfD9KTk7-2Ns0fiwXURkFf8rSXV4szZmERbUVgMs6cEfu8T4w0RazgQGT8zNBZYS-Q22kV0psUqSsi_Up_53zwAJrUOw1Ji_6qrwNFM39z76vJJ56Bi7d77aSoD5fqiIWfpwNW5zSrZXfwJYC4d4JRoxxdXOUT9yrKj7P5jvQGUrbDhsuQ0Y-9DXNzGDRgy2IpDD0WntZ1b19xlWkdh3hhh509sea5cJu6v9gjfQ961HqCuw-CEef5XP6OXugZMcW1eotQvCG5hMajDHxwcM4gtu0FMs6uLoJA5-OEU1xKybvD16KJagQ6rd2TxGx52kvYxfrsjvIjudVDz4GVVCn1iNzXrArn_cRe7n5_WtSbRcm1G2Ott2fo1njKk2ynRQ1Zw1OAKWIzCBDemMH4XJy4T52aLiCz56Dw1dxP-glu-vCSkHN2nKJGECDOe1-aKTw==&xkcb=SoC76_M3-yMSyOTS9h0MbzkdCdPP&camk=f416UQcMBpBv4cqZmAFIdQ==&p=7&fvj=0&vjs=3
24/07/2024,Chemical Engineer,Process Engineer in Training,Electra Battery Materials Corporation,"Temiskaming Shores, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=24b9395351247e5e&bb=lQQHWQdY4_IzvWkYNWybMX2xCXmLHxONN7vFG_ITvZQXm0FTJogp-OaQRB91DU7pFPWNXexDLpbvVs0LzOpoDqQuypbWFIZCs1QNmG26cr3SLwlN5vGhKiELIuiGdaWG&xkcb=SoCm67M3-yMSyOTS9h0DbzkdCdPP&fccid=56e5e3f3f1dfb34c&cmp=Electra-Battery-Materials-Corp.&ti=Process+Engineer&vjs=3
24/07/2024,Chemical Engineer,Chemical Process Engineer,NORAM Engineering & Constructors Ltd.,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=a8bd42b5c8cd915c&bb=lQQHWQdY4_IzvWkYNWybMS2Z_e_ekfsWiwcSN_bgjZhKzxSNfTyyQ32ZT27NByG8ZIWB0_uaCCWPpdNbCGXvXvxTCgnsTdyhQyg1qUQ5wRJRBqdrZ5e-U_s6bGNZW6bg&xkcb=SoAS67M3-yMSyOTS9h0CbzkdCdPP&fccid=f56327f138196f09&vjs=3
