ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Civil Engineer,Senior Geotechnical Engineer,Inline Group Inc.,"Calgary, AB",Active 6 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCV2dgJgQybhgxNY8ZQKM1lD326etfn4-WUN4nIzU73aWGx9MFOWaVTFGqSu6Gp5RWYX0MGDA9pTB9wKDX58sTugRNIL8EgIO1EhM4b0z65FElCv8ygQYaa0HM39fhnEub-J7c3JdzIyUmzKKCZcnvUNOu-Sc4lerE90Xc7TJagwLVIJ57kqcbjnvJEWLsfo_phB6dTB82Qy0g2cQzpQxweDiQLSwqJxxM4McoLFSCnpKV6sI6Y04Wlulo9L-X8kVWDbou1ggV8J0OPq2a7kJz5W6nhXEGcIxnm-liBrBZDEv5EBbSb9JbSfGsM2i25ZlZ1g9xQfyKXcaXSMN4E5X-B5gmkQYeOQuR9f0JS7sp9hHuq9UaaMgFWAeY1yeq3VNIecyl8FBmpHFKwhRz0zxjFEXolOkKIfWdzYoC9hGPnegg08ThiQlwpMgO5Q_aU9iR3lSzYcFIRw2CmXW9wabCRXwxr4ljAA9gziXvHsCMQrzzHhQxdXN45Ul1xKAS_rXDma-M10Zk1f8NydOeXAqzxoWNc_Ooq2RKOFjnekZJHKWtf8evqLN264Yvp6FCJpoZdfbevwm2urTTGGr8kzzcUW3rEEEKaVT_ByfYsvGRLImtBtyVuQ7Hs09vNteIse1p3ZWrvirSOjuWPXYbofVD33vRFmJccCMG9QCaKFwxlXWMR_HQWHl9_d2ovhXBL5o=&xkcb=SoA16_M3-yLzELRXdB0LbzkdCdPP&camk=nUmJqO2E8rjQt0HDPYW8PQ==&p=0&fvj=1&vjs=3
24/07/2024,Civil Engineer,3rd or 4th Engineer (Transport Canada 3rd/4th class ticket),IT International Telecom Canada Inc.,"St. John's, NL",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ByajLYP1nBUK5MsG5cPFSfJ9SipeuYW_dtnYSt5mroa-UU6nN7rKfxfTiMOzBL11CUT84aU-nEfAQEYO77nlEOJmRXLOMK6uLCMLcLQGF4zIu-osm1s4l2PHUclNzA2YjGp8v91Cnox-KeVFzNS5ri3EGAHnwMJL49ReygfviZiyRR6_XML_Bak5puRcygPDrkPYHWjXGnRTZepg4vrKSAObowcdr2-BCTINy3zumPU0b5qV-AA4JroRS-Ft9ul_L909rhVScra8i1tw1S_BlZ9c6ZpHlRqd7IY2qGv9EnEmqwiRFLljs65xTCiL0o5r-UWMXYUDfYV7gtfYXBLGoW0CNiWoRKQMmNLferRPmwn5xbWaurIdsW9VJnLPUww4fBxMrWh0EbL1BpnLW8oDtVLzgVO2MXvdqQebwVmlO1yczhzVf2UfAMrfp5EhASq_TFm2WROiJYtpt1rsH6QEHU0V-7XiqWAL3KnF48UYMOkB6PhUg4hYLQr8vbN5i_BTiSuODjZEObQiLW1l1kcZvNtOV9q2LmD2nT9RoLscQWiMkHJJsFJreTBAx2hxLG5ER4MdA6gFat4y5vTWU-EGbfrlJcOJN7o7iPuBUtN_s2V4DlItyVrxKwR5-W3lMH4OYvKgo1Z7sHsNqDXRPf0KQaQWCSlhbkgYkeL1GnejNylhJHuQ403MpUkfeOnO2sxME=&xkcb=SoCB6_M3-yLzELRXdB0KbzkdCdPP&camk=nUmJqO2E8rgqOQohIhq3fg==&p=1&fvj=1&vjs=3
24/07/2024,Civil Engineer,Civil Engineer,Canadian Nuclear Laboratories - CA,"Winnipeg, MB",Active 5 days ago,"From $103,200 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7-2mynDH716AD8vM-6JgrGz3nWmkT8SEvnjiZEx6pvzPeeng-eecxMcly8r7pTCx8TPy1O6UbYvnkq-1Ys61XfmZLqL1CC0KSDWa0fWjcMYrdtx7Ae3xM22P_tfE8wb88lpuPQN87c9hEDQ7c5bpo3jkQpZDfkgbtKyDQmYeMLDgR9a0wGT03pL6X14_EUIGqE7ryGhBEzfjQkLcZrP99K8GB7CQoW21D1aSEH0x2Rp4WDcO_d6CzW2SEZI3LwV3cCV056MXPdonym_3c65CIlpmk3rNSGruBbyAFgMTYZsUui54q-aRr0dKo3p1g7bWgUN82arV65cNFrnUYthIEEaJ_-HIQKhuPIaZHswtpPE76hXt3p7dMtWC0F_7weBjHSUO7SACWDPCwrOHUgrQYs2w58Eqx_a7W336HhWpXCUlMP1MASJFyvG_r5YdtkiZX5fWuAha1Lwkh2obSHCKFRk-tCFOfzCEvWrzWgTPxS0lMQu6qD4ZpotK6-uyS-trM1S-0S3fXECFX0-2mHAWWoH3BaYcbGqJvFtd0DMhMEEuxBpxp5mWu7MH5m_eUlgzXE44xTBhsLh6AVAiXsE8eYMEC8Tx1v7V75EuCBos12cVVjeJToE61C6CBwtq74YbNazajrSGcUhkV-ZCNqfpomkhzVUaE7PjBR_MIBak42FWEkLkK0HQtNUDVRn3dNrBMIQTq-r6emA==&xkcb=SoAc6_M3-yLzELRXdB0JbzkdCdPP&camk=4HOcmqOLYrCgGU0vTwmxMQ==&p=2&fvj=1&vjs=3
24/07/2024,Civil Engineer,Civil Engineer,Confidental Company,"Calgary, AB",Active 2 days ago,$34.81–$38.27 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DLPOn_87fTeWkmfJ-CvmEBu47BPK1hovPwUiBnYuCxnr603_dF7jAgHlTTlUp0X3ZaMX_mk0-hHy3wn4z2W1oMKU0XvPiG4hU1zj7WGW1fPSnntlsinSq3NSUVAwnybZ2z5d3FLpdOQc9Rxj5oqK811QPeVLDj-iX0YLmjUHsZpf6vJ6Dimp-Exnc2YjjrWucasav8z8zDzQlnO65kYbuH9aZRtHVDgfWoihMqkLzEqhAcHnlUk61IttTbx-vo9iAQUfch1vZ9CzTk2X_Me8S1r_x1T2RAlTzjR-J8YRR4OlOqdwFbMIpG3HIOuNImbXBhWtNj7R43RI2CxlC3OsrBLQ4dBpK92ILalf4wwPq4W1E3wMfWM0_-8-AYBgQP2S2PYfqZREZuzwf7VbBChEmvkNvtWrBrE1j1cgObwe-oB5_in0wMF2L3B2oL4NIN8Lp_M2nmIT9k_dwWt7B_3DdzfU5RSNeHzZbCSkPKSVixaANtgFsJQuCutbIvhwMY7t2KlsZZyqk0qMaGzKfsp5NeQPtj69sWcz5SZ0VHzdR9K_v3ZqGv6Zd7y4WPVdgUoCCgQODdU5OOHjXRRBMogOIT-e-78aNjtG05RdfJiWNBHlkcgo2HcUTNjnQgw0QfLmg=&xkcb=SoCo6_M3-yLzELRXdB0IbzkdCdPP&camk=nUmJqO2E8rh3NICr1qUsww==&p=3&fvj=1&vjs=3
24/07/2024,Civil Engineer,Senior Structural Engineer - Wood Structures,Arch Staffing,"Calgary, AB",Posted 30+ days ago,"$100,000–$110,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTBL9CChlMkCcTieVGA0sj5JWrJuaidehjDXLtuLu57jkIDr1_XhVJMO0zWLfujqCo_3EcEuHjSlN_B65AhzDcFC-MeZD2I_hHwoCWIn2MH6RZ015OKsk5LZChBEfdJZZ2kp9QLCgv4NEZeSHeFAsUVuBiWRjQPaAqNGOcqecV7h-IwoNe-ivc1wXVzYoTrZyBc-foTMZutdpwanj7s-uzQVfrU3lK5vNjldHCN4i_1sp2pUNximgeRkqSuGC8zz0XIUa7JYAc_z6F-VM09v4VGFYodQXmrYviWXYKiwRbbotSMC8PQAndoyw7sTfAnhS9K0mYNES8tD3ymObZlew-5fk286lu4MU1jHMQIt5FYqLhhPBXa78XURaFCpVNYcfc_O04TBiIkcX2DL2_JI6DQT5u0RoAtAavcrunCZ2qRq5oeTqVS5vtXTOGemRYQG0IChfp45xotxQDKjEGIWGaodRqTZ0oAIZjaBftAc7qhO_8JHUC6rMyhpdfQQi6tiI5WfkhkPaO27bUhiYh9Dz9HI4bwFzUJrIc4FiyzwwTnmIQBNzCkl3eEj36cZ97GqgunE5Xoh9BNMArZQJf0IxbAGScxtRc_isxJRAe50cpIWIzn05BBFd5rYHUvHqz36Mjrj3UXKicq_FORaNTKUf4Jvt0EZRdmnVBa5vOk8Cs6-hEbZA8uIAnSTEX9EHbAXtYHhLY5dfAPQ==&xkcb=SoAm6_M3-yLzELRXdB0PbzkdCdPP&camk=f416UQcMBpATqK8GUlE7KQ==&p=4&fvj=0&vjs=3
24/07/2024,Civil Engineer,INGÉNIEUR EN GÉNIE CIVIL - MDC-72771,Municipalité de Notre-Dame-du-Mont-Carmel,"Berthierville, QC",Active 4 days ago,"$85,467.20–$101,738.00 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dz9B9nx2M7wRJRLmnqLO--d8KowAz3vrkZQWGfKp7qrbkvwa68o5MQtmK0KqksM7e4au8GW_cQnMzc9Wc5-Q7mYivyV76HYMnRMhLjCybx4_IFJ3CN7g67OYQ_MkUEEqCT1AJb8FnxcgOt2kIneHTH-D9G3FTD2IF6xJB07GodGvBQC-1EE0d4RkrE6Gg2v_sf_CxISw71CjFpnAmuFelslC_zCF0Mdq5kv38Ljl5Alu2hppxFA1SSRCbb7hRUiSvnoOm8X1iq2JO15-2O9k-hg7yp5iaR6GTtfxT8dxk_7BhswJDBNUqU9XP66KwYBslEAP2pux5TYg5wMsCvqmH2MR8zF613jfyUnkN1CDBz0pw4UzXYAiPJIL29baPbyUpGgINosVocZSeRdlqObjIjdAAMTAnbOxObWERFa6HeqxtNqETvtUZheMXnsic2uzuU5iTdxHfWRlbTAmF4tBZFK5nNBlqvLZYT2Ck9qfxS5ERtpnfbi7kDIpFMzmFQ8Bo9YZKjGbHUBXfhz3HXtR4xg6-WiNLK73--qdfu0IQGpWbBD-58a3Cv8Ebf3TQGZ5hr8OwtvUQ-Owa273-ZRBNORkLc77JOrEkYuyroqgke4H6V3KMxc28VBt__TuyelJa19lEtnhSRPxe5nUg4UDssSMh4SQU0-2qO_bxScyPbeLymlFPdyT40HAIyTyDzje-e2n3KPCA7_w==&xkcb=SoCS6_M3-yLzELRXdB0ObzkdCdPP&camk=nUmJqO2E8riHbVDdZLWS9w==&p=5&fvj=1&vjs=3
24/07/2024,Civil Engineer,Intermediate Land Development Engineer,Scheffer Andrew Ltd.,"Hybrid work in Calgary, AB",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6xf15FZOcCXngOJqcYolJ_Ypc3sgZJ0Dm-KshbJQknXy1pLwUOVunejdqp-sNkkO1EZXCjEXoiZdpJxg1pwpIFOksVZXWK4pqTPd8Wfbaf9U7bl9NYIUSNPZ1UN0gi_gSK8sy5laoS-MZJE5riuLYwfFLw36GUiQEj5yoVpzwUSo8qHZMwTimNvzGUQrH4oDarTqHXFiN25iGbTiQSnwRU63BvGQDJVZ_6Wg4ZFAWK9Qu8KvlaSxWpqtu4pm7aN0BiGiOnknYrgqHAU1bOkGRJDIWvWI-IdcyF6KweiBpvM_E--v2zLhn2g3OpdElVGBw81Jr8D6fHvBuKL1UJS5p0edjsimI7IXzwOGjesPhBLgZacWf7BK9gS6ygK924sW4uDWvD96QXwhNpzmZTKzyxBP-OhkprdIRfknZlQBAVG8cgB-0KRl6u_cGmBWxXAo-TrhIOHiwYL3yI2-XtxZ5EaNSXXI5Lj3KrFbTlJIRg9J4bzWdnS4STypfFDPGxryHhsoG_h1OX08LRMEutO4Z1gVXy6Stzh1_gV96WhGHuD2xHFK-4FQdqXKDkhX-TFpOBkFmX4JNmPIQ2PVIKlimUx5Bovs2XqDm5KRDbBEmOQ5cIumF8TE581dYGOi7iv2KhQlBwY9CZ_UvOpYZNtAQ&xkcb=SoAP6_M3-yLzELRXdB0NbzkdCdPP&camk=4HOcmqOLYrD4wZgPWHJWrQ==&p=6&fvj=1&vjs=3
24/07/2024,Civil Engineer,Capital Project Engineer,Goldbeck Recruiting,"Hybrid work in Tsawwassen, BC",Active 2 days ago,"$106,000–$120,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0G8NltFtFqA_1WuDNPqwxP_6vRlyz0fbpBpjVV2KyySWXxfFWMEcAOBL2CuQb8H_OYGtgtTxtwK6d89gxxWLYVCmaA111LIs8F2XAByr6ljLNT2ZEaEZYyYpQ-_a9JbgEzHUcxPTnUSn0Xb_bEa7zT0Bj_Zzjt5uiV6d3Plfx13j91vMoOyu6XHBwhqZJ-2Mm0PtI7bCvV70rlGfTQ0Pzc_GQ30fn-RXaoRWISrrTI3ePusX3nTl6-rDJN4B0DTHEyRh9DuGH8_r-YWUL0mVs7E5E3g0gFzZS-iQIig-F-Jn6Mqa4w6DajQ0hZlZH5NDGNje5NcLH9yM-UkpwxEolDdpj7JPELFZzwQG-xe_gVtBPTfQ6mHTXR3f_cxjzQvqS6Vkj2nJ7IfpiFe1vaoJMSoiwGvFN6vYTfQGbxN8HVcRHfQKp5vmsL7g8BeaLBQN1BBLMoWMwRZMcOLqt-fjpep2mCvgcPRtuhSb8_ZmYIUR5rybUNeMf3O-RaW4gDKTWjnb6O7pOc7k1k16RlIx51e-VRMg4NlqZ2EnXOj4tqbIihqigC7vBoxuWR-4t-ANiTjzZIrRMzF6bcPpqZKIdAF-Dh7Z1257EDIP-fHqWZHzuBRHkuU3SU2BjCP3JUaeWS6AYsDpd3KUIWibTpbrMKftIi7Q1TMw=&xkcb=SoC76_M3-yLzELRXdB0MbzkdCdPP&camk=nUmJqO2E8rgQKnqdHTX0kw==&p=7&fvj=1&vjs=3
24/07/2024,Civil Engineer,Ingénieur(e) structures,HBGC Ingénieurs,"Hybrid work in Montréal, QC",Just posted,"$90,000–$115,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFVSmxXQW2aAGYD4lyLpKI5q6WNqNvCGf9IZppkra8yT3f325RF3AYrnCCycB52c6RXiDOPZCvSp-x1XblabAcU1ptByRP3zA0W6UYBZtM-O9va_bxgwC2RCeDimHxTpXfGhZ3rRUegFN52hCgZ5zxjwMkG-rsZUffbyogIAIBH6iUfZxwhoaeYwzi8_ZTShrbm1mjP2If-_HL2Si_6-dE6jE524p5Dwtcsv3Ke2lOtPDdYblknhLbJE8PiqHmNNuGQwNRfkj2hxgiBvsC1EOCFfcnLFk9VKG6tVuoxru8LmWuhtjVNxGMDVcKAQSm1xfLqp_DDrZYobVxeC7TIHCmLSVAgW4-nr69IxXA27BAAX1ZjP55RO47tMPQDENgrEloxb9dDLsjZj2M3JS8WNPDHsMjC2g92g22T55-1DJB3UVDoQ66WMCGFDgug0UT1VpbstxG0mW0cM2L3hDDTFvjEdt1bTNh88uU3DCq3JaiQWwz6u7afog0jOGW6TEhqRt37c6_2yhHF3MfVJaTu7pqqOjqi2ErWKq0Cf2bHdtwq1pf7MeNV6JCH2w8EAW4lXz0JWZh17e7KM03958uf62U2PArpDN1gfUllhQD8jJjgfTwARNE4akkI1DKkGmVeibbW0jq7drgGbmkQP6zEfGz&xkcb=SoBS6_M3-yLzELRXdB0DbzkdCdPP&camk=nUmJqO2E8rjqK5lHyGN-xg==&p=8&fvj=1&vjs=3
24/07/2024,Civil Engineer,Civil Engineer,Alamos Gold Inc.,"Lynn Lake, MB",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-Gpaq-rbVVQuh2h7LaWyHRu7iXp-3fzFrFfvNOYy-C6MYA_POt5cZHXl9w-OoYIwSwFBkNbrzvfiFr-j5MtoFwWqr1VfCPvSeZxtAxbuMlTPRWbBBs5u8KsUWz01rKOuu8DuRvUZNv7EFACPId8n8qttGnIZMZqGX5oDjlj5ftHEgsrfOLj32qGmQKYH0DyKL3q1vFf_OhH1wfs6HpfQ4KKK1GIOemraQy2AVZstDXymQon492IitC6Ogp4zWkNu0XwFaQJQc8Mxyl28j1nL7Hl4KfdY64Bid8WADZO4-qUJ5fUnUL3SzGtaGHFygxpElBHVXCekR1hHzmDuk4AWJ9xpaJSw8UiROPBcfvpymAXITfwvFZfdAavOOpLEvFYniVir4yzPviEk1zBNWrd5UzYZIDX-rktHZkgf7dRjY4ecs9DBfZ6gRj1BOmUfbzPjhd0PbuPgIz8gAk9x4zTGacx1cWCoHeiLecyrjHmRMDGje8wAz9AwjwswTPsCJBQOL-grP5sXhQsObp_eQr1SsW2LjR_CEfzSgFhSLOWy-fthCjYGhKkLC3XrKdmFn8STST-9WePJs1eGel4s54tNoiRC5EHngB3NT_ZpGuLqYF-g4I--CGSTa5gp9pd27DSsdSaNN7u78t8yvkfXaZh57m0O01UzkA5LDXATchvPQ_A7_JlJLvLrS85ws6k3CKKlrnIYPApafBInvWVonTTLPs-XhwZ26Ctp9g7QFCu3hf82RCJWFIiKahDvP7qHihZkjiusC3YaRnxzQaQbQViR6J9oEB_8Wyf2YFpu2Y46eR9pTCY_GCoYJaHPBYovy8rla43_PXbB9J0ypVopa-o8XBay7x_N3d6Mqj9TjGkxGKUSx-dq0bIi0FcmugW89Wiw=&xkcb=SoDm6_M3-yLzELRXdB0CbzkdCdPP&camk=xqnMBGaf-K-PzbJPZ_41jQ==&p=9&fvj=0&vjs=3
