ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Client Relations Specialist,Senior Supplier Relations Specialist,Sun Life,"Hybrid work in Waterloo, ON",,,https://ca.indeed.com/rc/clk?jk=e3b88edfcf65ac2f&bb=mf6rnVmjDatVb-gtWc7XwUJRE1WUzY03lIWB3--rkxzkHmz0IZMPpxyRBOs6OeWOaYXNTANceicseZiCcPbM_y95yK7PeXLQT3qjRzi_-eUVrDegLZXGjQ%3D%3D&xkcb=SoAv67M3-ySVGDxSXB0LbzkdCdPP&fccid=618943d89d0005a6&vjs=3
24/07/2024,Client Relations Specialist,Bilingual Senior Client Relations Specialist,IG Wealth Management,"Hybrid work in Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=277dfd7eb2067483&bb=mf6rnVmjDatVb-gtWc7XwQdb6Oow4SayjG9Uq3lc3IW0Hyuz4kMuZ85VqcuJM7HThn9bDPIhJRwW_gvJ9KYKa-F7zOuM0PyCPha01ll0eQDPCwWecVt78kbSwOp77fvq&xkcb=SoCb67M3-ySVGDxSXB0KbzkdCdPP&fccid=be7dc08e7744b89f&vjs=3
24/07/2024,Client Relations Specialist,Senior Client Relations Specialist,IG Wealth Management,"Hybrid work in Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=86275d857eed8bbd&bb=mf6rnVmjDatVb-gtWc7XwUJRE1WUzY03uPI8W6n8Ydz3Ao2F8-IIIY8z9IjVuaYd_O4FXl3UuzSfd1RXhxu_RohcDklIVk8xYepxy5hXrJndDfgDVTtEXkxo5oqa-7tO&xkcb=SoAG67M3-ySVGDxSXB0JbzkdCdPP&fccid=be7dc08e7744b89f&vjs=3
24/07/2024,Client Relations Specialist,Business Development & Client Relations Specialist,Acera Insurance Services Ltd.,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=ea26d9294d16c534&bb=mf6rnVmjDatVb-gtWc7XwdiAyNX0d1qQ86YlRwXl4Pl9uOLpbABp28eKWTZcncsipj5ztwZt2s-rDkkYwdANeXPHSwWzrqeYiFcCN6oPHbaDkATffY5nWJ5WhOXvYUY2&xkcb=SoCy67M3-ySVGDxSXB0IbzkdCdPP&fccid=cc1c5e05b416dee3&vjs=3
24/07/2024,Client Relations Specialist,"Return to Work Specialist FT Perm (Specialist, Return to Work Program)",Workplace Safety and Insurance Board,Remote in Canada,,,https://ca.indeed.com/rc/clk?jk=c26f41447fac303c&bb=mf6rnVmjDatVb-gtWc7XwRrwbySSQfbEye5MTmd9LHTlmh8u0ckfee579bK2up_LE9WKHBkiEcv7CXvW8Qil7h21i5SuTjqpfZ731iXsdSlfyO4hDElBMaNZYu_dGdb0&xkcb=SoA867M3-ySVGDxSXB0PbzkdCdPP&fccid=8e1c9c7d0e54f230&vjs=3
24/07/2024,Client Relations Specialist,Client Experience Specialist - Retention,MEDCAN,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=110fbad4e2e3fa8d&bb=mf6rnVmjDatVb-gtWc7XwQ_hmE5LqlpFdvcrlXP6msl_r2iL0-e1KNVKhZ8qb-eu5J36ZkOOb8a6t3BxcaCJkt51POekgGgO5-trk2Gq7MlKTNDROcbGQIeGa13aSHOA&xkcb=SoCI67M3-ySVGDxSXB0ObzkdCdPP&fccid=b4479700d1e47b10&vjs=3
24/07/2024,Client Relations Specialist,Client Success Specialist,Element Fleet Management,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=cc8e37739e0746bb&bb=mf6rnVmjDatVb-gtWc7XwVbLhi7RE1aG7jwm-0dOXX8_oyEArK_ENrWXoTuSUohHeC3jmz5weAoFbKtrrJ3_RVXU6XTvMLrgPw3rmmjgBcbbszT6iQwyoeEfUJ_x4vip&xkcb=SoAV67M3-ySVGDxSXB0NbzkdCdPP&fccid=a20b877ea9d50601&vjs=3
24/07/2024,Client Relations Specialist,Community Engagement Specialist COR 24077,Nova Scotia Provincial Housing Agency,"Halifax, NS",,,https://ca.indeed.com/rc/clk?jk=a747356efdc89ae1&bb=mf6rnVmjDatVb-gtWc7XwZ_cGOHMs12SzfJ5K5kjRxHq3qfGDc5oASZGR-ynKe48ar1guX0d_rtCQKaecYe8rMzf6Vv1HqWWfzkIXMKM_0lbqgMp-weXBpl5VFAgJ4SY&xkcb=SoCh67M3-ySVGDxSXB0MbzkdCdPP&fccid=107a0531e5d5116d&cmp=Metropolitan-Regional-Housing-Authority&ti=Engagement+Specialist&vjs=3
24/07/2024,Client Relations Specialist,Client Relationship Specialist,Royal Bank of Canada,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=c52b39d945a5636f&bb=mf6rnVmjDatVb-gtWc7XwQec8C4Xd2oB6blSrQdakJGmqXWEJRRsX3Z7UPcJjinJidxMT7BviHgACcqVYzbslWDRIhSoUO4zFxDp93Z0WG576B0YaUWq1Q%3D%3D&xkcb=SoBI67M3-ySVGDxSXB0DbzkdCdPP&fccid=537b899e30af3338&vjs=3
24/07/2024,Client Relations Specialist,Client Relations Coordinator,Bond Consulting Group,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=6da2711781894b16&bb=mf6rnVmjDatVb-gtWc7XweUFp8Lo8RQmVoNkSoEm7aOAtpCDktHOJeZStL3kieTwhkxf1Xp9oogDkVVcYiao562bQJ0qMoaN2ZLmXMFUb1V28ofkaSMf4Le2d-V6Xmqc&xkcb=SoD867M3-ySVGDxSXB0CbzkdCdPP&fccid=5fa44360b1a68fa7&vjs=3
