ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Cloud Solutions Architect,Senior Cloud Solutions Architect - Azure Infrastructure and Networking Solutions,AirGate Technologies Inc.,"Vaughan, ON",Active 2 days ago,"$95,000–$125,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRC4uXcyk356UVSbHspptgRSP_Hno1eZPPe9hxOIZe0JdHjcDrLnWrX7G2sBr-OVp-McHxMWC4PeJ6YdoWWdEWA-9gA24VIurrwEdDhfT0jRusiCZ37fKw964vGBUrNWSRXl7sJ8AjT4vStZxchE0VL9-fdRyUj4ofUCZpNVfOq-_lIjSyYg_4H-ppRlSb7ldEtUNmOnINdipFrNmyad-u7jkv-1_PLCYipx3ikeerBvjpe50MhGtkmgLfatobZ25G6D2ahENYCueTqH3VeQsn47gPWsKosH6pM5Pk1HTLF_2lZpghd55zEOqB-wNgyHOhNPq1tCCv37Kv8uF-3fGN7Nh9yImJHakuyRNgPDFQb79KREYiXX-bZFLF-_8HoRJ7bg3bTQLJkj_hhBO7sXx0eWBkdrq6M2phx0ADIQBqX7DIWHiBRxVmmc-WdXYVBuAE38kEeAqY2ocVxR8jSFvw4GO3BoYLJ0XDjkenxYdDaZBSfS_oYHv5w66hWt50WMUYw7FV5pGgDAc7dxRdXCslTrl__o4pzGk_MNWL2hSU8C2Y-PWM2zrf64c_MA2-GOJuPzZCr3OA3oynNo0Yhg_wAJuyieTC1w-1W0DjGMiV5ZCLObWT43kiwCJuL-bzxzAPv2kFknOIwrdta4cfRdPGIJULFgtOQ4Md5Fd1rfiKHEb_2jrYNSmK9s3yyZQG1pLEzOFjB6BaY70mZycUcpYm&xkcb=SoDt6_M3-x1JX6yVwh0LbzkdCdPP&camk=nUmJqO2E8riwGMma_Oj-6A==&p=0&fvj=1&vjs=3
24/07/2024,Cloud Solutions Architect,Sales Engineer - Cloud,"Arrow Electronics, Inc.",Nunavut,Posted 11 days ago,"$86,500–$192,500 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DU7nQRDbH4s4aLIJcXdF8O4sVsxvpk95xASanc1ljvNdDVRi5QluNAugYnI5eSB_N0HaZXnq1FhKUzN_tPzE053BsuNlQ_IA4o2uUo4keG4SG-NwfZRuAsg8R0nXX-qgzhCTnYTdugl0ksu4_JTcCEum7zSd9nBOSBB9fUP4UZKP6q4UAlhq1QkVNoqLYGGIz9ngfIECe7BD3uCpcNIjSJFKoxcXXbbeCHy2QuJ2jIvLy-ln51MDOpU0drI-Uj0uGkEtHW7faVHuuAh9vGT-MTJUB4UrWmYcpjNGLGKGuf-Mo77e9kApLU7of72EQIYKi7WH7Wc4v3J51Csu4WqYAORKuzT18fFAy-rDZnhC6G9TE3tLPixUWjV8mozGLLelO3t-Ngmt03tf9suZImnoJxlp1O9TopSMF2R4xyxYKvqnILGNUGyt00RyvV-4Ci9R4O1Oa29QOjg1mt3HM1ASCD9FvYeMhVtRwOW07F2Ccsgua5FoXnXtMq1tp0cGPoXiZlVDq68Ac8T84ddWG2MaFYfYd1YgctIQkQFfQLnZz8xBr28Pma7diwgEjFrgpO6xoni7Ip2nwNbqqvghy_6MWesp2esc3EdtIkSEVgmu3f18IjD8Q1iwGDw9IPZEKHpAeWQSl5qonHozVOKaTCh_pU5MQDCczs_T0=&xkcb=SoBZ6_M3-x1JX6yVwh0KbzkdCdPP&camk=nUmJqO2E8riUsC5HzEX4xw==&p=1&fvj=0&vjs=3
24/07/2024,Cloud Solutions Architect,DevOps / Infrastructure Engineer,RideCo,"Waterloo, ON",Active 4 days ago,"$120,000–$150,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C79S2PWPfci7KvSiFroKbOjYdnoPj9fmfvq5woukslOo1n5zLgFBjliIjYxpGN7x2SP5TpQnxsxlwBva39aS9add1kM4bzLc6YsgznSMde7gi9Z14ek_ZPirvRYAQffCGsEsSVuQGqBgVUtG0EuBH4OxuTDhIfkxyI_-N7hgz2JhiPTDub_JHdL2VLBcspWP_AmaTKcRdhvIKWdHLz7eGH6OoZG7uB9eyHp5VElm0KcItVjYWNG_TPtgzP80xbIv6i6GT-xbn56s5gaALqX9gajpNpDN_Zb8nu3ynQWUBjWggRgWBQ57uIu5A2Ert3JgQEcqX_HxbcA_BAQLdTE4uwaTCs57FaTBFl8dr3ei2JrldNQbnEY88caYVOdifdLz_yAPoElexrOzjGn15grGQoIAE-8eUHlb2ToOAjHIcPWdqAW6TH5YGMJO5P4MAMeIVvr__VeIfgIo31uLuXSt3mOqRBi0XHyy99NfW8WmIjoamgbo9KDNXK3Ok-7FuqYcUD37TpNiutNQUCg9R7DJ2QLyEugwG-tP5Rvrq8HIM7jejw0ZMVpNsRegmXd3ByIywrgsRtIrSfK4yiYho_6fmNJrIFY6GfhGECj3W_RKyV3-67snvKg9Okb7C157EpWaFOPsHknOLtcL6S0sjCKLwUACG6ONEd9DczAvN_N12Eww==&xkcb=SoDE6_M3-x1JX6yVwh0JbzkdCdPP&camk=nUmJqO2E8ric5TXnOlR_8w==&p=2&fvj=0&vjs=3
24/07/2024,Cloud Solutions Architect,Cloud Architect,Maarut Inc,"Toronto, ON",Hiring ongoing,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BVjG0DVXkeYBH5Au4TYFNAdduwNOmfh0Qmzdp1i1PS2yY03g7QnpRuwT-uoy6UXaw5nL1z6Ay0kjkMOJ1W5nk1BMT8okwXvgTCUsd80oBXs9yetWSqVbHm_FTpDtn76LBgWRFovnjdl5stLR3XF91grHu00PEFJjGFMgAdiuP5DDNEIjmBrMgtNJMHabl2sPSsVN8PVZP8ZQ1tVi_69pope9Hh1RjlyMUt6VqGnjSxNNMLA69QXqjzsKgbHkm4fqyBZNuxU7tkyoYGzFByUjf_3YgWtUlVCwthC46cUARxYnSgRKzA4dE2ZMSRWxqTqIAJHg9VThshVR5wsgVzIusIfkeo8dtkwCbcIB9KClOzzJlqgv0fzO4tpWSmTZalD8EZMUvu2rqL6_ocvpQXMb4tgRwpYcig6TxpGjcspW3ZcYrAVlEc4GiahtLuOpyIEtx--44ZpoBAMfCF_5q9VwBojXkvn5d_ZlxQUpZYaeuuyONKkvSHhg6INcwUcNYmG7-Nw_G-jJJ0kzU04PEkNWULerqk1vezKA7uNGw5gg4Qb8nm-_NWI-5WC-KBty_la-YcIkr-CWAT8Mve6UhhSFH0i9X7ocLUPQktRevJpXpdFutUMQjUzS_zjN7FnFQhNEfS0K4c9EK3_3MT40iaAqEQ&xkcb=SoBw6_M3-x1JX6yVwh0IbzkdCdPP&camk=nUmJqO2E8rjErJcDkChqwg==&p=3&fvj=1&vjs=3
24/07/2024,Cloud Solutions Architect,Cloud Architect,Esolutions,,Just posted,"$110,000–$115,000 a year",https://ca.indeed.com/rc/clk?jk=10d6dcf06c328533&bb=V53DjBur9IKoj5EwSXv4Ji154ndi8wlpochMHbkpowA0ATEyn34i7e_5RMfomQoZSeeTQdx10x8hPLQPqCwXUbdI2kWOyjWVL4A-qFZgPB2FLSsKC52Z3t2UKaCXh2UW&xkcb=SoAK67M3-x1JX6yVwh0PbzkdCdPP&fccid=4059ea65812f2462&cmp=eSolutions%2C-Inc.&ti=Software+Architect&vjs=3
24/07/2024,Cloud Solutions Architect,Lead Cloud Solutions Architect,MarkiTech,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=591c7430122f9e09&bb=V53DjBur9IKoj5EwSXv4JoRH7nVPPyfZ3SA6AJ5WhykYtAs2Gsft5-8bcQTQ1HEtVVjgtFryG3e3OGZZDggWMMNBLFs0KIlXIaRis6Ubb5r7fWjOiGJgi2NC_EQUyFlV&xkcb=SoC-67M3-x1JX6yVwh0ObzkdCdPP&fccid=f57b07f6738cc6b0&vjs=3
24/07/2024,Cloud Solutions Architect,Solutions Architect,Venafi,,Posted 21 days ago,,https://ca.indeed.com/rc/clk?jk=8cc86201303dc9e4&bb=V53DjBur9IKoj5EwSXv4Jil84OrHd87mlsnyKqZmtQu17wxoNXJUxv1XZSJ65friHAoe61rdHLAFOZiJwp5XrjA1JJLQwe3PTMnHm4zW_vAhWN39I_meswU7wcDlXDLN&xkcb=SoAj67M3-x1JX6yVwh0NbzkdCdPP&fccid=97a642c511f0575f&vjs=3
24/07/2024,Cloud Solutions Architect,IT Systems Analyst,Applied Pharmaceutical Innovation,"Edmonton, AB",Active 7 days ago,"$65,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AS5WgcKGg0TzmslmnwduuIEsuzSkjsCJxxS4krWW4rFdy6hWK2iE0dRPq2L_Zn_YxMIIctQOS06U3Ij-dsiLaVDlFsYg1zojjSABkS9bHH8lMXYae2S4xMKSnD5h6yXCl6gj4LVc8tK9MqPDfYkIZTxrRKZMWYqD-O2YDxK4A_Sga1rm7H4WUL5bGVpx5gvj86f5GnMQzt7rooJchdHXgNARUZqfdFxT4huTIgl-CFS2w0scmxIYLBMPZKU76ryH6u_SBcgFCxEzMQvhPHQrgLfew67B5Ds-H2h5K8rwkUjMeztXXuWExNfkzY0F1eVXjrSg5X2HFJy_BEXzaCZJflsdWfxlSwW7m9qc0i1QnRyqzqxtfqPnB1C-hRGeHhwpsjLwx9C4BcmWTeNJfNm6v4Z3X-vZ52QUN2sjLIAibbe7Vrcj8SJ2GmVWKvmxVkuCB3ovNIVmLn2R3P39qhQPfPmPKBISfH1bsXfR8gAP67CFVZcjfk9TTZ4G1uY3DwSqp_gxOiIzZp8T1XEMNjBsLZsCuvS4CJgIlhxwXkiKMYDJa1xhiMe3CZ3qU3j4vvSxfpz8Ga2NkE0tjihVB24jVZ246_B0tKJpAGJwgyJAnyP-WbKaX3JwP4yPsTr7efRpbTwaWNZdrOpUqatBnvqvFeLgSrz51uHJU=&xkcb=SoBj6_M3-x1JX6yVwh0MbzkdCdPP&camk=nUmJqO2E8rirOgqsuBVpMQ==&p=7&fvj=1&vjs=3
24/07/2024,Cloud Solutions Architect,Solutions Architect,THE EMPIRE LIFE INS. CO,Remote in Canada,Posted 30+ days ago,"$105,500–$179,000 a year",https://ca.indeed.com/rc/clk?jk=012379b01032ec82&bb=V53DjBur9IKoj5EwSXv4JokXW4Kr6SOzv19_ZOC5Jp6X21AJMuS3brM9onWTMrhy9k98kPUArXChk9961A5edBD-gj64qoHAjSJIgAmUpz_h6hdKvBUsyPneSBMc6BSd&xkcb=SoB-67M3-x1JX6yVwh0DbzkdCdPP&fccid=f562e422fc158ddf&vjs=3
24/07/2024,Cloud Solutions Architect,Cloud Solution Architect (CSA) – Data Security,Microsoft,"New Zealand, PE",Just posted,,https://ca.indeed.com/rc/clk?jk=efcce934d3b14c6c&bb=V53DjBur9IKoj5EwSXv4JimRVizFTx5ED7LlFoKtQQajOKONeligSZV2LDZFIXaGOXTmhai2XePwNdiRUW2Bg1u27PID6Hx9C2BwPmZtcrQMTkRTFse7ew%3D%3D&xkcb=SoDK67M3-x1JX6yVwh0CbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
