ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,College Professor,"Assistant Professor, Educational Administration",University of Saskatchewan,"Saskatoon, SK",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=d76e295261360b42&bb=_62xjC9cwhljkDczX8iY0jJYmBdS9j6PYzolUOSCLZZZrylNgsQ_IjduC_Oi3aPMtK6adrSZoAY9j6g5rzW2iXgj0v6N4I9s2-6m9ZNIiD3jF1m1jecxVgVBHsdlZ9jl&xkcb=SoA-67M3-yJuZhSimh0KbzkdCdPP&fccid=318d62c673342e64&vjs=3
24/07/2024,College Professor,"Professor, Community Integration through Cooperative Education (CICE)",St. Clair College,"Windsor, ON",Active 6 days ago,"$73,079–$126,689 a year",https://ca.indeed.com/rc/clk?jk=4ba2d99377656745&bb=_62xjC9cwhljkDczX8iY0jJ6sZ40FfZpyakyLVDXG0gReH6tPRct3h662RDqGvr3os36u0yPCcyYLpzOP501Cxfh0-JXXdfCTpj1lwBu9-6BTKW4iJVI3IlJZljxQERC&xkcb=SoCj67M3-yJuZhSimh0JbzkdCdPP&fccid=fd64d6a9e500becc&cmp=ST.-CLAIR-COLLEGE-OF-APPLIED-ARTS-%2526-TECHNOLOGY&ti=Professor&vjs=3
24/07/2024,College Professor,College Professor - Marketing,Okanagan College,"Vernon, BC",Posted 6 days ago,"$71,846–$115,129 a year",https://ca.indeed.com/rc/clk?jk=e88d93ae0edfff93&bb=_62xjC9cwhljkDczX8iY0qLSlfzDBq3LxubVihHHlHpFyXEaFeaYS6McE1l6PIXMiJmT0N3jLSp6DNLBh87Uu9SpFsQoo9jYp_ywO_3lPLMg_-uNTsIEiVEyhhwLQ8eP&xkcb=SoAX67M3-yJuZhSimh0IbzkdCdPP&fccid=e76ba491636d25ff&vjs=3
24/07/2024,College Professor,Instructor - FAFU International College,Dalhousie University,"Truro, NS",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=03e3d1aa01e1b457&bb=_62xjC9cwhljkDczX8iY0oOvMXw3gI5IbbDWIVlP6oijpEHnYp-sLwflPFEkLmf-MKMbU3kGi5pArq0SELnwfUnHGOli20YqOzxsxy2HEraoVsfvRcsmgeKUM86_poSA&xkcb=SoCZ67M3-yJuZhSimh0PbzkdCdPP&fccid=9986a6606e2479c3&vjs=3
24/07/2024,College Professor,Part-time Professor,Humber,"Etobicoke, ON",Posted 14 days ago,,https://ca.indeed.com/rc/clk?jk=8027891540d53808&bb=_62xjC9cwhljkDczX8iY0uTREnBPvyn4wuq9fmbygcEOaViTUglyqXNjpgrwWRsW-m3mOsrPWE0RCq_rJAtvOanywkIfTn8saRLXh2ttHD_6Wp6h4Oc5cvF9jI9juXFG&xkcb=SoAt67M3-yJuZhSimh0ObzkdCdPP&fccid=e26b40fc098d20e4&vjs=3
24/07/2024,College Professor,Associate Faculty - Microbiology,Lambton College,"Sarnia, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=81e96685d53589ce&bb=_62xjC9cwhljkDczX8iY0niVhE9c788YyFUZO-VCrCkbpOGKgD0W3zfQ57IMSNaQgGUEyUNJFz4LIraAkK4vWeRfvgGZpPeM5DNPy3nClQLvJbSXelpjDuUdVvcoJuOn&xkcb=SoCw67M3-yJuZhSimh0NbzkdCdPP&fccid=25aefb6440bfa416&vjs=3
24/07/2024,College Professor,Assistant Professor of Teaching,University of British Columbia,"Vancouver, BC",Posted 19 days ago,"$110,000–$135,000 a year",https://ca.indeed.com/rc/clk?jk=9cd05be564f574ad&bb=_62xjC9cwhljkDczX8iY0k0ihlMez7Rz5kNi7sCyCknPztMUGmYSRoCujSD8zWSZ06MP7NIutCFvf3gW0WWPfdPQBhJ28Y1tRT388BY9xatvbcfODJgpV8-VJJ_UG_oA&xkcb=SoAE67M3-yJuZhSimh0MbzkdCdPP&fccid=462e6068c17c7702&vjs=3
24/07/2024,College Professor,College Professor (Temporary Full-Time),"University of Guelph, Ridgetown Campus","Ridgetown, ON",Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=34420c3518c530cf&bb=_62xjC9cwhljkDczX8iY0rq00st6pPFsz95CKCEk1M7aznwVW15CzSmNLunfBSBy1LvcZbPMw_6wEeRnbwXfwgYJJxqyAvwG5illPnuBMRpg7SKxqfOnR9ITOE-czWfq&xkcb=SoDt67M3-yJuZhSimh0DbzkdCdPP&fccid=8f1ed8483e2c0e4b&cmp=University-of-Guelph&ti=Professor&vjs=3
24/07/2024,College Professor,Research Assistant 1,McGill University,"Montréal, QC",Posted 5 days ago,$29.21 an hour,https://ca.indeed.com/rc/clk?jk=7d8b809c22f406ad&bb=_62xjC9cwhljkDczX8iY0iXLFJ_MXfikXgYO1-HWmBxukibiH-2r8EktI9P4eVOVynmu7cX1Fna7ku078aDLMN1M0TxnKA4wiYDCSIPJbheoLDOJtoSSsXDrS1J5qeYg&xkcb=SoBZ67M3-yJuZhSimh0CbzkdCdPP&fccid=367ae0b0728910f4&vjs=3
24/07/2024,College Professor,"Professor, Student Success Researcher",Mohawk College,"Hybrid work in Hamilton, ON",Posted 1 day ago,"$73,079–$126,689 a year",https://ca.indeed.com/rc/clk?jk=27d008dba4ff46a6&bb=_62xjC9cwhljkDczX8iY0hUz0KXRP0bDdMBiYAQpP2OnZ8Xg321sSxXtND6gBbKUPJuzLklzmaC802TZLKtxoOP74QJ-mnqcUUituOf6O8riBz4Q-sSDJf4z4P_iXwHu&xkcb=SoDE67M3-yJuZhSimh0BbzkdCdPP&fccid=ce393229b44d1db0&vjs=3
