ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Court Reporter,Reporter,Rogers Communications,"Kitchener, ON",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=068dc236e88c3a3d&bb=gx93Ynmej9gaHmOfCkOXQlRfUzPbVMRUU3R5OybX_fYShx-FcbVBkISitLK0Cg2CgSLZLoL4uGe2PKqxKtoyzseoQ4hoZoBE3PgJjxdXrUFmq1Rbk_50OVP_7mq4SaIy&xkcb=SoAT67M3-ycWdQSiiZ0KbzkdCdPP&fccid=b5583ca8df6a68c3&vjs=3
24/07/2024,Court Reporter,Investigative Reporter,Investigative Journalism Foundation,,Posted 1 day ago,"$60,000–$70,000 a year",https://ca.indeed.com/rc/clk?jk=2bbafcb3706778f9&bb=gx93Ynmej9gaHmOfCkOXQpKFZoPZMxuJ7QiPqrCwM7o7uT1HbKwBZOVnAAxCSR8HTCg0DMlqe5aiKOix8rv9mGO4kYmHlLhPstHZutqHzNz_eWsU4X2JmFZ1Hl3kzjzR&xkcb=SoCO67M3-ycWdQSiiZ0JbzkdCdPP&fccid=d842d359588a33f6&cmp=Investigative-Journalism-Foundation&ti=Reporter&vjs=3
24/07/2024,Court Reporter,Reporter,Western University,"London, ON",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=97fd66e35970972c&bb=gx93Ynmej9gaHmOfCkOXQrmbkuphMtEBFIfdYlh7yGmXjhLdiTrrWbwjlkdDZRD1Uclrh1Pp5EW3gU3NefAS3zBJG65XptMHICLGfACQrvsxL-bufgqW1n_fVBBCS0ou&xkcb=SoA667M3-ycWdQSiiZ0IbzkdCdPP&fccid=ca97c94e665c20fe&vjs=3
24/07/2024,Court Reporter,Court Administration Clerk,City of Mississauga,"Mississauga, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=7ad43f349ed484d5&bb=gx93Ynmej9gaHmOfCkOXQvrFuYscTCOmm_rS17m2isndNAzE4cHWczhJ0y88nmw7Ig2LmEpovexO56Y7OGlxRIKIMWFfX8N8kCjQjEpEDELffJ3tF_zNrZeRhuChBja0&xkcb=SoC067M3-ycWdQSiiZ0PbzkdCdPP&fccid=da4e4cf77878ee46&vjs=3
24/07/2024,Court Reporter,Court Reporter Trainees,Victory Verbatim,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=257cedb491a1f5b7&bb=gx93Ynmej9gaHmOfCkOXQmEHO_vPxNJUvb4rKCMKFGIf3wGUgxFlj0avPhwSXLjUJpOXl2DvSp9VblrogWh0FUPbMim-3pTxoX4H3c0p6wsXZnfKAaG35WMz_65NT0BY&xkcb=SoAA67M3-ycWdQSiiZ0ObzkdCdPP&fccid=15a25c7c4f1a64f9&vjs=3
24/07/2024,Court Reporter,Reporter,Georgetown Independent F.P.,"Toronto, ON",Active 6 days ago,$20.59–$30.92 an hour,https://ca.indeed.com/rc/clk?jk=df1450a2d4335c27&bb=gx93Ynmej9gaHmOfCkOXQsZ9E5i5bGnh04f_S2XB7bYxNSddmkgmUmrp1GBcIUbuHzrsmraQXA5vgDXbad69olDzSW56yWwbaIu2WeGky8Q0OEv6O9wDmQKm8lXvW-Yh&xkcb=SoCd67M3-ycWdQSiiZ0NbzkdCdPP&fccid=8652c595017c483b&vjs=3
24/07/2024,Court Reporter,Reporter,Castanet Media,"Vernon, BC",Posted 12 days ago,"$45,000–$55,000 a year",https://ca.indeed.com/rc/clk?jk=9a4bfcdee19576e4&bb=gx93Ynmej9gaHmOfCkOXQk0Jo5_VsCoAauVVyQGAjGy2wfKLKBpx7ugRTZev-vTwN1n7RtMC80MN8jYdilPM-AVonvMW4NMOZi3rPdD3JOoJMyLiU7V89NT6ounDxWVs&xkcb=SoAp67M3-ycWdQSiiZ0MbzkdCdPP&fccid=302a81796ff5e818&vjs=3
24/07/2024,Court Reporter,Reporter,Almaguin News,"Toronto, ON",Posted 6 days ago,$20.59–$30.92 an hour,https://ca.indeed.com/rc/clk?jk=84af60e1d16eb36a&bb=gx93Ynmej9gaHmOfCkOXQivpVoVZKzPocvbCfJiRroyXtlqtxMaTeuublW6o_miwSoBkJvBJD4WZ1uUGw4XpjH0h_M1KR3J5-s4QFhZ6Ai2K4wfiZfrl2BGwBSnqu1jp&xkcb=SoDA67M3-ycWdQSiiZ0DbzkdCdPP&fccid=e0ad1aad4da44531&vjs=3
24/07/2024,Court Reporter,reporter,South Asian Broadcasting Corporation Inc.,"Surrey, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=915c0ca8e4e9b679&bb=gx93Ynmej9gaHmOfCkOXQrcCdmlPdsrDrATeYkAicIP5nB_C0BhUu4qHsJR2ZXfnxMb57G-KVS93PuiPNY8f2oigBT5PM88tYu-Zp-A8ytZcVHbFP7FwWw%3D%3D&xkcb=SoB067M3-ycWdQSiiZ0CbzkdCdPP&fccid=2d05624367af65fa&vjs=3
24/07/2024,Court Reporter,Community Reporter,Burnaby Digital Media Inc,"Vancouver, BC",Active 22 days ago,,https://ca.indeed.com/rc/clk?jk=f73cd1fa0e8056e6&bb=gx93Ynmej9gaHmOfCkOXQi0294-2CeXcAcr8TdtOURdyNQU4dHpm5jlEVPrwSDOlsRBsVXmD8t2stEsRGUqp8YT-iEN4Ku-pmjh9GIv_N0dbRdSgS0M7FW5oliyozVtG&xkcb=SoDp67M3-ycWdQSiiZ0BbzkdCdPP&fccid=0f1b2eea8b4aff7e&cmp=Burnaby-Digital-Media-Inc&ti=Reporter&vjs=3
