ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Curriculum Developer,Course Developer,Viewide Education Inc.,,Active 7 days ago,,https://ca.indeed.com/rc/clk?jk=8c774b05981bed2e&bb=JAnbUQSAkFdIPxb9B-qIwxJU6HR5PvaozZEF2E2JHPuIBuMLojFjTaWcf3LI4Y-z1xsK7nbUmZvPAAEf2iwgvJSyek7dQXBJrSP4zIjF0Mu7bika59ogpBttuEjWLuw2&xkcb=SoAa67M3-yLEoQSimh0LbzkdCdPP&fccid=e090e5fccc045dae&cmp=Viewide-Education-Inc.&ti=Developer&vjs=3
24/07/2024,Curriculum Developer,Curriculum Developer (6-Month Contract),Eminence Organic Skin Care,"Hybrid work in Vancouver, BC",Posted 8 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BadlywUQT2VptN27rMPjoehhHInhiprURoxuuqfZSoxuyT7IjSL464PUAu7vBN9gSNXl8Op7uN3iY0ekRAmOLkENeurD84eONkAE9TbArefCKVFRPmJvhj5HZPhz_m9WuvMHG1tzguGTfAYei7aadGJ7GQWt2ZS2YhzPsQRvgwtny0xdJa1IroyvZYq_RzuajbYtxaarrbU25ObmwcZWCAfAbhaaemJStUsnW4Bgo36RUxC3Oslnq2oaDDnt-kV7YCo3m1X31RguwtZ-gnvWQTgkWTM2wDNyrALrC0Yl5Zs6m0rr3Q-HkRuR41LAOjYbgkTezd_NEer_aazl49jYNQsVgIoRg4tx9GPSl9FTD4C_Uzu6Y3XuY_16SMLyILWImY6Hrp4eWxayNCyXAX8e_5qJKWLRSRDt3fKoEDl88uISO9saV23dXCn6khsICT_joSUjuRpVHcfQzAme780-5_VhUYwJwcwak7UxsoLOu1pUwLwNsfjaO_BjPhEh9SJ5VSee-OWYRus0K9AQZ69tFvTcH5krrP_5DyNRM_oOXRf05UAzW3vVXdiFXXu9znecDlS_4awPs5dg7gll2fhvTRNr42dONhXE68nbrqkd_eMakYYqivAZ0kz9pLszH9Diri3_7ekyR1qyXXAhBsKGVstchnzU6cibEsz6eZ7C3j6tnib3TqvtkGYJE8n1C4Ivvz2bbUSiPhT_KHNYAts_-6ftcSr1DYQyvWmjbCEo_Vfw==&xkcb=SoBa6_M3-yLEoQSimh0KbzkdCdPP&camk=CPChkbYSGj9QayLiIV3BrQ==&p=1&fvj=0&vjs=3
24/07/2024,Curriculum Developer,Unity Game Developer - Junior Level,MoneyPrep Inc,,Posted 2 days ago,,https://ca.indeed.com/rc/clk?jk=8254f75fce4efed4&bb=JAnbUQSAkFdIPxb9B-qIw3d8wMIhizILs4EwqXZtCEVyimDNO0PTD4ZNjM7TTHqrMamj2GurIhkIzEKpe5zuawTcoPouEfcWEUhdvXRfraqugNK3mM7wilQrOvjHp4WD&xkcb=SoAz67M3-yLEoQSimh0JbzkdCdPP&fccid=e93de4b304f423a5&cmp=Moneyprep-Inc&ti=Junior+Developer&vjs=3
24/07/2024,Curriculum Developer,PT Project Management Curriculum Developer & Subject Matter Expert,Niagara College Canada,"Niagara, ON",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=311aa57d48eac2bd&bb=JAnbUQSAkFdIPxb9B-qIw0NuXPvYDI54bYpm0QRREq6qer2h0QRlkU6LHlwESM0bS9AbXr46nnGhoJuO6Pm8KdBR4k3jCCDJodx4FpqyGCEWsuSpwIkMykvIQqvo2aI8&xkcb=SoCH67M3-yLEoQSimh0IbzkdCdPP&fccid=9fd0c06874eb0218&vjs=3
24/07/2024,Curriculum Developer,Distance Education Course Developer - Anth 230,Okanagan College,"Kelowna, BC",Posted 14 days ago,"$71,846–$115,129 a year",https://ca.indeed.com/rc/clk?jk=ced75076d3b504a4&bb=JAnbUQSAkFdIPxb9B-qIw1QcQhYncdk1yjeKI0v6OZSxXkEqsdGljty03QbYQcHqsJxOrKY5hxtQjZFneBOjZZ3B61wYoQsLK8qmN6mzCREJpjV6u7kQf7OrT8sAMHb9&xkcb=SoAJ67M3-yLEoQSimh0PbzkdCdPP&fccid=e76ba491636d25ff&vjs=3
24/07/2024,Curriculum Developer,curriculum planner,SOL Systems Inc.,"Remote in Oakville, ON",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=4339cf49b2f9efa0&bb=JAnbUQSAkFdIPxb9B-qIwyxtIdH20b-_GmMPHh3Zurr0lYEWFhAbWnyQH2qTIjh7hPrElZR3SSwB-81_1bnAZEMPM940AgucFpuzK7eSfnlkvfDsvx1vAw%3D%3D&xkcb=SoC967M3-yLEoQSimh0ObzkdCdPP&fccid=62c82d06140e28b1&vjs=3
24/07/2024,Curriculum Developer,Learning Developer - Learning and Development,London Health Sciences Centre,"Hybrid work in London, ON",Posted 11 days ago,$34.65–$43.31 an hour,https://ca.indeed.com/rc/clk?jk=0c5cdd75c2818806&bb=JAnbUQSAkFdIPxb9B-qIw1urDaw0W7HJoU-5JzfX8rFj2HoPMdKA6EJ3WB4i5N1xlIL9diofOFaTTjhJb-pjp6kl4le5giqdH0UddpAzYMZLqpvdWzj7RYWdsZPsranb&xkcb=SoAg67M3-yLEoQSimh0NbzkdCdPP&fccid=4dbdf983b5e4b3c7&vjs=3
24/07/2024,Curriculum Developer,Hul’q’umi’num’ Curriculum Developer,Nuu-chah-nulth/Coast Salish,"Duncan, BC",Posted 8 days ago,"$62,188.41–$99,819.06 a year",https://ca.indeed.com/rc/clk?jk=214fb39f4b2de951&bb=JAnbUQSAkFdIPxb9B-qIwz5qBu73p0Vyhg1Xv39K2hmMP19Wa7emUBtjc7eJ3OeqzdBliX1LuXNFOusPSe5Axbux0nLOHba2H5a9X02UjaGRtdWjPOrnya-uTNmTL2Bt&xkcb=SoCU67M3-yLEoQSimh0MbzkdCdPP&fccid=9fbda7f95973aeb3&vjs=3
24/07/2024,Curriculum Developer,Online Learning Content & Curriculum Developer,YMCA BC,"Vancouver, BC",Posted 30+ days ago,"$55,000–$70,000 a year",https://ca.indeed.com/rc/clk?jk=1c318021a16176ae&bb=JAnbUQSAkFdIPxb9B-qIw3d8wMIhizIL-aQzookIryM7_B_suNvWQz_CUUdZU7uzAcPijJRof4r-uCYCYQ9-C-i_u5Ia4ze_voMrntz6ciJGDQY3AI8QTAG56GYUSujp&xkcb=SoB967M3-yLEoQSimh0DbzkdCdPP&fccid=767068b3713287fb&vjs=3
24/07/2024,Curriculum Developer,Early-Career Software Implementation Developer,BOEING,"Hybrid work in Montréal, QC",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=e473204eccef685c&bb=JAnbUQSAkFdIPxb9B-qIw18ZoskxygeVnBHUEAEv80dOva8u-j3WDr2kJMn3yryWVKsouuz2AktkxhmLoauaYCMkwE7_o9iZ6DZAgERJNLwel8_xS_S9mg%3D%3D&xkcb=SoDJ67M3-yLEoQSimh0CbzkdCdPP&fccid=edae4285faf6c2f0&vjs=3
