ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Customer Service Associate,Call/Chat Customer Service Representative,TELUS International,"Montréal, QC",Posted 30+ days ago,"$42,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASGRjV6jHaJrJgvD6pHK_u_pdnjoX5TfpqQYTEyv8RZVBIvPHcuTWBUyrabp2BUGsFDHMn3IDrIbXawqY8YGl-wyQsv6JiaR-O0IjjYx2Vk-jEhTcHKk0aasAlnS3-zSCqqEYAb7LDdo4OeAjKFtLPgTjnZKGZ5ag-y_iME7PpKS6HsvTv1I3xtmDG_yMEaAW9oZuGjZjkFM_oUa_BUSWgwgEmmaFtfGgG43v3ZcbEigG9CzpkXE1oNnVgFgZpnc8syWLQaiUmGPTNiI52tFIGxrP0rbs30lVY7uMAODHbwwQFZHYojd92y_D8o7H-1vsIzT-3S8hM5AZZwAm1imqwGlVQwVRfaCumVHS796SfeMct23hivuH21dDEreBMLRDhv6n6zeVKNHTLnR6fvqbCcIAnZ_nsgfBf41xa7RBQIcVRwDFlq2kJKxYaW_YCGqLg7J_4PM5UIjvV6svKtai4Ou3w6sf4lK88jB9oHKLDe6e7APjVoRGfYCnllWex_A9DY86F97ml4X8wZ80HbujwkDh4bW1zOReG_5wwi_c2HKaYUhpn5nuWPqDTPENmYTGyPMW-VulzxHMEi-_PB2diM_HwYoabSX94olFl0Y7We_KYRE19fAQVS1lBd4bYAVJ-lJZAU_rfew2z1r8S9sSpBCgrS3EC3ZdGJZcynUpYdLjHebhEGvc77As6p2r-HF0=&xkcb=SoAP6_M3-ypYKwAVtz0LbzkdCdPP&camk=nUmJqO2E8riwz6yZAQ9iow==&p=0&fvj=0&vjs=3
24/07/2024,Customer Service Associate,Customer Service / Technical Support Representative (Remote),Concentrix,,Posted 14 days ago,,https://ca.indeed.com/rc/clk?jk=68797b2e4f057827&bb=4I3RnZ12FzVUx00bbEqRlgHBvzsFJd8vw1sxLMgwXsyp1gGJ1My7S1R1o3hkeQOd0pyZXqyAGRAG9ArdmS8CyCaizPIKqxTv7h1pJj1r9YYI2ohgNpjesQ%3D%3D&xkcb=SoBP67M3-ypYKwAVtz0KbzkdCdPP&fccid=773041d0d31c442a&vjs=3
24/07/2024,Customer Service Associate,Customer Service / Technical Support Representative (On-Site),Concentrix,"Hamilton, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfEUPYXw0LdueN7IxfiXmKnG2eWUG6Mty7tb9vZwqJ3_Vzx8EATkA2qpdB3sW9hsHS9oj_so8Kmcd8GpFM2Fy28ZeP_qZca32d39CCPDfvewtwUVbHuFQI9XK4NppAR0rD6LSkG-_4MsrDRaxTCAdnwAAhSXRA6GWO5aWuAaSOByZXeftWYwsjNau2RYW8eW5D3HYo_og-r1yesp0Pi26CV6ARLzkrJik4y-_gCX3fnkM64Aig_EqWHJmni2XbT8THNqA1d-3mXaUKZndKoKaZpEw-41uRzYNu5W6dp4WDJUDz-NW88v3Opz5gda8nmj6xFXjRe8uPhzqC147WibvzZ4kSOm_PFNSuZZoBRKl3Xr5PEqTQIVAsP4Ntu8hmoT1tjJhbsjgj4UBzwbVVtGSnVY_JbduiWsuVyr5A2baXOznknW-3sBhioBTlt0INqOLdkc3BHmhtF10W1_lb3QEyXMkjdcbrYyxerO0OtnQPkGWRJokUEm9ai6oZ_1Ri9RspTI4gP0iGCtF4vucpDsZmW96zhO2DTAbXc2-BxvqaKJuBqInuYAWZM9Uur1a4L31Y1bAwsz5k_csiZ4frlnML7JJxfgzD0UARuDX8ciDizX61AyZ2wk0yuH3hCJ7sl4Dve_JRDdj6GvMlAtZSIVMKUpM3MMism5TBA1B7IlCAuTYQZ86YptYEQA11xqW7fQ4RQwNVFMTjcn6bFi0QdS9Xy-hW_8ZqxVMZtbEz5vPuUqrHBl033zUvT1Fnctt4R5ORyiZXmP16kDuwBqyqyvWvn3uqn-wc5dPF55WsJGKy6h-fvPaaggO5GabFGneVZDgJ7IjhZw0yidL0YpZgqepo9ih529NRI6w4kbxIGR8tDRfqlV5qfUzO_76syO1fVF3toq14n5vNnZQNIx1NiqX0lIwULNBHmB54SRUNVINKtWk_pn-kc9mbpKGdxUFR9-H-YTF_Zg6XIxCRQaaBO0EjwUHMWY430RwFwkjCiIL9xVRhO7wSiW_NtMPp3w6htGnm81OFARxLJOYsRj_9AG52&xkcb=SoAm6_M3-ypYKwAVtz0JbzkdCdPP&camk=nUmJqO2E8rhHRD5CC5clmQ==&p=2&fvj=0&vjs=3
24/07/2024,Customer Service Associate,Customer Service Assistant,TCA Consulting Group,,Active 2 days ago,$19.84–$21.30 an hour,https://ca.indeed.com/rc/clk?jk=288a18af09486ac5&bb=4I3RnZ12FzVUx00bbEqRltgmP1BT28qnntlH2My65Fa8Q1Mz5ZAXc1n00QN6TLchYKcUqoeQHJ8pVz7J9dFZJEQcwTJYqslIZgASZQEcY8GTEG7x12QX2YXh-jAX1HGW&xkcb=SoBm67M3-ypYKwAVtz0IbzkdCdPP&fccid=43a402575786124f&cmp=TCA-Consulting-Group&ti=Customer+Service+Representative&vjs=3
24/07/2024,Customer Service Associate,Customer Service Representative,Uline,"Cambridge, ON",Posted 21 days ago,"$72,000–$80,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDbZjquYff3OBLiuHf7Jk4iY6SCl7e6tu1SFP6DM42u9lQ-TqcMUGRI-Ph-B5ZVBjvkUw096MUWrFxiTbHAu0cdNTrwByWLbUe7tC0V6WaNTBMLliYCBhE3Uxrj-446IDk_4X3vbWeiwYjAjqO662suYZ9TsKSYHA2yO062PwNN9FpbBat9HnsOb6Mw4xX1ozs3pKu6JVP9CcMHlqQDwe2qghSvG4xfl-oSnVuXu9yzBRHzT0K0WJ1kc8KKqgaVneOICkHIP2RvQjutUQ4Gm1ADjs-potB8OXQ7agIqL0FW670uPPfwHVCtSb2YxBZxpWp-8DvaHUyKh2hDV3zBVNgpF2xWMu9bCeh9-VNTlVzTMMuF5atxZc_3tdXCNJG8dfmThHNgBBmu3G9kUeXyDkKk-K-rPTUhnQ1FRWW98oN3IiAuQ8qzeuO6oabnvfM6NX7VPIqztsoIka2qREK2gJ045pyHvM6ETLDt0ECqdaTXXORMA3S1PG432Bs3P-lVoZoqQyX0TbAJfDUJkI51ffokNVwAFSsbjjo4IhJNIVI5SJ4uk8JxlJolTMABqThcNqTupErvUBOlVylQXEXjgBl6FXIRkwN-exv6rqPi-tLHnUNSu5pfkDawhi_vDDICTFykuGbPBUI_FQXunSkx6MRby-a6xQGka_iC6hTykrbN29&xkcb=SoAc6_M3-ypYKwAVtz0PbzkdCdPP&camk=f416UQcMBpAkkWkOFUNghQ==&p=4&fvj=0&vjs=3
24/07/2024,Customer Service Associate,Part-time Customer Service Representative,Kōv Essentials,,Active 20 days ago,,https://ca.indeed.com/rc/clk?jk=0b2789fd6d35fbba&bb=4I3RnZ12FzVUx00bbEqRlpuF4IQYEQShtuHVqO8BUREn-u1EVfHGLkW4wPp1t11qSYPjbmmTwnfiNqOsjYEwph1e5aGR5pCfCiOdatFTiyaJzjpL0IkehgwUYi6YNh0g&xkcb=SoBc67M3-ypYKwAVtz0ObzkdCdPP&fccid=f019573c4b944e3b&cmp=K%25C5%258Dv-Essentials&ti=Customer+Service+Representative&vjs=3
24/07/2024,Customer Service Associate,Technical Support/Customer Service Representative (Accounting Software) On-Site,Concentrix,"Belleville, ON",Posted 30+ days ago,$19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfEUPYXw0LdueN7IxfiXmKnG2eWUG6Mty7tb9vZwqJ3_Vzx8EATkA283zFDaEKEAyHisaD55qY0oEkMFvvWiZ4A3x4RRR0TxCr5WVq3J7KZ0ge2fqJYxjKhOZBNeiNdL1XIqPievxLYn_BDOdFj3eQqZ2ZnMVBiLDYD816Qrr4lS0tlUE7sbHEOSoSLADaN1_rnNg_8ZoALd2KHodQ9oTR6U3DXjCp58JSlxp6_ow9NY9PcuJMCD0wOM9zCvgHRcro56Fp4C9K8fL4vohw0VbdsFV44iARxJgW8EM-S0rgFopiYId94XwBqWUNsHETPrbgEr8loxbdSeqzzrKFWzcG_aevatkaxxjhg3RVqImOJTrITVsNEO11bt0sJY6fL2doAzey-CwyR9F4y3ycQNqXRq06Bm_4_aKN7cZ7M-c7qDJgg78uTSgOoq96WW8um5LWVsIXyqwKgaYoL34CXwc3sS-gjYSd2XZmDUXytRWg6hrpkGK-FiBixzFqLdkMv8YtLFqJb6ZIN2g2p3ekjNZilCO5T1ACQxTASd67Uqo57WADtyyDYtfmIrer_l41ryMm8UZY9cI4jm-yryqxmmkd6uTB0pjMmnwAuUYfEqJnadO06ALSThmxBp5k8nlvhDfsQTlrR8WF112T6uXwoVWAE_yJP6F0-WjiE9kG84ZLlduTliGwLox7JDNEFD0zWezagHX73wp0i2hsdaK_ORkMFCwauARa0Dz2nnYsW0KkATKBV3Xq3WoKuMdQvUfmqe3sMYpEIrhbpsJ_pz8hJa9DqtAUYhJSdL7iEb7WtvhCzDbSPpnAMJIUVJodiEmkIg-A-CCGD5HZTeI6k_xg5bGaPlT7WwMmu4FOZgZuDxGQ-07XRucQPpYfq9os1Z6HdKQmG_DShhIvFbeqDY1DSgjQ6KrZQToloRLtRlkI8c1S2s-FeuTZ1ucSaXUZxbyPuYa2irAlN0OqaiK7aEdxd-xkiTzX-0n_Th_oTUvmwT7czbweLG1b1C4m9Cqz8Pqr2SawvROK0yPYxmNidhxX_MHirs9jhhNdzJ_RWQOC402pWIYxcElrVvtL&xkcb=SoA16_M3-ypYKwAVtz0NbzkdCdPP&camk=nUmJqO2E8riSiZ4UBjLqEg==&p=6&fvj=0&vjs=3
24/07/2024,Customer Service Associate,Customer Service Representative - Work from Home in Canada,TTEC,"Remote in Montréal, QC",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=7bf89bf9ae7ed6ac&bb=4I3RnZ12FzVUx00bbEqRltQw1K9GwlHg-2H2ImE840W3SdIj0iAnV77q9XQHMfDq1PEZx5Sp0CAk3Ahq9DynDXLL9w0IfIsgNnxs7sqW2axMei1AyjtkVE3-E0KFI0Du&xkcb=SoB167M3-ypYKwAVtz0MbzkdCdPP&fccid=4be57509a4916871&vjs=3
24/07/2024,Customer Service Associate,Bilingual Customer Service Representative (French),Uline,"Milton, ON",Posted 7 days ago,"$80,000–$90,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDZo2mXf0CFHL2aP49mrvJat9TlHTfN453GN5mdm-oF-eobX_3tA9u5NAP2Vpm7kd46TSLSRNL08kP6bLIksToG2pITPXdlFlZUBEwAJjrZt2JWpg2TCqVRDzRw2AJ--CnRh4kkDrrwbawoz3rH1UwF85DZUckOKtiALcYpAuZM0SxPz6JJ4cqxTYhVAK8HS45id1BspTOhGYaVuoptAUAsR0VbGOf8x5N87gGGneUr2uEzfXFgIxy0yPpH3RT6Z7fWNsMrmUDebtzkHzWn979ohmGyAEl8GrohBgtdcIo3usRb2PFpQJTCZBw2JSC4twoq7B06Z1d98ZyGuqQaXu53aFJtBU9H8D4ZrNdWcYCtB3htV916-c68oGs8Myncq8qwip56D7P5Z3kjH6IXTtGn6ANHdy4zxUdgiOoHAOeTos_ssZXvsReKjusjSYl8vzUtLz8HWJvveOzYEi3gNeSmXSSREghuxyavANaX_VrFQ0b8QwVsMKWUfJ5ARYBHYT8z5QckfX7dHI5ZqS3EyyPlKV7JiBd_Z0fnDwiHc3ofUVfogszFan1bYs7A78UKvt2RCrnEBcuPU_sWttWlDY4vH4Klohp0gVUkptC5D6NWeKOHHP6IMZFzwMRbXOCdy7hOUWJcX0X1lb156FgBjp5Q8BIdF_2GdvIHmc0iijqneQDpe9NEe2cvo=&xkcb=SoBo6_M3-ypYKwAVtz0DbzkdCdPP&camk=f416UQcMBpB9hVh664fm_Q==&p=8&fvj=0&vjs=3
24/07/2024,Customer Service Associate,Inbound Customer Service Representative,Bliss Realty Investors,,Active 5 days ago,From $20 an hour,https://ca.indeed.com/rc/clk?jk=bfb7c6c2802bac28&bb=4I3RnZ12FzVUx00bbEqRlvNE_vHJmCzivmQinKmgsRxv0eCDBvibrUwEcnycwT9O6AVEMs4nEkY2sqt370pr-W-PNR-IACDKx8iSYBUmse1_Xs5DeEfHqEADrT24zYW0&xkcb=SoAo67M3-ypYKwAVtz0CbzkdCdPP&fccid=b17d70a4838e6028&cmp=Bliss-Realty-Investors&ti=Inbound+Customer+Service+Representative&vjs=3
24/07/2024,Customer Service Associate,Customer Service / Technical Support Representative,Concentrix,Remote in Canada,Posted 14 days ago,,https://ca.indeed.com/rc/clk?jk=09d0c42f91798e11&bb=4I3RnZ12FzVUx00bbEqRlu_PIgrK8-Vm_OOPZLFQQqdD10PH60SDrEGZmCO_Ke7qc8Hcm6GzmHzJ2KbIYb-C1yJmnmaeXdOBKACAKqnO47UPgKZxMmLOhASKlHFTDbgC&xkcb=SoC167M3-ypYKwAVtz0BbzkdCdPP&fccid=773041d0d31c442a&vjs=3
24/07/2024,Customer Service Associate,Inbound Customer Service Representative ( Bilingual EN/FR - Required),Costco Wholesale Canada,"Nepean, ON",Active 2 days ago,From $19.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad7cla0soeP3gQEviLCYtyEEqZeJqDOgqSs6X_I8jNDNHiHDT5iU9pLjhJucalA5jXb8NUY23nF2Gv9phVMIDRepXaAn5oezVri7D9GyoTjWWPtED2uwuRjy5Nz2gxpeLsiv1B_Z40Nf8-I_3s9S9SsmIqGxNlrYEVqyrgk1toRTYHfnXL_TBcr5nnpA5AeBqJ29Zc9Il9Q3kRLHnAtVArAVCTwaw40wWbjm4Az_UGNvs0hA9TuK_jO1RVTHhw2mWTO7VYvAAQBtshyL8fAO-IuwSERbJnwmUxRyDGXZYUruMb7nTWD-A7X_a4NXpA0qNgBE6chzFNXHJe-t-RHRygavHvwS71gD_OWR5mwDktIdpQ8Tu3JmQUEe3N7ERsXk_GJ5GBu-vaeYk7kib-yA5xfmT46r_BGn8HFsfrysaQXYz3F9Eu3jh3PVfiVI6nX9eyhgcVZnPMfsjA79ipsXkQXItGARZ5OMspM1fL-0zzLonhmAypUFQumDwbfqT4A8gRzxkqfGQM95TGg4DrXeFT9eyidO3lijfj8q1ZCJHxBMEWRgYUbWZZeE0ESMbJypAs6JB8Y1KKcoBmURxdGvt4HridF8mp0GWaA0lmF10k7xKrIuSZ9F7P2gqf9tkjp5Ye4H1c4sY7QzM6Ecr-WtGHZ9quaM4phv3sr-J5UmNIJYE-Igswx3rGK7CfHn7hYAAu2YX6Yfza2Q==&xkcb=SoD16_M3-ypYKwAVtz0AbzkdCdPP&camk=4HOcmqOLYrD83ApZtglPFA==&p=11&fvj=1&vjs=3
