ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Customer Service Representative,CSR (Customer Service Representative),Budget Car Rentals,"Terrace, BC",Just posted,From $19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0de_XqQPhVh9odAe5rUIlDW97buaHktEuVfnNgk05JHg1xnfQ65o5pr7MUAlH1EjbI_2EfdHAn-rWj_IXyiepUl9gFB-KoePEW86KFbaTWZ02bmd8NVSYOBLvbE0e2WZHuhQfXi4abIsnHxGyiln5We6u--XDPNomgzu8AHiQzhHLUirpQO_2MFNEYvImeyc5xljWeL5pFQNj98kn5CgdG4fcJqIcIQOuk4jxSwFvmYeqYug3itqE6f5JMUrJl6zxjF5q5dymdvwOyuRBVLSt3F3a9iL3J4KpsQ95PTqapMxML7Kmx4rIlp-RBLyM3EwTWxfDONml-WUe0HDAQX2Shde39v9cbzwKN-fZV6Rft854f3XXaDkgl5hnJPvMeQ-SJOW5Z_SP6xKnYJWVWjI-PiGRt8Jz_BEnYrIelAydqNkDFw8Xqz3esf3OzIXqW3OqC1NjieYS0F26MlClB3BPcKBzapBZUSi-3o_QNAlKz70MvGb1DPltSSdt8uPcFWM0vZa8-trV0PntadfTy3N1zyHPz0BEwyiVAbC6__tVOu7zYcAFfrJZZgAGlwKTz5Hdd7D7Y3PeRNei65yksfh4onWK6TM5-98jwwJzVr-48OJT4QFtzwgtXjI2Hzkkabi_mt3VX0wPvk_87KML9RnTdoqEQY8IgmU8UcS5UOi5bcbrhYipYJ2Z&xkcb=SoAX6_M3-x7Zd8ydWh0LbzkdCdPP&camk=f416UQcMBpD2Ai8-qpO3mQ==&p=0&fvj=1&vjs=3
24/07/2024,Customer Service Representative,Member Service Representative,Westoba Credit Union Limited,"Killarney, MB",Just posted,$17.76–$21.75 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AQS_Rp5R2XFGDT7b3d2S2wWcaHq-AURWAn7EWM7RbDtQgL13Fa_nHNWB08uyuN6EhlutabbJBJdylLD_V7VU361zqV4_RT2VyKPMBzxNZqPRznYngTZxfvb2IDNmLB2anaLKm3ZYYtIVEo2KV957Id2zNiN_p8uXE5y9zMlf6eNFg5b855aV-cbpH0CBnZvg6VvAW2ZfPDPhLA8OnR38jK3cRQqkY5gZVQ4Tdik2FYh2TpkoiUjsSQXsZR4PNe1jJ2_Jk5nHetotRTXeps5ib1xNmllfXum6JU0Y8RF_HiP7dKi1U5czNWZM42TPzgXLiOHVibNztg5MOU8Opr3kkvyLJJJ-G27gG8TadSppixbJWuEHiwAJkn6znpuIIj06HFsnmtO7kS5n4YqG1zIA3dn3Nmt1JI66rreX09erXoVKQ9yp4kYV8pBfiRRAP4BZIxNaeZX8UGOC9_FlqUXCrarllV6UPq0XyzWsBufWocM6v-VDN6Vr_5y4ln7r9MkyL5GgWo6cvRL-MhvZC0RG1Y_D4L-SxdpuPshcIIrrzzJWj3rTByMoFuxGzhydLt2Ivr-pOTbGBPo8CZ8zvUnpAvpEw3GoM9UVaKFGRfu_5GPVpfb-bbXgcn_TzCcOjTbYwSEjQOjqnN3qpCINOtyD62UmFh55hAzo2yNp78CrvjveKv_aPUDwpOMe8lCboo5guPErUBgbPW4b4B54AdmH3pEWxe2x6hrU4aFt71rwapocQ4Y4vHMRGBOAppHlRT4Xl9nM4a-_eJZgt4VyidssuwpCBUL0pU93vs71C-xJtCe_aQIwETJLYuGBEa2DuWlJNJeYEi-wevFyMQvkx46vthQLYICSKx9ByGOjvUAWxQH8ZUzeKc6a0r-T_A8aobSAENSBCsjflMLwYKc-ju_6pLxuayrOF005g=&xkcb=SoCj6_M3-x7Zd8ydWh0KbzkdCdPP&camk=aSqGVPs8WEko8CO98XUENw==&p=1&fvj=0&vjs=3
24/07/2024,Customer Service Representative,Call/Chat Customer Service Representative,TELUS International,"Montréal, QC",Posted 30+ days ago,"$42,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASGRjV6jHaJrJgvD6pHK_u_pdnjoX5TfpqQYTEyv8RZVBIvPHcuTWBUyrabp2BUGsFDHMn3IDrIbXawqY8YGl-wyQsv6JiaR-O0IjjYx2Vk-jEhTcHKk0aasAlnS3-zSCqqEYAb7LDdo4OeAjKFtLPgTjnZKGZ5ag-y_iME7PpKS6HsvTv1I3xtmDG_yMEaAWBqESWWl3sN24B7r0oLc3HFK2ZJGnAqVR3RV6zn1bKi-QQlSFrDkTBwYmDUCfmmqVOofekVjn9gqvRic5LGSukGSljEPuLU1k5rnA74rWveOBtEwRJcVAFxZpu4bNVnuoYx0XCdcnrhl8fmp9pLSgDMdDNXVudwUg4WeYZHoufFM-HQmcYIfJf-hTsvnqgBW84FnLblKicf6n4F-F_f-AWxw2SX9qxyCI3Sd3gaa4tPw84HifOV0h4R3SLaE1fgoc_vyUCLvdptuSCoAPhYz9Mz-4mxw9lwuQY9auJotquQrvfAPBJcVyExohM1ahvUuNzsu58zWzzkaYmrMnGIELJ8nxlwWHtU9fbFzxDSACazlFJ_wSKhDj2OctFc9RKqroNyF7_630QqhRWpPijsyuObButj3seHyl0VKgPqBD4qYFR_tU_1RkpuQWsoSEjmrQmTtcKFjJwqVioJwwF1lM8GlhPaUlKdSITyX1gIhCIXNYpJ96tkNwLBoFz3e8MAk8=&xkcb=SoA-6_M3-x7Zd8ydWh0JbzkdCdPP&camk=nUmJqO2E8riwz6yZAQ9iow==&p=2&fvj=0&vjs=3
24/07/2024,Customer Service Representative,Customer Service Representative,Uline,"Cambridge, ON",Posted 20 days ago,"$72,000–$80,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDbZjquYff3OBLiuHf7Jk4iY6SCl7e6tu1SFP6DM42u9lQ-TqcMUGRI-Ph-B5ZVBjvkUw096MUWrFxiTbHAu0cdNTrwByWLbUe7tC0V6WaNTBWPW6QVJVbkyTJq5yxWot8DXaMEk4MvWeHkYHugleEnDHC-og3LOKrS_ab--0L8FAb96qk9auQyFoAUvIfIMNiUBEGPlw128A3R9YNzrKLRS5yo7ALPFyKQ_SIDpaEroD94jzEQ6VAA3uBin629OBA4lpJOmj3XbJatIfoohOJmXlJmoicriulPslzqeLuWFk6Jvugb_FK8UVUDQb0j0KOqap9zpRtd7gjWr7NWd0FPUkEsQWQJbyd1IWPK8vAZd1GiG7bl30gmZcKSBu_Kw6t_eWVJqRd82ME-20mzozVYgDBHcqF3US-VhV9iA80_YJOu4XRwBis2D1KCwPTWd7-noHGAEnZYtyl1UByK1B8qLk5zDAhQu3hJDxLrJZ5e33Zic5p8fBFpKWSErEOAwehGNuajMcqdhzYWmXrjOvQ_d6jU_sCwxz9IKTS9yKDogl0ouQySE9cfJdr7z06YJLGqNVIgWAzFvGQ-SbNGkYob2OGWhAQRwU3Xxn-14-DJEu10QQRtC5LIC8qz8Z9_UbVFvfrkxQoTLdlPx-pn9JfbZIzyLWgOIWHaAhbqvnbEoKlORgPAYE4Hs=&xkcb=SoCK6_M3-x7Zd8ydWh0IbzkdCdPP&camk=f416UQcMBpAkkWkOFUNghQ==&p=3&fvj=0&vjs=3
24/07/2024,Customer Service Representative,Inbound Customer Service Representative,Bliss Realty Investors,,Posted 6 days ago,From $20 an hour,https://ca.indeed.com/rc/clk?jk=bfb7c6c2802bac28&bb=sasuPow-CFUOYZuTvAWiKmaR26HoQMzchqCoseP8Vk5YJMQDyPdO5O-L144WWrnpccgCMhJkHolqCEdvDfG29yAOiLPDMRc9SA4NNCOGmZbxpgbkDkY5LpXYMvEed_PU&xkcb=SoDw67M3-x7Zd8ydWh0PbzkdCdPP&fccid=b17d70a4838e6028&cmp=Bliss-Realty-Investors&ti=Inbound+Customer+Service+Representative&vjs=3
24/07/2024,Customer Service Representative,Customer Service Technical Representative,Groupe Tornatech,"Hybrid work in Laval, QC",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A21BPzikzQOGxKwY-6U1kscBH02j9YCU1YxzUtc9005seE4xovdhoO7jJTkKACvkOME7dFf79IW1JBHZsnhQVs-mrSth264qSqf5_42fs4BsYpWDuj_x_2xSwaTBuEOQLnfN47mES48cDZW2_LdqYedK2G2LZWMmj1136d4qkDY0BE3zBUXF4HZKA5sas5Hza9ogAyporSkQClyMDvdk7e3sB4DDlE8_8iVp8lojc4fsyREaodGWjdWf76niG77329Cz6bvN7wwwIBl4sbs6dLGzEwJueFwXzUhroynmX7zMfpBaWz_qBqj_OnBmofiusjTbY5YhdbEWeP6p0BlEcVLipaasrJefkYX4GJzgScTOiQgNbmzoXZIX4vw6sFyf8AR0Azs1yLi2hB4Lc_DssQcQNVhsgXt3osWUtwutEAIcbZWuamFQuXPfwLSdaCuZH5CBdIVdklWjlC0CDp_za1iq-U5fKyVGZybhiK0H3ZAr2kb7gvkjPOhcJy8USYUza9yt4Tq6Ea_IBRr-xaGZ4f1TaXjQS_V8iLBtMQCXccKscrFcr3YD1b1VlE66NzOXn5GEgxJksp_dEJk0jhHk89vnVbjzIdsaaGC1iq5TGApN8rPy2aS9IquOEiBDERTlkdwjzGBFbFlQf4ygu-lNyN5UF8LhCMRA1nSGF445yNt9hSugBNS0DQQPaOh0xOSp1soPG5VHBLFvNBP3B6GbFdPcTPhUWDHyKSSr9tzCfDhdYVvc6xugrpw_TIsRnvuB_K4It6GkCQdvR6e8rgNTX2&xkcb=SoCw6_M3-x7Zd8ydWh0ObzkdCdPP&camk=nUmJqO2E8rj_Dac3DZT_zw==&p=5&fvj=0&vjs=3
24/07/2024,Customer Service Representative,Bilingual Customer Service Representative (French),Uline,"Cambridge, ON",Posted 6 days ago,"$80,000–$90,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDZo2mXf0CFHL2aP49mrvJat9TlHTfN453AbOy4yGm8krJfPuKrfAqHF_LV1jjYBaaR1qIq5YtXYZXCBdoAsWaCCn-6qb0PW8C0gEEx8nTILQjrozmBTjoPXDjtwK_b4Q7bVIW4ly_1yzdoGDw1jR_wXeiTeBqa9WSom1F32IEUBPIzlUAAIYaBhoLvMvPQT9E9UAmQMdaaIYOMTluNTNOg6xHeR6kqw1lMD5FXd-o1Jy09WpnKOcKEuN2eTMrbj0t1la40hfkb74nojBAWzU1HF1UwU-1Y-WJmRPjpk8SqTv39Ui-do6Xb-Cwt6GSMOf9FT3w0sDUmTRxXtPbsIhRnbMqwUQ-wAxNNkpDCbonzDMalNUW8PmWTSN_oEdShl5sjMUHhuwQtmNO6Ud-1uWJMgrX0dNCRe-8jJCZkTLQKiQLNndCatTpW4UOF_eyr51h8VsSgMI6Qr-RWzB4li-zCGzq8NmoFlEqKZZtGOHujaMMdAYME2iZBYQB2Z5nCq7d7NaWNBTugxeOIil-u8mq86FOUDhVFOHBD3F-1jhS9LA2E9WN-9O5CLocRII0J4rxJ0CAnb7rtzoa50ooJ1mku7cz7PIt5Y_RLVByFdEVgfYiFzHjoekHSrmpH6rFZ3kNE43lBeIPbm0rOCKPfs24485lm3IY2LtezRzh7lwGMXfkoW83HCLN55jzTyhboz23g==&xkcb=SoAt6_M3-x7Zd8ydWh0NbzkdCdPP&camk=f416UQcMBpB9hVh664fm_Q==&p=6&fvj=0&vjs=3
24/07/2024,Customer Service Representative,Part-time Customer Service Representative,Kōv Essentials,,Posted 19 days ago,,https://ca.indeed.com/rc/clk?jk=0b2789fd6d35fbba&bb=sasuPow-CFUOYZuTvAWiKumSnWu-NI1n8qVkOkd3knVZvgs4fjx92U33VkzxhoKsx9kteRRyxYeJian-xbULNihj5yebYMaf9BukC3DtQaLUZLdI88bp5xOv6Yjs1MPd&xkcb=SoBt67M3-x7Zd8ydWh0MbzkdCdPP&fccid=f019573c4b944e3b&cmp=K%25C5%258Dv-Essentials&ti=Customer+Service+Representative&vjs=3
24/07/2024,Customer Service Representative,Remote Customer Service Specialist,GE Appliances,,Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=7854d34da79ab88d&bb=sasuPow-CFUOYZuTvAWiKrIIgA6qvVzHIZT3RWSb_VgA7jC_v59FYfYkEIBL2ULQ4EeuDDxTvZvF8aTucs58szRpBImmChyV1LQznKVmxR63t7sUuh7fmMHk_I52uf0D&xkcb=SoCE67M3-x7Zd8ydWh0DbzkdCdPP&fccid=2e18bac1ff1b0c56&cmp=MC-Commercial-Inc.&ti=Customer+Service+Representative&vjs=3
24/07/2024,Customer Service Representative,Customer Service Representative - Work from Home in Canada,TTEC,"Remote in Montréal, QC",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=7bf89bf9ae7ed6ac&bb=sasuPow-CFUOYZuTvAWiKutqCafEQKSXDCqsgZXLQN2VZxlu4JX1BqwcdweJsmcHepXjodatwiZ-NAQD7JSuGpnXMm9eWL2TdOYNIBwmNAXEsKnouh60Z9I-m76YMD84&xkcb=SoAw67M3-x7Zd8ydWh0CbzkdCdPP&fccid=4be57509a4916871&vjs=3
