ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Customer Success Manager,Customer Success Onboarding Manager,Explorer Software Inc.,,Active 5 days ago,"$90,000–$110,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A4AqAQjzxpxBOiLm6l5T6wNUyK5lITpsyuHrtmPFU6F4nX1ZjKZIjOgp9hD105r3AdvALMDFtrSnUZyBmmQ_T-WWOgU3LGFazY2xJX3CL1x5SPjVaMjw7G1FsFIBaaZjbUD7hNNXd3HZ4vEAVegETk3zwKklJa-LvlSmExzZxV-GUdByynPTlPALIAOkZjNmR3pYnKQb6uNkD5uQ0XHlo898Sos6KmJGyOWPsYrsnpyxa59-y1n4e-VKTGcKCOqFH5BBL8chwX396Y7x48SBiFi2YEVFHT5u9GGLZ6pHk0d7yLgjPn5FsRVZPC8wn4Opjf2hwFLlwprCUJVXs-wxBXuACSxyC-U9tQEiwTWrwWRbkO8oxiHC2WLaA9N063ubavPGrVKwE7ngCehxCq10esjM3A7_rnFZH7GkqM5lsYZzJN4ooUiNpRPsHUxUoGEltiU8DzvzDz61e00sx_Zc0HiZ6Z2pCXJ1atTf4fAYD0Nv-X1ujCqi3A2ulQ9T9fT2elFsKZNGx1C4z1RZPMjG5Fj_iN6I3GHowFkdHhHpB9nmYDDkmcmaw6jNxnlTeYoWZYJaLccFzgN28Q1BEXmiL-yux2KGXstT4eOEj9iaI12e0kpBnzsI_xRPBI3keM3mb4JmTr3H40OFvUSEZMv7qrLOYukEAOhzo6Un2hBS19q5XEeTRgu59Q&xkcb=SoCe6_M3-yRwvxSQNB0NbzkdCdPP&camk=nUmJqO2E8rghMrXTpld2RA==&p=0&fvj=1&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,Zerotek,"Remote in Ottawa, ON",Active 4 days ago,"$75,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwW0okW17IL5fw1OPWs_vK7qCcG7urPzUJdlTqvidQiFOkys9Km9hdlH-6lpAlt9Ji1GoriR2iLfI18ivVHeJgcAAn6nyUUOBEyeomxH4rkBcTCIfPwOykTMioILzkKwZhDSLmGKsE6dOlAIcEsVmOjA1eu6_okJkzdYrGIk3NKcAfnSqFv-0w4W4pKd8CVUhKBP3cVHn_SaaENpTZIenaQjxtTr_6dnINNqkXbDz2hXHQXngOoBmTtfXy0fo7G5r6IcNFaVPij0OyuUTGe3ziNHup1L7Saqo7moHT0e5m2lrIrY8oF5bbm79YoNelTB8koDLvTLZDXcx1vJzXBOcSaw2gFV_bZH_cR32dvDPS1KsOKNE6zBw7hHvZloHu0Q5NEkZd0oKFRjij4PK8S0QCSJQ743GJT7nGit2MksCFFfmLEZ77yu3RrpHJaKShaaUuPeAROwqlM6JvTL9-JP02tb0JbrFsGZwwKsT736j3xNyy7PaodEpB-Qzd1AJa8LycJtpL41U5VBxpY3rj9JGpC_pbcWirHaLQf-5TzJftE2I7nbql9VbyZj8jSdQ1_wFeSJbZ7V-NU15cpTxIpwoD6v3Ax3uGyg67WEzgyQYeP3YTFdjC3cRN6olv1t5OzpGSdnwNaYFeOOeK7NR34uufbK8hfaRtRiGw1nBaMNNb8mZjgMO_fBnHAFoLEdjG_WnUWrIAtM08Xw==&xkcb=SoAq6_M3-yRwvxSQNB0MbzkdCdPP&camk=nUmJqO2E8rifM5ejf-q80w==&p=1&fvj=0&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,Devsinc,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=7575f8400e11c1a3&bb=iAvufWC4af2chLphDlQkDAkHhl5R1EdsqZh-CNa0zxzE2He0V9tEOw4TZqLJ77waXO55ljqYdc19H3wHXcjznvHUOZSpP5iUAL97cRVZP4ej-RmdODt0NeRAywd8L0VP&xkcb=SoA367M3-yRwvxSQNB0DbzkdCdPP&fccid=f12c628263596116&cmp=Devsinc&ti=Customer+Success+Manager&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,"Snappy Kraken, Inc.",,Posted 5 days ago,"$45,000–$55,000 a year",https://ca.indeed.com/rc/clk?jk=6afa25d8153326b2&bb=iAvufWC4af2chLphDlQkDOHBbL05fY1NnYTYdxr6ioKmyvhMer9JPwcR9wltVPVpGNkZq3toGhILTaZrgdFLULPAAo1qGCv5qAERZJ9cbYgJKX2n4DjfaX1klkWZzSWw&xkcb=SoCD67M3-yRwvxSQNB0CbzkdCdPP&fccid=20953b5d3ab5160a&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,RevUp Dental,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=1cad73eaa42f47d7&bb=iAvufWC4af2chLphDlQkDCctuPfhV-Go7BbIVLAMuF0CLt86LYpgZo-5b4s9M-H4j3TUGn6VOwzX3jZfQyK0bjXFglcove9cKlTPKWWpohqJs672kcvtd9qT10TQJses&xkcb=SoAe67M3-yRwvxSQNB0BbzkdCdPP&fccid=280570f1fdd55d5b&cmp=RevUp-Dental&ti=Customer+Success+Manager&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager (Intermediate or Senior),Spare Labs,,Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=59740704aa20e0d0&bb=iAvufWC4af2chLphDlQkDHncRBx6qMRam4-Pf_u_Dz3gPFeZVkNi3ECVXP5TQTLsbw8CEM73uEwIfhrXf3VlKy-6kBic1F-6tci0X1UJOCFclnfNTm5gO48bpfHdYoor&xkcb=SoCq67M3-yRwvxSQNB0AbzkdCdPP&fccid=c8e02dd8108c2c3a&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,Expiration Reminder,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=75d83efa2debaa9c&bb=iAvufWC4af2chLphDlQkDNoMNfIZ5MDU9y6SlXx49rTQXWaxr9W52CdNMUp23GBoTFJNUGhR9__FhDCnoqdYwNpx8OTcwWA5wurjyqaU_o0zEsvpDCbHRQFG52W8mcU_&xkcb=SoAk67M3-yRwvxSQNB0HbzkdCdPP&fccid=1fe360d01ff6e660&vjs=3
24/07/2024,Customer Success Manager,Senior Customer Success Manager - 100% Remote,"ABC Financial Services, Inc.",Remote in Ontario,Posted 5 days ago,"$59,000–$76,000 a year",https://ca.indeed.com/rc/clk?jk=4bc9f0747d91c354&bb=iAvufWC4af2chLphDlQkDBm_f8MrVuHlRyMJev_Al36gBHq-JzWLnhj9bHtsa4uBn4atjoH17dBA-S7bs1fCJK6eBBZrv6oLTUOgI7HR39AwLzSpMyaFQPe7pjn9sDYx&xkcb=SoCQ67M3-yRwvxSQNB0GbzkdCdPP&fccid=56eabbf04743f334&vjs=3
24/07/2024,Customer Success Manager,Enterprise Customer Success Manager,Leap Tools,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=5d4be4ef5e3810c6&bb=iAvufWC4af2chLphDlQkDIaVfP1ywl6nk6V1LxASalxh_zGOVzwIczzn-yYsnnRNpoVThw3hXCEs6OBSDgJN16ly_YRLv3wZAf6_VVniYuJlIXFx9LOKgDsFfqkc58Hy&xkcb=SoAN67M3-yRwvxSQNB0FbzkdCdPP&fccid=ed9b2429ae95038d&vjs=3
24/07/2024,Customer Success Manager,"Manager, Customer Success - Select",Samsara,"Remote in Vancouver, BC",Just posted,"$144,500–$187,000 a year",https://ca.indeed.com/rc/clk?jk=673ff0d05f9be827&bb=iAvufWC4af2chLphDlQkDEbs0EQdsNlcJmlTqcI63jaHwCJtDcUwCwefn_Wd7-EA264WriudcYrQyCNxpJLXNzO19eTe9AMzj2yR__8ZdTSdwwT9UZ8niktqR4st9lz_&xkcb=SoC567M3-yRwvxSQNB0EbzkdCdPP&fccid=4a9c3fc37e5f1a80&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,Milk Moovement,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=dc94314f76ef3119&bb=iAvufWC4af2chLphDlQkDJCoQHDSQdmxXBeeg-Tmx5zCfO_-2j3szAvw7iH5rti25VyTMrc0pxx_2tKXDl9bEaelSXT4-XQderxqTxDdNSCwvvxD3kldXKYj5er-stIy&xkcb=SoCe67M3-yRwvxSQNB0bbzkdCdPP&fccid=cb955058e380453a&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,"Routeware, Inc",Canada,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=4178a5f28605825a&bb=iAvufWC4af2chLphDlQkDNfFP8TMj-Dt-0r5bCKoyofKd6hdUTVDDqzbroojl6Q7Z5npx-otZjRARglh_2G3VlA6k70TR-5ns813ST3n5L-_IAyGKAuqrCgn7I7GHnmI&xkcb=SoAq67M3-yRwvxSQNB0abzkdCdPP&fccid=8de382f75abfcfb2&vjs=3
24/07/2024,Customer Success Manager,Senior Customer Success Manager (Workiva Carbon),Workiva,,Posted 21 days ago,,https://ca.indeed.com/rc/clk?jk=ee9e244364b99c59&bb=iAvufWC4af2chLphDlQkDNSGsr4OFQqBve3er0jpg8pKyoN73KIKoQ7dFygRhjvXgNJL7Do2xBjC39McheeUhStn0GyFWj7qUtMoyVzymXjMaYvs6lRa_WMEoDl2a5uZ&xkcb=SoC367M3-yRwvxSQNB0ZbzkdCdPP&fccid=c74820549fd8456b&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,riverside.fm,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=92a017fec20b67c9&bb=iAvufWC4af2chLphDlQkDBaLbbX15_ok6JxhMw9fMx8PxAnbcAKOCfiTI1uDyw8tSj3-8F0GgczKf-_3W64RRAmp--d05h54tlx3kmZZS9-PpB_UOTjNQAPissyYVAyu&xkcb=SoAD67M3-yRwvxSQNB0YbzkdCdPP&fccid=306310c29bf9447a&vjs=3
24/07/2024,Customer Success Manager,Strategic Customer Success Manager - Remote - Canada,Samsara,,Posted 14 days ago,,https://ca.indeed.com/rc/clk?jk=ac67d88479eacaa5&bb=iAvufWC4af2chLphDlQkDJCoQHDSQdmx_8wXUR12vvMddtgteK8yhKUQ1d16_Zr3_n5vpLaNB9x1DFZ8pR7My95GdzwfTxL-lsU0gwldKcBXK9no5WXqfKj1JGyyOuTc&xkcb=SoCN67M3-yRwvxSQNB0fbzkdCdPP&fccid=4a9c3fc37e5f1a80&vjs=3
24/07/2024,Customer Success Manager,Customer Success Manager,GC Partners,"Fridays, ON",Posted 15 days ago,,https://ca.indeed.com/rc/clk?jk=f43a80454642c840&bb=ea-99PCkJjly2ooZBb57RZSUW76HCRQCczwD7agphqhG78TGje87Trrr2NDmcGDEnA90o23fAxXYpPz2CRZ0VnFuTYIzNxYhU6tUlxmi7C_PgrkfXoWIZ_YT2VEzhAk_&xkcb=SoBA67M3-ySRSpAdVj0LbzkdCdPP&fccid=851cdbdfc12ecdfa&vjs=3
24/07/2024,Customer Success Manager,Enterprise Customer Success Manager (Canada),Orum,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=87f119af8a48b7b7&bb=ea-99PCkJjly2ooZBb57RbC5s5V1YA1vUVbuAsuNDiLZQPnlgYosa0Tw8jkdAKstayCIhTkAoMOYn-hbXcrumX7a9z3Iqso5sqpRXa5c05cy2qcUlxOzZ38ujIw6Atti&xkcb=SoD067M3-ySRSpAdVj0KbzkdCdPP&fccid=040b33a6ad4dc8e6&vjs=3
