ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Cybersecurity Analyst,Operations Analyst,Compugen Inc,"Richmond Hill, ON",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DR4GiK6CUKhkGG-NaBlbw_pIURb9Jhix8hN__aZXgF68yK75Ij4T_e_BrNeMX-crRp4wK3iPxmaD0rTTCI73k4aeP6b5KW2oWpF2V7MAC8cqxyTKe8xAmFNWGoboMO3jiASFbgyy_xPLAajmfIp362V9OjHi3tzgyLmWm9M0iQmAyqUucdl8mDcyLVDNL7eNMMlRi3lRkdT0rhBzMNhsyezg012FHbZo6kkxrTZYy5glm7aPu2A5zGAhsIJam3k20aQ7TkWPi_7Zkjl9Tk2KLDOS3BQ67ywrFNfIts7ycybCiJKwL1at3NBuM3190fpnei8fY9xc3J8t2I7lM--Moyb1eNf4pYUAusbZkBXSTu8dTBKXOZFkCloPjnXYz11MoERY_aYYAJY8piddeLaAnpTFQcTdq2L-JS20d1SfRuEFB7s9vVK4ws0O7S7UVwVhjqM8e56rqjPRku0kDPZnxp-ws8PCgLmDvF8T6uaQ_6CN5AnB-6uywHi66RVmmSmq1ki3ASTOV5Cxx3pPFlmtYPQqOzTtRXLKO7lou5vC43qy4O2x-3nW9kFaR5SfsiuCN-_KOWhCE8zpxR1fYLVW6li3L-uCo0NdW_nmPejybYblr_miKCZQf9vZLxz3Ibcz3DdJRcowJk2cAwvvfrgtNAQQTduXuA_x6I5wKpo0Lay75DKqPAZNTIs7fq-jQALsDlf2nhfcJYwTMxRNO7KtfW7cBjPnNa38M=&xkcb=SoDR6_M3-x0pLtAVtz0LbzkdCdPP&camk=f416UQcMBpAQvRrrMARA7w==&p=0&fvj=0&vjs=3
24/07/2024,Cybersecurity Analyst,Infrastructure Analyst,Canadian Nuclear Laboratories,"Hybrid work in Chalk River, ON",Active 2 days ago,"Up to $105,700 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtF9__IurQHAWWGvmlOeUgFNWOb7hijxSoFIbj3Qg2S0OYCRlvIa1M1_U2Ol-smXKT5atNy1Pz9FzPMG4R_KgeUvHtA-XirICJU-SQtK2p4-oYf6_6aY37YL5IZWm_7OO9ddKGMSk5UERqLVwVSDYoBaAuSUZNEtimGdTUCeM-r_NCJrHfuESxc0baWE2XGd3V7hWXNChPP84wc34H_PnYvjpUg9wC9DQRQ9H0eKAHqdco6kWM5KSQNLncN7fd3RkNMxNzOL4Maii6nvHlaIBbhOQzHiQrisgd7Xa8M8W9jHFDJNVGYP7_XA5a03Pj7SXwgvTYnOqDCnxNhQxr-ngmYgKyy8E5j2iptWxd5a56dgziDqZpK6Mi9KehguHhr5RPbUF8DIKEgt8jLAPk31mV60xYGNu_IShzvzUkgoAJM00nkOTnJCtXEvEoMDnNGb_F4Pc8wf4Kjt9aJqlKCgeUAWdirKhl8gks1q7oagFWWd900iL6WJ2KndZbcKUFlpGttURsj4uY8L5HpsDtc7haZJmUwzJ4cPI2QTUd_hJNoOWokU52YJc3SwS0pbRgACgoGaOiW0ZVP9dGifrgX1rHFdYeEfyD4Ags2bs8a2NefcuwyQcZNkkbekd6hB5-daulTvC2YJPNuiDyvlU_OVBMFmAYkkm4T0P9z49PH-9Dko0GcMI50J2pFQoUNGPT0wZvIvdNXyPK9g==&xkcb=SoBl6_M3-x0pLtAVtz0KbzkdCdPP&camk=nUmJqO2E8rhMwkP9yL6Ciw==&p=1&fvj=1&vjs=3
24/07/2024,Cybersecurity Analyst,IT Systems Analyst,Applied Pharmaceutical Innovation,"Edmonton, AB",Active 7 days ago,"$65,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AS5WgcKGg0TzmslmnwduuIEsuzSkjsCJxxS4krWW4rFdy6hWK2iE0dRPq2L_Zn_YxMIIctQOS06U3Ij-dsiLaVDlFsYg1zojjSABkS9bHH8lMXYae2S4xMKSnD5h6yXCl6gj4LVc8tK9MqPDfYkIZTxrRKZMWYqD-O2YDxK4A_Sga1rm7H4WULcEBCwTqOPvzHSGZhCymb-umsImb0ZRXcnX_cnAnWhUbQt9_FQOs-rvlqQXYEvFsx4dGumPFaXhHdYTk4KZSRCElHR1BbM5agUcOiOF1E9DchB3RmLmxp6RMgk4cPmp1lHprESIUwfeNkZhWv1w9tyvt2OcWWfgAvZ0HLF5RGebR_0CS4je6bmJgcMySwwwEekmgLtkR32M6lFS0o8qFB5W8CLPxqc8na42lOfB0uV_5e58CFuyVp_skmqD_yS1flDgXzrBvsuKyEeUDGX8C6wvy8mAQinFlsnlyko6QPjTxqfCkk8lCkyAqpOrkpMylypjcKQO8ahYl9JhtUTt4DMGHFMszs4ZnFNNohaqqmmUzFOzg9s1YmCLt4wcnWNcxK5tzIBLREfQiMOaarddX-AJxAzDSEanSndJMkXvKCRZv3fwHM6L0TKMHkvp9rgWBvH7sDk5RcuQZS4j0wNzHX5uncZyA7Kf_V&xkcb=SoD46_M3-x0pLtAVtz0JbzkdCdPP&camk=nUmJqO2E8rirOgqsuBVpMQ==&p=2&fvj=1&vjs=3
24/07/2024,Cybersecurity Analyst,"IT Security Analyst, Web/Networks",Procom,Remote in Ontario,Posted 1 day ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-ldpN3v4HL8bbSPokbP8qOJdfjBROoUWyIKRzielKXsjIHIJPh3FWEL4SvXwgiz5i-Y4YXt-ZPMiB6-pUdX_Tt0VCX-JyeZQE6ksqYq4aZpXSZOhCNLD89xvsfV_44qsXJNMaXw17Cg4xcj6l-NFdSj0DCcu6Kr3s-AQ2920wasUYe2xhnVBU-Gwo-3iEALExOmSLlXWz0jlS8XvXmgohLpkOKIIRc8uUGRwNNTpfg3Ko-Yq7UwOkOgnr-A8oHFQjqkyREMiQ7_8NDuO-tukIFVMH9hOPKYgSQlX8BR4VO7fF-fyRsiJNuwujdUflfN0eEf8nlfnhNtu6DtxkU4L9IfaKPT2sX1u7Fv3GJL_tbhmhV9RKbX6ohf37UxeuYvOUoyboSYTg7vZm9_HzSfcyJBVteEPeG1nr_qAfOKJKsDyn6NRnB2o139nrCw9ZiTP3UNwYTD-Lxf4IFiTvfxiJRq1RSfx7c7UzERc1MeubMEK2NTZQAvpY7k9XdnyKYjhtDrJ9xQOFXtpS4UXGV3iKGKa6hiiC4EpM1A3aa_sHW_CNMmt4qzF0G4mGkjnDuWJkNwU21QCBs-j8LsUF4iknHV-WjIT15t6GzaRbNp4Y687gr5F_c7O-v8wWxRD0ARGWCkZtKTCIlk9eNWUOFdw0FWA1S3gR-gHLXjQ_D1szrOJviYHdAP2rgYS8wQzTDAwWC82T4flDmB4qM4iZrQfPP2jAGARnBMwwWgl5sY4g4kUMK7z3drx0xTXgO1ZepPGSQfuGap1wlGsgPaJJoEjDwOqcZZhD8t67-yyRtzZ9oeidQIG3CKfKtrjzRRDn3gFCDvegWhlIKJSCSnyRKaz6cQ=&xkcb=SoBM6_M3-x0pLtAVtz0IbzkdCdPP&camk=H-lBaXMUocKk2jabPDrdJw==&p=3&fvj=0&vjs=3
24/07/2024,Cybersecurity Analyst,Information Security Analyst,Simon Fraser University,"Burnaby, BC",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=52e922bcc7ca7880&bb=JIUpMAiHK0n2OVN73bRUTLxTJkb9kfUaVLjAx2eWAllwDJpyDcr81_1V7a2mSU-QUUtoNBjVQef6MNu05k8qEG_7tnxUb1kW7ivlckpdzS-kKOGSb1Znovdc3euD5QWI&xkcb=SoA267M3-x0pLtAVtz0PbzkdCdPP&fccid=fc23f15253f7bf0c&vjs=3
24/07/2024,Cybersecurity Analyst,Chief Application Analyst,National Bank of Canada,"Montréal, QC",Just posted,,https://ca.indeed.com/rc/clk?jk=917916dfdafc570a&bb=JIUpMAiHK0n2OVN73bRUTEcsPBnaHVqT7lOfyH4Rop1N1ybG1AZKhO7L0exBRE1VdH1WXnY7pC1w6XNBvcVOhyAb0D4f5lQ5iSSGGqAERWg7kgDBuKl48w%3D%3D&xkcb=SoCC67M3-x0pLtAVtz0ObzkdCdPP&fccid=bb42ba28e525eb20&vjs=3
24/07/2024,Cybersecurity Analyst,Cybersecurity Analyst,OTT Financial Group,"Toronto, ON",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=38b5f58702e2a568&bb=JIUpMAiHK0n2OVN73bRUTJZP5Gj76dDEnxQFAkpsfv_nojTUtWoJUutCIsv5uJIHx8UjEbIV1bNh88GFAYKWcNHrbFfSL8MyjSfnibESWaNdBofFEycYAFEDOnfCBdXe&xkcb=SoAf67M3-x0pLtAVtz0NbzkdCdPP&fccid=77fa6bbeb386b666&vjs=3
24/07/2024,Cybersecurity Analyst,Analyste cybersécurité - SOC,Précicom Technologies inc.,,Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRl7OM_yQd8LJzH9D9_srgWMiHaXkJak82HJAL8-2hLN51VHtq73Gb_2WRGgiYJzIkqBB_ovh19mh5Zbc7DUqW17K_WeXDu2Qwj2yRbqcfaWEwn3_uJA7cmOpT8lOfiylch62_icw59qPLcVVZ7YjXgqNti4f6Yg3fzgWOoR1_YV8KvdwbSMtINgkvgAOYOPDLDLmO1W912Oi6BzGJdfnZ8R_pzR03UZXIPQBVUaDXK880Zd37UhkWOp7vX54eXUpYMjE7mMCRz87FLVnJ4IfgXXowzS8LFUg76DjjxkwKa6JIBmGHSWRHYuRTb-j5jXLE1htM2vvuKhhHxcqiVHAZN92erqijY88JqW_1hpBcEKuuQ2gYRq2xzTUfPJ9fOg4HKonGLGY-52FppJzL0ZP7PqR2ljWCMYvlA3UcDdXjyGMbbPMaGlSUZwT6aYe194g0JLte6CQVxvvyIV2_vS23rFbBe4xKDVA2fCd8LIZmol_yXWmr5pAkIP_7uyncA3D9kXkCZZJUVKv601VEYX4K0CGa8wjVkO9QKGeuISq3G0IGQBhN1atMyK-8vmBZyKh1IiAcFBf_Iiim17QOax8Zb7T6iGGqM7foY4rrBxHCCCpRJbvXrFNxu7ln5o-xdTQk-kilWxdSeHiVDLNuFF2rCMwQtB-RWqD8RgjVp4r0xA==&xkcb=SoBf6_M3-x0pLtAVtz0MbzkdCdPP&camk=4HOcmqOLYrCiE3J_agN1Lw==&p=7&fvj=1&vjs=3
24/07/2024,Cybersecurity Analyst,Analyst,CDW,,Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=1a5f561e48ecdc74&bb=JIUpMAiHK0n2OVN73bRUTMKHYEj-eQf3lDhSWCKxsuDkFxWvybiGHwe6xwjHgjZGi6s477RDtXCkB9yu-Nr8iG9o-uwYN4FOo2YGncVYoZD-F0pWQjHBKQ%3D%3D&xkcb=SoBC67M3-x0pLtAVtz0DbzkdCdPP&fccid=d9cf78b5cbf8e15d&vjs=3
24/07/2024,Cybersecurity Analyst,Enterprise Infrastructure Analyst-SysAdmin,Canadian Cancer Society,"Hybrid work in Vancouver, BC",Just posted,"$70,000–$85,000 a year",https://ca.indeed.com/rc/clk?jk=091de48ae45b3cac&bb=JIUpMAiHK0n2OVN73bRUTGRYC8Q6VfsDwElWljrPQQu7nZnANX7_PV-MHIrUDo5TqUPhCVPUC8tE1JDonlBJd5IYIId2SxX8-knpNEMcRZpYOrBV9frJhI2ndnYH3NDW&xkcb=SoD267M3-x0pLtAVtz0CbzkdCdPP&fccid=974ebe3b72d35fea&vjs=3
