ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Data Entry Clerk,Receptionist/Administrative Assistant,Quesnel Hearing Centre,"Quesnel, BC",Posted 1 day ago,$22–$24 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Akkc910zGm3au9ifYdm46C-72U12c7B8bpInWnhI73vr9iPMKsriZAfl5s_FqaV6KziPfecz5pQEXyRIWcgsDMaOldvyPFAfjrWELYUlVasuA7Af8eXxYmdGTtfCCZaL19yvJ4B8een6Io3XUQnPExkyQxOTBASj6nH5AkMeaIHkU5hWxvdTRJW7OPikz8zLqyujVJpxJ4zbzzFycMCQIPoLY_NLoJcE8VgtWo43p0T7gPmVb2qHsBwsCSSKoRuhRx04bQY9V3EhXyEUy5I-JfZU4fXlrFCtZqreolTkR7-Bsdt-cShzEGGsAM5zCGx1howJI1XR5pZ3P7xHZCVpyeHmkPS7C9hZpBu_4tFDYH5tGJBQ9mtJ3IF-hIZxg8zKz8HnTkTLw_9GFaJlZjU88smSMDQl6lrO01I1FW0ezJjcSEpNWj5EWhLItyAlZWOMyG8mPErgsV4LdIFoFOWUYDppS-huRRGzqYGkg9dFrT7_AajLx-gWo8U52wPNW_MDW2qe6FrD1Dz_R50UCUg4xk5X8mg7Wcp5wx_ueGGj7ArVvcotq8hHazfte2IP2N0WKrHf0ThosQZ6Q9__w0Nf-w_d4bXDYiV3KJJjnfT2ln8OkZ9GMOjdmMSM6KTtEWzxe335GUU8IXxAXq2v9bJL2kLu83z3_h7qs=&xkcb=SoCc6_M3-x5YTRysJh0LbzkdCdPP&camk=nUmJqO2E8rjkgYYE4nndjw==&p=0&fvj=1&vjs=3
24/07/2024,Data Entry Clerk,Data Entry Clerk,Octacom Limited,"Richmond Hill, ON",Posted 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoeE8uwbPMgtGo1I0nQN0oRdwzmMHbGTIFzo7KTVEHWATBbuRZX6tuEG21x9lEErhpGss2A-hFVavxxCSEJ7UQeLK7TzUkbgDs7rYrWd9fj-dgPgTytaUsfvxJeKBHhwUjdal48RE9e7KWyZodiH1zgY7FH6NsoE79cP2bKK7rwc8CQFAjjN0IJoTfjqqPHZA4YzJZ2kVgdKSEY1_lHUXCVcdfqabi1MzdZ-xmbzoCOHaauiFJuMz_GxiqnNYkPMgiFrI5HMYIogOOe1PUTM6EAN0vUsWsEfWGg6BWKTbSkgq4sWIdwYDqebA43v1NsQ-gqlQ2w3sJguKOlaDFuba2giPOhI0AMpnxQBaJA7ZTPgghR_YCIbCr84h2rXh1GYsXkySNfecmYG2w5bVhYaarIVRh25bynVwReAoMF6BdmuH7aSrJhMWzHjrVdd6vycw9elzQ4vRnBTQel62EQPTO6Kty-y56x9xbi5GpoadAGVYMnjM4sY58oC9vWkmK29IxFg4e-jo_QqANRpCQujLLMB_wPLWFF4D0MuODqeeCe90XuoUpWs6FzjxRk2GpF5J8QGrpepBk6EH-HMfYv3TEEBsJsvDOPh-XFyo3ilkd5-a6m4OrQznK7ADCwtKP5r0=&xkcb=SoAo6_M3-x5YTRysJh0KbzkdCdPP&camk=nUmJqO2E8rhc5bi0BVbOYg==&p=1&fvj=1&vjs=3
24/07/2024,Data Entry Clerk,data entry clerk,Flywings Immigration Consultancy Inc.,"Edmonton, AB",Just posted,$24.50 an hour,https://ca.indeed.com/rc/clk?jk=a38b7a81e6142c81&bb=aMsLBQxGvaqYGWbIQB60EHjdo5HagBNNBvZ3l0KIN8Z80E9texA4CCwOMM7H1SZwTxlQdM_Xob48yp-7tZChbMGFE2GrjiJKuWWJeNzS41vITtjw0J1tLg%3D%3D&xkcb=SoBB67M3-x5YTRysJh0JbzkdCdPP&fccid=9507c9213257750a&vjs=3
24/07/2024,Data Entry Clerk,Accounting Administrative Assistant/Receptionist -specializing in timesheet data entry & AP,Multiseal Group of Companies,"North York, ON",Posted 18 days ago,"$1,000 a week",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7anhHv5Fky-iXbC9afJAdw32v1uIJcMQ7Ag4m_EoJ61ooSL4r2_Z_np0dtVuoOO1z7pzbvnwG0nmFFirkeMhQFsTp8978I1XGvVkwR0gdafBVCOyykLwrz-fhZoHhIZfJ7gAyCPmczaLvwach5YK9rZlhigrqqMwoTX7H5l3aSl141C-xz2YYoQV0VOOlUtVYyC8wQ19Zk8ucHvVCE3a24tWMli9HIhxKpXCYQfJPyz7wXgWjl9zAxVg09RHCCx370oVEHk9G_Pftr029Rli_IDy2e64MTyqp-fvjhkEQrxlhYlxae6DBpSo6cGnvYCBUcNhNVzUcPutYZLaoez7uNQVgiyI5wEh4HsbsWLPNlKn0tvdnsXrWewZXiLEkxH4zYDQxFYaeu3-ym4LaetiS89f-x9IyCblPR7oQ__C_21H28otFxgvnkWZJAVagX3cxBhWjHGULF0Nyv4v8CVKtVSYqP2_KOr3ohMC8F5mVZiaCnjRISWmrD7f7JXdG7W-yMSHJuMBfd7Mn1DRMVAcpPEn_M-FxojWYopBj1BLtEBvx3h1XlKdgfgivfXLlrDVAavOGeabDkGbH9iVaJKZRddT6VXu7ctQBuBe__vLAwbmorAcKFFTj-Kg_pmNRGhFaT7ZEqvuhQ_MtR3Et0vYckwakExZkD48Qp7WgGmvjOQ9aZb0camBLIIAMh3q7K0ErgTCOq3eeXLwwsDF5B6696MXCdxVAyIy3myKAO3wQPw==&xkcb=SoAB6_M3-x5YTRysJh0IbzkdCdPP&camk=nUmJqO2E8rgWArZ80SaPPg==&p=3&fvj=1&vjs=3
24/07/2024,Data Entry Clerk,Data Entry Clerk,International Orthotic Labs,"Calgary, AB",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=f618f65d00caa4c9&bb=aMsLBQxGvaqYGWbIQB60EHnlyU5mBPI0m-6QO77qZ3mAh1fLMkA3CxrrStseswk9PKPT_A7nWGID8W4ejGUSpogEqcuN8xS5cGG_A-9T05dF9yiLQXYHko6ZwV7WAeSw&xkcb=SoB767M3-x5YTRysJh0PbzkdCdPP&fccid=abf5ae636a12f37e&cmp=INTERNATIONAL-ORTHOTIC-LABS&ti=Data+Entry+Clerk&vjs=3
24/07/2024,Data Entry Clerk,Patient Registration Clerk | Cashier,Interior Health Authority,"Kamloops, BC",Just posted,$27.10 an hour,https://ca.indeed.com/rc/clk?jk=011d30d1f4f84ccd&bb=aMsLBQxGvaqYGWbIQB60ECtU3eOTNGS-kQiftX-A2-_ukOmBwmgNW9WWYENsbaMd_auzG48RyYoSkOaTvU6ZjW7W61MRipFUylpHB1-RYmWrBekHXgx-Jt102wLctzxD&xkcb=SoDP67M3-x5YTRysJh0ObzkdCdPP&fccid=819aaf068231c6d3&vjs=3
24/07/2024,Data Entry Clerk,JUNIOR DOCUMENT CONTROLLER / DATA ENTRY CLERK,Lanmark,"Calgary, AB",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=9b938eebef7d5b23&bb=aMsLBQxGvaqYGWbIQB60ECUo-ttCd9Q-uEaCv_ANyq4zclBMHiwPoajyyUsuHN30QObzww7P7dfrFl_qD0w9vCbnSThaH5EDfera09XlwO-T0-HGLlDvK04_r-T2WNby&xkcb=SoBS67M3-x5YTRysJh0NbzkdCdPP&fccid=8d5c88db20559fc6&vjs=3
24/07/2024,Data Entry Clerk,data entry clerk,Neutral Immigration Services Inc.,"Edmonton, AB",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=2b2a782ec152508b&bb=aMsLBQxGvaqYGWbIQB60ELPWPwAkuonO0_1gwdlMUe_gOhtcVRziS7kAXupvDRoIHFO-pt-rNm5hQNOjcG2qztOS7LxEyakZTjV7bU1EaIBvJMbHefqt5w%3D%3D&xkcb=SoDm67M3-x5YTRysJh0MbzkdCdPP&fccid=66b098a9a09fa253&vjs=3
24/07/2024,Data Entry Clerk,Data Entry / Document Clerk,"Max Natural Foods, Inc - ""MaxFrut""","Vancouver, BC",Posted 9 days ago,,https://ca.indeed.com/rc/clk?jk=b49c26aa221741a6&bb=aMsLBQxGvaqYGWbIQB60EJEZ7SvdR8kkd1ktiY8b1HlPlfnz3D8_jxkTPUmjptHjyEt1CXb4azyIYMqbbGJEzkef-pdcjWo3UlTiLG-CMz0orM0WPiA-SVDDLTWqTkLe&xkcb=SoAP67M3-x5YTRysJh0DbzkdCdPP&fccid=cbd790ce7fd4ae48&cmp=Max-Natural-Foods%2C-Inc---%2522MaxFrut%2522&ti=Data+Entry+Clerk&vjs=3
24/07/2024,Data Entry Clerk,Warehouse Data Entry Clerks - AM & PM Shifts,ITS Staffing Solutions Inc.,"Calgary, AB",Posted 15 days ago,$19.70–$20.45 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhgQWeVwf-uxjzwuu60pn09mMUadOELxjwo3r9Cnc3xDY5kQvHwgH5u8rnLdkSjR2e1o4yVkvWeFuipvYmLJQy8mdN4XLHhYsIMgrkBHN5X1F3wek5WWqfEyT__8z4UKjIQb4xlCcJT4dVIzKWpzDyRI_vtH3iNstlFPwQH7U0JzVlVs7-QX1RLb6N-Iyh729yohndKMH51uv3_CFKkSuSCN_eZ9DBZB8MtqAATWdhzMVgsZACzK8RSNsCg_YohHU6GwFmo5YOIYTqyYVDRgSN46oI-yjidlwD_rjhATq98jeGXi_q85wuFsdBfLlvACWeu9CeFr0w65tPuS8Dt2maPjjQIOR0crkjhZzQEsJtJKOyELNv6lqOlt0j4nP74cQugC8_izuuqj9ecfbvJlWvWzoViovFWVv6LGM4tVOMDxXg35m4Q3u6YOo6_cWNiZtybNRfk_mSbFaTj87itAANpTmeCq-LhvfpmqnnlkoM-fKEsKocqp2KDjmMB6_L5B8frCx2Apz2mo3TzR-W04zlrP0JQ_BqCfvwmIsMBiRy6s1KVlt1oped5MmT4UeulJi7xxFfUWONKfL7gBMqq4mZ6hDydD_M4X5AY4e0jM1mqRZHNyrtC3s0ao1XtZV2qW0cu4fvAqHyRHnoAEFyv_5JHY6yHfrWxrM=&xkcb=SoBP6_M3-x5YTRysJh0CbzkdCdPP&camk=nUmJqO2E8rhimIzDwcU84w==&p=9&fvj=1&vjs=3
