ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Data Scientist,Data Scientist,Government of Saskatchewan,"Regina, SK",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=b98d9506cca89ac4&bb=w868O8z515C_E4WlNsQgCqofw3PMyClnP7YcnAchNus9wkIABon2oHBwol3lpmLl6J4bzRg4kavwp3Q2n5HWBN7N0KWX5JkUmLEUjVe-LlpxM3eMf4fexQ%3D%3D&xkcb=SoD667M3-x0l6kAdVz0LbzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Data Scientist,Data Scientist,BMO Financial Group,"Toronto, ON",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=621021f76570f75d&bb=w868O8z515C_E4WlNsQgCtzf3eRtJ4GYRH-prQiu7aMAgA8RN_ScP5zD79BqfHiTusQV1nd_ERAMjCWXiUFDs0jHzd5vUHM41btnsh49QXwKfaV2WYlYud56dNjKW17j&xkcb=SoBO67M3-x0l6kAdVz0KbzkdCdPP&fccid=3a429036b3725efa&vjs=3
24/07/2024,Data Scientist,Data Scientist,The Home Depot Canada,"Toronto, ON",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=65e23eb4f42200fc&bb=w868O8z515C_E4WlNsQgCk6whubMi8wKhVbHm5jeHNzTsXuFuNSa19fb1IT7KOPAuzGwtg1dx_BuaST-vyCchMVCLjjCf3ITnKRhxv8Eh35vuHpk-RORHqCH9mMs3005&xkcb=SoDT67M3-x0l6kAdVz0JbzkdCdPP&fccid=5e437a856d0ab1ba&vjs=3
24/07/2024,Data Scientist,Data Science Intern,Node App,,Active 11 days ago,,https://ca.indeed.com/rc/clk?jk=98247a10a495e612&bb=w868O8z515C_E4WlNsQgCndT-Fd8Trom4zyX0kOmXeqtRGRGzoqMQ3O4AUWz8ySK50CH_43F9bT4eJ6jxV7UyBXzWQYsvEpR6RNQTMAX6WPZoCCrSDcSTye3q6S7W7It&xkcb=SoBn67M3-x0l6kAdVz0IbzkdCdPP&fccid=395ab95c58edd861&cmp=Node-App&ti=Data+Science+Intern&vjs=3
24/07/2024,Data Scientist,Intern Associate Business Data Scientist,Kinaxis Inc.,,Posted 3 days ago,,https://ca.indeed.com/rc/clk?jk=2e47ebadaa85dd8c&bb=w868O8z515C_E4WlNsQgCpnFmsuPTb6TpT9jpvYH4KApqI-oLU15zBVhl1jp49-RHSH-6SrN_TUm6VAtH42aDjyPx5eyLMiJzetThp7sjbPgnwESkkPS1PX2_np-2vV4&xkcb=SoDp67M3-x0l6kAdVz0PbzkdCdPP&fccid=2b42faad345a6de3&vjs=3
24/07/2024,Data Scientist,Social Data Scientist,Government of Alberta,"Edmonton, AB",Just posted,"$80,290–$105,784 a year",https://ca.indeed.com/rc/clk?jk=61e77fc9c9b1b6cd&bb=w868O8z515C_E4WlNsQgCrCWelpFOCdRpTB8kCj1cZuS4g-leBfp5W6kzRO9pog7eblK4gZZvFCJ89xA5zgyi91b3qkdClvWFXMlk-HSFx2LquMz5efrg9_BGURTGDxS&xkcb=SoBd67M3-x0l6kAdVz0ObzkdCdPP&fccid=06eb55e7689c0bc2&vjs=3
24/07/2024,Data Scientist,Data Scientist,Tekshapers Inc,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=506572e0862401e4&bb=w868O8z515C_E4WlNsQgCowkSdgoOUxuan11V2LbiAeKV6PsLxVdMa_MwPgNai18t0k5NSbO7YIQ_UYcePm7pY_8kA5Sy4riP3AGsNDs1m-IWlZjaAZHu-tHiCODDhPT&xkcb=SoDA67M3-x0l6kAdVz0NbzkdCdPP&fccid=d664fc7f6e9e5c48&cmp=Tekshapers-Inc&ti=Data+Scientist&vjs=3
24/07/2024,Data Scientist,Data Scientist,Priceline.com,"Hybrid work in Toronto, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=d94db8aded1c53d9&bb=w868O8z515C_E4WlNsQgChIiJviSbnaP-iVKD7CTBqVFA3-SwI6B1KjKJKBrfh0fRjyWeDWJO2p3vRNmzGTNhESXDnKm8QGaj_uj64La-uznn7Bvgqi7Hw%3D%3D&xkcb=SoB067M3-x0l6kAdVz0MbzkdCdPP&fccid=e3c82d82eecba317&vjs=3
24/07/2024,Data Scientist,data scientist,Access Pacific Enterprises LTD.,"Richmond, BC",Posted 3 days ago,,https://ca.indeed.com/rc/clk?jk=d5304c95c097dec8&bb=w868O8z515C_E4WlNsQgCrT73Mvb1haG5V_imoJCf5mptT5ZAVDWtglVIa4YDbLGJOEA4tEgZ8y701L7xy0bqjEc2s3AULDo5RXPdXQM1vsTEp0GRdokYQ%3D%3D&xkcb=SoCd67M3-x0l6kAdVz0DbzkdCdPP&fccid=5bd98756d1de2eb9&vjs=3
24/07/2024,Data Scientist,Data Scientist,Sobeys,"Hybrid work in Mississauga, ON",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=d79b2a30f2f5987f&bb=w868O8z515C_E4WlNsQgCuxRVvuIL41Ub46-NlKJ8B64Ys23n3KZeYp_GsXOKxY0DIK9ykQbGxZxBdp3947nMascwvbiZIG15dGxEkgNwk6CVjkNujHpX4b_AhGJ7vVX&xkcb=SoAp67M3-x0l6kAdVz0CbzkdCdPP&fccid=2b30af762655480b&vjs=3
24/07/2024,Data Scientist,Data Scientist,NXP Semiconductors,"Chandler, QC",Just posted,,https://ca.indeed.com/rc/clk?jk=c65b6ff2d3193fbb&bb=w868O8z515C_E4WlNsQgCmTySf1gIKMv1kL3clwfaeLMYNZc3Z9wHnLS2_OIvtmVE2jns5X96QhoMt1QvzrOw_gLwTHO4p7p9kbC4HssEMx2-7TmsDNpSw%3D%3D&xkcb=SoC067M3-x0l6kAdVz0BbzkdCdPP&fccid=d113f5fdf3e1cb7b&vjs=3
