ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Database Administrator,SQL Database Administrator,Cloudvital Technologies,"Hybrid work in Montréal, QC",Just posted,"Up to $100,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AgXdqspAa-OFPTpDM0CBV0hdvL8ZPrcAqhBzHrL42U_iXpdranko_0KMgi-MDrQqIGBBuFWywJRpy8n2csWmbUSbMeVqURkGv_LusM5ICwZZJVl4UET6G5K1_DenAyzto685-s_8YJKbldBH08SWJDdDO7C3xHBra0YU57bRYYrsMEuZRSidqDvNTCqFXRGrjlGPnq8qgW_DBx7E5y6lSh51cIDR8_uk0pXfNVeo4U_e9_jxptIEG7PpeMLfBCZVQbngAMKYN9vH3j7_sYGkNK3hlw3IDRq_Z2PXJa3gyUeaqxMPZNYVFtnlX_md9rwdHqL8YOqhwGENx0PEAas49xphm8Bnf1RIvzrunvpdB-lFBxkYOBcxm7F5NP6EttT2DGr77AcSXPI1b9inMGhuMPPDMLPDvNB4ZcomTbAI9DwtWjbQKtB_bqKB9VEKdP1PBVl_Mb14tSIPnTTQkb1-1SOJR-4yVoTXjC7Tb6NyNJxkMrJfi0Ve0qreN7bgrcyR6YPacaaL-cLtCq3uKz7iEvqRdW8xKKmRqIwNDqSi_b8WO8G0CrbPpHE54Dj5u0ZE4DvVozR4WqBwgnoPPrlA2tZo26XmjCDgXjwT1-kPydV3uyeObEYMz1GOVagMbPxzPhgzuGqjeaWmJgffykPLuXS_G_VtqcS3w=&xkcb=SoAd6_M3-xziFVyKMR0LbzkdCdPP&camk=nUmJqO2E8rikg5AOhEg4TQ==&p=0&fvj=1&vjs=3
24/07/2024,Database Administrator,DATABASE ADMINISTRATOR,Manitoba Hydro,"Hybrid work in Winnipeg, MB",Just posted,"$53,425.06–$71,594.90 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBIpnJDgngOoCiYzvDM1jRJrA-gRR0O6VS0eLB_CifWNzKcVY0RJKIbBC6r3DchK0IALi5HuKkMz4mUdNf9sO7hBe6VFKpQq9wMGe9MMMe6moqPIvVp54SG_KZfIhpl6Fg1iZ6YgEua46z_TZfJq89p4m1KgAVOFN3VIivhW3tmJcuV1DEGCKcOaKG5QfA-m1ErGEJpn9a9w1AI_XHioGzHlR1oRygcL43fyh3akaf5seN41kkw4pdtpswNSWYYn3HpexgJlchtWNmuUOBAfBB54vKekULaL8rTqOS7G1_BRq417X0JPI1k_6-FRccV2RCA3r4oHei6s95rqpyC2A9izpsilmOxDPFgHTIDeoqFFJhLHpxy-RyKOO-8t8WzcMqGlyYyNnTF50Stu62QC_R94R_Mn0Pm1mNBHOKIgGjuk2Zr8OFtumXZlmgJSnMv5nipzfDIUcuVCLpfAeDzx2Z0BdM9FZuy4At6ftYaPzDSq97G4OhaWXpisAirfMHbqPU0r0K7FjX6EFt8Nik0zb8Ee7z--1we7iwwR9jTFvNA_0yh5Ekr_NMK22W_LQ1IYP_Com2eVbPgUmjbZcLyDDwtAhlGkyZ5A1MIk_wJx_rYztbjbEU2xc_HtclU0Zrz64zO4D1acHHE1olDlqVrYzh_oG6gd45hlL2NdCzeVPSmEZmzYyxOlBMMlg1kVWmjlfv0rX8UraGTCvJ73IsRzjydwV90WP1rHKVfKdssYEv_UtYPtBtz-sQuHvZJFLaL3-HWQ45L2Z9OqtPYbhpZbGmJELX62Or8E37PXY2aDQ5GgzarD9dJe49gMHtQwazP0J1pTtAe-8MqITEcYHbN8mg18LtKSPLePm6LvLe7FbTbP4_27dZyhU_6jdWrgZ-NRMxCQdAS1sKBYnXov4wDF9kUI8xbwGUyMElhPNaUgZWBg==&xkcb=SoCp6_M3-xziFVyKMR0KbzkdCdPP&camk=f416UQcMBpBsmRxKImFsVQ==&p=1&fvj=0&vjs=3
24/07/2024,Database Administrator,Database Developer / Database Administrator,D3 Security,"Vancouver, BC",Active 2 days ago,"$65,000–$100,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BvCuWiBIaNCSUz0Q4GXryJc0qOCu-q80plK5q8_zhxotOQRAgeDxdSbb1DvaO3ArGZXVTuXsFaRGXwCugGcFUzi81L562eUInhlb_QQeZSHDwU5Aaak-6EBIjoWGY0yQnX2B6kHsNeQeGHcczT3k8gRuaXrvxW5bFKOWReIaxkYFeBYmrg4m5TgRCdDOKr9cw4PwtJ0GNdOmg5iEJDkjSlWmNXPQw06lKFyFzsTEdRg1noi_sK87RZGoA0uv6JXto-Il4RZSjWFP3-c4j-AzWkxdpIVAGS2aCzDYZl_CR3TG1E4rtcfPwZjBmxKp-MSEvR4V4eQvMG0L467QjGZW_kiZfffxoA5Q4WEFXDdSanzGzfDHJFwNvmTDYIEpW08OBFp-B2HEQoOExhqe9cINRoEhGh_WApSFvDhOZVkZGR1uu2GYRzEnF_wHGU1TgLmlWm4kck-6ssvRxGxrFcvomOtKl2Q3VCQuF7j4LOgEa76us5IVFDPmJizShTasQEBJ-3UqgummRbhQUVWSOhm-tgJ2V6ST5jrDAQXgJVcdfJhJCCkfu-TJHZWk1FizptVASBG_b3M-All87mUSReSo9yf5IHPw8voeb0HiNEj7-JQq833AH7mUrhgwMYSZKCFSdeRJDn0NoNgT7RZixV2P39J5zSdUQhmeGbh8leRcm8zQ==&xkcb=SoA06_M3-xziFVyKMR0JbzkdCdPP&camk=H-lBaXMUocIbZUNL5yHVHA==&p=2&fvj=1&vjs=3
24/07/2024,Database Administrator,Database Administrator,Eaton,"Hybrid work in Brossard, QC",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=1aba6e130b9cb39d&bb=FbKJeBqevhXJrSYaeyV1ITH6N16Opg1woaiJzodd2BdK7uzCFXDCHCCVJRgcl16jmFb2dAaygc_QIg6NMDEVEwWV5SBJ6c1uMZxgcwcUhxjpkkmimu-uhw%3D%3D&xkcb=SoB067M3-xziFVyKMR0IbzkdCdPP&fccid=87f38351bd29de24&vjs=3
24/07/2024,Database Administrator,DBA (database administrator),BROKOU INC.,"Brossard, QC",Posted 4 days ago,$40–$45 an hour,https://ca.indeed.com/rc/clk?jk=629a6f9731a243c5&bb=FbKJeBqevhXJrSYaeyV1IRE4qXKAbne3P_fG4-RNOauxkUNkd00p-1PF4e3gYYYwdCI7mRuCdfPOeLG2mfO4OSJMIIoDbyU2rVwUvx2R4BJtV1JK-4A_1g%3D%3D&xkcb=SoD667M3-xziFVyKMR0PbzkdCdPP&fccid=5f1ac5c94378a07d&vjs=3
24/07/2024,Database Administrator,DBA (database administrator),Six side Logistics,"Mississauga, ON",Posted 2 days ago,$43 an hour,https://ca.indeed.com/rc/clk?jk=61b7425febaf3210&bb=FbKJeBqevhXJrSYaeyV1IaH_vydLYKk9DaBzKWoPxob1XuFNNgBu4dM0NhIhQ3ldeDvIDRF9DC3DzQzaJOXh8AHHtSWX-a0uihGypjYpv5rtvRgBDNhF4Q%3D%3D&xkcb=SoBn67M3-xziFUSKMR0LbzkdCdPP&fccid=fb4e26315a2edde0&vjs=3
24/07/2024,Database Administrator,Office Administrator and Inside Sales Representative,PULP SHRED,"Calgary, AB",Just posted,$18–$22 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC1eI30uXu6NSgEsGSOAOnr1Btd3h6P22ErDRDtJle0QzE3PDSUpsjmW_-nT1kybvxsKnJW9xeOVSTxM-THL662BkWIsmrLmsmPUR4J89PvUTLYFFyQZvALAY010bSbDrsercAf_ZERx2UQMz52BAyzHA3XepYoDK4INyEfetxr_hLzzDCtNkT9-bUHgDfYF5LrmrWmDMmmXDpS_jqyqBW9gqFZYPXgsCKu2luHC9k-qSCiCUucKrT-OMa-JQ07qiLgWRjBJTxKWlEz2zIGe-fkW0qyiQakE8pX99xDTly6yC-K-EHaJux223zFlzaWL2XIZltQOsVNsL8Di9A1t_i1VLA4vn4A_ic7j8UPreJ8fMPBY5_rtbIHRwOPAjoacSfWTJPrL8S6TG-moJ2ioTXlc05rjQK_Bwj-uEzdchDOFb2pmEhgeKvD8GZsZrl5iAl_5e-7qjM_uKUB7P88hP6lFtYYVOArtEIzrlkLyOSFmPs5lQlC845kHNPDY19uMOXw7Bs7HwbupdijBKyKbBF8Z479A6VV6o1T1jY6oU0U6lAY6WgZyw1EMPPd-LB94y61GDGxbCrwIq3tzvUQBu8YJtmHO3ugtPg812MNA174ivTp3KIGzhQo6PMJM3wqczcVy1KN6MgaqQGRKhdZK4e5Ui0RPm4_0H5tUsN-5bxqHD1AIaT5xSh&xkcb=SoAn6_M3-xziFUSKMR0KbzkdCdPP&camk=CPChkbYSGj867BV1IEADjA==&p=6&fvj=1&vjs=3
24/07/2024,Database Administrator,Development- Database Administrator,Axsium,Canada,Just posted,,https://ca.indeed.com/rc/clk?jk=78cd5515480f63f1&bb=FbKJeBqevhXJrSYaeyV1IaNpbk4N90CbQuRz8Yey0y04j8dVKhyMGLWSo5yPf1C4tGmnokDRQMewW1I6vsyA9oelQRhRKteWiyhOLtmb3hafGqAKWcvNvkb6El6t5FPm&xkcb=SoBO67M3-xziFUSKMR0JbzkdCdPP&fccid=4ac5bfcf971e0597&vjs=3
24/07/2024,Database Administrator,Senior Oracle Database Administrator,BMO Financial Group,"Toronto, ON",Posted 5 days ago,"$74,800–$138,600 a year",https://ca.indeed.com/rc/clk?jk=fe5770c8a5a6330a&bb=FbKJeBqevhXJrSYaeyV1IZ_14laDybpK9rIE0w4EEcm2Q5287hPSpaDLprGlhafhyqSmMlZxGWt_ixcuwPSPAajPFJrBPSUiNxkkj-PeyZ-_n56rkW55MA%3D%3D&xkcb=SoD667M3-xziFUSKMR0IbzkdCdPP&fccid=3a429036b3725efa&vjs=3
24/07/2024,Database Administrator,"Database Administrator - DB2, MongoDB",AstraNorth,"Hybrid work in Toronto, ON",Active 5 days ago,,https://ca.indeed.com/rc/clk?jk=eca4bcc26a587022&bb=FbKJeBqevhXJrSYaeyV1IWP7cGrDt56K_MhvoQJQMxXPrtoZxbGNLwoThUP04_pO_3aQthFTqxN5oFUw-j248saELhshkwNPhWjQ-VGQpYVvcZwzXC-5OwVvGyMxuueS&xkcb=SoB067M3-xziFUSKMR0PbzkdCdPP&fccid=8116154355837827&cmp=AstraNorth&ti=Database+Administrator&vjs=3
