ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Digital Marketing Specialist,INTERN : Social Media and Marketing Specialist,Verta Marketing,,Active 8 days ago,$17–$20 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCFMlMwytN-BuN-xYMnMgHA5DEVPT_6w0v-dpg4WsusXhRgWk8mP1n4Q28XmqibzR0fUYFi6aSjB3l_GLuaFp8SoxA--3DUSoPprVVeLTSNOGZVsyt3_dSo2VZZ9rGNcYoLQTiOAgprMV0_m5SEPvY1jj_yglTRLezQRbXccXAmo-Lf64Y68b-iUh5LW84UPZO0PDDrACmSoPoJjU9JTUpmCQqq78OasPLxqu0PItxxfEU1Oht6BeFM2jN9rv31TJ-jG3x5B6CRnZmQ7hDoRUW5VmrKCoWCbx9rgZ0VGF9aey_Ra1I3wuoULJktzzb6F9V7BHp98mUndc6VGBUDH_p7vfC84BpVQmYK8NF6h0UqInL16jbhgBV0ii65rhKQeCMlRNR8VMKcrK6NMk6jUDbqomwSG0Anjy2Nr3HJszDJAv1quPv53ZN2ZROyMMFjaIqNd5Q5kTVTkD-jMNMqA8PHa4Q7bo7qHgfK8lxC6SZBGwEfWsW2aZQxPe-y47E3y_dffYtumr1QmUvxli02zXucGvs-MgYfhM62bKnOzSgVvLbC3Bo460z53Ly2QL9tLIDGLm_kS1aUm8Vu2Gk-LLMWnU4Er_RjYf89yzluOA7KR3AkgpqmUb1Pl-NRczC-Exha5-pXjaL_oIn4Wser0-ZS-fIHUpinXpnSnQ9lA4ZTNPNSmXiLc64KoQQGi5xaZk8nRnypTJCww==&xkcb=SoAt6_M3-yPBdpSiqx0LbzkdCdPP&camk=nUmJqO2E8rizARGQ5mlAzw==&p=0&fvj=1&vjs=3
24/07/2024,Digital Marketing Specialist,Digital Marketing Specialist,IsoAcoustics Inc.,"Markham, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_Vej6E0qneSYtx3yxgd7ZKiEha-XXxG5NIj5zZCNIWtM_kgAn3rw0Abeo27t3GgRraCg1-oKDxA4H_JhPnGZGUu5p3zKaRTpWOXPRZ6eM7GXIMD7hYp6K-FSayg3bKnrxbfbzTaNJF1mydMPVx2sLAzswf0RG7WTkkfIf69y55-2EviFOKrOUDrdbAP6hfOzyRvYbm8RSBywmBco_ybLgwdTcLhO87C6Xzn7bYsPpPHHyox8m2HehHtNRA7vxZS2aXNyyDMbGfxILXnTQw-OcIMWNdwlJTPhdsek2FH0fnYGLV-1kIHrMlU6Xnly2uXVSB1bC8_Qd8sgq_SYwHLwyWYQshdghA20HvOI9sIDhWQQ8HHxBbM-pvbHHvvPoiHDlhf-h25ws5RgsX-tdoDlqbaKr4pz8OHM0O2wC-heEWJL5f1If_8CFjlSlbUKMrXJSnFiIAZ8_HB2qG14jVMRC5gg_ZJz2Q6ojmQm4Qnf8Ct_kB_pikMnEhg73Bo7ivcpkAcOclCYQuoSXtUVEzu_K57KMD9Lz3J4m-pmmQEvBlGaiaddTAX1VTEQafAJzTkjbsBszNd1yYGIEmblwQgI1gkuUqDSnvwbrC1hZaHod0ykJN4bSggflwPQxCeTX5hDbWJzeiZroRJenOQXdkhLstIx_c5n--cE=&xkcb=SoCZ6_M3-yPBdpSiqx0KbzkdCdPP&camk=nUmJqO2E8rhqB3a82PEo3g==&p=1&fvj=1&vjs=3
24/07/2024,Digital Marketing Specialist,Digital Marketing Specialist,The Rocca Sisters Team,"Burlington, ON",Active 2 days ago,"From $65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AqOi54GeEv841ajtwCPJjOBqBXbFIJ89A1FgClIJeZOhhCIjKiZrpI5pY3CrMAtZlbpAPWTz2_qKsHJz0mYh9YWdhWgpiQRfWAF2BCC3Bpl_zi5jb6HU4hOQg80wJ1VXeFd8sQsVv-5I_0T-2N_hCKJhTZ0BeboBqxPeHG2ny8C-Kku38PI5YGFpr6LjPK08bsybKqRfSy1oSHp0VqF5-FWc2W1xNQ6K7weDxjEmiZSHxq8Uofeq6UWzYFaZETNaDrtr6S2zHwJNxUf8Uy4Bj9fFvLPGyXv-qXPlpoicGH_XYTcCDtsr2htF2UhVv0TEBVodzDR2j0m2WB7aTN3YR23aTzqtMUQao-YkaiwuPhvugFXbpCF6KuFn3kVpJb8PxT5SssgUmSFavHpkRMgsIo2V5WdKzYQFzzhp7qiqgktMKVse8RStZZn4qXqDpOQq9CEMn4GhfpGkdJ7iw8yIG3xifQ4uMW5Zzsk2VAdUCw8pb-R6AtuKUGHSkx0JYqpPrS7lhbR1RyN5iipFOBmUUheuRAhZoU_AWvj5VK5dPz72E-wKG-i-g1-zIr90u1Z2CETsymGiXAwDvqnLtIj7sc9dZswC94oNo5GcGXIIyB4lP_M0HeQOUv14m8Fj5gsSjOnn9fbQ4HPauauuRYfjskwVrZa_qgNWY=&xkcb=SoAE6_M3-yPBdpSiqx0JbzkdCdPP&camk=4HOcmqOLYrCVssWg1AuVlQ==&p=2&fvj=1&vjs=3
24/07/2024,Digital Marketing Specialist,Client Success Specialist (Part-Time),Reach First,,Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=6ce2433010da19f2&bb=khmvN7-ICrcJbLl2Xph_PHBTbf-cLZlJwSgkIjvuHbGvzGl6Tk9bmkLmNJvIMxvolLmrSS2eXQ5No5PlWHIJ7PVpUYCkhqwwDQEwtE94i9AHkOnBYKuSk0tOHbJs4ANV&xkcb=SoBE67M3-yPBdpSiqx0IbzkdCdPP&fccid=11d2d1107700bade&cmp=Reach-First&ti=Customer+Success+Manager&vjs=3
24/07/2024,Digital Marketing Specialist,"Branding, Marketing & Social Media Specialist",Decor-Rest Furniture Ltd,"Woodbridge, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9m2kz0g_WP2XOBKABunyGKDikXaQyduBfsrFLO3I36_AfDeOgchBGpBVjhFp-CDTTqiueQNiNlq1wHK2VCAvelNb9b4L7aTkRjw7kEZU0TSEs-P9ecf4iitlem-AkV6iPJetcKR36OFhFRSeawuw1XbjvId53o_plsoKnQ-reuKFKcu-wFJRmUl1uTo-bdXtcLyLNa-jfu94N-Oho9CnT0Vr2vaJLMd86CyMEXY_reGlqgLf7_sGDeG76q9c48Ml7StUyQq_e0iag-tvfrVqJnNe_p5d5jJlInP8XKHsNPeYLETEdNWdOp0hbDUKQtSixhyae0Kv8CNw2ax_eL19v1-rB5ztXr_aNbkmhKoxgxtm0YYxhoMZUulW9CojF1FUCJSmX6Na9gOre7jMD5aKlrEJm5LAvQVCiDrLMNR13YMs_pHpiVk3dPHw4w4yiCkJ8_8SqC7f0je7JiNOfx29AbUhU8TKmbLlol-0vzJQIQLdZOS0o5bWjCNpKbxPSFz1epBCvNok3kHW10CTOwRJV-Dw_x-j-1JHyk7ftc4JZ37nlZRxfN-xIc6Ys0r7BBk8R8cKr6C3hSBKj1D_f-Yh-CeCtUKZPT44SyscpgfdQb7sAk4GaO3ELRuq5GoD45O7QH4QFc9XOGa6w5nrEjuWxpqgnDt5nmw8RW3ZpLbmQwemU3gYCLeEE&xkcb=SoA-6_M3-yPBdpSiqx0PbzkdCdPP&camk=H-lBaXMUocLi1xe6sv5FEw==&p=4&fvj=1&vjs=3
24/07/2024,Digital Marketing Specialist,Marketing & Design Specialist,Pravada Floors Inc,"Surrey, BC",Active 14 days ago,"$50,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHF6mHQyiZRCmGvgNw75ETntVA8ptNtGjgVMPSUbjOw7KljPuUxwX5Mt9EclmpwfGyvGffizIDdo2SKfqdK2MAk9_kvh37tLct6sqv4VwLiuei2xiZ_zT4nm8_kbe6pDDojINVWBSkv8cAF21WntWzrEcxW2e32dVUjU-EZcibXW9IjitB0Wy2VmN8qgfaOj5ZS4GITV02LC9zXJP5Wr4RaRgXxFdj_fCdZ2Eo0ikyHYYTkqedWBGI9sMPHRFaImvDeAVHIv6srlztxsPp_-1R3rdxOdXp7DQN3YcgB1YAVJ3HzgIo1-2AA5lLMZMflt_vfNPkvRUVjX0Khf3SI6VaFkm-DY7ovtkzgxPfsEP2EnJsdjjyusllpGT_jVDNuZozpAKR6sngP3WnfopfiIcU5HyFQteMj4JUga9b0xQ6vlR61-P6Vra22trrzDRxtO5blEDVHuXkMq2MK_XLgpwjziX6KS9pkeeob8Xc1YTkUofNHyQaa-2TXiJsBZmNVIGECEzybf54V7l1qslcsesk0lbpxpHyuidhv_W5Xoc0c85jOdgwINP4AwcWZfqAtTSrb5KPYmygEj7ZBGWQNPUy9D93zwbnZYAkEGu9Vl-6CyWAjtcs5aVWPDpJjIWEBTC1zAd9_4bb42uH7gxuCfz8cmuZbYvNmKs=&xkcb=SoCK6_M3-yPBdpSiqx0ObzkdCdPP&camk=H-lBaXMUocIdTR2uMHRyUw==&p=5&fvj=1&vjs=3
24/07/2024,Digital Marketing Specialist,digital marketing specialist,Glassroom inc.,"Toronto, ON",Just posted,$35–$46 an hour,https://ca.indeed.com/rc/clk?jk=8dea0120d4cbb626&bb=khmvN7-ICrcJbLl2Xph_PKkiIcx1Apomr4vhXcL2u12azp6Y48JAq_zlJjRq4iCCdAtyvwWTnQxRf-18XzrS1YKx1RFByiXVJiPlwJXRbeS3egB6ilQsxQ%3D%3D&xkcb=SoDj67M3-yPBdpSiqx0NbzkdCdPP&fccid=eb11bcbaf9811880&vjs=3
24/07/2024,Digital Marketing Specialist,Digital Marketing Specialist,Skynet & Kinetic Wireless,"Langley, BC",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=fabf44cb29f954f9&bb=khmvN7-ICrcJbLl2Xph_PDJtJMzrdG80Ag10H4wKZxBFr2A0ArJJhxmvGVohZgmYK8XfyxLFwE1l5SUv0saJtHzCC0OcsJ0n17of3hHfusvDTD35P383vLn1eikdG4jjzWBBZFtSc2Y%3D&xkcb=SoBX67M3-yPBdpSiqx0MbzkdCdPP&fccid=6114162d540e09ab&vjs=3
24/07/2024,Digital Marketing Specialist,Senior Digital Marketing Specialist,Rimkus Consulting Group Canada (formally known as:...,,Just posted,"$68,807–$74,241 a year",https://ca.indeed.com/rc/clk?jk=b7c03aad9dd82110&bb=khmvN7-ICrcJbLl2Xph_PAJkg8Ai6OznBQqe1Z30mLAZK-L2vdo8gqDP9IcJ7Jj0YCIv63SxrsRJolIkPHbraJ0VuVwYEuhHNPDDIRo5lVqcSK4TuuR6oDKjEunVzRLS8EetjXPhOrE%3D&xkcb=SoC-67M3-yPBdpSiqx0DbzkdCdPP&fccid=30616da47dbdc368&cmp=Rimkus-Consulting-Group-Canada&ti=Senior+Digital+Marketer&vjs=3
24/07/2024,Digital Marketing Specialist,Digital Marketing Specialist,Tucows,"Remote in Toronto, ON",Posted 15 days ago,,https://ca.indeed.com/rc/clk?jk=172d71aa839a94fb&bb=khmvN7-ICrcJbLl2Xph_PO3KVYiHjxJEssOCtj5gv480d6BKdMEFLL50xhKOL8Vw8kni4ItUUuZMJn9HyxV1GM0TMsLDZxvNrPxDMp53O4pOpfSOaxAQn_mhIeKfofBo&xkcb=SoAK67M3-yPBdpSiqx0CbzkdCdPP&fccid=4bcbc8cc86f1169e&vjs=3
