ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Education Coordinator,Experiential Education Coordinator,University of British Columbia,"University of British Columbia (Okanagan campus), BC",,,https://ca.indeed.com/rc/clk?jk=e5d7d520c164449b&bb=PdpVfZcewFLYXypweTDpmbNQ7gBuwgadYDM_gcuzzul2MLfBhOkAthaPuSDz467X8N9qhw4Sx0ZRpAP0YoTCPMZ7ERQvhO54yQOdscQHrvwtiVzREDfs8gohfezb_hyQ&xkcb=SoBv67M3-yLSQNxSSZ0KbzkdCdPP&fccid=462e6068c17c7702&vjs=3
24/07/2024,Education Coordinator,"Program Coordinator, Diploma and Community Education",School District #41 (Burnaby),"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=3138cfb8b8fb31b0&bb=PdpVfZcewFLYXypweTDpmXmXs5tgvC5Nb3cZBBDpcNq-xAk6Wm0N-iiYlCeigfSscVc_TTcoj2YGmxWOr7rKmEKvipg8gedUbiqbTaBvn1D0ep2ePWlnyPoS-3WzyVT7&xkcb=SoDy67M3-yLSQNxSSZ0JbzkdCdPP&fccid=cfb707d25cdce24c&vjs=3
24/07/2024,Education Coordinator,Coordinator - Spiritual Care Education-Repost,St. Boniface Hospital,"Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=ac84b95345b0b8bd&bb=PdpVfZcewFLYXypweTDpma-vaJsbZBxBHvx2Btzy6n-IBbJZif92YQKvgZBFbUK6M4xr93VR9ZVKYfz_gn-shlvGpoiaKrIuNAjoZxIWfFNtXQGEXsVGIur1Hrj-pJns&xkcb=SoBG67M3-yLSQNxSSZ0IbzkdCdPP&fccid=26cf868d758151ee&vjs=3
24/07/2024,Education Coordinator,NCAA Student Program Coordinator,Simon Fraser University,"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=f93baa20fb062394&bb=PdpVfZcewFLYXypweTDpmZTq47_eoDIAf1Jo08JkhhQ9VCN521BrMEfXe2e79CjobjY8ECPlPA17o_I6wnwl0n2axP7WU8XFuAQgPaKepznxPrLItxsGbLuALHRZ9CGG&xkcb=SoDI67M3-yLSQNxSSZ0PbzkdCdPP&fccid=fc23f15253f7bf0c&vjs=3
24/07/2024,Education Coordinator,"Coordinator, Public Programs and Education",Concordia University,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=5d44994810ea1f71&bb=PdpVfZcewFLYXypweTDpmQ94WkJhLZ5_Wl_ypGdkE_pVEoKi5vTZOKrOhaHBtL0iPUloPunoGop1SvITZWTssodBpYzW9_7jRqHatBTYqBRJ9U2YgTjRuNt8yquPoyM7&xkcb=SoB867M3-yLSQNxSSZ0ObzkdCdPP&fccid=3862705bba5916ee&vjs=3
24/07/2024,Education Coordinator,Co-operative Education Coordinator,Saskatchewan Polytechnic,"Moose Jaw, SK",,,https://ca.indeed.com/rc/clk?jk=b39c3c39a9ebe3f5&bb=PdpVfZcewFLYXypweTDpmZbw_C0Y3RGrdgEIWZix-g1UoPdge9vVT4Xf-SN7bQFp0VaW6Lrikjl8P7jN58nuMhKQdhP0XSKMBYPD2HElcE9qYZUSdC4VCeRahgccS3Rf&xkcb=SoDh67M3-yLSQNxSSZ0NbzkdCdPP&fccid=61f02e4162991248&vjs=3
24/07/2024,Education Coordinator,International Student Coordinator,Langara College,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=154ccb149a5b4451&bb=PdpVfZcewFLYXypweTDpmc6UM_WfPfJKS63Zr01-LSXvKyQ2hzOECTzBMHCOEK4Q6WqsiesznGZsbDZqDzMXk3r0YSzsA_Ed7ZCyvXZFPhxi3mTAm0kkPnd3yRUrCFsV&xkcb=SoBV67M3-yLSQNxSSZ0MbzkdCdPP&fccid=45b82f277883e4ea&vjs=3
24/07/2024,Education Coordinator,education program coordinator,VTEACH LEARNING CENTRE CORP.,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=410be0ad392a91ef&bb=PdpVfZcewFLYXypweTDpmacPRqcLyF-8scRBlQEJaSCtSe8ikjzGL9n8QUMmgxZwd9kwq1X26maTGtJLzUBH7XWA2Rgc4q37o_63m7r2M6GAV6DRsTbzIg%3D%3D&xkcb=SoC867M3-yLSQNxSSZ0DbzkdCdPP&fccid=30c8b5e961ad3553&vjs=3
24/07/2024,Education Coordinator,Education Coordinator - RMH,The Good Samaritan Society,"Rocky Mountain House, AB",,,https://ca.indeed.com/rc/clk?jk=328f415de3440914&bb=PdpVfZcewFLYXypweTDpmcofZZ0fRKr1rkcR_C3VJAWPxcHl0fWlXGZyV5870gC7LSo6Pbi2dEcrBeNMqTnbMl-BeFNQUpxuk5qVDrcggbL_cedghaosJP9X127oJkF6&xkcb=SoAI67M3-yLSQNxSSZ0CbzkdCdPP&fccid=3f81fb1444c171f0&vjs=3
24/07/2024,Education Coordinator,education program coordinator,Sun Peaks Resort LLP,"Sun Peaks, BC",,,https://ca.indeed.com/rc/clk?jk=752557f6f6fc5472&bb=PdpVfZcewFLYXypweTDpmQ0W_9syy9z3l0GArwQBggcz8M8kRdsesUZBSQEfZn7D7P4gegQUkmjP6FsaLrAC4-YgkjMCsiOpdTpuivJKExGnalzfBrXfmw%3D%3D&xkcb=SoCV67M3-yLSQNxSSZ0BbzkdCdPP&fccid=a18eeea3b5e4503f&vjs=3
